અ	ə
પૂત	p u t̪
પૂતળું	p u t̪ ə ɭ ũ
પૂનમ	p u n ə m
પૂના	p u n ɑ
પૂર	p u ɾ
પૂરી	p u ɾ i
પૃથ્વી	p ɾ u t̪ʰ ʋ i
પેંગડું	p eː ŋ ɡ ɽ ũ
પેંડો	p eː ɳ ɖ o
પેગામ	p eː ɡ ɑ m
પેચ	p eː t͡ʃ
પેટ	p eː ʈ
પેટી	p eː ʈ i
પેટ્રોલ	p eː ʈ ɾ o l
પેઠું	p ɛ ʈʰ ũ
પેઢી	p eː ɖʱ i
પેઢું	p eː ɖʱ ũ
પેદા	p ɛ d̪ ɑ
પેન	p eː n
પેનસિલ	p eː n s i l
પેનસિલ	p ɛ n s i l
પેય	p eː j
પેરિસ	p eː ɾ i s
પેરિસ	p æ ɾ i s
પેરિસ	p ɛ ɾ i s
પેરુ	p eː ɾ u
પેલું	p eː l ũ
પેલેસ્ટાઈન	p eː l eː s ʈ ɑ i n
પેશવા	p eː ʃ ʋ ɑ
પેશાબ	p eː ʃ ɑ b
પેશાવર	p eː ʃ ɑ ʋ ə ɾ
પૈસો	p ə i s o
પોઢવું	p o ɖʱ ʋ ũ
પોઢવું	p ɔ ɖʱ ʋ ũ
પોણું	p ɔ ɳ ũ
પોતું	p o t̪ ũ
પોથું	p o t̪ʰ ũ
પોદળો	p o d̪ ɭ o
પોપટ	p o p ə ʈ
પોપૈયું	p o p ə i j ũ
પોયરો	p o j ɾ o
પોરબંદર	p o ɾ b ə n d̪ ə ɾ
પોર્ટુગલ	p o ɾ ʈ u ɡ ə l
પોર્ટુગીઝ	p o ɾ ʈ u ɡ i d͡ʒʱ
પોલંડ	p o l ə ɳ ɖ
પોલાણ	p o l ɑ ɳ
પોલાદ	p o l ɑ d̪
પોલિશ	p o l i ʃ
પોલીસ	p o l i s
પોલું	p o l ũ
પોળ	p o ɭ
પોશાક	p o ʃ ɑ k
પોષવું	p o ʂ ʋ ũ
પૌત્ર	p ə u t̪ ɾ ə
પૌત્રી	p ə u t̪ ɾ i
પૌષ્ટિક	p ə u ʂ ʈ i k
પ્યાજ	p j ɑ d͡ʒ
પ્યાર	p j ɑ ɾ
પ્યારું	p j ɑ ɾ ũ
પ્યાલો	p j ɑ l o
પ્યાસ	p j ɑ s
પ્રકાર	p ɾ ə k ɑ ɾ
પ્રકાશ	p ɾ ə k ɑ ʃ
પ્રકાશિત	p ɾ ə k ɑ ʃ i t̪
પ્રગટવું	p ɾ ə ɡ ə ʈ ʋ ũ
પ્રગતિ	p ɾ ə ɡ ə t̪ i
પ્રજનન	p ɾ ə d͡ʒ n ə n
પ્રજાપતિ	p ɾ ə d͡ʒ ɑ p ə t̪ i
પ્રણામ	p ɾ ə ɳ ɑ m
પ્રતીક્ષા	p ɾ ə t̪ i k ʃ ɑ
પ્રત્યેક	p ɾ ə t̪ j eː k
પ્રથમ	p ɾ ə t̪ʰ ə m
પ્રથમા	p ɾ ə t̪ʰ m ɑ
પ્રદૂષણ	p ɾ ə d̪ u ʃ ə ɳ
પ્રધાન	p ɾ ə d̪ʱ ɑ n
પ્રનાલિકા	p ɾ ə n ɑ l i k ɑ
પ્રભાત	p ɾ ə bʱ ɑ t̪
પ્રભુ	p ɾ ə bʱ u
પ્રમાણ	p ɾ ə m ɑ ɳ
પ્રમાણપત્ર	p ɾ ə m ɑ ɳ p ə t̪ ɾ ə
પ્રમુખ	p ɾ ə m u kʰ
પ્રવાસ	p ɾ ə ʋ ɑ s
પ્રશ્ન	p ɾ ə ʃ n ə
પ્રસંગ	p ɾ ə s ə ŋ ɡ
પ્રસાદ	p ɾ ə s ɑ d̪
પ્રસ્તાવના	p ɾ ə s t̪ ɑ ʋ n ɑ
પ્રાંગાર	p ɾ ɑ̃ ɡ ɑ ɾ
પ્રાકૃત	p ɾ ɑ k ɾ u t̪
પ્રાચી	p ɾ ɑ t͡ʃ i
પ્રાચીન	p ɾ ɑ t͡ʃ i n
પ્રાણ	p ɾ ɑ ɳ
પ્રાણી	p ɾ ɑ ɳ i
પ્રાર્થના	p ɾ ɑ ɾ t̪ʰ ə n ɑ
પ્રાર્થવું	p ɾ ɑ ɾ t̪ʰ ʋ ũ
પ્રીતિ	p ɾ i t̪ i
પ્રેમ	p ɾ eː m
પ્રેમિકા	p ɾ eː m i k ɑ
પ્રોગ્રામ	p ɾ o ɡ ɾ ɑ m
પ્લીહા	p l i ɦ ɑ
ફ	f ə
ફ	pʰ ə
ફ	ɸ ə
ફકરો	pʰ ə k ɾ o
ફકીર	pʰ ə k i ɾ
ફજર	f ə d͡ʒ ə ɾ
ફજર	pʰ ə d͡ʒ ə ɾ
ફટાકડો	pʰ ə ʈ ɑ k ɖ o
ફતેહ	pʰ ə t̪ eːʱ
ફદિયું	pʰ ə d̪ i j ũ
ફરક	pʰ ə ɾ ə k
ફરજ	f ə ɾ d͡ʒ
ફરજ	pʰ ə ɾ d͡ʒ
ફરજંદ	pʰ ə ɾ d͡ʒ ə n d̪
ફરમાન	pʰ ə ɾ m ɑ n
ફરમાવવું	pʰ ə ɾ m ɑ ʋ ʋ ũ
ફરવરદીન	pʰ ə ɾ ʋ ə ɾ d̪ i n
ફરવર્દીન	pʰ ə ɾ ʋ ə ɾ d̪ i n
ફરવશી	f ɾ ə ʋ ʃ i
ફરવું	pʰ ə ɾ ʋ ũ
ફરહાદ	pʰ ə ɾ ɦ ɑ d̪
ફરાક	pʰ ɾ ɑ k
ફરાનક	pʰ ə ɾ ɑ n ə k
ફરામરોઝ	pʰ ɾ ɑ m ɾ o d͡ʒʱ
ફરામર્ઝ	pʰ ə ɾ ɑ m ə ɾ d͡ʒʱ
ફરાસીસી	pʰ ə ɾ ɑ s i s i
ફરિયાદ	pʰ ə ɾ i j ɑ d̪
ફરોખ	pʰ ə ɾ o kʰ
ફલાણું	pʰ ə l ɑ ɳ ũ
ફલાહાર	pʰ ə l ɑ ɦ ɑ ɾ
ફળ	pʰ ə ɭ
ફળિયું	pʰ ə ɭ i j ũ
ફાંટ	pʰ ɑ̃ ʈ
ફાંદો	pʰ ɑ̃ː d o̞
ફાંસી	pʰ ɑ̃ s i
ફાગણ	pʰ ɑ ɡ ə ɳ
ફાતિમા	pʰ ɑ t̪ i m ɑ
ફાતિયો	pʰ ɑ t̪ i j o
ફાનસ	f ɑ n ə s
ફાનસ	pʰ ɑ n ə s
ફામ	pʰ ɑ m
ફારગતી	pʰ ɑ ɾ ɡ ə t̪ i
ફારૂક	pʰ ɑ ɾ u k
ફારૂકી	pʰ ɑ ɾ u k i
ફાર્મસી	pʰ ɑ ɾ m ə s i
ફાલતુ	pʰ ɑ l t̪ u
ફાલૂદો	pʰ ɑ l u d̪ o
ફાવવું	pʰ ɑ ʋ ʋ ũ
ફાસ્ટ	pʰ ɑ s ʈ
ફિનલંડ	pʰ i n l ə ɳ ɖ
ફિરંગ	pʰ i ɾ ə ŋ ɡ
ફિરદોસ	pʰ i ɾ d̪ o s
ફિરદોસી	f ɪ ɾ d̪ o s ɪ
ફિરદોસી	pʰ ɪ ɾ d̪ o s ɪ
ફિરસ્તો	pʰ i ɾ ə s t̪ o
ફિલસૂફ	pʰ i l s u pʰ
ફિલસૂફી	pʰ i l s u pʰ i
ફિલસ્તીન	f i l ə s t̪ i n
ફિલસ્તીન	pʰ i l ə s t̪ i n
ફિલ્મ	f ɪ l m
ફિલ્મ	f ɪ l ə m
ફિલ્મ	pʰ ɪ l m
ફિલ્મ	pʰ ɪ l ə m
ફી	pʰ i
ફીત	pʰ i t̪
ફીરોઝ	pʰ i ɾ o d͡ʒʱ
ફીલ્ડિંગ	pʰ i l ɖ i ŋ ɡ
ફુઆ	pʰ u ɑ
ફુઓ	pʰ u o
ફુગ્ગો	pʰ u ɡ ɡ o
ફુરજો	pʰ u ɾ d͡ʒ o
ફુરસત	pʰ u ɾ s ə t̪
ફુરસદ	pʰ u ɾ s ə d̪
ફુવાદ	pʰ u ʋ ɑ d̪
ફુવારો	pʰ u ʋ ɑ ɾ o
ફૂંકવું	f ũ k ʋ ũ
ફૂંકવું	pʰ ũ k ʋ ũ
ફૂટપટ્ટી	pʰ u ʈ p ə ʈ ʈ i
ફૂટબોલ	pʰ u ʈ b o l
ફૂટબોલ	pʰ u ʈ b ɔ l
ફૂલ	pʰ u l
ફેંકવું	pʰ eː ŋ k ʋ ũ
ફેંદવું	pʰ ɛ n d̪ ʋ ũ
ફેંસલો	pʰ ɛ̃ s l o
ફેક્ટરી	pʰ ɛ k ʈ ə ɾ i
ફેઝ	pʰ eː d͡ʒʱ
ફેણ	pʰ eː ɳ
ફેફસું	pʰ eː pʰ s ũ
ફેબ્રુઆરી	pʰ eː b ɾ u ɑ ɾ i
ફેમીલી	pʰ eː m i l i
ફોઈ	pʰ o i
ફોજ	pʰ o d͡ʒ
ફોજ	pʰ ɔ d͡ʒ
ફોટો	pʰ o ʈ o
ફોડવું	pʰ o ɖ ʋ ũ
ફોડવું	pʰ o ɽ ʋ ũ
ફોડવું	pʰ o ɾ ʋ ũ
ફોન	pʰ ɔ n
ફોલ્લો	pʰ o l l o
ફ્રાંક	pʰ ɾ ɑ ŋ k
ફ્રાંસ	pʰ ɾ ɑ̃ s
ફ્રાંસીસી	pʰ ɾ ɑ̃ s i s i
ફ્લૅટ	f l ɛ ʈ
ફ્લૅટ	pʰ l ɛ ʈ
બ	b ə
બંગડી	b ə ŋ ɡ ɖ i
બંગલો	b ə ŋ ɡ l o
બંગાળ	b ə ŋ ɡ ɑ ɭ
બંડી	b ə ɳ ɖ i
બંદો	b ə n d̪ o
બંદોબસ્ત	b ə n d̪ o b ə s t̪
બંદ્યોપાધ્યાય	b ə n d̪ j o p ɑ d̪ʱ j ɑ j
બંધ	b ə n d̪ʱ
બંધાણી	b ə n d̪ʱ ɑ ɳ i
બંધારણ	b ə n d̪ʱ ɑ ɾ ə ɳ
બંબઈ	b ə m b ə i
બંબો	b ə m b o
બકરી	b ə k ɾ i
બકરું	b ə k ɾ ũ
બકરો	b ə k ɾ ɔ
બકલ	b ə k ə l
બકાલું	b ə k ɑ l ũ
બક્ષિશ	b ə k ʃ i ʃ
બખ્તર	b ə kʰ t̪ ə ɾ
બગડવું	b ə ɡ ə ɽ ʋ ũ
બગદાદ	b ə ɡ d̪ ɑ d̪
બગલ	b ə ɡ ə l
બગાસું	b ə ɡ ɑ s ũ
બગીચો	b ə ɡ i t͡ʃ o
બચ્ચી	b ə t͡ʃ t͡ʃ i
બચ્ચું	b ə t͡ʃ t͡ʃ ũ
બચ્ચો	b ə t͡ʃ t͡ʃ o
બજર	b ə d͡ʒ ə ɾ
બજાર	b ə d͡ʒ ɑ ɾ
બજાર	b ə z ɑ ɾ
બટકું	b ə ʈ k ũ
બટાકું	b ə ʈ ɑ k ũ
બટાટો	b ə ʈ ɑ ʈ o
બતક	b ə t̪ ə k
બતાવું	b ə t̪ ɑ ʋ ũ
બત્તી	b ə t̪ t̪ i
બત્રીસ	b ə t̪ ɾ i s
બદર	b ə d̪ ə ɾ
બદલવું	b ə d̪ ə l ʋ ũ
બદામ	b ə d̪ ɑ m
બદામી	b ə d̪ ɑ m i
બદ્ર	b ə d̪ ɾ ə
બધું	b ə d̪ʱ ũ
બનફશા	b ə n ə pʰ ʃ ɑ
બનવું	b ə n ʋ ũ
બનારસ	b ə n ɑ ɾ ə s
બપોર	b ə p o ɾ
બપોરિયું	b ə p o ɾ i j ũ
બમણું	b ə m ɳ ũ
બમન	b ə m ə n
બરણી	b ə ɾ ɳ i
બરાક	b ə ɾ ɑ k
બરાબર	b ə ɾ ɑ b ə ɾ
બરામદા	b ə ɾ ɑ m d̪ ɑ
બરોડા	b ə ɾ o ɖ ɑ
બર્મિંગહામ	b ə ɾ m i ŋ ɡ ɦ ɑ m
બર્મી	b ə ɾ m i
બલગમ	b ə l ɡ ə m
બલસારા	b ə l s ɑ ɾ ɑ
બલિદાન	b ə l i d̪ ɑ n
બલૂચ	b ə l u t͡ʃ
બલૂચિસ્તાન	b ə l u t͡ʃ i s t̪ ɑ n
બલૂત	b ə l u t̪
બળવાન	b ə ɭ ʋ ɑ n
બળવું	b ə ɭ ʋ ũ
બસ	b ə s
બસો	b ə s ɔ
બહાનું	b ə ɦ ɑ n ũ
બહાર	b ə ɦ ɑ ɾ
બહિશ્ત	b ə ɦ i ʃ t̪
બહુ	b ə ɦ u
બહુજન	b ə ɦ u d͡ʒ ə n
બહુપતિત્વ	b ə ɦ u p ə t̪ i t̪ ʋ ə
બહેન	b ə ɦ ɛ n
બહેનપણી	b ə ɦ ɛ n p ə ɳ i
બહેનાં	b ə ɦ ɛ n ɑ̃
બહેરામ	b ə ɦ ɛ ɾ ɑ m
બહેરું	b ə ɦ ɛ ɾ ũ
બા	b ɑ
બાંક	b ɑ̃ k
બાંકડો	b ɑ̃ k ɽ o
બાંગ	b ɑ ŋ ɡ
બાંગ્લાદેશ	b ɑ ŋ ɡ l ə d̪ eː ʃ
બાંડિયો	b ɑ ɳ ɖ i j o
બાંદ્રા	b ɑ n d̪ ɾ ɑ
બાંધવું	b ɑ̃ d̪ʱ ʋ ũ
બાંય	b ɑ̃ j
બાઇબલ	b ɑ i b ə l
બાઇસિકલ	b ɑ i s i k ə l
બાઈડી	b ɑ i ɽ i
બાકી	b ɑ k i
બાગ	b ɑ ɡ
બાજુ	b ɑ d͡ʒ u
બાટલી	b ɑ ʈ l i
બાણ	b ɑ ɳ
બાતમી	b ɑ t̪ m i
બાથ	b ɑ t̪ʰ
બાદબાકી	b ɑ d̪ b ɑ k i
બાદશાહ	b ɑ d̪ ʃ ɑ ɦ
બાદશાહજાદી	b ɑ d̪ ʃ ɑʱ d͡ʒ ɑ d̪ i
બાપ	b ɑ p
બાપા	b ɑ p ɑ
બાપુનગર	b ɑ p u n ə ɡ ə ɾ
બાપો	b ɑ p o
બાપ્તિસ્મા	b ɑ p t̪ i s m ɑ
બાફવું	b ɑ pʰ ʋ ũ
બાબ	b ɑ b
બાબત	b ɑ b ə t̪
બાબર	b ɑ b ə ɾ
બાબી	b ɑ b i
બાબો	b ɑ b o
બામિયાન	b ɑ m i j ɑ n
બામ્બુ	b ɑ m b u
બાયલો	b ɑ j l o
બાર	b ɑ ɾ
બારકસ	b ɑ ɾ k ə s
બારણું	b ɑ ɳ ɳ ũ
બારણું	b ɑ ɾ ɳ ũ
બારાખડી	b ɑ ɾ ɑ kʰ ə ɽ i
બારિશ	b ɑ ɾ i ʃ
બારી	b ɑ ɾ i
બારોટ	b ɑ ɾ o ʈ
બાલદી	b ɑ l d̪ i
બાલમંદિર	b ɑ l m ə n d̪ i ɾ
બાલ્કન	b ɑ l k ə n
બાળ	b ɑ ɭ
બાળક	b ɑ ɭ ə k
બાળપણ	b ɑ ɭ p ə ɳ
બાળભાષા	b ɑ ɭ bʱ ɑ ʃ ɑ
બાળવિવાહ	b ɑ ɭ ʋ i ʋ ɑʱ
બાવન	b ɑ ʋ ə n
બાવલું	b ɑ ʋ l ũ
બાવળ	b ɑ ʋ ə ɭ
બાવીસ	b ɑ ʋ i s
બાવો	b ɑ ʋ o
બાશકીર	b ɑ ʃ k i ɾ
બાષ્પીભવન	b ɑ ʃ p i bʱ ə ʋ ə n
બાસઠ	b ɑ s ə ʈʰ
બિંદાસ	b i n d̪ ɑ s
બિંદી	b i n d̪ i
બિંદુ	b i n d̪ u
બિચારું	b i t͡ʃ ɑ ɾ ũ
બિનતારી	b i n t̪ ɑ ɾ i
બિરયાની	b i ɾ j ɑ n i
બિરાદર	b i ɾ ɑ d̪ ə ɾ
બિલાડી	b i l ɑ ɽ i
બિલાડું	b i l ɑ ɽ ũ
બિલાડો	b i l ɑ ɽ o
બિલોર	b i l o ɾ
બિશપ	b i ʃ ə p
બિસ્કિટ	b i s k i ʈ
બિસ્મિલ્લા	b i s m i l l ɑ
બિહાર	b i ɦ ɑ ɾ
બીજ	b i d͡ʒ
બીડી	b i ɽ i
બીબડી	b i b ɖ i
બીવું	b i ʋ ũ
બુંદદાણા	b u n d̪ d̪ ɑ ɳ ɑ
બુંદેલખંડ	b u n d̪ eː l kʰ ə ɳ ɖ
બુખારા	b u kʰ ɑ ɾ ɑ
બુખારી	b u kʰ ɑ ɾ i
બુટ્ટો	b u ʈ ʈ o
બુત	b u t̪
બુતાન	b u t̪ ɑ n
બુદ્ધ	b u d̪ d̪ʱ
બુદ્ધિ	b u d̪ d̪ʱ i
બુધ	b u d̪ʱ
બુધવાર	b u d̪ʱ ʋ ɑ ɾ
બુરખો	b u ɾ kʰ o
બુલબુલ	b u l b u l
બૂચ	b u t͡ʃ
બૂઝવવું	b u d͡ʒʱ ə ʋ ʋ ũ
બૂડવું	b u ɖ ʋ ũ
બૂમ	b u m
બૃહસ્પતિ	b ɾ u ɦ ə s p ə t̪ i
બૃહસ્પતિવાર	b ɾ u ɦ ə s p ə t̪ i ʋ ɑ ɾ
બૅટ	b ɛ ʈ
બે	b eː
બે	b ɛ
બેંગલુરુ	b eː ŋ ɡ l u ɾ u
બેંગલોર	b eː ŋ ɡ l o ɾ
બેઉ	b ɛ u
બેગમ	b eː ɡ ə m
બેચેન	b eː t͡ʃ eː n
બેઠું	b ɛ ʈʰ ũ
બેતાળીસ	b ɛ t̪ ɑ ɭ i s
બેપ્ટિઝમ	b eː p ʈ i d͡ʒʱ ə m
બેલ્જિયમ	b eː l d͡ʒ i j ə m
બેવકૂફ	b eː ʋ ə k u pʰ
બેવડો	b eː ʋ ɽ o
બેસવું	b ɛ s ʋ ũ
બેહેદીન	b eː ɦ eː d̪ i n
બેહેશ્ત	b eː ɦ eː ʃ t̪
બૈરક	b ə i ɾ ə k
બોઇલર	b o i l ə ɾ
બોકડું	b o k ɽ ũ
બોગદું	b o ɡ d̪ ũ
બોટાદ	b o ʈ ɑ d̪
બોડકદેવ	b o ɖ ə k d̪ eː ʋ
બોડી	b o ɽ i
બોડું	b o ɽ ũ
બોતેર	b ɔ t̪ eː ɾ
બોથડ	b o t̪ʰ ə ɽ
બોબડું	b o b ɖ ũ
બોબા	b o b ɑ
બોમ્બે	b o m b eː
બોયું	b o j ũ
બોલ	b o l
બોલવું	b o l ʋ ũ
બોલ્શેવિક	b o l ʃ eː ʋ i k
બોલ્શેવિક	b ɔ l ʃ eː ʋ i k
બોળવું	b o ɭ ʋ ũ
બોસો	b o s o
બ્રશ	b ɾ ə ʃ
બ્રહ્મદેશ	b ɾ əʱ m ə d̪ eː ʃ
બ્રહ્મપુત્ર	b ɾ əʱ m ə p u t̪ ɾ ə
બ્રાહ્મણ	b ɾ ɑʱ m ə ɳ
બ્રિંજલ	b ɾ i ɲ d͡ʒ ə l
બ્રિટન	b ɾ i ʈ ə n
બ્રિટિશ	b ɾ i ʈ i ʃ
બ્રુકલિન	b ɾ u k l i n
બ્રેડ	b ɾ ɛ ɖ
ભ	bʱ ə
ભંગાર	bʰ ə ŋ ɡ aː r
ભગવાન	bʱ ə ɡ ʋ ɑ n
ભજન	bʱ ə d͡ʒ ə n
ભજિયું	bʱ ə d͡ʒ i j ũ
ભઠ્ઠી	bʱ ə ʈʰ ʈʰ i
ભણવું	bʱ ə ɳ ʋ ũ
ભણસાલી	bʱ ə ɳ s ɑ l i
ભત્રીજો	bʱ ə t̪ ɾ i d͡ʒ o
ભયંકર	bʱ ə j ə ŋ k ə ɾ
ભરપૂર	bʱ ə ɾ p u ɾ
ભરવાડ	bʱ ə ɾ ʋ ɑ ɖ
ભરવાડ	bʱ ə ɾ ʋ ɑ ɽ
ભરવું	bʱ ə ɾ ʋ ũ
ભરૂચ	bʱ ə ɾ u t͡ʃ
ભરૂચા	bʱ ə ɾ u t͡ʃ ɑ
ભરોંસો	bʱ ə ɾ ɔ̃ s o
ભવાઇ	bʱ ə ʋ ɑ i
ભવું	bʱ ə ʋ ũ
ભસમ	bʱ ə s ə m
ભસવું	bʱ ə s ʋ ũ
ભાંગ	bʱ ɑ ŋ ɡ
ભાંડું	bʱ ɑ ɳ ɖ ũ
ભાંડુપ	bʱ ɑ ɳ ɖ u p
ભાઈ	bʱ ɑ i
ભાઈલાલ	bʱ ɑ i l ɑ l
ભાજી	bʱ ɑ d͡ʒ i
ભાડ	bʱ ɑ ɖ
ભાડું	bʱ ɑ ɽ ũ
ભાણું	bʱ ɑ ɳ ũ
ભાત	bʱ ɑ t̪
ભાન	bʱ ɑ n
ભાભી	bʱ ɑ bʱ i
ભારત	bʱ ɑ ɾ ə t̪
ભારતવર્ષ	bʱ ɑ ɾ ə t̪ ʋ ə ɾ ʂ
ભારતીય	bʱ ɑ ɾ t̪ i j ə
ભાર્યા	bʱ ɑ ɾ j ɑ
ભાવ	bʱ ɑ ʋ
ભાવનગર	bʱ ɑ ʋ n ə ɡ ə ɾ
ભાવવું	bʱ ɑ ʋ ʋ ũ
ભાષણ	bʱ ɑ ʂ ə ɳ
ભાષા	bʱ ɑ ʃ ɑ
ભિસ્તી	bʱ i s t̪ i
ભી	bʱ i
ભીંડો	bʱ i ɳ ɖ o
ભીખ	bʱ i kʰ
ભીનું	bʱ i n ũ
ભીલ	bʱ i l
ભુઠ્ઠો	bʱ u ʈ ʈʰ o
ભૂ	bʱ u
ભૂખ	bʱ u kʰ
ભૂખમરો	bʱ u kʰ m ə ɾ o
ભૂખહડતાળ	bʱ u kʰ ɦ ə ɖ t̪ ɑ ɭ
ભૂખ્યું	bʱ u kʰ j ũ
ભૂગોળ	bʱ u ɡ o ɭ
ભૂત	bʱ u t̪
ભૂતકાળ	bʱ u t̪ k ɑ ɭ
ભૂલવું	bʱ u l ʋ ũ
ભૃગુવાર	bʱ ɾ u ɡ u ʋ ɑ ɾ
ભેંસ	bʱ ɛ̃ s
ભેંસો	bʱ ɛ̃ s o
ભેગું	bʱ eː ɡ ũ
ભેજવું	bʱ eː d͡ʒ ʋ ũ
ભેજું	bʱ eː d͡ʒ ũ
ભેટવું	bʱ eː ʈ ʋ ũ
ભૈયો	bʱ ə i j o
ભૈરવ	bʱ ə i ɾ ə ʋ
ભોં	bʱ õ
ભોજન	bʱ o d͡ʒ ə n
ભોજનાલય	bʱ o d͡ʒ n ɑ l ə j
ભોજાઈ	bʱ ɔ d͡ʒ ɑ i
ભોણું	bʱ o ɳ ũ
ભોપલું	bʱ o p l ũ
ભોપાળ	bʱ o p ɑ ɭ
ભોર	bʱ o ɾ
ભૌગોલિક	bʱ ə u ɡ o l i k
મ	m ə
મંગળ	m ə ŋ ɡ ə ɭ
મંગળવાર	m ə ŋ ɡ ə l ʋ ɑ ɾ
મંગળવાર	m ə ŋ ɡ ə ɭ ʋ ɑ ɾ
મંચુરિયા	m ə ɲ t͡ʃ u ɾ i j ɑ
મંડળી	m ə ɳ ɖ ə ɭ i
મંદવાડ	m ə n d̪ ʋ ɑ ɽ
મંદિર	m ə n d̪ i ɾ
મકદુનિયા	m ə k d̪ u n i j ɑ
મકબરો	m ə k b ə ɾ o
મકાન	m ə k ɑ n
મક્કા	m ə k k ɑ
મગ	m ə ɡ
મગજ	m ə ɡ ə d͡ʒ
મગફળી	m ə ɡ pʰ ə ɭ i
મગર	m ə ɡ ə ɾ
મગરિબ	m ə ɡ ɾ i b
મગરૂબ	m ə ɡ ɾ u b
મગરૂરી	m ə ɡ ɾ u ɾ i
મચ્છર	m ə t͡ʃ t͡ʃʰ ə ɾ
મજહબ	m ə d͡ʒ ɦ ə b
મજાક	m ə d͡ʒ ɑ k
મજૂર	m ə d͡ʒ u ɾ
મઝગાંવ	m ə d͡ʒʱ ɡ ɑ̃ ʋ
મટન	m ə ʈ ə n
મટવું	m ə ʈ ʋ ũ
મઠ	m ə ʈʰ
મણકો	m ə ɳ k o
મણિનગર	m ə ɳ i n ə ɡ ə ɾ
મણિપુર	m ə ɳ i p u ɾ
મત	m ə t̪
મતદાર	m ə t̪ d̪ ɑ ɾ
મતવાલું	m ə t̪ ʋ ɑ l ũ
મતવાલો	m ə t̪ ʋ ɑ l o
મથુરા	m ə t̪ʰ u ɾ ɑ
મથૂશેલાહ	m ə t̪ʰ u ʃ eː l ɑʱ
મદદ	m ə d̪ ə d̪
મદરેસા	m ə d̪ ɾ eː s ɑ
મદલાણી	m ə d̪ l ɑ ɳ i
મદીના	m ə d̪ i n ɑ
મદ્રાસ	m ə d̪ ɾ ɑ s
મદ્રાસી	m ə d̪ ɾ ɑ s i
મધ	m ə d̪ʱ
મધમાખી	m ə d̪ʱ m ɑ kʰ i
મધાણી	m ə d̪ʱ ɑ ɳ i
મધુ	m ə d̪ʱ u
મધુમાલતી	m ə d̪ʱ u m ɑ l t̪ i
મધુસૂદન	m ə d̪ʱ u s u d̪ ə n
મધ્યપ્રદેશ	m ə d̪ʱ j ə p ɾ ə d̪ eː ʃ
મન	m ə n
મનીષા	m ə n i ʃ ɑ
મને	m ə n
મને	m ə n eː
મફત	m ə pʰ ə t̪
મમતા	m ə m t̪ ɑ
મમમમ	m ə m m ə m
મમ્મા	m ə m m ɑ
મમ્મી	m ə m m i
મયૂરી	m ə j u ɾ i
મરચું	m ə ɾ t͡ʃ ũ
મરણ	m ə ɾ ə ɳ
મરણતિથિ	m ə ɾ ə ɳ t̪ i t̪ʰ i
મરતબ	m ə ɾ t̪ ə b
મરદ	m ə ɾ ə d̪
મરમર	m ə ɾ m ə ɾ
મરવું	m ə ɾ ʋ ũ
મરસિયો	m ə ɾ s i j o
મરહૂમ	m ə ɾ ɦ u m
મરાઠી	m ə ɾ ɑ ʈʰ i
મરિયમ	m ə ɾ i j ə m
મરી	m ə ɾ i
મર્ચન્ટ	m ə ɾ t͡ʃ ə n ʈ
મલકવું	m ə l ə k ʋ ũ
મલબાર	m ə l b ɑ ɾ
મલાયા	m ə l ɑ j ɑ
મલેરિયા	m ə l eː ɾ i j ɑ
મળવું	m ə ɭ ʋ ũ
મશીન	m ə ʃ i n
મશ્કરી	m ə ʃ k ə ɾ i
મસળવું	m ə s ə ɭ ʋ ũ
મસાણ	m ə s ɑ ɳ
મસાલો	m ə s ɑ l o
મસીત	m ə s i t̪
મસીદ	m ə s i d̪
મસીહ	m ə s iʱ
મસોતું	m ə s o t̪ ũ
મસ્જિદ	m ə s d͡ʒ i d̪
મસ્ત	m ə s t̪
મસ્તિષ્ક	m ə s t̪ i ʃ k
મસ્તી	m ə s t̪ i
મહત્ત્વ	m ə ɦ ə t̪ t̪ ʋ ə
મહમદ	m əʱ m ə d̪
મહમૂદ	m əʱ m u d̪
મહર	m ə ɦ ə ɾ
મહાભારત	m ə ɦ ɑ bʱ ɑ ɾ ə t̪
મહારાણી	m ə ɦ ɑ ɾ ɑ ɳ i
મહારાષ્ટ્ર	m ə ɦ ɑ ɾ ɑ ʂ ʈ ɾ
મહારાષ્ટ્ર	m ə ɦ ɑ ɾ ɑ ʂ ʈ ɾ ə
મહાવીર	m ə ɦ ɑ ʋ i ɾ
મહિનો	m ə ɦ i n o
મહિલા	m ə ɦ i l ɑ
મહૂમાન	m ə ɦ u m ɑ n
મહેંદી	m ə ɦ ɛ n d̪ i
મહેક	m ə ɦ ɛ k
મહેતો	m ə ɦ ɛ t̪ o
મહેનત	m ə ɦ ɛ n ə t̪
મહેમદાવાદ	m ə ɦ eː m d̪ ɑ ʋ ɑ d̪
મહેમાન	m ɛ ɦ m ɑ n
મહેમાનખાનું	m ə ɦ ɛ m ɑ n kʰ ɑ n ũ
મહેરાબ	m ə ɦ ɛ ɾ ɑ b
મહેલ	m ə ɦ ɛ l
મહેસાણા	m ə ɦ eː s ɑ ɳ ɑ
મહેસૂલ	m ə ɦ ɛ s u l
મહોબત	m ə ɦ ɔ b ə t̪
મહોલ્લો	m ə ɦ ɔ l l o
મા	m ɑ
માં	m ɑ̃
માંગણી	m ɑ ŋ ɡ ɳ i
