Ё	j ɔ
тэмээнүүдээр	tʰ e m eː n uː t eː r̥
тэмээнүүдээс	tʰ e m eː n uː t eː s
тэмээтэй	tʰ e m eː tʰ e i̯
тэнгисгүй	tʰ e ŋ k i s k u i̯
тэнгисийг	tʰ e ŋ k i s iː k
тэнгисийн	tʰ e ŋ k i s iː ŋ
тэнгисийнх	tʰ e ŋ k i s iː ŋ x
тэнгисийнхэн	tʰ e ŋ k i s iː ŋ x e ŋ
тэнгист	tʰ e ŋ k i s tʰ
тэнгистэй	tʰ e ŋ k i s tʰ e i̯
тэнгисээр	tʰ e ŋ k i s eː r̥
тэнгисээс	tʰ e ŋ k i s eː s
тэнгисүүд	tʰ e ŋ k i s uː t
тэнгисүүдгүй	tʰ e ŋ k i s uː t k u i̯
тэнгисүүдийг	tʰ e ŋ k i s uː t iː k
тэнгисүүдийн	tʰ e ŋ k i s uː t iː ŋ
тэнгисүүдийнх	tʰ e ŋ k i s uː t iː ŋ x
тэнгисүүдийнхэн	tʰ e ŋ k i s uː t iː ŋ x e ŋ
тэнгисүүдтэй	tʰ e ŋ k i s uː t tʰ e i̯
тэнгисүүдэд	tʰ e ŋ k i s uː t e t
тэнгисүүдээр	tʰ e ŋ k i s uː t eː r̥
тэнгисүүдээс	tʰ e ŋ k i s uː t eː s
тэнгэр	tʰ e ŋ ɡ e r
тэнгэр	tʰ ɘ ŋ ɘ ɾ
тэнгэс	tʰ i ŋ ɡ ə s
тэр	tʰ e r
тэрбум	tʰ e r p ʊ m
тэргийг	tʰ e r k iː k
тэргэн	tʰ e r k e ŋ
тэргэнд	tʰ e r k e n t
тэргээр	tʰ e r k eː r̥
тэрс	tʰ i r s
тэрэг	tʰ e r e k
тэрэггүй	tʰ e r e ɣ u i̯
тэрэгний	tʰ e r e k n iː
тэрэгнийх	tʰ e r e k n iː x
тэрэгнийхэн	tʰ e r e k n iː x e ŋ
тэрэгнээс	tʰ e r e k n eː s
тэрэгнүүд	tʰ e r e k n uː t
тэрэгнүүдгүй	tʰ e r e k n uː t k u i̯
тэрэгнүүдийг	tʰ e r e k n uː t iː k
тэрэгнүүдийн	tʰ e r e k n uː t iː ŋ
тэрэгнүүдийнх	tʰ e r e k n uː t iː ŋ x
тэрэгнүүдийнхэн	tʰ e r e k n uː t iː ŋ x e ŋ
тэрэгнүүдтэй	tʰ e r e k n uː t tʰ e i̯
тэрэгнүүдэд	tʰ e r e k n uː t e t
тэрэгнүүдээр	tʰ e r e k n uː t eː r̥
тэрэгнүүдээс	tʰ e r e k n uː t eː s
тэрэгтэй	tʰ e r e k tʰ e i̯
тэс	tʰ i s
тээрэм	tʰ eː r e m
тээрэмчин	tʰ eː r e m t͡ʃʰ i ŋ
түймэр	tʰ u i m ə r
түлхэх	t u ɮ x ə x
түлэгдэлт	tʰ u ɮ ə ɡ t ə ɮ tʰ
түм	tʰ u m
түмэд	tʰ u m e t
түрүүч	tʰ u r uː t͡ɕʰ
түүнийх	tʰ uː n iː x
түүх	tʰ uː x
төгрөг	tʰ ɵ k r ɵ k
төгрөггүй	tʰ ɵ k r ɵ ɣ u i̯
төгрөгийг	tʰ ɵ k r ɵ ɣ iː k
төгрөгийн	tʰ ɵ k r ɵ ɣ iː ŋ
төгрөгт	tʰ ɵ k r ɵ k tʰ
төгрөгтэй	tʰ ɵ k r ɵ k tʰ e i̯
төгрөгүүд	tʰ ɵ k r ɵ ɣ uː t
төгрөгүүдгүй	tʰ ɵ k r ɵ ɣ uː t k u i̯
төгрөгүүдийг	tʰ ɵ k r ɵ ɣ uː t iː k
төгрөгүүдийн	tʰ ɵ k r ɵ ɣ uː t iː ŋ
төгрөгүүдтэй	tʰ ɵ k r ɵ ɣ uː t tʰ e i̯
төгрөгүүдэд	tʰ ɵ k r ɵ ɣ uː t e t
төгрөгүүдээр	tʰ ɵ k r ɵ ɣ uː t eː r̥
төгрөгүүдээс	tʰ ɵ k r ɵ ɣ uː t eː s
төгрөгөөр	tʰ ɵ k r ɵ ɣ ɵː r̥
төгрөгөөс	tʰ ɵ k r ɵ ɣ ɵː s
төлөвлөгөө	tʰ ɵ ɮ ɵ w̜ ɮ ɵ ɡ oː
төмпөн	tʰ ɵ m pʰ ɵ ŋ
төмөрсөг	tʰ ɵ m ɵ r s ɵ k
төр	tʰ ɵ r
төрсөн	tʰ ɵ r s u ŋ
төрөл	tʰ ɵ r ɵ ɮ
төстэй	tʰ o s tʰ e
төсөвлөх	tʰ o s ə w ɮ ə x
у	ʊ
уг	ʊ ɡ
удаа	ʊ t a
удган	ʊ t ɢ ə ŋ
удирдамж	ʊ t i r t a m t͡ɕ
удирдлага	ʊ tʲ ə r t ɮ ə ɢ
улаан	ʊ ɮ aː ŋ
уламжлалт	ʊ ɮ ə m t͡ɕ ɮ ə ɮ tʰ
улиас	ʊ ɮʲ a s
улс	ʊ l ʊ s
улсаар	ʊ ɮ s aː r̥
улсаас	ʊ ɮ s aː s
улсад	ʊ ɮ s a t
улсгүй	ʊ ɮ s k u i̯
улстай	ʊ ɮ s tʰ ɛː
улсууд	ʊ ɮ s ʊː t
улсуудаар	ʊ ɮ s ʊː t aː r̥
улсуудаас	ʊ ɮ s ʊː t aː s
улсуудад	ʊ ɮ s ʊː t a t
улсуудгүй	ʊ ɮ s ʊː t k u i̯
улсуудтай	ʊ ɮ s ʊː t tʰ ɛː
улсуудыг	ʊ ɮ s ʊː t i k
улсуудын	ʊ ɮ s ʊː t i ŋ
улсыг	ʊ ɮ s i k
унах	ʊ n ə x
унгарчууд	ʊ ŋ k a r̥ t͡ɕʰ ʊː t
унгах	ʊ ŋ k a x
унтах	ʊ n tʰ a x
унтраах	ʊ n tʰ r aː x
унтрах	ʊ n tʰ r a x
унших	ʊ n ʃ ə x
урвагч	ʊ r w̜ a ɡ t͡ʃʰ
урвах	ʊ r w ə x
урлаг	ʊ r ɮ a k
уруул	ʊ r ʊ ɮ
урчууд	ʊ r̥ t͡ɕʰ ʊː t
урчуудын	ʊ r̥ t͡ɕʰ ʊː t i ŋ
ус	ʊ s
ус	ʊ s ʊ
усаа	ʊ s aː
усаар	ʊ s aː r̥
усаараа	ʊ s aː r aː
усан	ʊ s a ŋ
усанд	ʊ s a n t
усандаа	ʊ s a n t aː
усандаас	ʊ s a n t aː s
усандаасаа	ʊ s a n t aː s aː
усгүй	ʊ s k u i̯
усгүйгээ	ʊ s k u i̯ ɣ eː
уснаас	ʊ s n aː s
уснаасаа	ʊ s n aː s aː
уснууд	ʊ s n ʊː t
уснуудаа	ʊ s n ʊː t aː
уснуудаар	ʊ s n ʊː t aː r̥
уснуудаас	ʊ s n ʊː t aː s
уснуудад	ʊ s n ʊː t a t
уснуудгүй	ʊ s n ʊː t k u i̯
уснуудтай	ʊ s n ʊː t tʰ ɛː
уснуудыг	ʊ s n ʊː t i k
уснуудын	ʊ s n ʊː t i ŋ
уснуудынх	ʊ s n ʊː t i ŋ x
уснуудынхан	ʊ s n ʊː t i ŋ x a ŋ
усны	ʊ s n i
усных	ʊ s n i x
усныхаа	ʊ s n i x aː
усныхан	ʊ s n i x a ŋ
устай	ʊ s tʰ ɛː
устайгаа	ʊ s tʰ ɛː k aː
устөрөгч	ʊ s tʰ ɵ r ɵ k t͡ɕʰ
усыг	ʊ s i k
усыгаа	ʊ s i ɣ aː
утаа	ʊ tʰ a
утас	ʊ tʰ ə s
утга	ʊ tʰ ə ɢ
уу	ʊː
уул	ʊː l a
уулс	ʊː ɮ s
уур	ʊː r
уурга	ʊː r k
уурхай	ʊː r x a i
уух	ʊː χ
уучлаарай	ʊː t͡ɕʰ ɮ aː r ɛː
уушги	ʊː ʃ ə ɡʲ
учраас	ʊ t͡ɕʰ r aː s
уярах	ʊ j r ə x
ф	f
ф	pʰ
файл	f ɛː ɮ
факс	f a kʰ s
факсдах	f a kʰ s t a x
фашизм	f a ɕ i t͡s m
ферм	fʲ ɵ r m
философи	f i ɮ ɔ s ɔ f
фильм	f i ɮʲ m
фото	f ɔ tʰ
фотог	f ɔ tʰ ɔ k
фотогийн	f ɔ tʰ ɔ ɣ iː ŋ
фотогоор	f ɔ tʰ ɔ ɣ oː r̥
фотогоос	f ɔ tʰ ɔ ɣ oː s
фотогүй	f ɔ tʰ ɔ ɣ u i̯
фотод	f ɔ tʰ ɔ t
фототой	f ɔ tʰ ɔ tʰ ɔ i̯
франц	f r äˑ n t͜sʰ
францчууд	f r a n t͡sʰ t͡ɕʰ ʊː t
фронт	f r ɔˑ n tʰ
фронт	pʰ r ɔˑ n tʰ
функц	f ʊ ŋ kʰ t͡sʰ
футболк	f ʊ tʰ p ɔ ɮ kʰ
х	x
ха	x a
хаад	x aː t
хаадаа	x aː t aː
хаадаар	x aː t aː r̥
хаадаараа	x aː t aː r aː
хаадаас	x aː t aː s
хаадаасаа	x aː t aː s aː
хаадад	x aː t a t
хаадгүй	x aː t k u i̯
хаадгүйгээ	x aː t k u i̯ ɣ eː
хааддаа	x aː t͉ t aː
хаадтай	x aː t tʰ ɛː
хаадтайгаа	x aː t tʰ ɛː k aː
хаадыг	x aː t i k
хаадыгаа	x aː t i ɣ aː
хаадын	x aː t i ŋ
хаадынд	x aː t i n t
хаадындаа	x aː t i n t aː
хаадынх	x aː t i ŋ x
хаадынхаа	x aː t i ŋ x aː
хаадынхан	x aː t i ŋ x a ŋ
хаалга	x aː ɮ ə ɢ
хаалт	x aː ɮ tʰ
хаанаа	x aː n aː
хаанаар	x aː n aː r̥
хаанаараа	x aː n aː r aː
хаанаасаа	x aː n aː s aː
хаангүй	x aː ŋ k u i̯
хаангүйгээ	x aː ŋ k u i̯ ɣ eː
хаанд	x aː n t
хаандаа	x aː n t aː
хаантай	x aː n tʰ ɛː
хаантайгаа	x aː n tʰ ɛː k aː
хааны	x aː n i
хааныг	x aː n i k
хааныгаа	x aː n i ɣ aː
хааныд	x aː n i t
хааныдаа	x aː n i t aː
хааных	x aː n i x
хааныхаа	x aː n i x aː
хааныхан	x aː n i x a ŋ
хаах	x aː x
хавар	x a w̜ ə r̥
хавирга	x a wʲ r ə ɢ
хависгана	x a w̜ i s k a n
хавч	x a w t͡ɕʰ
хавчих	x a w t͡ɕʰ ə x
хаг	x a ɡ
хага	x a ɢ
хагарах	x a ɢ r ə x
хагас	x a ɣ a s
хад	x a t
хадаас	x a t aː s
хадаг	x a t ə ɡ
хадуур	x a t ʊ r
хазаар	x a t͡s a r
хазах	x a t͡s ə x
хайлмаг	x a i ɮ m ə ɡ
хайнаг	x a i n ə ɡ
хайр	χ æː r
хайрлах	x a i r ɮ ə x
хайх	x ɛː x
хайч	χ æː t͡ʃʰ
хайчлах	χ æː t͡ʃʰ ɮ ə χ
халаад	x a ɮ a t
халдах	x a ɮ t a x
халдваргүй	χ a ɮ t w ə̠ r ɡ ʉ͜i
халдваргүйжил	x a ɮ t w̜ a r k u i̯ d͡ʑ i ɮ
халдваргүйжих	x a ɮ t w̜ a r k u i̯ d͡ʑ i x
халдваргүйжүүлэгч	x a ɮ t w̜ a r k u i̯ d͡ʑ uː ɮ e k t͡ɕʰ
халдваргүйжүүлэл	x a ɮ t w̜ a r k u i̯ d͡ʑ uː ɮ e ɮ
халдварт	χ a ɮ t w ə̠ r tʰ
халим	x a ɮ i m
халуун	x a ɮ ʊː ŋ
хамба	x a m p
хамбургер	x a m p ʊ r kʲ ɵ r̥
хамгаалах	x a m k aː ɮ a x
хамт	x a m tʰ
хамтрах	x a m tʰ r a x
хан	χ ä ŋ
хана	χ ä n
ханан	x a n a ŋ
ханз	x a n t͡s
ханзан	x a n t͡s a ŋ
ханхай	x a ŋ x ɛː
ханхайг	x a ŋ x ɛː k
ханхайгаар	x a ŋ x ɛː k aː r̥
ханхайгаас	x a ŋ x ɛː k aː s
ханхайгүй	x a ŋ x ɛː k u i̯
ханхайд	x a ŋ x ɛː t
ханхайн	x a ŋ x ɛː ŋ
ханхайнууд	x a ŋ x ɛː n ʊː t
ханхайнуудаар	x a ŋ x ɛː n ʊː t aː r̥
ханхайнуудаас	x a ŋ x ɛː n ʊː t aː s
ханхайнуудад	x a ŋ x ɛː n ʊː t a t
ханхайнуудгүй	x a ŋ x ɛː n ʊː t k u i̯
ханхайнуудтай	x a ŋ x ɛː n ʊː t tʰ ɛː
ханхайнуудыг	x a ŋ x ɛː n ʊː t i k
ханхайнуудын	x a ŋ x ɛː n ʊː t i ŋ
ханхайнуудынх	x a ŋ x ɛː n ʊː t i ŋ x
ханхайнуудынхан	x a ŋ x ɛː n ʊː t i ŋ x a ŋ
ханхайнх	x a ŋ x ɛː ŋ x
ханхайнхан	x a ŋ x ɛː ŋ x a ŋ
ханхайтай	x a ŋ x ɛː tʰ ɛː
ханш	x a n ɕ
хараацай	x a r aː t͡sʰ a ɪ
харайх	x a r ɛː x
харандаа	x a r ə n t a
харах	x a r a x
харваа	x a r w a
харваач	x a r w a t͡ɕʰ
харгана	x a r ɢ ə n
харин	x a rʲ ə ŋ
хариуцах	x a r i̯ ʊː t͡sʰ a x
хариуцлага	x a r i̯ ʊː t͡sʰ ɮ a ɢ
харьяа	x a rʲ j aː
харьяалах	x a r j aː ɮ a x
хас	χ a s
хасаг	x ɐ s ɐ k
хатмал	x a tʰ m ə ɮ
хахууль	x a x ʊ ɮʲ
хачиртай	x a t͡ɕʰ i r̥ tʰ ɛː
хашилт	χ ä ʃ ĭ ɮ tʰ
хаялах	x a j ɮ ə x
хаях	x a j ə x
хиа	x i̯ aː
хиам	xʲ aː m
хижээл	x i t͡ɕ e ɮ
хий	x iː
хиймэл	x iː m ə ɮ
хил	x i ɮ
хими	x iː m
хирс	x i r s
хог	x ɔ k
хойг	x ɔ i̯ k
хойд	χ œː tʰ
хоймсон	x ɔ i̯ m s ɔ ŋ
хойно	x ɔ i n
хол	χ ɔ ɬ
холбоо	χ ɔ ɮ p ɔː
холтос	x ɔ ɮ tʰ ə s
холтосгүй	x ɔ ɮ tʰ ɔ s k u i̯
холтосгүйгээ	x ɔ ɮ tʰ ɔ s k u i̯ ɣ eː
холтосноос	x ɔ ɮ tʰ ɔ s n oː s
холтосноосоо	x ɔ ɮ tʰ ɔ s n oː s oː
холтоснууд	x ɔ ɮ tʰ ɔ s n ʊː t
холтоснуудаа	x ɔ ɮ tʰ ɔ s n ʊː t aː
холтоснуудаар	x ɔ ɮ tʰ ɔ s n ʊː t aː r̥
холтоснуудаараа	x ɔ ɮ tʰ ɔ s n ʊː t aː r aː
холтоснуудаас	x ɔ ɮ tʰ ɔ s n ʊː t aː s
холтоснуудаасаа	x ɔ ɮ tʰ ɔ s n ʊː t aː s aː
холтоснуудад	x ɔ ɮ tʰ ɔ s n ʊː t a t
холтоснуудгүй	x ɔ ɮ tʰ ɔ s n ʊː t k u i̯
холтоснуудгүйгээ	x ɔ ɮ tʰ ɔ s n ʊː t k u i̯ ɣ eː
холтоснууддаа	x ɔ ɮ tʰ ɔ s n ʊː t͉ t aː
холтоснуудтай	x ɔ ɮ tʰ ɔ s n ʊː t tʰ ɛː
холтоснуудтайгаа	x ɔ ɮ tʰ ɔ s n ʊː t tʰ ɛː k aː
холтоснуудыг	x ɔ ɮ tʰ ɔ s n ʊː t i k
холтоснуудыгаа	x ɔ ɮ tʰ ɔ s n ʊː t i ɣ aː
холтоснуудын	x ɔ ɮ tʰ ɔ s n ʊː t i ŋ
холтоснуудынх	x ɔ ɮ tʰ ɔ s n ʊː t i ŋ x
холтоснуудынхаа	x ɔ ɮ tʰ ɔ s n ʊː t i ŋ x aː
холтоснуудынхан	x ɔ ɮ tʰ ɔ s n ʊː t i ŋ x a ŋ
холтосны	x ɔ ɮ tʰ ɔ s n i
холтосных	x ɔ ɮ tʰ ɔ s n i x
холтосныхон	x ɔ ɮ tʰ ɔ s n i x ɔ ŋ
холтосныхоо	x ɔ ɮ tʰ ɔ s n i x oː
холтостой	x ɔ ɮ tʰ ɔ s tʰ ɔ i̯
холтостойгоо	x ɔ ɮ tʰ ɔ s tʰ ɔ i̯ ɣ oː
холтсон	x ɔ ɮ tʰ s ɔ ŋ
холтсонд	x ɔ ɮ tʰ s ɔ n t
холтсондоо	x ɔ ɮ tʰ s ɔ n t oː
холтсоо	x ɔ ɮ tʰ s oː
холтсоор	x ɔ ɮ tʰ s oː r̥
холтсоороо	x ɔ ɮ tʰ s oː r oː
холтсыг	x ɔ ɮ tʰ s i k
холтсыгоо	x ɔ ɮ tʰ s i ɣ oː
хонох	x ɔ n ɔ x
хонуурь	x ɔ n ʊː rʲ
хонь	x ɔ nʲ
хоньчин	x ɔ nʲ t͡ʃʰ i ŋ
хоо	x oː
хоол	x ɔː ɮ
хорвоо	x ɔ r w ɔ
хордох	x ɔ r t ə x
хорсох	x ɔ r s ə x
хорхой	x ɔ r x ɔ i̯
хос	x ɔ s
хот	x ɔ tʰ
хотон	χ ɔ tʰ o ŋ
хотууд	x ɔ tʰ ʊː t
хотын	x ɔ tʰ i ŋ
хошного	x ɔ ʃ n ə ɢ
хошууч	x ɔ ɕ ʊː t͡ɕʰ
хоёр	χ ɔ j ʊ r
хоёрдогч	x ɔ j ɔ r t ɔ k t͡ɕʰ
хоёрдугаар	x ɔ j ɔ r t ʊ ɣ aː r̥
хуанли	x ʊ a ŋ ɮ i
хуваарь	x ʊ w̜ aː rʲ
хуванцар	x ʊ w̜ ə n t͡s ə r
хувилбар	x ʊ wʲ ə ɮ p ə r
хувсьгал	x ʊ w̜ sʲ k a ɮ
хувцас	x ʊ w t͡sʰ ə s
хувь	x ʊ wʲ
хугацаа	x ʊ ɢ t͡sʰ a
худ	x ʊ t
худал	x ʊ t ə ɮ
худалдах	x ʊ t ə ɮ t ə x
худалч	x ʊ t ə ɮ t͡ɕʰ
хударга	x ʊ t r ə ɢ
хужаа	x ʊ d͡ʑ aː
хуй	x ʊ i
хуйцаа	x ʊ i̯ t͡sʰ aː
хулгайлах	x ʊ ɮ k ɛː ɮ a x
хулгана	x ʊ ɮ ɢ ə n
хулуу	x ʊ ɮ ʊː
хулхи	x ʊ ɮ xʲ
хумс	x ʊ m s
хун	x ʊ n
хураамж	x ʊ r aː m t͡ɕ
хураангуй	x ʊ r aː ŋ k ʊ i̯
хурал	x ʊ r ə ɮ
хурандаа	x ʊ r a n t aː
хурга	x ʊ r ə ɢ
хурган	x ʊ r k a ŋ
хурим	x ʊ rʲ ə m
хурма	x ʊ r m
хуруу	x ʊ r ʊ
хуруувч	x ʊ r ʊ w t͡ɕʰ
хурхирах	x ʊ rʲ xʲ ə r ə x
хусах	x ʊ s ə x
хутга	x ʊ tʰ ə ɢ
хутгалдах	x ʊ t ɢ a ɮ t a x
хуудас	x ʊː t a s
хууль	x ʊː ɮʲ
хуульч	x ʊː ɬʲ t͡ʃʰ
хуульчлах	x ʊː ɬʲ t͡ʃʰ ɬ a x
хуур	x ʊː r̥
хуурах	x ʊː r ə x
хуурга	x ʊː r ə ɢ
хуушуур	x ʊː ʃ ʊ r
хэбид	x e β i t
хэвэл	x e v e ɮ
хэдэрлэх	x e t ə r ɮ ə x
хэзээ	x e t͡s eː
хэл	x e ɮ
хэл	x ə l
хэлэлцэх	x i ɮ ə ɮ t͡sʰ ə x
хэлэх	x i ɮ ə x
хэм	x e m
хэмжээ	x i m t͡ɕ e
хэн	x e ŋ
хэрэг	k e r e ɡ
хэрэг	x i r ə ɡ
хэрэглэгдэх	x i r ə ɡ ɮ ə ɡ t ə
хэрэглэгдэхүүн	x e r e k ɮ e k t e x uː ŋ
хэрэглэл	x i r ə ɡ ɮ ə ɮ
хэрэглэх	k e r e ɡ l e x ʉ
хэрэглэх	x i r ə ɡ ɮ ə x
хэрэглээ	x i r ə ɡ ɮ e
хэрэглүүр	x i r ə ɡ ɮ u r
хэрэгтэй	x i r ə ɡ tʰ e
хэрэлдэх	x e r e ɮ t e x
хэрүүл	x i r u ɮ
хэтэвч	x e tʰ ə w t͡ɕʰ
хэхрэх	x e x r e x
хээр	x eː r
хязаалан	xʲ a t͡s aː ɮ a ŋ
хялгас	xʲ a ɮ ʁ a s
хяргах	xʲ a r ɢ ə x
хярс	xʲ a r s
хяруу	xʲ a r ʊː
хүзүү	x u t͡s u
хүлэх	x u ɮ ə x
хүмүүн	x u m uː ŋ
хүмүүнгүй	x u m uː ŋ k u i̯
хүмүүнгүйгээ	x u m uː ŋ k u i̯ ɣ eː
хүмүүнд	x u m uː n t
хүмүүндээ	x u m uː n t eː
хүмүүний	x u m uː n iː
хүмүүнийг	x u m uː n iː k
хүмүүнийгээ	x u m uː n iː k eː
хүмүүнийх	x u m uː n iː x
хүмүүнийхэн	x u m uː n iː x e ŋ
хүмүүнийхээ	x u m uː n iː x eː
хүмүүнтэй	x u m uː n tʰ e i̯
хүмүүнтэйгээ	x u m uː n tʰ e i̯ ɣ eː
хүмүүнээ	x u m uː n eː
хүмүүнээр	x u m uː n eː r̥
хүмүүнээрээ	x u m uː n eː r eː
хүмүүнээс	x u m uː n eː s
хүмүүнээсээ	x u m uː n eː s eː
хүмүүс	x u m uː s
хүмүүсгүй	x u m uː s k u i̯
хүмүүсгүйгээ	x u m uː s k u i̯ ɣ eː
хүмүүсийг	x u m uː s iː k
хүмүүсийгээ	x u m uː s iː k eː
хүмүүсийн	x u m uː s iː ŋ
хүмүүсийнх	x u m uː s iː ŋ x
хүмүүсийнхэн	x u m uː s iː ŋ x e ŋ
хүмүүсийнхээ	x u m uː s iː ŋ x eː
хүмүүст	x u m uː s tʰ
хүмүүстэй	x u m uː s tʰ e i̯
хүмүүстэйгээ	x u m uː s tʰ e i̯ ɣ eː
хүмүүстээ	x u m uː s tʰ eː
хүмүүсээ	x u m uː s eː
хүмүүсээр	x u m uː s eː r̥
хүмүүсээрээ	x u m uː s eː r eː
хүмүүсээс	x u m uː s eː s
хүмүүсээсээ	x u m uː s eː s eː
хүнгүй	x u ŋ k u i̯
хүнгүйгээ	x u ŋ k u i̯ ɣ eː
хүнд	x u n t
хүндрэл	x u n t r e ɮ
хүндээ	x u n t eː
хүний	x u n iː
хүнийг	x u n iː k
хүнийгээ	x u n iː k eː
хүнийх	x u n iː x
хүнийхэн	x u n iː x e ŋ
хүнийхээ	x u n iː x eː
хүнс	x u n s
хүнтэй	x u n tʰ e i̯
хүнтэйгээ	x u n tʰ e i̯ ɣ eː
хүнцэл	x u n t͡sʰ e ɮ
хүнээ	x u n eː
хүнээр	x u n eː r̥
хүнээрээ	x u n eː r eː
хүнээс	x u n eː s
хүнээсээ	x u n eː s eː
хүрз	x u r t s
хүрхрээ	x u r x r e
хүрэл	x u r ə ɮ
хүрэлзгэнэ	x u r ə ɮ t͡s ɡ ə n
хүрэлцэх	x u r e ɮ t͡sʰ e x
хүсэх	x u s ə x
хүч	x u t͡ɕʰ
хүчилтөрөгч	x u t͡ʃʰ ɪ ɮ tʰ ɵ r ɵ ɡ t͡ʃʰ
хүү	x uː
хүүгэд	x uː x ə t
хүүхэд	x uː x ə t
хүүхэлдэй	x uː x ə ɮ t e
хөвгүүд	x ɵ w̜ k uː t
хөвгүүдгүй	x ɵ w̜ k uː t k u i̯
хөвгүүдгүйгээ	x ɵ w̜ k uː t k u i̯ ɣ eː
хөвгүүддээ	x ɵ w̜ k uː t͉ t eː
хөвгүүдийг	x ɵ w̜ k uː t iː k
хөвгүүдийгээ	x ɵ w̜ k uː t iː k eː
хөвгүүдийн	x ɵ w̜ k uː t iː ŋ
хөвгүүдийнх	x ɵ w̜ k uː t iː ŋ x
хөвгүүдийнхэн	x ɵ w̜ k uː t iː ŋ x e ŋ
хөвгүүдийнхээ	x ɵ w̜ k uː t iː ŋ x eː
хөвгүүдтэй	x ɵ w̜ k uː t tʰ e i̯
хөвгүүдтэйгээ	x ɵ w̜ k uː t tʰ e i̯ ɣ eː
хөвгүүдэд	x ɵ w̜ k uː t e t
хөвгүүдээ	x ɵ w̜ k uː t eː
хөвгүүдээр	x ɵ w̜ k uː t eː r̥
хөвгүүдээрээ	x ɵ w̜ k uː t eː r eː
хөвгүүдээс	x ɵ w̜ k uː t eː s
хөвгүүдээсээ	x ɵ w̜ k uː t eː s eː
хөвгүүн	x ɵ w̜ k uː ŋ
хөвгүүнгүй	x ɵ w̜ k uː ŋ k u i̯
хөвгүүнгүйгээ	x ɵ w̜ k uː ŋ k u i̯ ɣ eː
хөвгүүнд	x ɵ w̜ k uː n t
хөвгүүндээ	x ɵ w̜ k uː n t eː
хөвгүүний	x ɵ w̜ k uː n iː
хөвгүүнийг	x ɵ w̜ k uː n iː k
хөвгүүнийгээ	x ɵ w̜ k uː n iː k eː
хөвгүүнийх	x ɵ w̜ k uː n iː x
хөвгүүнийхэн	x ɵ w̜ k uː n iː x e ŋ
хөвгүүнийхээ	x ɵ w̜ k uː n iː x eː
хөвгүүнтэй	x ɵ w̜ k uː n tʰ e i̯
хөвгүүнтэйгээ	x ɵ w̜ k uː n tʰ e i̯ ɣ eː
хөвгүүнээ	x ɵ w̜ k uː n eː
хөвгүүнээр	x ɵ w̜ k uː n eː r̥
хөвгүүнээрээ	x ɵ w̜ k uː n eː r eː
хөвгүүнээс	x ɵ w̜ k uː n eː s
хөвгүүнээсээ	x ɵ w̜ k uː n eː s eː
хөвүүн	x ɵ w̜ ɡ uː ŋ
хөгжим	x ɵ k t͡ɕ i m
хөгжимчин	x o ɡ t͡ɕ ə m t͡ɕʰ ə ŋ
хөдлөх	x o t ɮ ə x
хөдөлмөр	x ɵ t ɵ ɮ m ɵ r
хөлдөх	x ɵ ɮ t ɵ x
хөлдөөгч	x o ɮ t o ɡ t͡ɕʰ
хөлдөөх	x ɵ ɮ t ɵː x
хөмрүүлэх	x o m r u ɮ ə x
хөмрөх	x o m r ə x
хөмүүн	x ɵ m uː ŋ
хөндий	x o n t i
хөнжил	x ɵ n t͡ɕ ə ɮ
хөнөг	x o n ə ɡ
хөргүүр	x ɵ r k uː r̥
хөргөгч	x ɵ r k ɵ k t͡ɕʰ
хөрс	x o r s
хөрш	x o r ʃ
хөрөө	x o r o
хөх	x ɵ x
хөхүүр	x o x u r
хөхөн	x ɵ x ɵ ŋ
хөхөх	x ɵ x ɵ x
хөших	x ɵ ɕ i x
хөөе	x ɵː j
хөөмий	x ɵː m iː
хөөрөг	x oː r ə ɡ
ц	t͡sʰ
цаасан	t͡sʰ aː s ə ŋ
цавуу	t͡sʰ a w ʊ
цаг	t͜sʰ ä k̠
цагаан	t͡s a ɢ aː ŋ
цаглабар	t͡sʰ a k ɮ a β a r̥
цадиг	t͡sʰ a tʲ ə ɡ
цайг	t͡sʰ ɛː k
цайгаар	t͡sʰ ɛː k aː r̥
цайгүй	t͡sʰ ɛː k u i̯
цайллага	t͡sʰ a i ɮ ɮ ə ɢ
цайн	t͡sʰ ɛː ŋ
цайнаас	t͡sʰ ɛː n aː s
цайнд	t͡sʰ ɛː n t
цайнууд	t͡sʰ ɛː n ʊː t
цайнуудаар	t͡sʰ ɛː n ʊː t aː r̥
цайнуудаас	t͡sʰ ɛː n ʊː t aː s
цайнуудад	t͡sʰ ɛː n ʊː t a t
цайнуудгүй	t͡sʰ ɛː n ʊː t k u i̯
цайнуудтай	t͡sʰ ɛː n ʊː t tʰ ɛː
цайнуудыг	t͡sʰ ɛː n ʊː t i k
цайнуудын	t͡sʰ ɛː n ʊː t i ŋ
цайнуудынх	t͡sʰ ɛː n ʊː t i ŋ x
цайнуудынхан	t͡sʰ ɛː n ʊː t i ŋ x a ŋ
цайр	t͡sʰ a i r
цайтай	t͡sʰ ɛː tʰ ɛː
цамц	t͡sʰ a m t͡sʰ
цангаа	t͡sʰ a ŋ ɢ a
цангах	t͡sʰ a ŋ ɢ ə x
царс	t͡sʰ a r s
цас	t͡sʰ a s
цас	t͡ʃʰ ɐ s
цахилгаан	t͡sʰ a x i ɮ k aː ŋ
