А	a
абонатка	ɐ b o n a t k ɐ
абонатът	a b o n a t ɐ t
абонирам	ɐ b o n i r ɐ m
абониране	a b o n i r ɐ n ɛ
абонирането	a b o n i r ɐ n ɛ t o
абонирания	a b o n i r ɐ n i j ɐ
абониранията	a b o n i r ɐ n i j ɐ t ɐ
абордаж	ɐ b o r d a ʃ
абориген	ɐ b o r i ɡ ɛ n
аборигена	a b o r i ɡ ɛ n ɐ
аборигене	a b o r i ɡ ɛ n ɛ
аборигени	a b o r i ɡ ɛ n i
аборигените	a b o r i ɡ ɛ n i t ɛ
аборигенка	a b o r i ɡ ɛ ŋ k ɐ
аборигенката	a b o r i ɡ ɛ ŋ k ɐ t ɐ
аборигенки	a b o r i ɡ ɛ ŋ k i
аборигенките	a b o r i ɡ ɛ ŋ k i t ɛ
аборигенко	a b o r i ɡ ɛ ŋ k o
аборигенска	a b o r i ɡ ɛ n s k ɐ
аборигенската	a b o r i ɡ ɛ n s k ɐ t ɐ
аборигенски	a b o r i ɡ ɛ n s k i
аборигенските	a b o r i ɡ ɛ n s k i t ɛ
аборигенския	a b o r i ɡ ɛ n s k i j ɐ
аборигенският	a b o r i ɡ ɛ n s k i j ɐ t
аборигенско	a b o r i ɡ ɛ n s k o
аборигенското	a b o r i ɡ ɛ n s k o t o
аборигенче	a b o r i ɡ ɛ n t͡ʃ ɛ
аборигенчета	a b o r i ɡ ɛ n t͡ʃ ɛ t ɐ
аборигенчетата	a b o r i ɡ ɛ n t͡ʃ ɛ t ɐ t ɐ
аборигенчето	a b o r i ɡ ɛ n t͡ʃ ɛ t o
аборигенът	a b o r i ɡ ɛ n ɐ t
аборт	ɐ b ɔ r t
абортивен	ɐ b o r t i v ɛ n
абортирам	ɐ b ɔ r t i r ɐ m
абортиране	a b o r t i r ɐ n ɛ
абортирането	a b o r t i r ɐ n ɛ t o
абортирания	a b o r t i r ɐ n i j ɐ
абортиранията	a b o r t i r ɐ n i j ɐ t ɐ
абразив	ɐ b r ɐ z i f
абразивен	ɐ b r ɐ z i v ɛ n
абразивна	a b r ɐ z i v n ɐ
абразивната	a b r ɐ z i v n ɐ t ɐ
абразивни	a b r ɐ z i v n i
абразивните	a b r ɐ z i v n i t ɛ
абразивния	a b r ɐ z i v n i j ɐ
абразивният	a b r ɐ z i v n i j ɐ t
абразивно	a b r ɐ z i v n o
абразивното	a b r ɐ z i v n o t o
абразии	a b r a z i i
абразиите	a b r a z i i t ɛ
абразийо	a b r a z i j o̟
абразия	a b r a z i j ɐ
абразията	a b r a z i j ɐ t ɐ
абраш	ɐ b r a ʃ
абревиатура	a b r ɛ v i ɐ t u r ɐ
абревиатурата	a b r ɛ v i ɐ t u r ɐ t ɐ
абревиатури	a b r ɛ v i ɐ t u r i
абревиатурите	a b r ɛ v i ɐ t u r i t ɛ
абревиатуро	a b r ɛ v i ɐ t u r o
абревиационен	ɐ b r ɛ v i ɐ t͡s i ɔ n ɛ n
абревиация	ɐ b r ɛ v i a t͡s i j ɐ
абрихт	a b r i x t
абсент	ɐ p s ɛ n t
абсолвент	ɐ p s o ɫ v ɛ n t
абсолвента	a p s o ɫ v ɛ n t ɐ
абсолвенте	a p s o ɫ v ɛ n t ɛ
абсолвенти	a p s o ɫ v ɛ n t i
абсолвентите	a p s o ɫ v ɛ n t i t ɛ
абсолвентка	a p s o ɫ v ɛ n t k ɐ
абсолвентката	a p s o ɫ v ɛ n t k ɐ t ɐ
абсолвентки	a p s o ɫ v ɛ n t k i
абсолвентките	a p s o ɫ v ɛ n t k i t ɛ
абсолвентко	a p s o ɫ v ɛ n t k o
абсолвентска	a p s o ɫ v ɛ n t s k ɐ
абсолвентската	a p s o ɫ v ɛ n t s k ɐ t ɐ
абсолвентски	a p s o ɫ v ɛ n t s k i
абсолвентските	a p s o ɫ v ɛ n t s k i t ɛ
абсолвентския	a p s o ɫ v ɛ n t s k i j ɐ
абсолвентският	a p s o ɫ v ɛ n t s k i j ɐ t
абсолвентско	a p s o ɫ v ɛ n t s k o
абсолвентското	a p s o ɫ v ɛ n t s k o t o
абсолвентът	a p s o ɫ v ɛ n t ɐ t
абсолвирам	ɐ p s o ɫ v i r ɐ m
абсолют	ɐ p s o lʲ u̟ t
абсолютен	ɐ p s o lʲ u̟ t ɛ n
абсолютизиране	a p s o lʲ o̟ t i z i r ɐ n ɛ
абсолютизирането	a p s o lʲ o̟ t i z i r ɐ n ɛ t o
абсолютизирания	a p s o lʲ o̟ t i z i r ɐ n i j ɐ
абсолютизиранията	a p s o lʲ o̟ t i z i r ɐ n i j ɐ t ɐ
абсолютизъм	ɐ p s o lʲ o̟ t i z ɐ m
абсолютна	a p s o lʲ u̟ t n ɐ
абсолютната	a p s o lʲ u̟ t n ɐ t ɐ
абсолютни	a p s o lʲ u̟ t n i
абсолютните	a p s o lʲ u̟ t n i t ɛ
абсолютния	a p s o lʲ u̟ t n i j ɐ
абсолютният	a p s o lʲ u̟ t n i j ɐ t
абсолютно	ɐ p s o lʲ u̟ t n o
абсолютност	ɐ p s o lʲ u̟ t n o s t
абсолютното	a p s o lʲ u̟ t n o t o
абсорбент	ɐ p s o r b ɛ n t
абсорбер	ɐ p s ɔ r b ɛ r
абсорбира	a p s o r b i r ɐ
абсорбирай	a p s o r b i r ɐ j
абсорбирайки	a p s o r b i r ɐ j k i
абсорбирайте	a p s o r b i r ɐ j t ɛ
абсорбирал	a p s o r b i r ɐ ɫ
абсорбирала	a p s o r b i r ɐ ɫ ɐ
абсорбиралата	a p s o r b i r ɐ ɫ ɐ t ɐ
абсорбирали	a p s o r b i r ɐ l i
абсорбиралите	a p s o r b i r ɐ l i t ɛ
абсорбиралия	a p s o r b i r ɐ l i j ɐ
абсорбиралият	a p s o r b i r ɐ l i j ɐ t
абсорбирало	a p s o r b i r ɐ ɫ o
абсорбиралото	a p s o r b i r ɐ ɫ o t o
абсорбирам	ɐ p s o r b i r ɐ m
абсорбираме	a p s o r b i r ɐ m ɛ
абсорбиран	a p s o r b i r ɐ n
абсорбирана	a p s o r b i r ɐ n ɐ
абсорбираната	a p s o r b i r ɐ n ɐ t ɐ
абсорбиране	ɐ p s o r b i r ɐ n ɛ
абсорбиранета	a p s o r b i r ɐ n ɛ t ɐ
абсорбиранетата	a p s o r b i r ɐ n ɛ t ɐ t ɐ
абсорбирани	a p s o r b i r ɐ n i
абсорбираните	a p s o r b i r ɐ n i t ɛ
абсорбирания	ɐ p s o r b i r ɐ n i j ɐ
абсорбираният	a p s o r b i r ɐ n i j ɐ t
абсорбирано	a p s o r b i r ɐ n o
абсорбираното	a p s o r b i r ɐ n o t o
абсорбират	a p s o r b i r ɐ t
абсорбирате	a p s o r b i r ɐ t ɛ
абсорбирах	a p s o r b i r ɐ x
абсорбираха	a p s o r b i r ɐ x ɐ
абсорбирахме	a p s o r b i r ɐ x m ɛ
абсорбирахте	a p s o r b i r ɐ x t ɛ
абсорбираш	a p s o r b i r ɐ ʃ
абсорбираше	a p s o r b i r ɐ ʃ ɛ
абсорбиращ	a p s o r b i r ɐ ʃ t
абсорбираща	a p s o r b i r ɐ ʃ t ɐ
абсорбиращата	a p s o r b i r ɐ ʃ t ɐ t ɐ
абсорбиращи	a p s o r b i r ɐ ʃ t i
абсорбиращите	a p s o r b i r ɐ ʃ t i t ɛ
абсорбиращия	a p s o r b i r ɐ ʃ t i j ɐ
абсорбиращият	a p s o r b i r ɐ ʃ t i j ɐ t
абсорбиращо	a p s o r b i r ɐ ʃ t o
абсорбиращото	a p s o r b i r ɐ ʃ t o t o
абсорбция	ɐ p s ɔ r p t͡s i j ɐ
абстрактен	ɐ p s t r a k t ɛ n
абстрактна	a p s t r a k t n ɐ
абстрактната	a p s t r a k t n ɐ t ɐ
абстрактни	a p s t r a k t n i
абстрактните	a p s t r a k t n i t ɛ
абстрактния	a p s t r a k t n i j ɐ
абстрактният	a p s t r a k t n i j ɐ t
абстрактно	a p s t r a k t n o
абстрактност	ɐ p s t r a k t n o s t
абстрактното	a p s t r a k t n o t o
абстракционизъм	ɐ p s t r ɐ k t͡s i o n i z ɐ m
абстракционист	ɐ p s t r ɐ k t͡s i o n i s t
абстракционистичен	ɐ p s t r ɐ k t͡s i o n i s t i t͡ʃ ɛ n
абстракционистка	ɐ p s t r ɐ k t͡s i o n i s t
абстракционистки	ɐ p s t r ɐ k t͡s i o n i s k i
абстракция	ɐ p s t r a k t͡s i j ɐ
абстрахирам	ɐ p s t r ɐ x i r ɐ m
абсурд	ɐ p s u r t
абсурден	ɐ p s u r d ɛ n
абсурдна	a p s u r d n ɐ
абсурдната	a p s u r d n ɐ t ɐ
абсурдни	a p s u r d n i
абсурдните	a p s u r d n i t ɛ
абсурдния	a p s u r d n i j ɐ
абсурдният	a p s u r d n i j ɐ t
абсурдно	a p s u r d n o
абсурдност	ɐ p s u r d n o s t
абсурдното	a p s u r d n o t o
абсцес	ɐ p s t͡s ɛ s
абсциса	ɐ p s t͡s i s ɐ
абсцисен	ɐ p s t͡s i s ɛ n
абуд	a b o t
абуд	ɐ b u t
абхазка	a p x a s k ɐ
абхазката	a p x a s k ɐ t ɐ
абхазки	a p x a s k i
абхазките	a p x a s k i t ɛ
абхазкия	a p x a s k i j ɐ
абхазкият	a p x a s k i j ɐ t
абхазко	a p x a s k o
абхазкото	a p x a s k o t o
абъд	a b ɐ t
абъд	ɐ b ɤ t
авангард	ɐ v ɐ ŋ ɡ a r t
авангарден	ɐ v ɐ ŋ ɡ a r d ɛ n
авангардизъм	ɐ v ɐ ŋ ɡ ɐ r d i z ɐ m
авангардист	ɐ v ɐ ŋ ɡ ɐ r d i s t
авангардистки	ɐ v ɐ ŋ ɡ ɐ r d i s k i
авангардна	a v ɐ ŋ ɡ a r d n ɐ
авангардната	a v ɐ ŋ ɡ a r d n ɐ t ɐ
авангардни	ɐ v ɐ ŋ ɡ a r d n i
авангардните	a v ɐ ŋ ɡ a r d n i t ɛ
авангардния	a v ɐ ŋ ɡ a r d n i j ɐ
авангардният	a v ɐ ŋ ɡ a r d n i j ɐ t
авангардно	a v ɐ ŋ ɡ a r d n o
авангардното	a v ɐ ŋ ɡ a r d n o t o
аванпост	ɐ v a n p ɔ s t
аванс	ɐ v a n s
авансира	a v ɐ n s i r ɐ
авансирай	a v ɐ n s i r ɐ j
авансирайки	a v ɐ n s i r ɐ j k i
авансирайте	a v ɐ n s i r ɐ j t ɛ
авансирал	a v ɐ n s i r ɐ ɫ
авансирала	a v ɐ n s i r ɐ ɫ ɐ
авансиралата	a v ɐ n s i r ɐ ɫ ɐ t ɐ
авансирали	a v ɐ n s i r ɐ l i
авансиралите	a v ɐ n s i r ɐ l i t ɛ
авансиралия	a v ɐ n s i r ɐ l i j ɐ
авансиралият	a v ɐ n s i r ɐ l i j ɐ t
авансирало	a v ɐ n s i r ɐ ɫ o
авансиралото	a v ɐ n s i r ɐ ɫ o t o
авансирам	a v ɐ n s i r ɐ m
авансираме	a v ɐ n s i r ɐ m ɛ
авансиран	a v ɐ n s i r ɐ n
авансирана	a v ɐ n s i r ɐ n ɐ
авансираната	a v ɐ n s i r ɐ n ɐ t ɐ
авансиране	a v ɐ n s i r ɐ n ɛ
авансиранета	a v ɐ n s i r ɐ n ɛ t ɐ
авансиранетата	a v ɐ n s i r ɐ n ɛ t ɐ t ɐ
авансирането	a v ɐ n s i r ɐ n ɛ t o
авансирани	a v ɐ n s i r ɐ n i
авансираните	a v ɐ n s i r ɐ n i t ɛ
авансирания	a v ɐ n s i r ɐ n i j ɐ
авансираният	a v ɐ n s i r ɐ n i j ɐ t
авансиранията	a v ɐ n s i r ɐ n i j ɐ t ɐ
авансирано	a v ɐ n s i r ɐ n o
авансираното	a v ɐ n s i r ɐ n o t o
авансират	a v ɐ n s i r ɐ t
авансирате	a v ɐ n s i r ɐ t ɛ
авансирах	a v ɐ n s i r ɐ x
авансираха	a v ɐ n s i r ɐ x ɐ
авансирахме	a v ɐ n s i r ɐ x m ɛ
авансирахте	a v ɐ n s i r ɐ x t ɛ
авансираш	a v ɐ n s i r ɐ ʃ
авансираше	a v ɐ n s i r ɐ ʃ ɛ
авансиращ	a v ɐ n s i r ɐ ʃ t
авансираща	a v ɐ n s i r ɐ ʃ t ɐ
авансиращата	a v ɐ n s i r ɐ ʃ t ɐ t ɐ
авансиращи	a v ɐ n s i r ɐ ʃ t i
авансиращите	a v ɐ n s i r ɐ ʃ t i t ɛ
авансиращия	a v ɐ n s i r ɐ ʃ t i j ɐ
авансиращият	a v ɐ n s i r ɐ ʃ t i j ɐ t
авансиращо	a v ɐ n s i r ɐ ʃ t o
авансиращото	a v ɐ n s i r ɐ ʃ t o t o
авансов	ɐ v a n s o f
авансова	a v a n s o v ɐ
авансовата	a v a n s o v ɐ t ɐ
авансови	a v a n s o v i
авансовите	a v a n s o v i t ɛ
авансовия	a v a n s o v i j ɐ
авансовият	a v a n s o v i j ɐ t
авансово	a v a n s o v o
авансовото	a v a n s o v o t o
авансцена	ɐ v a n s t͡s ɛ n ɐ
аванта	ɐ v a n t ɐ
авантаджийка	ɐ v ɐ n t ɐ d ʒ i j k ɐ
авантаджийски	ɐ v a n t ɐ d ʒ i j s k i
авантаджийство	ɐ v a n t ɐ d ʒ i j s t v o
авантаджия	ɐ v a n t ɐ d ʒ i j ɐ
авантаж	ɐ v ɐ n t a ʃ
авантюра	ɐ v ɐ n tʲ u̟ r ɐ
авантюрен	ɐ v ɐ n tʲ u̟ r ɛ n
авантюризъм	ɐ v ɐ n tʲ o̟ r i z ɐ m
авантюрист	ɐ v ɐ n tʲ o̟ r i s t
авантюристичен	ɐ v ɐ n tʲ o̟ r i s t i t͡ʃ ɛ n
авантюристически	ɐ v ɐ n tʲ o̟ r i s t i t͡ʃ ɛ s k i
авантюристична	a v ɐ n tʲ o̟ r i s t i t͡ʃ n ɐ
авантюристичната	a v ɐ n tʲ o̟ r i s t i t͡ʃ n ɐ t ɐ
авантюристични	a v ɐ n tʲ o̟ r i s t i t͡ʃ n i
авантюристичните	a v ɐ n tʲ o̟ r i s t i t͡ʃ n i t ɛ
авантюристичния	a v ɐ n tʲ o̟ r i s t i t͡ʃ n i j ɐ
авантюристичният	a v ɐ n tʲ o̟ r i s t i t͡ʃ n i j ɐ t
авантюристично	a v ɐ n tʲ o̟ r i s t i t͡ʃ n o
авантюристичното	a v ɐ n tʲ o̟ r i s t i t͡ʃ n o t o
авантюристка	ɐ v ɐ n tʲ o̟ r i s k ɐ
авар	ɐ v a r
авариен	a v ɐ r i ɛ n
аварийна	a v ɐ r i j n ɐ
аварийната	a v ɐ r i j n ɐ t ɐ
аварийни	a v ɐ r i j n i
аварийните	a v ɐ r i j n i t ɛ
аварийния	a v ɐ r i j n i j ɐ
аварийният	a v ɐ r i j n i j ɐ t
аварийно	a v ɐ r i j n o
аварийното	a v ɐ r i j n o t o
аварин	ɐ v a r i n
авария	ɐ v a r i j ɐ
аварка	ɐ v a r k ɐ
аварска	a v a r s k ɐ
аварската	a v a r s k ɐ t ɐ
аварски	a v a r s k i
аварските	a v a r s k i t ɛ
аварския	a v a r s k i j ɐ
аварският	a v a r s k i j ɐ t
аварско	a v a r s k o
аварското	a v a r s k o t o
авгиев	a v ɡ i ɛ f
авгиева	a v ɡ i ɛ v ɐ
авгиевата	a v ɡ i ɛ v ɐ t ɐ
авгиеви	a v ɡ i ɛ v i
авгиевите	a v ɡ i ɛ v i t ɛ
авгиевия	a v ɡ i ɛ v i j ɐ
авгиевият	a v ɡ i ɛ v i j ɐ t
авгиево	a v ɡ i ɛ v o
авгиевото	a v ɡ i ɛ v o t o
август	a v ɡ o s t
августейша	a v ɡ o s t ɛ j ʃ ɐ
августейшата	a v ɡ o s t ɛ j ʃ ɐ t ɐ
августейши	a v ɡ o s t ɛ j ʃ i
августейшите	a v ɡ o s t ɛ j ʃ i t ɛ
августейшия	a v ɡ o s t ɛ j ʃ i j ɐ
августейшият	a v ɡ o s t ɛ j ʃ i j ɐ t
августейшо	a v ɡ o s t ɛ j ʃ o̟
августейшото	a v ɡ o s t ɛ j ʃ o̟ t o
августов	a v ɡ o s t o f
августовска	a v ɡ o s t o f s k ɐ
августовската	a v ɡ o s t o f s k ɐ t ɐ
августовски	a v ɡ o s t o f s k i
августовските	a v ɡ o s t o f s k i t ɛ
августовския	a v ɡ o s t o f s k i j ɐ
августовският	a v ɡ o s t o f s k i j ɐ t
августовско	a v ɡ o s t o f s k o
августовското	a v ɡ o s t o f s k o t o
авджи	ɐ v d ʒ i
авджийка	ɐ v d ʒ i j k ɐ
авджийски	ɐ v d ʒ i j s k i
авджилък	ɐ v d ʒ i ɫ ɤ k
авджия	ɐ v d ʒ i j ɐ
авеню	ɐ v ɛ nʲ u̟
авиатор	ɐ v i a t o r
авиаторка	ɐ v i a t o r k ɐ
авиаторска	a v i a t o r s k ɐ
авиаторската	a v i a t o r s k ɐ t ɐ
авиаторски	a v i a t o r s k i
авиаторските	a v i a t o r s k i t ɛ
авиаторския	a v i a t o r s k i j ɐ
авиаторският	a v i a t o r s k i j ɐ t
авиаторско	a v i a t o r s k o
авиаторското	a v i a t o r s k o t o
авиаторство	ɐ v i a t o r s t v o
авиационен	a v i ɐ t͡s i ɔ n ɛ n
авиационна	a v i ɐ t͡s i ɔ n n ɐ
авиационната	a v i ɐ t͡s i ɔ n n ɐ t ɐ
авиационни	a v i ɐ t͡s i ɔ n n i
авиационните	a v i ɐ t͡s i ɔ n n i t ɛ
авиационния	a v i ɐ t͡s i ɔ n n i j ɐ
авиационният	a v i ɐ t͡s i ɔ n n i j ɐ t
авиационно	a v i ɐ t͡s i ɔ n n o
авиационното	a v i ɐ t͡s i ɔ n n o t o
авиация	ɐ v i a t͡s i j ɐ
авиоас	ɐ v i o a s
авиобомба	a v i o b ɔ m b ɐ
авиобос	a v i o b o s
авиобранш	a v i o b r ɐ n ʃ
авиобранш	ɐ v i o b r a n ʃ
авиоджет	a v i o d ʒ ɛ t
авиоклуб	a v i o k ɫ o p
авион	ɐ v i ɔ n
авиони	ɐ v i ɔ n i
авиопарк	a v i o p ɐ r k
авиополк	ɐ v i o p ɔ ɫ k
авиоспорт	ɐ v i o s p ɔ r t
авиотакси	a v i o t ɐ k s i
авиофлот	a v i o f ɫ o t
авиофлот	ɐ v i o f ɫ ɔ t
авитаминоза	a v i t ɐ m i n ɔ z ɐ
авитаминоза	ɐ v i t ɐ m i n ɔ z ɐ
авлига	ɐ v l i ɡ ɐ
авлия	ɐ v l i j ɐ
авоар	ɐ v o a r
авокадо	ɐ v o k a d o
австралиец	ɐ f s t r ɐ l i ɛ t͡s
австралийка	ɐ f s t r ɐ l i j k ɐ
австралийски	ɐ f s t r ɐ l i j s k i
австриец	ɐ f s t r i ɛ t͡s
австрийка	ɐ f s t r i j k ɐ
австрийски	ɐ f s t r i j s k i
автаркия	ɐ f t a r k i j ɐ
автентичен	ɐ f t ɛ n t i t͡ʃ ɛ n
автентична	a f t ɛ n t i t͡ʃ n ɐ
автентичната	a f t ɛ n t i t͡ʃ n ɐ t ɐ
автентични	a f t ɛ n t i t͡ʃ n i
автентичните	a f t ɛ n t i t͡ʃ n i t ɛ
автентичния	a f t ɛ n t i t͡ʃ n i j ɐ
автентичният	a f t ɛ n t i t͡ʃ n i j ɐ t
автентично	a f t ɛ n t i t͡ʃ n o
автентичност	ɐ f t ɛ n t i t͡ʃ n o s t
автентичното	a f t ɛ n t i t͡ʃ n o t o
автобаза	a f t o b a z ɐ
автобиографичен	ɐ f t o b i o ɡ r ɐ f i t͡ʃ ɛ n
автобиографически	ɐ f t o b i o ɡ r ɐ f i t͡ʃ ɛ s k i
автобиографично	ɐ f t o b i o ɡ r ɐ f i t͡ʃ n o
автобиография	ɐ f t o b i o ɡ r a f i j ɐ
автоблокировка	a f t o b ɫ o k i r ɔ f k ɐ
автобус	ɐ f t o b u s
автобусен	ɐ f t o b u s ɛ n
автовлак	a f t o v ɫ ɐ k
автогара	a f t o ɡ a r ɐ
автогол	a f t o ɡ ɔ ɫ
автограф	ɐ f t o ɡ r a f
автодрезина	a f t o d r ɛ z i n ɐ
автокар	ɐ f t o k a r
автокефален	ɐ f t o k ɛ f a l ɛ n
автокефалност	ɐ f t o k ɛ f a ɫ n o s t
автоклав	ɐ f t o k ɫ a f
автоклуб	a f t o k ɫ o p
автоколона	a f t o k o ɫ ɔ n ɐ
автокрос	a f t o k r ɔ s
автокрос	ɐ f t o k r ɔ s
автомагистрала	a f t o m ɐ ɡ i s t r a ɫ ɐ
автомагистрален	ɐ f t o m ɐ ɡ i s t r a l ɛ n
автомат	ɐ f t o m a t
автоматизация	ɐ f t o m ɐ t i z a t͡s i j ɐ
автоматизирам	ɐ f t o m ɐ t i z i r ɐ m
автоматичен	ɐ f t o m ɐ t i t͡ʃ ɛ n
автоматически	ɐ f t o m ɐ t i t͡ʃ ɛ s k i
автоматично	ɐ f t o m ɐ t i t͡ʃ n o
автоматчик	ɐ f t o m a t t͡ʃ i k
автомобил	ɐ f t o m o b i ɫ
автомобилен	ɐ f t o m o b i l ɛ n
автомобилист	ɐ f t o m o b i l i s t
автомобилистка	ɐ f t o m o b i l i s k ɐ
автомобилостроене	ɐ f t o m o b i ɫ o s t r o ɛ n ɛ
автомобилче	ɐ f t o m o b i ɫ t͡ʃ ɛ
автомотриса	a f t o m o t r i s ɐ
автономен	a f t o n ɔ m ɛ n
автономист	ɐ f t o n o m i s t
автономия	ɐ f t o n ɔ m i j ɐ
автономна	a f t o n ɔ m n ɐ
автономната	a f t o n ɔ m n ɐ t ɐ
автономни	a f t o n ɔ m n i
автономните	a f t o n ɔ m n i t ɛ
автономния	a f t o n ɔ m n i j ɐ
автономният	a f t o n ɔ m n i j ɐ t
автономно	a f t o n ɔ m n o
автономност	ɐ f t o n ɔ m n o s t
автономното	a f t o n ɔ m n o t o
автопилот	ɐ f t o p i ɫ ɔ t
автоплуг	a f t o p ɫ o k
автоплуг	a f t o p ɫ u k
автоплуг	ɐ f t o p ɫ u k
автопортрет	ɐ f t o p o r t r ɛ t
автор	a f t o r
автореферат	ɐ f t o r ɛ f ɛ r a t
авторизирам	ɐ f t o r i z i r ɐ m
авторитарен	ɐ f t o r i t a r ɛ n
авторитаризъм	ɐ f t o r i t ɐ r i z ɐ m
авторитет	ɐ f t o r i t ɛ t
авторитетен	a f t o r i t ɛ t ɛ n
авторитетна	a f t o r i t ɛ t n ɐ
авторитетната	a f t o r i t ɛ t n ɐ t ɐ
авторитетни	a f t o r i t ɛ t n i
авторитетните	a f t o r i t ɛ t n i t ɛ
авторитетния	a f t o r i t ɛ t n i j ɐ
авторитетният	a f t o r i t ɛ t n i j ɐ t
авторитетно	a f t o r i t ɛ t n o
авторитетност	ɐ f t o r i t ɛ t n o s t
авторитетното	a f t o r i t ɛ t n o t o
авторка	a f t o r k ɐ
авторски	a f t o r s k i
авторство	a f t o r s t v o
автостоп	a f t o s t ɔ p
автострада	a f t o s t r a d ɐ
автотранспорт	ɐ f t o t r ɐ n s p ɔ r t
автотранспортен	ɐ f t o t r ɐ n s p ɔ r t ɛ n
автохтонен	ɐ f t o x t ɔ n ɛ n
авточаст	ɐ f t o t͡ʃ a̟ s t
ага	ɐ ɡ a
агале	ɐ ɡ a l ɛ
агалък	ɐ ɡ ɐ ɫ ɤ k
агарянец	ɐ ɡ ɐ rʲ a̟ n ɛ t͡s
агарянин	ɐ ɡ ɐ rʲ a̟ n i n
агарянка	ɐ ɡ ɐ rʲ a̟ ŋ k ɐ
агарянски	ɐ ɡ ɐ rʲ a̟ n s k i
агент	ɐ ɡ ɛ n t
агентин	ɐ ɡ ɛ n t i n
агентка	ɐ ɡ ɛ n t k ɐ
агентпровокаторски	ɐ ɡ ɛ n t p r o v o k a t o r s k i
агентство	ɐ ɡ ɛ n s t v o
агентура	ɐ ɡ ɛ n t u r ɐ
агентурен	ɐ ɡ ɛ n t u r ɛ n
агенция	ɐ ɡ ɛ n t͡s i j ɐ
агитатор	ɐ ɡ i t a t o r
агитаторка	ɐ ɡ i t a t o r k ɐ
агитаторски	ɐ ɡ i t a t o r s k i
агитационен	ɐ ɡ i t ɐ t͡s i ɔ n ɛ n
агитация	a ɡ i t a t͡s i j ɐ
агитирам	ɐ ɡ i t i r ɐ m
агитка	ɐ ɡ i t k ɐ
