Є	j ɛ
Ужгород	u ʒ ɦ ɔ r ɔ t
Уйфалуши	u j f a l u ʃ i
Уйфалушов	u j f a l u ʃ ɔ w
Уйфалушова	u j f a l u ʃ ɔ v a
Україна	u k r a j i n a
України	u k r a j i n i
Українка	u k r a j i ŋ k a
Українєц	u k r a j i ɲ ɛ t͡s
Ф	f
Фа	f a
Фейди	f ɛ j d i
Фейдийов	f ɛ j d i j ɔ w
Фейдийова	f ɛ j d i j ɔ v a
Фейдия	f ɛ j d i j a
Фейса	f ɛ j s a
Флорида	f l ɔ r i d a
Француз	f r a n t͡s u s
Французка	f r a n t͡s u s k a
Французкиня	f r a n t͡s u s k i ɲ a
Х	x
Харков	x a r k ɔ w
Хома	x ɔ m a
Хомов	x ɔ m ɔ w
Хомова	x ɔ m ɔ v a
Христос	x r i s t ɔ s
Ц	t͡s
Цецилия	t͡s ɛ t͡s i l i j a
Цинцар	t͡s i n t͡s a r
Цирих	t͡s i r i x
Ч	t͡ʃ
Чарногорец	t͡ʃ a r n ɔ ɦ ɔ r ɛ t͡s
Чарногорка	t͡ʃ a r n ɔ ɦ ɔ r k a
Чельовски	t͡ʃ ɛ ʎ ɔ w s k i
Чельовсков	t͡ʃ ɛ ʎ ɔ w s k ɔ w
Чельовскова	t͡ʃ ɛ ʎ ɔ w s k ɔ v a
Ческа	t͡ʃ ɛ s k a
Чех	t͡ʃ ɛ x
Чехиня	t͡ʃ ɛ x i ɲ a
Чижмар	t͡ʃ i ʒ m a r
Чижмарова	t͡ʃ i ʒ m a r ɔ v a
Чизмар	t͡ʃ i z m a r
Чизмарова	t͡ʃ i z m a r ɔ v a
Чикаґо	t͡ʃ i k a ɡ ɔ
Ш	ʃ
Шатораляуйгель	ʃ a t ɔ r a ʎ a u j ɦ ɛ ʎ
Швайцарец	ʃ v a j t͡s a r ɛ t͡s
Швайцарка	ʃ v a j t͡s a r k a
Швайцаркиня	ʃ v a j t͡s a r k i ɲ a
Швайцарска	ʃ v a j t͡s a r s k a
Шведска	ʃ v ɛ t s k a
Шведян	ʃ v ɛ ɟ a n
Шведянка	ʃ v ɛ ɟ a ŋ k a
Шид	ʃ i t
Шидян	ʃ i ɟ a n
Шидянка	ʃ i ɟ a ŋ k a
Шидянь	ʃ i ɟ a ɲ
Шомодї	ʃ ɔ m ɔ ɟ i
Шомодїйова	ʃ ɔ m ɔ ɟ i j ɔ v a
Шомодїя	ʃ ɔ m ɔ ɟ i j a
Шпания	ʃ p a n i j a
Шпанкиня	ʃ p a n k i ɲ a
Шпаньолка	ʃ p a ɲ ɔ l k a
Шпанєц	ʃ p a ɲ ɛ t͡s
Штефан	ʃ t ɛ f a n
Штефанов	ʃ t ɛ f a n ɔ w
Штранґар	ʃ t r a ŋ ɡ a r
Штранґарова	ʃ t r a ŋ ɡ a r ɔ v a
Штредожемє	ʃ t r ɛ d ɔ ʒ ɛ m j ɛ
Щ	ʃ t͡ʃ
Щечин	ʃ t͡ʃ ɛ t͡ʃ i n
Ь	c
Ь	ɟ
Ь	ɲ
Ь	ʎ
Ю	j u
Югас	j u ɦ a s
Югасов	j u ɦ a s ɔ w
Югасова	j u ɦ a s ɔ v a
Югик	j u ɦ i k
Югиков	j u ɦ i k ɔ w
Югикова	j u ɦ i k ɔ v a
Югославия	j u ɦ ɔ s l a v i j a
Югославян	j u ɦ ɔ s l a v j a n
Югославянка	j u ɦ ɔ s l a v j a ŋ k a
Южноафриканка	j u ʒ n ɔ a f r i k a ŋ k a
Южноафриканєц	j u ʒ n ɔ a f r i k a ɲ ɛ t͡s
Южнокорейка	j u ʒ n ɔ k ɔ r ɛ j k a
Южнокореєц	j u ʒ n ɔ k ɔ r ɛ j ɛ t͡s
Юлиян	j u l i j a n
Юлияна	j u l i j a n a
Я	j a
Ядран	j a d r a n
Яким	j a k i m
Яков	j a k ɔ w
Яковлєв	j a k ɔ w ʎ ɛ w
Яковлєвич	j a k ɔ w ʎ ɛ v i t͡ʃ
Яковлєвов	j a k ɔ w ʎ ɛ v ɔ w
Яковлєвова	j a k ɔ w ʎ ɛ v ɔ v a
Ямайка	j a m a j k a
Янко	j a ŋ k ɔ
Янков	j a ŋ k ɔ w
Япон	j a p ɔ n
Японка	j a p ɔ ŋ k a
Японєц	j a p ɔ ɲ ɛ t͡s
Ярослав	j a r ɔ s l a w
Ярослава	j a r ɔ s l a v a
Ясмина	j a s m i n a
а	a
або	a b ɔ
абсолутни	a p s ɔ l u t n i
абсолутно	a p s ɔ l u t n ɔ
авион	a v i ɔ n
австралийски	a w s t r a l i j s k i
австралиянски	a w s t r a l i j a n s k i
австрийски	a w s t r i j s k i
австроугорски	a w s t r ɔ u ɦ ɔ r s k i
авто	a w t ɔ
автобус	a w t ɔ b u s
автобуски	a w t ɔ b u s k i
автобусни	a w t ɔ b u s n i
автор	a w t ɔ r
авторка	a w t ɔ r k a
авторски	a w t ɔ r s k i
авторство	a w t ɔ r s t v ɔ
авточок	a w t ɔ t͡ʃ ɔ k
авґуст	a w ɡ u s t
авґустов	a w ɡ u s t ɔ w
авґустовски	a w ɡ u s t ɔ w s k i
аеродром	a ɛ r ɔ d r ɔ m
аж	a ʃ
азийски	a z i j s k i
айвар	a j v a r
айкула	a j k u l a
аколь	a k ɔ ʎ
акт	a k t
активни	a k t i w n i
активно	a k t i w n ɔ
активносц	a k t i w n ɔ s t͡s
акурат	a k u r a t
алат	a l a t
алатка	a l a t k a
албански	a l b a n s k i
алжирски	a l ʒ i r s k i
алкогол	a l k ɔ ɦ ɔ l
алкоголизем	a l k ɔ ɦ ɔ l i z ɛ m
алкоголичар	a l k ɔ ɦ ɔ l i t͡ʃ a r
алкоголни	a l k ɔ ɦ ɔ l n i
алпски	a l p s k i
алє	a ʎ ɛ
американски	a m ɛ r i k a n s k i
америцки	a m ɛ r i t͡s k i
америцкима	a m ɛ r i t͡s k i m a
аминь	a m i ɲ
амрел	a m r ɛ l
амрелчок	a m r ɛ ʎ t͡ʃ ɔ k
амстердамски	a m s t ɛ r d a m s k i
ананас	a n a n a s
ангел	a n ɦ ɛ l
ангелов	a n ɦ ɛ l ɔ w
ангелски	a n ɦ ɛ l s k i
ангелчок	a n ɦ ɛ ʎ t͡ʃ ɔ k
андя	a ɲ ɟ a
анї	a ɲ i
анґажман	a n ɡ a ʒ m a n
анґлийски	a n ɡ l i j s k i
април	a p r i l
априлски	a p r i l s k i
ардза	a r d͡z a
арґентински	a r ɡ ɛ n t i n s k i
арґонаут	a r ɡ ɔ n a u t
атибожезнай	a t i b ɔ ʒ ɛ z n a j
аутсайдер	a u t s a j d ɛ r
аутсайдерами	a u t s a j d ɛ r a m i
аутсайдерови	a u t s a j d ɛ r ɔ v i
африцки	a f r i t͡s k i
ашов	a ʃ ɔ w
ашова	a ʃ ɔ v a
ашови	a ʃ ɔ v i
ашовчок	a ʃ ɔ w t͡ʃ ɔ k
б	b
ба	b a
баба	b a b a
бабка	b a p k a
бабов	b a b ɔ w
бабовски	b a b ɔ w s k i
баварска	b a v a r s k a
баварски	b a v a r s k i
бавенє	b a v ɛ ɲ ɛ
бавилїще	b a v i ʎ i ʃ t͡ʃ ɛ
бавилїщни	b a v i ʎ i ʃ t͡ʃ n i
бавилїщов	b a v i ʎ i ʃ t͡ʃ ɔ w
бавилїщови	b a v i ʎ i ʃ t͡ʃ ɔ v i
бависками	b a v i s k a m i
бависко	b a v i s k ɔ
бавискови	b a v i s k ɔ v i
бавиц	b a v i t͡s
бавя	b a v j a
бавяцки	b a v j a t͡s k i
бавяч	b a v j a t͡ʃ
бавячка	b a v j a t͡ʃ k a
базен	b a z ɛ n
байбер	b a j b ɛ r
байберня	b a j b ɛ r ɲ a
бакар	b a k a r
балкански	b a l k a n s k i
балїнт	b a ʎ i n t
банана	b a n a n a
бананови	b a n a n ɔ v i
банатски	b a n a t s k i
банка	b a ŋ k a
баржей	b a r ʒ ɛ j
барз	b a r s
баршонь	b a r ʃ ɔ ɲ
бац	b a t͡s
бачвански	b a t͡ʃ v a n s k i
бачваньски	b a t͡ʃ v a ɲ s k i
бачи	b a t͡ʃ i
бачиками	b a t͡ʃ i k a m i
бачикове	b a t͡ʃ i k ɔ v ɛ
бачка	b a t͡ʃ k a
бачки	b a t͡ʃ k i
бачкотопольски	b a t͡ʃ k ɔ t ɔ p ɔ ʎ s k i
баяко	b a j a k ɔ
баґаж	b a ɡ a ʃ
баґажия	b a ɡ a ʒ i j a
баґажнїк	b a ɡ a ʒ ɲ i k
бдиниє	b d i n i j ɛ
беба	b ɛ b a
бебка	b ɛ p k a
бег	b ɛ x
бега	b ɛ ɦ a
бегай	b ɛ ɦ a j
бегайме	b ɛ ɦ a j m ɛ
бегайце	b ɛ ɦ a j t͡s ɛ
бегал	b ɛ ɦ a l
бегала	b ɛ ɦ a l a
бегали	b ɛ ɦ a l i
бегало	b ɛ ɦ a l ɔ
бегам	b ɛ ɦ a m
бегаме	b ɛ ɦ a m ɛ
бегани	b ɛ ɦ a n i
беганє	b ɛ ɦ a ɲ ɛ
беганїна	b ɛ ɦ a ɲ i n a
бегац	b ɛ ɦ a t͡s
бегаце	b ɛ ɦ a t͡s ɛ
бегач	b ɛ ɦ a t͡ʃ
бегачка	b ɛ ɦ a t͡ʃ k a
бегаш	b ɛ ɦ a ʃ
бегаю	b ɛ ɦ a j u
бегаюци	b ɛ ɦ a j u t͡s i
бегун	b ɛ ɦ u n
бегунка	b ɛ ɦ u ŋ k a
бедуин	b ɛ d u i n
бедуини	b ɛ d u i n i
бедуинє	b ɛ d u i ɲ ɛ
бежанє	b ɛ ʒ a ɲ ɛ
бежац	b ɛ ʒ a t͡s
бежаци	b ɛ ʒ a t͡s i
бежиц	b ɛ ʒ i t͡s
без	b ɛ s
безалкоголни	b ɛ z a l k ɔ ɦ ɔ l n i
безбрижни	b ɛ z b r i ʒ n i
безбрижно	b ɛ z b r i ʒ n ɔ
безбрижносц	b ɛ z b r i ʒ n ɔ s t͡s
безвлад'є	b ɛ z v l a d j ɛ
бездна	b ɛ z d n a
безднами	b ɛ z d n a m i
бездушни	b ɛ z d u ʃ n i
бездушно	b ɛ z d u ʃ n ɔ
бездушносц	b ɛ z d u ʃ n ɔ s t͡s
безодня	b ɛ z ɔ ɟ ɲ a
безпечни	b ɛ s p ɛ t͡ʃ n i
безпечно	b ɛ s p ɛ t͡ʃ n ɔ
безпечносц	b ɛ s p ɛ t͡ʃ n ɔ s t͡s
безпечнїк	b ɛ s p ɛ t͡ʃ ɲ i k
безпомоцни	b ɛ s p ɔ m ɔ t͡s n i
безпомоцно	b ɛ s p ɔ m ɔ t͡s n ɔ
безпомоцносц	b ɛ s p ɔ m ɔ t͡s n ɔ s t͡s
безусловни	b ɛ z u s l ɔ w n i
безусловно	b ɛ z u s l ɔ w n ɔ
безчувствительни	b ɛ s t͡ʃ u w s t v i t ɛ ʎ n i
безчувствительносц	b ɛ s t͡ʃ u w s t v i t ɛ ʎ n ɔ s t͡s
бейчски	b ɛ j t͡ʃ s k i
белави	b ɛ l a v i
белґийски	b ɛ l ɡ i j s k i
беоґрадски	b ɛ ɔ ɡ r a t s k i
берлински	b ɛ r l i n s k i
бетелїна	b ɛ t ɛ ʎ i n a
бетелїнов	b ɛ t ɛ ʎ i n ɔ w
бечски	b ɛ t͡ʃ s k i
бешеда	b ɛ ʃ ɛ d a
бешедлїви	b ɛ ʃ ɛ ɟ ʎ i v i
бешедни	b ɛ ʃ ɛ d n i
бешеднїк	b ɛ ʃ ɛ ɟ ɲ i k
бешеднїца	b ɛ ʃ ɛ ɟ ɲ i t͡s a
бешедовац	b ɛ ʃ ɛ d ɔ v a t͡s
бешедую	b ɛ ʃ ɛ d u j u
бешедує	b ɛ ʃ ɛ d u j ɛ
бешедуєм	b ɛ ʃ ɛ d u j ɛ m
бешедуєме	b ɛ ʃ ɛ d u j ɛ m ɛ
бешедуєце	b ɛ ʃ ɛ d u j ɛ t͡s ɛ
бешедуєш	b ɛ ʃ ɛ d u j ɛ ʃ
беґ	b ɛ k
беґель	b ɛ ɡ ɛ ʎ
беґельски	b ɛ ɡ ɛ ʎ s k i
беґельчик	b ɛ ɡ ɛ ʎ t͡ʃ i k
беґелями	b ɛ ɡ ɛ ʎ a m i
беґльом	b ɛ ɡ ʎ ɔ m
беґльох	b ɛ ɡ ʎ ɔ x
беґлю	b ɛ ɡ ʎ u
беґля	b ɛ ɡ ʎ a
беґлями	b ɛ ɡ ʎ a m i
беґлї	b ɛ ɡ ʎ i
беґлїк	b ɛ ɡ ʎ i k
би	b i
бибиц	b i b i t͡s
библийни	b i b l i j n i
библиотека	b i b l i ɔ t ɛ k a
библиотекар	b i b l i ɔ t ɛ k a r
библиотекарка	b i b l i ɔ t ɛ k a r k a
библиотецки	b i b l i ɔ t ɛ t͡s k i
бива	b i v a
бивац	b i v a t͡s
бидни	b i d n i
бизме	b i z m ɛ
бизовац	b i z ɔ v a t͡s
бизовни	b i z ɔ w n i
бизовно	b i z ɔ w n ɔ
бизовносц	b i z ɔ w n ɔ s t͡s
бий	b i j
бийце	b i j t͡s ɛ
били	b i l i
билого	b i l ɔ ɦ ɔ
билоруски	b i l ɔ r u s k i
бильчок	b i ʎ t͡ʃ ɔ k
бим	b i m
биро	b i r ɔ
бисквит	b i s k v i t
бистри	b i s t r i
бистросц	b i s t r ɔ s t͡s
бисце	b i s t͡s ɛ
битаньски	b i t a ɲ s k i
битаньшаґ	b i t a ɲ ʃ a k
битанґа	b i t a ŋ ɡ a
битанґовац	b i t a n ɡ ɔ v a t͡s
бифе	b i f ɛ
бифтек	b i f t ɛ k
биц	b i t͡s
бициґла	b i t͡s i ɡ l a
бициґли	b i t͡s i ɡ l i
биш	b i ʃ
бишалма	b i ʃ a l m a
бишалмов	b i ʃ a l m ɔ w
бию	b i j u
биє	b i j ɛ
биєм	b i j ɛ m
биєме	b i j ɛ m ɛ
биєце	b i j ɛ t͡s ɛ
биєш	b i j ɛ ʃ
блаґайна	b l a ɡ a j n a
блокада	b l ɔ k a d a
блокадни	b l ɔ k a d n i
блокирац	b l ɔ k i r a t͡s
блоковац	b l ɔ k ɔ v a t͡s
блощина	b l ɔ ʃ t͡ʃ i n a
блудни	b l u d n i
бляди	b ʎ a d i
блїжей	b ʎ i ʒ ɛ j
блїзки	b ʎ i s k i
блїзко	b ʎ i s k ɔ
блїзкосц	b ʎ i s k ɔ s t͡s
бо	b ɔ
бобер	b ɔ b ɛ r
бог	b ɔ x
богати	b ɔ ɦ a t i
богиня	b ɔ ɦ i ɲ a
богом	b ɔ ɦ ɔ m
бодай	b ɔ d a j
боже	b ɔ ʒ ɛ
божи	b ɔ ʒ i
бой	b ɔ j
бойлер	b ɔ j l ɛ r
бойни	b ɔ j n i
бойови	b ɔ j ɔ v i
бок	b ɔ k
болгарска	b ɔ l ɦ a r s k a
болгарски	b ɔ l ɦ a r s k i
боль	b ɔ ʎ
больнїца	b ɔ ʎ ɲ i t͡s a
больнїцки	b ɔ ʎ ɲ i t͡s k i
боляце	b ɔ ʎ a t͡s ɛ
боляци	b ɔ ʎ a t͡s i
болї	b ɔ ʎ i
болїц	b ɔ ʎ i t͡s
бомба	b ɔ m b a
бомбардовац	b ɔ m b a r d ɔ v a t͡s
босански	b ɔ s a n s k i
боси	b ɔ s i
бочни	b ɔ t͡ʃ n i
боїско	b ɔ j i s k ɔ
боїще	b ɔ j i ʃ t͡ʃ ɛ
брада	b r a d a
бразилски	b r a z i l s k i
брамушка	b r a m u ʃ k a
брана	b r a n a
браня	b r a ɲ a
бранєни	b r a ɲ ɛ n i
бранїк	b r a ɲ i k
бранїтель	b r a ɲ i t ɛ ʎ
бранїтелька	b r a ɲ i t ɛ ʎ k a
бранїтельство	b r a ɲ i t ɛ ʎ s t v ɔ
бранїц	b r a ɲ i t͡s
брат	b r a t
братняк	b r a c ɲ a k
братняков	b r a c ɲ a k ɔ w
братов	b r a t ɔ w
братови	b r a t ɔ v i
братство	b r a t s t v ɔ
брац	b r a t͡s
браца	b r a t͡s a
брацик	b r a t͡s i k
брацикове	b r a t͡s i k ɔ v ɛ
брескиня	b r ɛ s k i ɲ a
бриндзов	b r i n d͡z ɔ w
бриндзове	b r i n d͡z ɔ v ɛ
бриндзови	b r i n d͡z ɔ v i
бриселски	b r i s ɛ l s k i
британски	b r i t a n s k i
бриґа	b r i ɡ a
бриґовац	b r i ɡ ɔ v a t͡s
бриґуюци	b r i ɡ u j u t͡s i
бувши	b u w ʃ i
буда	b u d a
буджет	b u d͡ʒ ɛ t
буджетни	b u d͡ʒ ɛ t n i
буджетски	b u d͡ʒ ɛ t s k i
будз	b u t͡s
будзе	b u d͡z ɛ
будзем	b u d͡z ɛ m
будземе	b u d͡z ɛ m ɛ
будзеце	b u d͡z ɛ t͡s ɛ
будзеш	b u d͡z ɛ ʃ
будзце	b u t͡sː ɛ
будинок	b u d i n ɔ k
будка	b u t k a
будова	b u d ɔ v a
будовалїще	b u d ɔ v a ʎ i ʃ t͡ʃ ɛ
будованє	b u d ɔ v a ɲ ɛ
будователь	b u d ɔ v a t ɛ ʎ
будователька	b u d ɔ v a t ɛ ʎ k a
будовательни	b u d ɔ v a t ɛ ʎ n i
будовательство	b u d ɔ v a t ɛ ʎ s t v ɔ
будовац	b u d ɔ v a t͡s
будовня	b u d ɔ w ɲ a
буду	b u d u
будуци	b u d u t͡s i
будучносц	b u d u t͡ʃ n ɔ s t͡s
буквални	b u k v a l n i
буквално	b u k v a l n ɔ
букурештски	b u k u r ɛ ʃ t s k i
булдожер	b u l d ɔ ʒ ɛ r
бундава	b u n d a v a
бундавка	b u n d a w k a
бундавов	b u n d a v ɔ w
бура	b u r a
буржоазия	b u r ʒ ɔ a z i j a
бурйов	b u r j ɔ w
бурйови	b u r j ɔ v i
буря	b u r j a
бурїска	b u r j i s k a
бутєлар	b u c ɛ l a r
буц	b u t͡s
буяк	b u j a k
буячарня	b u j a t͡ʃ a r ɲ a
буячи	b u j a t͡ʃ i
буячок	b u j a t͡ʃ ɔ k
в	v
важне	v a ʒ n ɛ
важни	v a ʒ n i
важносц	v a ʒ n ɔ s t͡s
вайцо	v a j t͡s ɔ
вайцови	v a j t͡s ɔ v i
валал	v a l a l
валалчань	v a l a ʎ t͡ʃ a ɲ
вам	v a m
вами	v a m i
вари	v a r i
варим	v a r i m
вариме	v a r i m ɛ
вариц	v a r i t͡s
варице	v a r i t͡s ɛ
вариш	v a r i ʃ
вариянта	v a r i j a n t a
варош	v a r ɔ ʃ
варошски	v a r ɔ ʃ s k i
варощань	v a r ɔ ʃ t͡ʃ a ɲ
варшавски	v a r ʃ a w s k i
варя	v a r j a
вас	v a s
ваш	v a ʃ
ваша	v a ʃ a
вашар	v a ʃ a r
вашарище	v a ʃ a r i ʃ t͡ʃ ɛ
вашей	v a ʃ ɛ j
вашим	v a ʃ i m
вашима	v a ʃ i m a
ваших	v a ʃ i x
вашо	v a ʃ ɔ
вашого	v a ʃ ɔ ɦ ɔ
вашому	v a ʃ ɔ m u
вашу	v a ʃ u
ваїчко	v a j i t͡ʃ k ɔ
вдерени	v d ɛ r ɛ n i
вдеренє	v d ɛ r ɛ ɲ ɛ
вдериц	v d ɛ r i t͡s
вежба	v ɛ ʒ b a
вежбальня	v ɛ ʒ b a ʎ ɲ a
вежбалїще	v ɛ ʒ b a ʎ i ʃ t͡ʃ ɛ
вежбалїщни	v ɛ ʒ b a ʎ i ʃ t͡ʃ n i
вежбалїщов	v ɛ ʒ b a ʎ i ʃ t͡ʃ ɔ w
вежбалїщови	v ɛ ʒ b a ʎ i ʃ t͡ʃ ɔ v i
вежбами	v ɛ ʒ b a m i
вежбац	v ɛ ʒ b a t͡s
везц	v ɛ s t͡s
векер	v ɛ k ɛ r
векши	v ɛ k ʃ i
векшина	v ɛ k ʃ i n a
векшински	v ɛ k ʃ i n s k i
велемайстор	v ɛ l ɛ m a j s t ɔ r
вельки	v ɛ ʎ k i
велькима	v ɛ ʎ k i m a
вельконоцни	v ɛ ʎ k ɔ n ɔ t͡s n i
вельо	v ɛ ʎ ɔ
велї	v ɛ ʎ i
велїма	v ɛ ʎ i m a
венецуелански	v ɛ n ɛ t͡s u ɛ l a n s k i
венок	v ɛ n ɔ k
вентил	v ɛ n t i l
вентилатор	v ɛ n t i l a t ɔ r
вентилацийни	v ɛ n t i l a t͡s i j n i
вентилация	v ɛ n t i l a t͡s i j a
вентиловац	v ɛ n t i l ɔ v a t͡s
венцови	v ɛ n t͡s ɔ v i
венчанїца	v ɛ ɲ t͡ʃ a ɲ i t͡s a
венчик	v ɛ ɲ t͡ʃ i k
венєц	v ɛ ɲ ɛ t͡s
вепер	v ɛ p ɛ r
веприк	v ɛ p r i k
вепровацки	v ɛ p r ɔ v a t͡s k i
вера	v ɛ r a
верабожац	v ɛ r a b ɔ ʒ a t͡s
верабоже	v ɛ r a b ɔ ʒ ɛ
верац	v ɛ r a t͡s
верба	v ɛ r b a
вербаски	v ɛ r b a s k i
вербов	v ɛ r b ɔ w
вербови	v ɛ r b ɔ v i
веренє	v ɛ r ɛ ɲ ɛ
вери	v ɛ r i
вериц	v ɛ r i t͡s
верна	v ɛ r n a
вернац	v ɛ r n a t͡s
верни	v ɛ r n i
верно	v ɛ r n ɔ
вернє	v ɛ r ɲ ɛ
верх	v ɛ r x
верхнї	v ɛ r x ɲ i
верховни	v ɛ r x ɔ w n i
верхом	v ɛ r x ɔ m
вершина	v ɛ r ʃ i n a
вершински	v ɛ r ʃ i n s k i
вершок	v ɛ r ʃ ɔ k
верщок	v ɛ r ʃ t͡ʃ ɔ k
весели	v ɛ s ɛ l i
веселима	v ɛ s ɛ l i m a
весело	v ɛ s ɛ l ɔ
веселосц	v ɛ s ɛ l ɔ s t͡s
весц	v ɛ s t͡s
вец	v ɛ t͡s
вецей	v ɛ t͡s ɛ j
вецейгодзинови	v ɛ t͡s ɛ j ɦ ɔ d͡z i n ɔ v i
вецейповерхови	v ɛ t͡s ɛ j p ɔ v ɛ r x ɔ v i
вецейугелнїк	v ɛ t͡s ɛ j u ɦ ɛ ʎ ɲ i k
вецейугелнїками	v ɛ t͡s ɛ j u ɦ ɛ ʎ ɲ i k a m i
вецейфайтови	v ɛ t͡s ɛ j f a j t ɔ v i
вецейфарбови	v ɛ t͡s ɛ j f a r b ɔ v i
вецейязикови	v ɛ t͡s ɛ jː a z i k ɔ v i
вецейязични	v ɛ t͡s ɛ jː a z i t͡ʃ n i
вечар	v ɛ t͡ʃ a r
вечарами	v ɛ t͡ʃ a r a m i
вечера	v ɛ t͡ʃ ɛ r a
вешелє	v ɛ ʃ ɛ ʎ ɛ
вешелїц	v ɛ ʃ ɛ ʎ i t͡s
вжац	v ʒ a t͡s
вжиме	v ʒ i m ɛ
взагалї	v z a ɦ a ʎ i
взаємни	v z a j ɛ m n i
взаємно	v z a j ɛ m n ɔ
взаємносц	v z a j ɛ m n ɔ s t͡s
взаїмни	v z a j i m n i
ви	v i
виберани	v i b ɛ r a n i
виберанка	v i b ɛ r a ŋ k a
виберанки	v i b ɛ r a ŋ k i
виберанкови	v i b ɛ r a n k ɔ v i
виберанє	v i b ɛ r a ɲ ɛ
виберац	v i b ɛ r a t͡s
виберацки	v i b ɛ r a t͡s k i
виберач	v i b ɛ r a t͡ʃ
виберачка	v i b ɛ r a t͡ʃ k a
виберни	v i b ɛ r n i
вибор	v i b ɔ r
виборни	v i b ɔ r n i
вибрана	v i b r a n a
вибрани	v i b r a n i
вибрац	v i b r a t͡s
вибудов	v i b u d ɔ w
вибудовани	v i b u d ɔ v a n i
вибудовац	v i b u d ɔ v a t͡s
вигладньованє	v i ɦ l a ɟ ɲ ɔ v a ɲ ɛ
вигладньовац	v i ɦ l a ɟ ɲ ɔ v a t͡s
вигладнєнє	v i ɦ l a ɟ ɲ ɛ ɲ ɛ
вигладнєти	v i ɦ l a ɟ ɲ ɛ t i
вигладнєтосц	v i ɦ l a ɟ ɲ ɛ t ɔ s t͡s
вигладнїц	v i ɦ l a ɟ ɲ i t͡s
видз	v i t͡s
видза	v i d͡z a
видзаци	v i d͡z a t͡s i
видзел	v i d͡z ɛ l
видзела	v i d͡z ɛ l a
видзели	v i d͡z ɛ l i
видзело	v i d͡z ɛ l ɔ
видзельованє	v i d͡z ɛ ʎ ɔ v a ɲ ɛ
видзельовац	v i d͡z ɛ ʎ ɔ v a t͡s
видзелєни	v i d͡z ɛ ʎ ɛ n i
видзелїц	v i d͡z ɛ ʎ i t͡s
видзени	v i d͡z ɛ n i
видзенє	v i d͡z ɛ ɲ ɛ
видзи	v i d͡z i
видзим	v i d͡z i m
видзиме	v i d͡z i m ɛ
видзиц	v i d͡z i t͡s
видзице	v i d͡z i t͡s ɛ
видзиш	v i d͡z i ʃ
видзме	v i d͡z m ɛ
видзце	v i t͡sː ɛ
видли	v i d l i
видлїца	v i ɟ ʎ i t͡s a
видлїцови	v i ɟ ʎ i t͡s ɔ v i
видлїчка	v i ɟ ʎ i t͡ʃ k a
видлїчкар	v i ɟ ʎ i t͡ʃ k a r
видра	v i d r a
видруковац	v i d r u k ɔ v a t͡s
видуванє	v i d u v a ɲ ɛ
видувац	v i d u v a t͡s
видувни	v i d u w n i
видувовац	v i d u v ɔ v a t͡s
видум	v i d u m
видуму	v i d u m u
видуц	v i d u t͡s
визия	v i z i j a
вик	v i k
викенд	v i k ɛ n t
викрик	v i k r i k
викрични	v i k r i t͡ʃ n i
викричнїк	v i k r i t͡ʃ ɲ i k
вилєт	v i ʎ ɛ t
вилєтнуц	v i ʎ ɛ t n u t͡s
вилєтнїк	v i ʎ ɛ c ɲ i k
вилєтнїца	v i ʎ ɛ c ɲ i t͡s a
вилєтнїцки	v i ʎ ɛ c ɲ i t͡s k i
вилєтовац	v i ʎ ɛ t ɔ v a t͡s
вилєциско	v i ʎ ɛ t͡s i s k ɔ
вилєциц	v i ʎ ɛ t͡s i t͡s
вилїчени	v i ʎ i t͡ʃ ɛ n i
вилїченє	v i ʎ i t͡ʃ ɛ ɲ ɛ
вилїчиви	v i ʎ i t͡ʃ i v i
вилїчиц	v i ʎ i t͡ʃ i t͡s
вимагани	v i m a ɦ a n i
вимаганє	v i m a ɦ a ɲ ɛ
вимагац	v i m a ɦ a t͡s
вименяц	v i m ɛ ɲ a t͡s
вимирени	v i m i r ɛ n i
вимиренє	v i m i r ɛ ɲ ɛ
вимириц	v i m i r i t͡s
вимирйовац	v i m i r j ɔ v a t͡s
вимиряц	v i m i r j a t͡s
вимога	v i m ɔ ɦ a
вимуровац	v i m u r ɔ v a t͡s
вина	v i n a
вино	v i n ɔ
виновати	v i n ɔ v a t i
виноград	v i n ɔ ɦ r a t
винчованка	v i ɲ t͡ʃ ɔ v a ŋ k a
винчованє	v i ɲ t͡ʃ ɔ v a ɲ ɛ
винчовац	v i ɲ t͡ʃ ɔ v a t͡s
винчовач	v i ɲ t͡ʃ ɔ v a t͡ʃ
винчуєм	v i ɲ t͡ʃ u j ɛ m
винїца	v i ɲ i t͡s a
винїцови	v i ɲ i t͡s ɔ v i
винїчка	v i ɲ i t͡ʃ k a
виола	v i ɔ l a
виолончело	v i ɔ l ɔ ɲ t͡ʃ ɛ l ɔ
