ԱԱ	ɑ ɑ
Գույուջյան	k u j u t͡ʃ j ɑ n
Գուջարաթ	k u t͡ʃ ɑ ɾ ɑ t
Գուրգեն	k u ɾ k e n
Գվատեմալա	k ə v ɑ d e m ɑ l ɑ
Գվինեա	k v i n e ɑ
Գրանիկոն	k ə ɾ ɑ n i ɡ o n
Գրենադա	k ɾ e n ɑ t ɑ
Գրենլանդիա	k ɾ e n l ɑ n t i ɑ
Գրիգոր	k ɾ i k o ɾ
Գրիգորի	k ɾ i k o ɾ i
Գրիգորիոպոլիս	k ɾ i k o ɾ i o b o l i s
Գրիգորյան	k ɾ i k o ɾ j ɑ n
Գրիգորուպոլ	k ɾ i k o ɾ u b o l
Գրոզնի	k ɾ o z n i
Գևորգ	k e v o ɾ k
Գևորգյան	k e v o ɾ k j ɑ n
Դ	t ə
ԴՆԹ	t ə n ə t ə
Դալար	t ɑ l ɑ ɾ
Դալմաթիա	t ɑ l m ɑ t i ɑ
Դաղստան	t ɑ ʁ ə s d ɑ n
Դամասկոս	d ɑ m ɑ s ɡ o s
Դանիա	t ɑ n i ɑ
Դանիել	t ɑ n i j e l
Դանիելյան	t ɑ n i e l j ɑ n
Դանիշմենդյան	t ɑ n i ʃ m e n t j ɑ n
Դանուբ	t ɑ n u p
Դավթյան	t ɑ f t j ɑ n
Դավիթ	t ɑ v i t
Դարակչյան	t ɑ ɾ ɑ k t͡ʃ j ɑ n
Դարբինյան	t ɑ ɾ p i n j ɑ n
Դարդանել	t ɑ ɾ t ɑ n e l
Դարեհ	t ɑ ɾ e h
Դաքա	t ɑ k ɑ
Դաքեսյան	t ɑ k e s j ɑ n
Դաքքա	t ɑ k k ɑ
Դեդեյան	t e t e j ɑ n
Դելի	t e l i
Դելփիք	t e l p i k
Դելֆիս	t e l f i s
Դեմիրճյան	t e m i ɾ d͡ʒ j ɑ n
Դեմոկրիտ	t e m o ɡ ɾ i d
Դեմոսթենես	t e m o s t e n e s
Դետրոյտ	t e d ɾ o j d
Դերենիկ	t e ɾ e n i ɡ
Դի	t i
Դիանա	t i j ɑ n ɑ
Դիարբեքիր	t i j ɑ ɾ p e k i ɾ
Դիլիջան	t i l i t͡ʃ ɑ n
Դիմատետր	t i m ɑ d e d ə ɾ
Դինգիլյան	t i n k i l j ɑ n
Դիշչյան	t i ʃ t͡ʃ j ɑ n
Դիոգենես	t i j o k e n e s
Դիոկղետիանոս	t i j o ɡ ʁ e d i ɑ n o s
Դիոմեդես	t i o m e t e s
Դիոնիս	t i o n i s
Դիոնիսոս	t j o n i s o s
Դնեպր	t ə n e b ə ɾ
Դնեստր	t n e s d ə ɾ
Դնչիկ	t ə n t͡ʃ i ɡ
Դոբրուջա	t o p ɾ u t͡ʃ ɑ
Դոլաշյան	t o l ɑ ʃ j ɑ n
Դոլմայան	t o l m ɑ j ɑ n
Դոլմաջյան	t o l m ɑ t͡ʃ j ɑ n
Դոհա	t o h ɑ
Դողրամաջյան	t o ʁ ɾ ɑ m ɑ t͡ʃ j ɑ n
Դոմինիկա	t o m i n i ɡ ɑ
Դոմինիկոս	t o m i n i ɡ o s
Դոն	t o n
Դոնդուրմաջյան	t o n t u ɾ m ɑ t͡ʃ j ɑ n
Դոնի	t o n i
Դորպատ	t o ɾ b ɑ d
Դուբայ	t u p ɑ j
Դուբլին	t u p l i n
Դուբոսար	t u p o s ɑ ɾ
Դուբոսարի	t u p o s ɑ ɾ i
Դուբրովնիկ	t u p ɾ o v n i ɡ
Դուդուկչյան	t u t u k t͡ʃ j ɑ n
Դուշանբե	t u ʃ ɑ n p e
Դուրգարյան	t u ɾ k ɑ ɾ j ɑ n
Դուք	t u k
Դրասխանակերտ	t ɾ ɑ s χ ɑ n ɑ ɡ e ɾ d
Դրաստամատ	t ə ɾ ɑ s d ɑ m ɑ d
Դևեջյան	t e v e t͡ʃ j ɑ n
Ե	e
Ե	j e
ԵԱՀԿ	j e ɑ h ə ɡ ə
ԵԱՏՄ	j e ɑ d ə m ə
ԵԽ	j e χ ə
ԵՄ	j e m ə
ԵՊՀ	j e b ə h ə
ԵՏՄ	j e d ə m ə
Եգարյան	j e k ɑ ɾ j ɑ n
Եգիպտոս	j e k i b d o s
Եդեսիա	j e t e s i ɑ
Եզոպոս	j e z o b o s
Եզր	j e z ə ɾ
Եզրաս	j e z ɾ ɑ s
Եթովպիա	j e t o f b i j ɑ
Եթովպիա	j e t o f b i ɑ
Ելենա	j e l e n ɑ
Ելիսեյ	j e l i s e j
Ելցին	j e l t͡s i n
Եկատերինբուրգ	j e ɡ ɑ d e ɾ i n p u ɾ k
Եկարյան	j e ɡ ɑ ɾ j ɑ n
Եկբատան	j e k p ɑ d ɑ n
Եհովա	j e h o v ɑ
Եհովայի	j e h o v ɑ j i
Եղեգնաձոր	j e ʁ e k n ɑ t͡s o ɾ
Եղիա	j e ʁ i ɑ
Եղիազար	j e ʁ i ɑ z ɑ ɾ
Եղիազարյան	j e ʁ i ɑ z ɑ ɾ j ɑ n
Եղիշե	j e ʁ i ʃ e
Եղիսաբեթ	j e ʁ i s ɑ p e t
Եղիսե	j e ʁ i s e
Եմեն	j e m e n
Ենիսեյ	j e n i s e j
Եպիփանես	j e b i p ɑ n e s
Եսայան	j e s ɑ j ɑ n
Եսայի	j e s ɑ j i
Եսավ	j e s ɑ v
Եսթեր	j e s t e ɾ
Եվա	j e v ɑ
Եվգենի	j e f k e n i
Եվգենիոս	j e f k e n i o s
Եվգենյա	j e f k e n j ɑ
Եվսեբիոս	j e f s e p j o s
Եվրախորհուրդ	j e v ɾ ɑ χ o ɾ u ɾ t
Եվրախորհրդարան	j e v ɾ ɑ χ o ɾ ə ɾ t ɑ ɾ ɑ n
Եվրահանձնաժողով	j e v ɾ ɑ h ɑ n t͡s n ɑ ʒ o ʁ o v
Եվրամիություն	j e v ɾ ɑ m i u t ʏ n
Եվրասիա	j e v ɾ ɑ s i ɑ
Եվրատեսիլ	j e v ɾ ɑ d e s i l
Եվրիպիդես	j e v ɾ i b i t e s
Եվրոպա	j e v ɾ o b ɑ
Եվրոպայի	j e v ɾ o b ɑ j i
Եվրոպայում	j e v ɾ o b ɑ j u m
Երազգավորս	j e ɾ ɑ s k ɑ v o ɾ s
Երասխ	j e ɾ ɑ s χ
Երեմեյ	j e ɾ e m e j
Երեմիա	j e ɾ e m i ɑ
Երեմյան	j e ɾ e m j ɑ n
Երիմանթոս	j e ɾ i m ɑ n t o s
Երիքով	j e ɾ i k o v
Երկիր	j e ɾ ɡ i ɾ
Երկվորյակներ	j e ɾ ɡ v o ɾ j ɑ ɡ n e ɾ
Երուսաղեմ	j e ɾ u s ɑ ʁ e m
Երվազ	j e ɾ v ɑ z
Երվանդ	j e ɾ v ɑ n t
Երվինյան	j e ɾ v i n j ɑ n
Երևակ	j e ɾ e v ɑ ɡ
Երևան	j e ɾ e v ɑ n
Եփեսոս	j e p e s o s
Եփրատ	j e p ɾ ɑ d
Եփրեմ	j e p ɾ e m
Եֆրեմ	j e f ɾ e m
Զ	z ə
ԶԼՄ	z ə l ə m ə
Զադոյան	z ɑ t o j ɑ n
Զալցբուրգ	z ɑ l t͡s p u ɾ k
Զախար	z ɑ χ ɑ ɾ
Զախարի	z ɑ χ ɑ ɾ i
Զախարյան	z ɑ χ ɑ ɾ j ɑ n
Զանգի	z ɑ n k i
Զապորոժիե	z ɑ b o ɾ o ʒ i e
Զավեն	z ɑ v e n
Զավզավաթճյան	z ɑ v z ɑ v ɑ t d͡ʒ j ɑ n
Զարդարյան	z ɑ ɾ t ɑ ɾ j ɑ n
Զարեհ	z ɑ ɾ e h
Զարմանյան	z ɑ ɾ m ɑ n j ɑ n
Զարուհի	z ɑ ɾ u h i
Զաքարիա	z ɑ k ɑ ɾ i ɑ
Զաքարյան	z ɑ k ɑ ɾ j ɑ n
Զեմպերեկճյան	z e m b e ɾ e ɡ d͡ʒ j ɑ n
Զեմպերեքճյան	z e m b e ɾ e k d͡ʒ j ɑ n
Զեմֆիրա	z e m f i ɾ ɑ
Զեյնալյան	z e j n ɑ l j ɑ n
Զենճիրճյան	z e n d͡ʒ i ɾ d͡ʒ j ɑ n
Զենոն	z e n o n
Զենջիրջյան	z e n t͡ʃ i ɾ t͡ʃ j ɑ n
Զեփյուռ	z e p ʏ r
Զիլճյան	z i l d͡ʒ j ɑ n
Զինճիրճյան	z i n d͡ʒ i ɾ d͡ʒ j ɑ n
Զինջիրջյան	z i n t͡ʃ i ɾ t͡ʃ j ɑ n
Զմյուռնիա	z m ʏ r n i ɑ
Զոհրաբ	z o h ɾ ɑ p
Զոյա	z o j ɑ
Զորաբաբել	z o ɾ ɑ p ɑ p e l
Զորիկ	z o ɾ i ɡ
Զվարթ	z ə v ɑ ɾ t
Զրադաշտ	z ə ɾ ɑ t ɑ ʃ d
Զևս	z e f s
Զևքսիս	z e f k s i s
Է	e
Էբերդին	e p e ɾ t i n
Էդգար	e t k ɑ ɾ
Էդեսսա	e t e s s ɑ
Էդմոն	e t m o n
Էդո	e t o
Էդուլ	e t u l
Էդուլիկ	e t u l i ɡ
Էդվարդ	e t v ɑ ɾ t
Էլար	e l ɑ ɾ
Էլբակյան	e l p ɑ ɡ j ɑ n
Էլեն	e l e n
Էլեքճյան	e l e k d͡ʒ j ɑ n
Էլզաս	e l z ɑ s
Էլիստա	e l i s d ɑ
Էլչիբեյ	e l t͡ʃ i p e j
Էկվադոր	e ɡ v ɑ t o ɾ
Էմիլ	e m i l
Էմին	e m i n
Էմպեդոկլես	e m b e t o ɡ l e s
Էյերճյան	e j e ɾ d͡ʒ j ɑ n
Էնգելս	e n k e l s
Էնֆիաջյան	e n f i j ɑ t͡ʃ j ɑ n
Էնֆիեճյան	e n f i j e d͡ʒ j ɑ n
Էպիկուր	e b i ɡ u ɾ
Էպիրոս	e b i ɾ o s
Էջմիածին	e t͡ʃ m i ɑ d͡z i n
Էստոնիա	e s d o n i ɑ
Էսքիլես	e s k i l e s
Էսքիլոս	e s k i l o s
Էվրիպիդես	e v ɾ i b i t e s
Էրեբունի	e ɾ e p u n i
Էրզրում	e ɾ z ə ɾ u m
Էրիկ	e ɾ i ɡ
Էրիտրեա	e ɾ i d ɾ e ɑ
Էրոս	e ɾ o s
Էքմեքջյան	e k m e k t͡ʃ j ɑ n
Էքսերճյան	e k s e ɾ d͡ʒ j ɑ n
Էքսերջյան	e k s e ɾ t͡ʃ j ɑ n
Էօժէնի	œ ʒ e n i
Ը	ə
Թ	t ə
Թադևոսյան	t ɑ t e v o s j ɑ n
Թաթարստան	t ɑ t ɑ ɾ s d ɑ n
Թաթուլ	t ɑ t u l
Թաթուլյան	t ɑ t u l j ɑ n
Թաիլանդ	t ɑ j l ɑ n t
Թալես	t ɑ l e s
Թալիբան	t ɑ l i p ɑ n
Թալին	t ɑ l i n
Թախտաջյան	t ɑ χ d ɑ t͡ʃ j ɑ n
Թահաթ	t ɑ h ɑ t
Թահմազ	t ɑ h m ɑ z
Թահմազյան	t ɑ h m ɑ z j ɑ n
Թամիլնադ	t ɑ m i l n ɑ t
Թայբեյ	t ɑ j p e j
Թայմիր	t ɑ j m i ɾ
Թայվան	t ɑ j v ɑ n
Թաշճյան	t ɑ ʃ d͡ʒ j ɑ n
Թասլաքյան	t ɑ s l ɑ k j ɑ n
Թավուքճյան	t ɑ v u k d͡ʒ j ɑ n
Թավրիզ	t ɑ v ɾ i z
Թարախչյան	t ɑ ɾ ɑ χ t͡ʃ j ɑ n
Թարթառ	t ɑ ɾ t ɑ r
Թարխանյան	t ɑ ɾ χ ɑ n j ɑ n
Թբիլիսի	t ə p i l i s i
Թեբե	t e p e
Թելավ	t e l ɑ v
Թելավի	t e l ɑ v i
Թելֆեյան	t e l f e j ɑ n
Թեհրան	t e h ɾ ɑ n
Թեմզա	t e m z ɑ
Թենեդոս	t e n e t o s
Թեոգնիդես	t e o k n i t e s
Թեոդոսիա	t e o t o s i ɑ
Թեսալիա	t e s ɑ l i ɑ
Թեսևս	t e s e f s
Թերմոպիլե	t e ɾ m o b i l e
Թեքսաս	t e k s ɑ s
Թթուջուր	t ə t u t͡ʃ u ɾ
Թիֆլիս	t i f l i s
Թհիմփհու	t h i m p h u
Թյուլպենտճյան	t ʏ l b e n d d͡ʒ j ɑ n
Թյուրինգիա	t ʏ ɾ i n k i ɑ
Թոմաս	t o m ɑ s
Թոմասյան	t o m ɑ s j ɑ n
Թովմաս	t o v m ɑ s
Թովմասյան	t o v m ɑ s j ɑ n
Թորգոմ	t o ɾ k o m
Թորոյան	t o ɾ o j ɑ n
Թորոս	t o ɾ o s
Թորոսյան	t o ɾ o s j ɑ n
Թուզճյան	t u z d͡ʒ j ɑ n
Թութունճյան	t u t u n d͡ʒ j ɑ n
Թութունջյան	t u t u n t͡ʃ j ɑ n
Թուլումբաջյան	t u l u m p ɑ t͡ʃ j ɑ n
Թուլումպաճյան	t u l u m b ɑ d͡ʒ j ɑ n
Թուկիդիդես	t u ɡ i t i t e s
Թուղլաճյան	t u ʁ l ɑ d͡ʒ j ɑ n
Թուն	t u n
Թունիս	t u n i s
Թուրին	t u ɾ i n
Թուրքեստան	t u ɾ k e s d ɑ n
Թուրքիա	t u ɾ k i ɑ
Թուրքմենստան	t u ɾ k m e n s d ɑ n
Թոփալյան	t o p ɑ l j ɑ n
Թոփուզյան	t o p u z j ɑ n
Թռփանճյան	t ə r p ɑ n d͡ʒ j ɑ n
Թվիթեր	t v i t e ɾ
Թրակիա	t ə ɾ ɑ ɡ i ɑ
Թրամփ	t ə ɾ ɑ m p
Թրանսիլվանիա	t ɾ ɑ n s i l v ɑ n i ɑ
Թրփանճյան	t ə ɾ p ɑ n d͡ʒ j ɑ n
Ժ	ʒ ə
Ժամկոչյան	ʒ ɑ m ɡ o t͡ʃ j ɑ n
Ժընև	ʒ ə n e v
Ժիրայր	ʒ i ɾ ɑ j ɾ
Ժնև	ʒ n e v
Ժնև	ʒ ə n e v
Ժորա	ʒ o ɾ ɑ
Ի	i
ԻԻՀ	i i h ə
Իբիկոս	i p i ɡ o s
Իգնատի	i k n ɑ d i
Իգնատիոս	i k n ɑ d i o s
Իզմիր	i z m i ɾ
Իթակե	i t ɑ ɡ e
Իժևսկ	i ʒ e f s ɡ
Իլանջյան	i l ɑ n t͡ʃ j ɑ n
Իլիոն	i l i j o n
Իլլիրիա	i l l i ɾ i ɑ
Իլհամ	i l h ɑ m
Իլյա	i l j ɑ
Իլով	i l o v
Իմերեթ	i m e ɾ e t
Իմերեթիա	i m e ɾ e t i ɑ
Իյնեճյան	i j n e d͡ʒ j ɑ n
Ինգա	i n k ɑ
Ինգուշեթիա	i n k u ʃ e t i ɑ
Ինգուշիա	i n k u ʃ i ɑ
Ինդոնեզիա	i n t o n e z i ɑ
Ինդոս	i n t o s
Ինդոստան	i n t o s d ɑ n
Ինեքճյան	i n e k d͡ʒ j ɑ n
Ինճիճյան	i n d͡ʒ i d͡ʒ j ɑ n
Ինստագրամ	i n s d ɑ k ɾ ɑ m
Իշխանյան	i ʃ χ ɑ n j ɑ n
Իջևան	i t͡ʃ e v ɑ n
Իռլանդիա	i r l ɑ n t i ɑ
Իսախանյան	i s ɑ χ ɑ n j ɑ n
Իսահակ	i s ɑ h ɑ ɡ
Իսթանպուլ	i s t ɑ n b u l
Իսլամաբադ	i s l ɑ m ɑ p ɑ t
Իսլանդիա	i s l ɑ n t i ɑ
Իսկանդարյան	i s ɡ ɑ n t ɑ ɾ j ɑ n
Իսկեճյան	i s ɡ e d͡ʒ j ɑ n
Իսմայիլի	i s m ɑ j i l i
Իսպանիա	i s b ɑ n i ɑ
Իսսոս	i s s o s
Իսրայել	i s ɾ ɑ j e l
Իսրայելյան	i s ɾ ɑ j e l j ɑ n
Իսքեճյան	i s k e d͡ʒ j ɑ n
Իվան	i v ɑ n
Իվանե	i v ɑ n e
Իվանովո	i v ɑ n o v o
Իտալիա	i d ɑ l i ɑ
Իտանագար	i d ɑ n ɑ k ɑ ɾ
Իրան	i ɾ ɑ n
Իրաք	i ɾ ɑ k
Իրկուտսկ	i ɾ ɡ u d s ɡ
Իւսկիւտար	& # 8 2 0 3 ; ʏ s ɡ ʏ d ɑ ɾ
Իփիգենիա	i p i k e n i ɑ
Իֆիգենիա	i f i k e n i ɑ
Լ	l ə
ԼՂԻՄ	l ə ʁ i m
ԼՂՀ	l ə ʁ ə h ə
Լադոգա	l ɑ t o k ɑ
Լաթաքիա	l ɑ t ɑ k i ɑ
Լայպցիգ	l ɑ j p t͡s i k
Լաոս	l ɑ o s
Լատիոն	l ɑ d i j o n
Լատվիա	l ɑ d v i ɑ
Լացիում	l ɑ t͡s i j u m
Լեհաստան	l e h ɑ s d ɑ n
Լեյդեն	l e j t e n
Լենա	l e n ɑ
Լենին	l e n i n
Լենինական	l e n i n ɑ ɡ ɑ n
Լեռնիկ	l e r n i ɡ
Լեսբոս	l e s p o s
Լեսոթո	l e s o t o
Լեստեր	l e s d e ɾ
Լիանա	l i ɑ n ɑ
Լիբանան	l i p ɑ n ɑ n
Լիբերիա	l i p e ɾ i ɑ
Լիբիա	l i p i ɑ
Լիբրևիլ	l i p ɾ e v i l
Լիգուրիա	l i k u ɾ i ɑ
Լիլիթ	l i l i t
Լիլոնգվե	l i l o n k v e
Լիխտենշտեյն	l i χ d e n ʃ d e j n
Լիկիա	l i ɡ i ɑ
Լիմա	l i m ɑ
Լիմասոլ	l i m ɑ s o l
Լիմպոպո	l i m b o b o
Լինց	l i n t͡s
Լիոն	l i o n
Լիպարիտ	l i b ɑ ɾ i d
Լիպարիտյան	l i b ɑ ɾ i d j ɑ n
Լիսաբոն	l i s ɑ p o n
Լիվերպուլ	l i v e ɾ b u l
Լիտվա	l i d v ɑ
Լճաշեն	l ə d͡ʒ ɑ ʃ e n
Լյուբլյանա	l ʏ p l j ɑ n ɑ
Լյուդովիկոս	l ʏ t o v i ɡ o s
Լյուդվիգ	l ʏ t v i k
Լյուլեճյան	l ʏ l e d͡ʒ j ɑ n
Լյուկիա	l ʏ ɡ i ɑ
Լյուրիկե	l ʏ ɾ i ɡ e
Լյուքսեմբուրգ	l ʏ k s e m p u ɾ k
Լոզան	l o z ɑ n
Լոթարինգիա	l o t ɑ ɾ i n k i ɑ
Լոկրիս	l o ɡ ɾ i s
Լոձ	l o t͡s
Լոնդոն	l o n t o n
Լոռի	l o r i
Լոս	l o s
Լուանդա	l u ɑ n t ɑ
Լուար	l u ɑ ɾ
Լուարա	l u ɑ ɾ ɑ
Լուդովիկոս	l u t o v i ɡ o s
Լութեր	l u t e ɾ
Լուսաբեր	l u s ɑ p e ɾ
Լուսին	l u s i n
Լուսինե	l u s i n e
Լուսինյան	l u s i n j ɑ n
Լուսնթագ	l u s ə n t ɑ k
Լուսո	l u s o
Լուվեն	l u v e n
Լոքանթաճյան	l o k ɑ n t ɑ d͡ʒ j ɑ n
Լվով	l v o v
Լևանտ	l e v ɑ n d
Լևոն	l e v o n
Լևոնյան	l e v o n j ɑ n
Խ	χ ə
ԽՍՀՄ	χ ə s ə h ə m
ԽՍՀՄ	χ ə s ə h ə m ə
Խաբարովսկ	χ ɑ p ɑ ɾ o f s ɡ
Խադ	χ ɑ t
Խազոյան	χ ɑ z o j ɑ n
Խաժակ	χ ɑ ʒ ɑ ɡ
Խալաճյան	χ ɑ l ɑ d͡ʒ j ɑ n
Խալըճյան	χ ɑ l ə d͡ʒ j ɑ n
Խաղխաղ	χ ɑ ʁ χ ɑ ʁ
Խանճյան	χ ɑ n d͡ʒ j ɑ n
Խանջյան	χ ɑ n t͡ʃ j ɑ n
Խաչանյան	χ ɑ t͡ʃ ɑ n j ɑ n
Խաչատուր	χ ɑ t͡ʃ ɑ d u ɾ
Խաչատրյան	χ ɑ t͡ʃ ɑ d ə ɾ j ɑ n
Խաչիկ	χ ɑ t͡ʃ i ɡ
Խաչիկյան	χ ɑ t͡ʃ i ɡ j ɑ n
Խաչիյան	χ ɑ t͡ʃ i j ɑ n
Խաչո	χ ɑ t͡ʃ o
Խառան	χ ɑ r ɑ n
Խառատյան	χ ɑ r ɑ d j ɑ n
Խարաճճյան	χ ɑ ɾ ɑ d͡ʒ d͡ʒ j ɑ n
Խարբերդ	χ ɑ ɾ p e ɾ t
Խարկով	χ ɑ ɾ ɡ o v
Խեցգետին	χ e t͡s k e d i n
Խոյ	χ o j
Խոսրով	χ o s ɾ o v
Խոսրովյան	χ o s ɾ o v j ɑ n
Խորեն	χ o ɾ e n
Խորենյան	χ o ɾ e n j ɑ n
Խորխոռունի	χ o ɾ χ o r u n i
Խորվաթիա	χ o ɾ v ɑ t i ɑ
Խուդավերդյան	χ u t ɑ v e ɾ t j ɑ n
Խուրշուդյան	χ u ɾ ʃ u t j ɑ n
Խչո	χ ə t͡ʃ o
Խրիմ	χ ə ɾ i m
Խրլոպյան	χ ə ɾ l o b j ɑ n
Խրուշչով	χ ɾ u ʃ t͡ʃ o v
Ծ	d͡z ə
Ծաղկազարդ	d͡z ɑ χ ɡ ɑ z ɑ ɾ t
Ծաղկոտն	d͡z ɑ χ ɡ o d ə n
Ծառուկ	d͡z ɑ r u ɡ
Ծառուկյան	d͡z ɑ r u ɡ j ɑ n
Ծատուրյան	d͡z ɑ d u ɾ j ɑ n
Ծղուկ	d͡z ə ʁ u ɡ
Ծովակ	d͡z o v ɑ ɡ
Ծոփք	d͡z o p k
Կ	ɡ ə
ԿԸՀ	ɡ ə ə h ə
Կաբակչյան	ɡ ɑ p ɑ k t͡ʃ j ɑ n
Կադիս	ɡ ɑ t i s
Կազան	ɡ ɑ z ɑ n
Կալաձե	ɡ ɑ l ɑ t͡s e
Կալինին	ɡ ɑ l i n i n
Կալինինգրադ	ɡ ɑ l i n i n k ɾ ɑ t
Կալիցիա	ɡ ɑ l i t͡s i ɑ
Կալիֆոռնիա	ɡ ɑ l i f o r n i ɑ
Կալլինոս	ɡ ɑ l l i n o s
Կալկաթա	ɡ ɑ l ɡ ɑ t ɑ
Կալուգա	ɡ ɑ l u k ɑ
Կալվին	ɡ ɑ l v i n
Կակոսյան	ɡ ɑ ɡ o s j ɑ n
Կամա	ɡ ɑ m ɑ
Կամբոջա	ɡ ɑ m p o t͡ʃ ɑ
Կամո	ɡ ɑ m o
Կամչատկա	ɡ ɑ m t͡ʃ ɑ d ɡ ɑ
Կամպալա	ɡ ɑ m b ɑ l ɑ
Կամպուչիա	ɡ ɑ m b u t͡ʃ i ɑ
Կամսար	ɡ ɑ m s ɑ ɾ
Կանադա	ɡ ɑ n ɑ t ɑ
Կանբերա	ɡ ɑ n p e ɾ ɑ
Կանն	ɡ ɑ n n
Կաննե	ɡ ɑ n n e
Կաունաս	ɡ ɑ u n ɑ s
Կապադովկիա	ɡ ɑ b ɑ t o f ɡ i ɑ
Կապան	ɡ ɑ b ɑ n
Կապիտոլիում	ɡ ɑ b i d o l i j u m
Կապուտան	ɡ ɑ b u d ɑ n
Կապուտյան	ɡ ɑ b u d j ɑ n
Կառլեն	ɡ ɑ r l e n
Կառնատակա	ɡ ɑ r n ɑ d ɑ ɡ ɑ
Կասյան	ɡ ɑ s j ɑ n
Կասպարյան	ɡ ɑ s b ɑ ɾ j ɑ n
Կասպք	ɡ ɑ s b k
Կատալոնիա	ɡ ɑ d ɑ l o n i ɑ
Կատար	ɡ ɑ d ɑ ɾ
Կատմանդու	ɡ ɑ d m ɑ n t u
Կարագանդա	ɡ ɑ ɾ ɑ k ɑ n t ɑ
Կարակաշյան	ɡ ɑ ɾ ɑ ɡ ɑ ʃ j ɑ n
Կարակաս	ɡ ɑ ɾ ɑ ɡ ɑ s
Կարայան	ɡ ɑ ɾ ɑ j ɑ n
Կարապետ	ɡ ɑ ɾ ɑ b e d
Կարապետյան	ɡ ɑ ɾ ɑ b e d j ɑ n
Կարելիա	ɡ ɑ ɾ e l i ɑ
Կարեն	ɡ ɑ ɾ e n
Կարթագեն	ɡ ɑ ɾ t ɑ k e n
Կարթաձուկ	ɡ ɑ ɾ t ɑ t͡s u ɡ
Կարիա	ɡ ɑ ɾ i ɑ
Կարիճ	ɡ ɑ ɾ i d͡ʒ
Կարին	ɡ ɑ ɾ i n
Կարո	ɡ ɑ ɾ o
Կարպատներ	ɡ ɑ ɾ b ɑ d n e ɾ
Կարպիս	ɡ ɑ ɾ b i s
Կարս	ɡ ɑ ɾ s
Կեմերովո	ɡ e m e ɾ o v o
Կեչրոր	ɡ e t͡ʃ ɾ o ɾ
Կեսարիա	ɡ e s ɑ ɾ i ɑ
Կետիկյան	ɡ e d i ɡ j ɑ n
Կերալա	ɡ e ɾ ɑ l ɑ
Կերլա	ɡ e ɾ l ɑ
Կեֆալոնիա	ɡ e f ɑ l o n i ɑ
Կզըլ	ɡ ə z ə l
Կիլիկիա	ɡ i l i ɡ i ɑ
Կիկերոն	ɡ i ɡ e ɾ o n
Կիշինյով	ɡ i ʃ i n j o v
Կիպրոս	ɡ i b ɾ o s
Կիտո	ɡ i d o
Կիրակոս	ɡ i ɾ ɑ ɡ o s
Կիրակոսյան	ɡ i ɾ ɑ ɡ o s j ɑ n
Կիրով	ɡ i ɾ o v
Կիրովական	ɡ i ɾ o v ɑ ɡ ɑ n
Կլարա	ɡ l ɑ ɾ ɑ
Կլենտէյլ	ɡ l e n d e j l
Կլեոպատրա	ɡ l e o b ɑ d ɾ ɑ
Կլերմոն	ɡ l e ɾ m o n
Կյոզյուքյուչյուքյան	ɡ j o z ʏ k ʏ t͡ʃ ʏ k j ɑ n
Կյուլպենկյան	ɡ ʏ l b e n ɡ j ɑ n
Կյուսյու	ɡ ʏ s ʏ
Կյուրեղ	ɡ ʏ ɾ e ʁ
Կյուրեղյան	ɡ ʏ ɾ e ʁ j ɑ n
Կյուրոս	ɡ ʏ ɾ o s
Կնյազ	ɡ ə n j ɑ z
Կշեռք	ɡ ə ʃ e r k
Կոդոմանոս	ɡ o t o m ɑ n o s
Կոդոր	ɡ o t o ɾ
Կոլխիդա	ɡ o l χ i t ɑ
Կոլոմնա	ɡ o l o m n ɑ
Կոլումբիա	ɡ o l u m p i ɑ
Կոհիմա	ɡ o h i m ɑ
Կողքիս	ɡ o χ k i s
Կոմնենոս	ɡ o m n e n o s
Կոյամպուտուր	ɡ o j ɑ m b u d u ɾ
Կոնակրի	ɡ o n ɑ ɡ ɾ i
Կոնրադ	ɡ o n ɾ ɑ t
Կոշկակարյան	ɡ o ʃ ɡ ɑ ɡ ɑ ɾ j ɑ n
Կոպելյան	ɡ o b e l j ɑ n
Կոպենհագեն	ɡ o b e n h ɑ k e n
Կոսովո	ɡ o s o v o
Կոստանդնուպոլիս	ɡ o s d ɑ n t n u b o l i s
Կոստանյան	ɡ o s d ɑ n j ɑ n
Կոստրոմա	ɡ o s d ɾ o m ɑ
Կովկաս	ɡ o v ɡ ɑ s
Կոտայք	ɡ o d ɑ j k
Կորդիլերներ	ɡ o ɾ t i l e ɾ n e ɾ
Կորեա	ɡ o ɾ e ɑ
Կորյուն	ɡ o ɾ ʏ n
Կորնթոս	ɡ o ɾ ə n t o s
Կորսիկա	ɡ o ɾ s i ɡ ɑ
Կուբա	ɡ u p ɑ
Կուկըլ	ɡ u ɡ ə l
Կույբիշև	ɡ u j p i ʃ e v
Կույումջյան	ɡ u j u m t͡ʃ j ɑ n
Կուր	ɡ u ɾ
Կուրգան	ɡ u ɾ k ɑ n
Կուրսկ	ɡ u ɾ s ɡ
Կտրիճ	ɡ ə d ɾ i d͡ʒ
Կրասնոդար	ɡ ɾ ɑ s n o t ɑ ɾ
Կրասնոյարսկ	ɡ ɾ ɑ s n o j ɑ ɾ s ɡ
Կրեմլ	ɡ ə ɾ e m ə l
Կրեսոս	ɡ ɾ e s o s
Կրետե	ɡ ə ɾ e d e
