அஃது	ɐ ɦ d̪ ɯ
வாரப்படு	ʋ aː ɾ ɐ pː ɐ ɖ ɯ
வாரப்பாடு	ʋ aː ɾ ɐ pː aː ɖ ɯ
வாரிசு	ʋ aː ɾ i s ɯ
வாரு	ʋ aː ɾ ɯ
வார்ப்புரு	ʋ aː ɾ pː u ɾ ɯ
வாலெலும்பு	ʋ aː l e l u m b ɯ
வால்நட்சத்திரம்	ʋ aː l n̪ ɐ ʈ s ɐ t̪ː i ɾ ɐ m
வாழ்த்து	ʋ aː ɻ t̪ː ɯ
வாழ்வு	ʋ aː ɻ ʋ ɯ
விக்கு	ʋ i kː ɯ
விக்சனரி	ʋ i k s ɐ n ɐ ɾ i
விசனம்	ʋ i s ɐ n ɐ m
விசயநகரம்	ʋ i s ɐ j ɐ n̪ ɐ ɡ ɐ ɾ ɐ m
விசாகப்பட்டினம்	ʋ i s aː ɡ ɐ pː ɐ ʈː i n ɐ m
விசாரணை	ʋ i s aː ɾ ɐ ɳ a ɪ̯
விசித்திரம்	ʋ i s i t̪ː i ɾ ɐ m
விசிறி	ʋ i s i r i
விசுவகருமா	ʋ i s u ʋ ɐ ɡ ɐ ɾ u m aː
விசுவநாதன்	ʋ i s u ʋ ɐ n̪ aː d̪ ɐ n
விசுவாசம்	ʋ i s u ʋ aː s ɐ m
விசேஷம்	ʋ i s eː ʂ ɐ m
விசைத்தறி	ʋ i s a ɪ̯ t̪ː ɐ r i
விசைப்பலகை	ʋ i s a ɪ̯ pː ɐ l ɐ ɡ a ɪ̯
விடு	ʋ i ɖ ɯ
வித்தியாசம்	ʋ i d̪ d̪ i j aː s ɐ m
வித்து	ʋ i t̪ː ɯ
விந்து	ʋ i n̪ d̪ ɯ
வினவு	ʋ i n ɐ ʋ ɯ
வினைமுற்று	ʋ i n a ɪ̯ m u t r ɯ
விபத்து	ʋ i b ɐ t̪ː ɯ
விமரிசம்	ʋ i m ɐ ɾ i s ɐ m
விமர்சனம்	ʋ i m ɐ ɾ s ɐ n ɐ m
விமர்சி	ʋ i m ɐ ɾ s i
விமோசனம்	ʋ i m oː s ɐ n ɐ m
விரிகாசம்	ʋ i ɾ i ɡ aː s ɐ m
விருட்சம்	ʋ i ɾ u ʈ s ɐ m
விருத்தசேதனம்	ʋ i ɾ u t̪ː ɐ s eː d̪ ɐ n ɐ m
விருந்து	ʋ i ɾ u n̪ d̪ ɯ
விரும்பு	ʋ i ɾ u m b ɯ
விரைவு	ʋ i ɾ a ɪ̯ ʋ ɯ
விறகு	ʋ i r ɐ ɡ ɯ
விலங்கு	ʋ i l ɐ ŋ ɡ ɯ
வில்வம்	ʋ i l ʋ ə m
விளக்கு	ʋ i ɭ ɐ kː ɯ
விளங்கு	ʋ i ɭ ɐ ŋ ɡ ɯ
விளம்பு	ʋ i ɭ ɐ m b ɯ
விளா	ʋ i ɭ aː
விளையாடு	ʋ i ɭ a ɪ̯ j aː ɖ ɯ
விளையாட்டு	ʋ i ɭ a ɪ̯ j aː ʈː ɯ
விளைவு	ʋ i ɭ a ɪ̯ ʋ ɯ
விழு	ʋ i ɻ ɯ
விழுக்காடு	ʋ i ɻ u kː aː ɖ ɯ
விழுங்கு	ʋ i ɻ u ŋ ɡ ɯ
விழுது	ʋ i ɻ u d̪ ɯ
விழைவு	ʋ i ɻ a ɪ̯ ʋ ɯ
விவசாயம்	ʋ i ʋ ɐ s aː j ɐ m
விவசாயி	ʋ i ʋ ɐ s aː j i
விவரிப்பு	ʋ i ʋ ɐ ɾ i pː ɯ
விவாகரத்து	ʋ i ʋ aː ɡ ɐ ɾ ɐ t̪ː ɯ
விஷயசூசிகை	ʋ i ʂ ɐ j ɐ s uː s i ɡ a ɪ̯
விஷ்ணு	ʋ i ʂ ɳ ɯ
வீசு	ʋ iː s ɯ
வீச்சு	ʋ iː t͡ɕː ɯ
வீடு	ʋ iː ɖ ɯ
வெகுவசனம்	ʋ e ɡ u ʋ ɐ s ɐ n ɐ m
வெங்கடாசலபதி	ʋ e ŋ ɡ ɐ ɖ aː s ɐ l ɐ b ɐ d̪ i
வெடிமருந்து	ʋ e ɖ i m ɐ ɾ u n̪ d̪ ɯ
வெட்டு	ʋ e ʈː ɯ
வெறிது	ʋ e r i d̪ ɯ
வெறிப்பு	ʋ e r i pː ɯ
வெறு	ʋ e r ɯ
வெறுப்பு	ʋ e r u pː ɯ
வெற்றி	ʋ e t r i
வெற்றிலை	ʋ e t r i l a ɪ̯
வெளிப்படுத்து	ʋ e ɭ i pː ɐ ɖ u t̪ː ɯ
வெளியீடு	ʋ e ɭ i j iː ɖ ɯ
வெள்ளக்காடு	ʋ e ɭː ɐ kː aː ɖ ɯ
வெள்ளாடு	ʋ e ɭː aː ɖ ɯ
வேசி	ʋ eː s i
வேசியை	ʋ eː s i j a ɪ̯
வேண்டு	ʋ eː ɳ ɖ ɯ
வேம்பு	ʋ eː m b ɯ
வேறு	ʋ eː r ɯ
வேறுபாடு	ʋ eː r u b aː ɖ ɯ
வேற்றுகிரகவாசி	ʋ eː t r u ɡ i ɾ ɐ ɡ ɐ ʋ aː s i
வேற்றுமை	ʋ eː t r u m a ɪ̯
வேலைவாங்கு	ʋ eː l a ɪ̯ ʋ aː ŋ ɡ ɯ
வைகாசி	ʋ a ɪ̯ ɡ aː s i
வைசிகன்	ʋ a ɪ̯ s i ɡ ɐ n
வைத்திரு	ʋ a ɪ̯ t̪ː i ɾ ɯ
வைப்பு	ʋ a ɪ̯ pː ɯ
வைவு	ʋ a ɪ̯ ʋ ɯ
ஸாரட்டு	s aː ɾ ɐ ʈː ɯ
ஸாஹசர்யம்	s aː h ɐ s ɐ ɾ j ɐ m
ஹக்காசியா	h ɐ kː aː s i j aː
