అ	ɐ
పీచు	p iː t͡ɕ ʊ
పీట	p iː ʈ a
పీడ	p iː ɖ ɐ
పీడకల	p iː ɖ ɐ k ɐ l ɐ
పీడనము	p iː ɖ ɐ n̪ ɐ m ʊ
పీత	p iː t̪ ɐ
పీతలు	p iː t̪ ɐ l ʊ
పీయి	p iː j ɪ
పుచ్చ	p ʊ t͡ɕː ɐ
పుచ్చు	p ʊ t͡ɕː ʊ
పుట	p u ʈ a
పుట్ట	p u ʈː a
పుట్టినరోజు	p ʊ ʈː ɪ n̪ ɐ ɾ oː d͡ʑ ʊ
పుట్టు	p ʊ ʈː ʊ
పుట్టుక	p ʊ ʈː ʊ k ɐ
పుడమి	p u ɖ a m i
పుత్తడి	p ʊ t̪ː ɐ ɖ ɪ
పుత్తడిబొమ్మ	p ʊ t̪ː ɐ ɖ ɪ b ɔ mː ɐ
పుత్తళిక	p ʊ t̪ː ɐ ɭ ɪ k ɐ
పుత్రి	p u t r i
పురుగు	p ʊ ɾ ʊ ɡ ʊ
పురుషాంగము	p ʊ ɾ ʊ ʂ aː ŋ ɡ ɐ m ʊ
పులి	p ʊ l ɪ
పులోమజ	p ʊ l oː m ɐ d͡ʑ ɐ
పుల్ల	p u l̪ː a
పుల్లయ్య	p ʊ lː ɐ jː ɐ
పువ్వు	p ʊ ʋː ʊ
పుష్టి	p ʊ ʂ ʈ ɪ
పుష్పకము	p u ʂ p a k a m u
పుష్పము	p u ʂ p a m u
పుష్పించు	p ʊ ʂ p ɪ ɲ t͡ɕ ʊ
పుష్పించే	p ʊ ʂ p ɪ ɲ t͡ɕ eː
పుష్పింౘు	p ʊ ʂ p ɪ n̪ t͡s ʊ
పుస్తకము	p ʊ s t̪ ɐ k ɐ m ʊ
పుౘ్చు	p ʊ t͡s t͡ɕ ʊ
పూఁవిల్లు	p uː ʋ ɪ lː ʊ
పూకు	p uː k u
పూచు	p uː t͡ɕ ʊ
పూచే	p uː t͡ɕ eː
పూట	p uː ʈ ɐ
పూణే	p uː ɳ eː
పూతల	p uː t̪ ɐ l ɐ
పూదండ	p uː d̪ ɐ ɳ ɖ ɐ
పూనా	p uː n̪ aː
పూనూనె	p uː n̪ uː n̪ ɛ
పూబిందె	p uː b ɪ n̪ d̪ ɛ
పూమాల	p uː m aː l ɐ
పూర్తి	p uː ɾ t̪ ɪ
పూర్తిగా	p uː ɾ t̪ ɪ ɡ aː
పూలమాల	p uː l ɐ m aː l ɐ
పూవిల్లు	p uː ʋ ɪ lː ʊ
పూవు	p uː ʋ ʊ
పూౘు	p uː t͡s ʊ
పెంచాడు	p ɛ ɲ t͡ɕ aː ɖ ʊ
పెంచాను	p ɛ ɲ t͡ɕ aː n̪ ʊ
పెంచాము	p ɛ ɲ t͡ɕ aː m ʊ
పెంచారు	p ɛ ɲ t͡ɕ aː ɾ ʊ
పెంచావు	p ɛ ɲ t͡ɕ aː ʋ ʊ
పెంచింది	p ɛ ɲ t͡ɕ ɪ n̪ d̪ ɪ
పెంచు	p ɛ ɲ t͡ɕ ʊ
పెంచుతున్నది	p ɛ ɲ t͡ɕ ʊ t̪ ʊ n̪ n̪ ɐ d̪ ɪ
పెంచుతున్నాడు	p ɛ ɲ t͡ɕ ʊ t̪ ʊ n̪ n̪ aː ɖ ʊ
పెంచుతున్నాను	p ɛ ɲ t͡ɕ ʊ t̪ ʊ n̪ n̪ aː n̪ ʊ
పెంచుతున్నాము	p ɛ ɲ t͡ɕ ʊ t̪ ʊ n̪ n̪ aː m ʊ
పెంచుతున్నారు	p ɛ ɲ t͡ɕ ʊ t̪ ʊ n̪ n̪ aː ɾ ʊ
పెంచుతున్నావు	p ɛ ɲ t͡ɕ ʊ t̪ ʊ n̪ n̪ aː ʋ ʊ
పెంటిక	p ɛ ɳ ʈ ɪ k ɐ
పెండ	p ɛ ɳ ɖ ɐ
పెండ్లి	p ɛ ɳ ɖ l ɪ
పెండ్లియాడు	p ɛ ɳ ɖ l ɪ j aː ɖ ʊ
పెక్కు	p ɛ kː ʊ
పెగ్గు	p ɛ ɡː ʊ
పెట్టలు	p ɛ ʈː ɐ l ʊ
పెట్టించు	p ɛ ʈː ɪ ɲ t͡ɕ ʊ
పెట్టు	p ɛ ʈː ʊ
పెట్టుకొను	p ɛ ʈː ʊ k ɔ n̪ ʊ
పెట్టుబడి	p ɛ ʈː ʊ b ɐ ɖ ɪ
పెత్తండ్రి	p ɛ t̪ː ɐ ɳ ɖ ɾ ɪ
పెత్తల్లి	p ɛ t̪ː ɐ lː ɪ
పెదనాన్న	p ɛ d̪ ɐ n̪ aː n̪ n̪ ɐ
పెదవి	p ɛ d̪ ɐ ʋ ɪ
పెద్ద	p ɛ d̪ː ɐ
పెద్దమెదడు	p ɛ d̪ː ɐ m ɛ d̪ ɐ ɖ ʊ
పెద్దమ్మ	p ɛ d̪ː ɐ mː ɐ
పెద్దవాడు	p ɛ d̪ː ɐ ʋ aː ɖ ʊ
పెనం	p ɛ n̪ ɐ m̃
పెనము	p ɛ n̪ ɐ m ʊ
పెను	p ɛ n̪ ʊ
పెరడు	p ɛ ɾ ɐ ɖ ʊ
పెరుగన్నము	p ɛ ɾ ʊ ɡ ɐ n̪ n̪ ɐ m ʊ
పెరుగు	p ɛ ɾ ʊ ɡ ʊ
పెళ్లమ్రాను	p ɛ ɭː ɐ m ɾ aː n̪ ʊ
పెళ్ళాం	p ɛ ɭː aː m̃
పేఁడ	p eː ɖ ɐ
పేట	p eː ʈ a
పేడ	p eː ɖ ɐ
పేను	p eː n̪ ʊ
పేలరి	p eː l ɐ ɾ ɪ
పేలరితనము	p eː l ɐ ɾ ɪ t̪ ɐ n̪ ɐ m ʊ
పైకప్పు	p ɐ ɪ̯ k ɐ pː ʊ
పైడి	p ɐ ɪ̯ ɖ ɪ
పైన	p ɐ ɪ̯ n̪ ɐ
పైరగాలి	p ɐ ɪ̯ ɾ ɐ ɡ aː l ɪ
పైవిలాసము	p ɐ ɪ̯ ʋ ɪ l aː s ɐ m ʊ
పొందు	p ɔ n̪ d̪ ʊ
పొందుకత్తె	p ɔ n̪ d̪ ʊ k ɐ t̪ː ɛ
పొందుకాడు	p ɔ n̪ d̪ ʊ k aː ɖ ʊ
పొక్కు	p ɔ kː ʊ
పొగ	p ɔ ɡ ɐ
పొగకర్ర	p ɔ ɡ ɐ k ɐ r ɐ
పొగచుట్ట	p ɔ ɡ ɐ t͡ɕ ʊ ʈː ɐ
పొగచెట్టు	p ɔ ɡ ɐ t͡ɕ ɛ ʈː ʊ
పొగమంచు	p ɔ ɡ ɐ m ɐ ɲ t͡ɕ ʊ
పొగాకుచెట్టు	p ɔ ɡ aː k ʊ t͡ɕ ɛ ʈː ʊ
పొట్ట	p ɔ ʈː ɐ
పొట్టి	p ɔ ʈː ɪ
పొట్టు	p ɔ ʈː ʊ
పొడి	p ɔ ɖ ɪ
పొడికొట్టు	p ɔ ɖ ɪ k ɔ ʈː ʊ
పొడిచేయు	p ɔ ɖ ɪ t͡ɕ eː j ʊ
పొడుచు	p ɔ ɖ ʊ t͡ɕ ʊ
పొడుపు	p ɔ ɖ ʊ p ʊ
పొడుపుకథ	p ɔ ɖ ʊ p ʊ k ɐ t̪ʰ ɐ
పొత్తము	p ɔ t̪ː ɐ m ʊ
పొత్తు	p ɔ t̪ː ʊ
పొత్తుకత్తె	p ɔ t̪ː ʊ k ɐ t̪ː ɛ
పొత్తుకాడు	p ɔ t̪ː ʊ k aː ɖ ʊ
పొన్న	p ɔ n̪ n̪ ɐ
పొన్ను	p ɔ n̪ n̪ ʊ
పొరుగు	p ɔ ɾ ʊ ɡ ʊ
పొల	p ɔ l ɐ
పో	p oː
పోతు	p oː t̪ ʊ
పోరాట	p oː ɾ aː ʈ ɐ
పోరాటం	p oː ɾ aː ʈ ɐ m̃
పోరాటము	p oː ɾ aː ʈ ɐ m ʊ
పోరాడు	p oː ɾ aː ɖ ʊ
పోరు	p oː ɾ ʊ
పోలిక	p oː l ɪ k ɐ
పోలీసు	p oː l iː s ʊ
పోలు	p oː l ʊ
పౌను	p ɐ ʊ̯ n̪ ʊ
పౌలోమి	p ɐ ʊ̯ l oː m ɪ
ప్రకటన	p ɾ ɐ k ɐ ʈ ɐ n̪ ɐ
ప్రకటనచేయు	p ɾ ɐ k ɐ ʈ ɐ n̪ ɐ t͡ɕ eː j ʊ
ప్రకటము	p ɾ ɐ k ɐ ʈ ɐ m ʊ
ప్రకటించు	p ɾ ɐ k ɐ ʈ ɪ ɲ t͡ɕ ʊ
ప్రక్క	p ɾ ɐ kː ɐ
ప్రతి	p ɾ ɐ t̪ ɪ
ప్రతులు	p ɾ ɐ t̪ ʊ l ʊ
ప్రధానమంత్రి	p ɾ ɐ d̪ʱ aː n̪ ɐ m ɐ n̪ t̪ ɾ ɪ
ప్రపంచము	p ɾ ɐ p ɐ ɲ t͡ɕ ɐ m ʊ
ప్రభుత్వము	p ɾ ɐ bʱ ʊ t̪ ʋ ɐ m ʊ
ప్రవర్తన	p ɾ ɐ ʋ ɐ ɾ t̪ ɐ n̪ ɐ
ప్రస్థానము	p ɾ ɐ s t̪ʰ aː n̪ ɐ m ʊ
ప్రాచీనము	p ɾ aː t͡ɕ iː n̪ ɐ m ʊ
ప్రాచీరము	p ɾ aː t͡ɕ iː ɾ ɐ m ʊ
ప్రాణము	p ɾ aː ɳ ɐ m ʊ
ప్రాణి	p ɾ aː ɳ ɪ
ప్రాత	p ɾ aː t̪ ɐ
ప్రాయం	p ɾ aː j ɐ m̃
ప్రాయము	p ɾ aː j ɐ m ʊ
ప్రారంభించు	p ɾ aː ɾ ɐ m bʱ ɪ ɲ t͡ɕ ʊ
ప్రియ	p ɾ ɪ j ɐ
ప్రియం	p ɾ ɪ j ɐ m̃
ప్రియము	p ɾ ɪ j ɐ m ʊ
ప్రియుఁడు	p ɾ ɪ j ʊ ɖ ʊ
ప్రియుడు	p ɾ ɪ j ʊ ɖ ʊ
ప్రియురాలు	p ɾ ɪ j ʊ ɾ aː l ʊ
ప్రేగు	p ɾ eː ɡ ʊ
ప్రేమ	p ɾ eː m ɐ
ప్రేమలు	p ɾ eː m ɐ l ʊ
ప్రేమించాడు	p ɾ eː m ɪ ɲ t͡ɕ aː ɖ ʊ
ప్రేమించాను	p ɾ eː m ɪ ɲ t͡ɕ aː n̪ ʊ
ప్రేమించాము	p ɾ eː m ɪ ɲ t͡ɕ aː m ʊ
ప్రేమించారు	p ɾ eː m ɪ ɲ t͡ɕ aː ɾ ʊ
ప్రేమించావు	p ɾ eː m ɪ ɲ t͡ɕ aː ʋ ʊ
ప్రేమించింది	p ɾ eː m ɪ ɲ t͡ɕ ɪ n̪ d̪ ɪ
ప్రేమించు	p ɾ eː m ɪ ɲ t͡ɕ ʊ
ప్రేమికుడు	p ɾ eː m ɪ k ʊ ɖ ʊ
ప్రొద్దు	p ɾ ɔ d̪ː ʊ
ప్రోలు	p ɾ oː l ʊ
ఫణి	pʰ a ɳ i
ఫలం	pʰ ɐ l ɐ m̃
ఫలము	pʰ ɐ l ɐ m ʊ
ఫలించుట	pʰ ɐ l ɪ ɲ t͡ɕ ʊ ʈ ɐ
ఫిడేలు	pʰ ɪ ɖ eː l ʊ
ఫిబ్రవరి	pʰ ɪ b ɾ ɐ ʋ ɐ ɾ ɪ
ఫిర్యాదుచేయు	pʰ ɪ ɾ j aː d̪ ʊ t͡ɕ eː j ʊ
బంగారపు	b ɐ ŋ ɡ aː ɾ ɐ p ʊ
బంగాళాదుంప	b ɐ ŋ ɡ aː ɭ aː d̪ ʊ m p ɐ
బంటి	b ɐ ɳ ʈ ɪ
బంటు	b ɐ ɳ ʈ ʊ
బండి	b ɐ ɳ ɖ ɪ
బచ్చలి	b ɐ t͡ɕː ɐ l ɪ
బచ్చెన	b ɐ t͡ɕː ɛ n̪ ɐ
బజారు	b ɐ d͡ʑ aː ɾ ʊ
బడి	b ɐ ɖ ɪ
బడిపంతులు	b ɐ ɖ ɪ p ɐ n̪ t̪ ʊ l ʊ
బడ్డు	b ɐ ɖː ʊ
బతుకు	b ɐ t̪ ʊ k ʊ
బత్తాయి	b ɐ t̪ː aː j ɪ
బత్తీ	b ɐ t̪ː iː
బదులు	b ɐ d̪ ʊ l ʊ
బద్దకము	b ɐ d̪ː ɐ k ɐ m ʊ
బయట	b ɐ j ɐ ʈ ɐ
బయటపెట్టు	b ɐ j ɐ ʈ ɐ p ɛ ʈː ʊ
బయటి	b ɐ j ɐ ʈ ɪ
బయలు	b ɐ j ɐ l ʊ
బయలుదేరు	b ɐ j ɐ l ʊ d̪ eː ɾ ʊ
బరువు	b ɐ ɾ ʊ ʋ ʊ
బరువులు	b ɐ ɾ ʊ ʋ ʊ l ʊ
బర్రె	b ɐ r ɛ
బలి	b a l̪ i
బల్ల	b a lː a
బల్లకట్టు	b ɐ lː ɐ k ɐ ʈː ʊ
బల్లలు	b ɐ lː ɐ l ʊ
బల్లి	b ɐ lː ɪ
బల్లులు	b ɐ lː ʊ l ʊ
బల్లెం	b ɐ lː ɛ m̃
బల్లెము	b ɐ lː ɛ m ʊ
బస్సు	b a sː u
బహు	b ɐ h ʊ
బహుశా	b ɐ h ʊ ɕ aː
బాంబు	b aː m b ʊ
బాకు	b aː k u
బాగు	b aː ɡ ʊ
బాగుపడు	b aː ɡ ʊ p ɐ ɖ ʊ
బాజా	b aː d͡ʑ aː
బాట	b aː ʈ ɐ
బాటలు	b aː ʈ ɐ l ʊ
బాటసారి	b aː ʈ ɐ s aː ɾ ɪ
బాతు	b aː t̪ ʊ
బాధపెట్టు	b aː d̪ʱ ɐ p ɛ ʈː ʊ
బాబా	b aː b aː
బాలుడు	b aː l ʊ ɖ ʊ
బావి	b aː ʋ ɪ
బాహుదండము	b aː h ʊ d̪ ɐ ɳ ɖ ɐ m ʊ
బిగ్గర	b ɪ ɡː ɐ ɾ ɐ
బిగ్గరగా	b ɪ ɡː ɐ ɾ ɐ ɡ aː
బిడ్డ	b ɪ ɖː ɐ
బిడ్డల	b ɪ ɖː ɐ l ɐ
బిడ్డలు	b ɪ ɖː ɐ l ʊ
బిల్లు	b i lː u
బీగపుచెవి	b iː ɡ ɐ p ʊ t͡ɕ ɛ ʋ ɪ
బీగము	b iː ɡ ɐ m ʊ
బీర	b iː r̪ a
బీరకాయ	b iː ɾ ɐ k aː j ɐ
బుడ్డ	b ʊ ɖː ɐ
బుడ్డి	b ʊ ɖː ɪ
బుడ్లు	b ʊ ɖ l ʊ
బుధుడు	b ʊ d̪ʱ ʊ ɖ ʊ
బురుజు	b ʊ ɾ ʊ d͡ʑ ʊ
బుర్ర	b u rː a
బువ్వ	b ʊ ʋː ɐ
బువ్వకుడుపు	b ʊ ʋː ɐ k ʊ ɖ ʊ p ʊ
బువ్వదిండి	b ʊ ʋː ɐ d̪ ɪ ɳ ɖ ɪ
బువ్వము	b ʊ ʋː ɐ m ʊ
బువ్వమ్మ	b ʊ ʋː ɐ mː ɐ
బూడిద	b uː ɖ ɪ d̪ ɐ
బృహస్పతి	b ɻ̍ h ɐ s p ɐ t̪ ɪ
బెంగాల్	b ɛ ŋ ɡ aː l
బెడ్డ	b ɛ ɖː ɐ
బెడ్డలు	b ɛ ɖː ɐ l ʊ
బెదురు	b ɛ d̪ ʊ ɾ ʊ
బేరమాడు	b eː ɾ ɐ m aː ɖ ʊ
బేరము	b eː ɾ ɐ m ʊ
బేరముచేయు	b eː ɾ ɐ m ʊ t͡ɕ eː j ʊ
బొక్క	b ɔ kː ɐ
బొచ్చు	b ɔ t͡ɕː ʊ
బొట్టు	b o ʈː u
బొడ్డు	b ɔ ɖː ʊ
బొమ	b ɔ m ɐ
బొమ్మ	b ɔ mː ɐ
బొమ్మలపెండ్లి	b ɔ mː ɐ l ɐ p ɛ ɳ ɖ l ɪ
బోటు	b oː ʈ ʊ
బోట్లు	b oː ʈ l ʊ
బోడ	b oː ɖ a
బ్రతుకు	b ɾ ɐ t̪ ʊ k ʊ
బ్రహ్మాస్త్రము	b ɾ ɐ h m aː s t̪ ɾ ɐ m ʊ
భగిని	bʱ ɐ ɡ ɪ n̪ ɪ
భటుడు	bʱ ɐ ʈ ʊ ɖ ʊ
భద్రకాళి	bʱ ɐ d̪ ɾ ɐ k aː ɭ ɪ
భరణి	bʱ ɐ ɾ ɐ ɳ ɪ
భర్త	bʱ ɐ ɾ t̪ ɐ
భర్తలు	bʱ ɐ ɾ t̪ ɐ l ʊ
భవంతి	bʱ ɐ ʋ ɐ n̪ t̪ ɪ
భారం	bʱ aː ɾ ɐ m̃
భారతం	bʱ aː ɾ ɐ t̪ ɐ m̃
భారతము	bʱ aː ɾ ɐ t̪ ɐ m ʊ
భారతి	bʱ aː ɾ ɐ t̪ ɪ
భారము	bʱ aː ɾ ɐ m ʊ
భారీ	bʱ aː ɾ iː
భాష	bʱ aː ʂ ɐ
భుజంగము	bʱ ʊ d͡ʑ ɐ ŋ ɡ ɐ m ʊ
భుజకీర్తి	bʱ ʊ d͡ʑ ɐ k iː ɾ t̪ ɪ
భుజము	bʱ ʊ d͡ʑ ɐ m ʊ
భువి	bʱ u ʋ i
భూతము	bʱ uː t̪ ɐ m ʊ
భూమి	bʱ uː m i
భూమిజ	bʱ uː m ɪ d͡ʑ ɐ
భేదం	bʱ eː d̪ ɐ m̃
భేదము	bʱ eː d̪ ɐ m ʊ
భైరవి	bʱ ɐ ɪ̯ ɾ ɐ ʋ ɪ
భ్రమ	bʱ ɾ ɐ m ɐ
భ్రమణం	bʱ ɾ ɐ m ɐ ɳ ɐ m̃
భ్రమణము	bʱ ɾ ɐ m ɐ ɳ ɐ m ʊ
భ్రమపడు	bʱ ɾ ɐ m ɐ p ɐ ɖ ʊ
భ్రమము	bʱ ɾ ɐ m ɐ m ʊ
భ్రాంతి	bʱ ɾ aː n̪ t̪ ɪ
భ్రాత	bʱ ɾ aː t̪ ɐ
భ్రాతలు	bʱ ɾ aː t̪ ɐ l ʊ
మంగళసూత్రము	m ɐ ŋ ɡ ɐ ɭ ɐ s uː t̪ ɾ ɐ m ʊ
మంచు	m ɐ ɲ t͡ɕ ʊ
మంచుగడ్డ	m ɐ ɲ t͡ɕ ʊ ɡ ɐ ɖː ɐ
మంట	m ɐ ɳ ʈ ɐ
మంటపము	m ã ɳ ʈ a p a m u
మండపము	m ã ɳ ɖ a p a m u
మండలము	m ã ɳ ɖ a l a m u
మండు	m ɐ ɳ ɖ ʊ
మంత్రదండం	m ɐ n̪ t̪ ɾ ɐ d̪ ɐ ɳ ɖ ɐ m̃
మంత్రదండము	m ɐ n̪ t̪ ɾ ɐ d̪ ɐ ɳ ɖ ɐ m ʊ
మంత్రము	m ɐ n̪ t̪ ɾ ɐ m ʊ
మంద	m ɐ n̪ d̪ ɐ
మందము	m ɐ n̪ d̪ ɐ m ʊ
మందలు	m ɐ n̪ d̪ ɐ l ʊ
మందిరము	m ɐ n̪ d̪ ɪ ɾ ɐ m ʊ
మందు	m ɐ n̪ d̪ ʊ
మందుకొట్టు	m ɐ n̪ d̪ ʊ k ɔ ʈː ʊ
మందుల	m ɐ n̪ d̪ ʊ l ɐ
మందులవాడు	m ɐ n̪ d̪ ʊ l ɐ ʋ aː ɖ ʊ
మందులు	m ɐ n̪ d̪ ʊ l ʊ
మఖం	m ɐ kʰ ɐ m̃
మఖము	m ɐ kʰ ɐ m ʊ
మగ	m a ɡ a
మగఁడు	m ɐ ɡ ɐ ɖ ʊ
మగండు	m ɐ ɡ ɐ ɳ ɖ ʊ
మగగురి	m ɐ ɡ ɐ ɡ ʊ ɾ ɪ
మగగుఱి	m ɐ ɡ ɐ ɡ ʊ r ɪ
మగడు	m ɐ ɡ ɐ ɖ ʊ
మగవాడు	m ɐ ɡ ɐ ʋ aː ɖ ʊ
మగాడు	m ɐ ɡ aː ɖ ʊ
మచ్చు	m ɐ t͡ɕː ʊ
మడత	m ɐ ɖ ɐ t̪ ɐ
మడతలు	m ɐ ɖ ɐ t̪ ɐ l ʊ
మడి	m a d i
మడ్డి	m ɐ ɖː ɪ
మణి	m a ɳ i
మతి	m a t i
మత్త	m ɐ t̪ː ɐ
మత్తకోకిల	m ɐ t̪ː ɐ k oː k ɪ l ɐ
మత్తు	m ɐ t̪ː ʊ
మత్స్యకన్య	m ɐ t̪ s j ɐ k ɐ n̪ j ɐ
మది	m a d̪ i
మద్యము	m ɐ d̪ j ɐ m ʊ
మద్రాసు	m ɐ d̪ ɾ aː s ʊ
మధ్యమ	m ɐ d̪ʱ j ɐ m ɐ
మన	m a n̪ a
మనం	m ɐ n̪ ɐ m̃
మనది	m a n a d i
మననం	m ɐ n̪ ɐ n̪ ɐ m̃
మననము	m ɐ n̪ ɐ n̪ ɐ m ʊ
మనము	m ɐ n̪ ɐ m ʊ
మనసు	m ɐ n̪ ɐ s ʊ
మనస్సు	m ɐ n̪ ɐ sː ʊ
మను	m ɐ n̪ ʊ
మనుమరాలు	m ɐ n̪ ʊ m ɐ ɾ aː l ʊ
మనువు	m ɐ n̪ ʊ ʋ ʊ
మనోజవసుఁడు	m ɐ n̪ oː d͡ʑ ɐ ʋ ɐ s ʊ ɖ ʊ
మనోజవసుడు	m ɐ n̪ oː d͡ʑ ɐ ʋ ɐ s ʊ ɖ ʊ
మనోజవుడు	m ɐ n̪ oː d͡ʑ ɐ ʋ ʊ ɖ ʊ
మన్ను	m a n̪ː u
మన్నెము	m ɐ n̪ n̪ ɛ m ʊ
మయినము	m ɐ j ɪ n̪ ɐ m ʊ
మర	m ɐ ɾ ɐ
మరలా	m ɐ ɾ ɐ l aː
మరలు	m ɐ ɾ ɐ l ʊ
మరి	m ɐ ɾ ɪ
మరీ	m ɐ ɾ iː
మరు	m ɐ ɾ ʊ
మరుగు	m ɐ ɾ ʊ ɡ ʊ
మరుపు	m ɐ ɾ ʊ p ʊ
మరులు	m ɐ ɾ ʊ l ʊ
మరువు	m ɐ ɾ ʊ ʋ ʊ
మర్నాడు	m ɐ ɾ n̪ aː ɖ ʊ
మర్యాదలు	m ɐ ɾ j aː d̪ ɐ l ʊ
మర్రిచెట్టు	m ɐ r ɪ t͡ɕ ɛ ʈː ʊ
మర్రిచెట్లు	m ɐ r ɪ t͡ɕ ɛ ʈ l ʊ
మల	m ɐ l ɐ
మలం	m ɐ l ɐ m̃
మలము	m ɐ l ɐ m ʊ
మల్లె	m ɐ lː ɛ
మళ్లీ	m ɐ ɭː iː
మళ్లు	m ɐ ɭː ʊ
మసి	m ɐ s ɪ
మసిబుడ్డి	m ɐ s ɪ b ʊ ɖː ɪ
మసీదు	m ɐ s iː d̪ ʊ
మహాభారతం	m ɐ h aː bʱ aː ɾ ɐ t̪ ɐ m̃
మహాభారతము	m ɐ h aː bʱ aː ɾ ɐ t̪ ɐ m ʊ
మాంసము	m aː m̃ s ɐ m ʊ
మాట	m aː ʈ ɐ
మాటకాడు	m aː ʈ ɐ k aː ɖ ʊ
మాటకారి	m aː ʈ ɐ k aː ɾ ɪ
మాటల	m aː ʈ ɐ l ɐ
మాటలమారి	m aː ʈ ɐ l ɐ m aː ɾ ɪ
మాట్లాడు	m aː ʈ l aː ɖ ʊ
మాతామహి	m aː t̪ aː m ɐ h ɪ
మాత్రము	m aː t̪ ɾ ɐ m ʊ
మాది	m aː d i
మానం	m aː n̪ ɐ m̃
మానము	m aː n̪ ɐ m ʊ
మాపు	m aː p ʊ
మామ	m aː m ɐ
మామిడికాయ	m aː m ɪ ɖ ɪ k aː j ɐ
మారి	m aː ɾ ɪ
మారు	m aː ɾ ʊ
మారుచు	m aː ɾ ʊ t͡ɕ ʊ
మారుట	m aː ɾ ʊ ʈ ɐ
మారుపు	m aː ɾ ʊ p ʊ
మార్గము	m aː ɾ ɡ ɐ m ʊ
మార్చి	m aː ɾ t͡ɕ ɪ
మార్చు	m aː ɾ t͡ɕ ʊ
మార్పు	m aː ɾ p ʊ
మాఱకం	m aː r ɐ k ɐ m̃
మాఱు	m aː r ʊ
మాఱుచు	m aː r ʊ t͡ɕ ʊ
మాఱుట	m aː r ʊ ʈ ɐ
మాఱుపు	m aː r ʊ p ʊ
మాఱ్చు	m aː r t͡ɕ ʊ
మాఱ్పు	m aː r p ʊ
మాల	m aː l ɐ
మాలపిల్ల	m aː l ɐ p ɪ lː ɐ
మాలలు	m aː l ɐ l ʊ
మాళిగ	m aː ɭ ɪ ɡ ɐ
మావి	m aː ʋ ɪ
మించు	m ɪ ɲ t͡ɕ ʊ
మిగిలిన	m ɪ ɡ ɪ l ɪ n̪ ɐ
మిగులు	m ɪ ɡ ʊ l ʊ
మిడుతలు	m ɪ ɖ ʊ t̪ ɐ l ʊ
మిథునము	m i t̪ʰ u n̪ a m u
మినప	m ɪ n̪ ɐ p ɐ
మిన్ను	m i n̪ː u
మిరప	m ɪ ɾ ɐ p ɐ
మిరపకాయ	m ɪ ɾ ɐ p ɐ k aː j ɐ
మిల్లీలీటరు	m ɪ lː iː l iː ʈ ɐ ɾ ʊ
మీ	m iː
మీఁగడ	m iː ɡ ɐ ɖ ɐ
మీగడ	m iː ɡ ɐ ɖ ɐ
మీద	m iː d̪ ɐ
మీనం	m iː n̪ ɐ m̃
మీరు	m iː ɾ ʊ
మీసం	m iː s ɐ m̃
మీసము	m iː s ɐ m ʊ
మీసములు	m iː s ɐ m ʊ l ʊ
మీసాలు	m iː s aː l ʊ
ముందు	m ʊ n̪ d̪ ʊ
ముందుమాట	m ʊ n̪ d̪ ʊ m aː ʈ ɐ
ముందోలు	m ʊ n̪ d̪ oː l ʊ
ముక్క	m u kː a
ముక్కంటి	m ʊ kː ɐ ɳ ʈ ɪ
ముక్కు	m ʊ kː ʊ
ముక్కుపుడక	m ʊ kː ʊ p ʊ ɖ ɐ k ɐ
ముక్కుపుడకలు	m ʊ kː ʊ p ʊ ɖ ɐ k ɐ l ʊ
ముక్కుపొడి	m ʊ kː ʊ p ɔ ɖ ɪ
ముఖం	m ʊ kʰ ɐ m̃
ముఖము	m ʊ kʰ ɐ m ʊ
ముఖాముఖి	m ʊ kʰ aː m ʊ kʰ ɪ
ముగించు	m ʊ ɡ ɪ ɲ t͡ɕ ʊ
ముగియు	m ʊ ɡ ɪ j ʊ
ముగ్గు	m u ɡː u
ముగ్గురు	m u ɡː u r̪ u
ముచ్చు	m ʊ t͡ɕː ʊ
ముట్టు	m ʊ ʈː ʊ
ముడి	m ʊ ɖ ɪ
ముడ్డి	m u ɖː i
ముది	m ʊ d̪ ɪ
ముద్దుపెట్టు	m ʊ d̪ː ʊ p ɛ ʈː ʊ
మునగ	m ʊ n̪ ɐ ɡ ɐ
మును	m ʊ n̪ ʊ
మున్నీరు	m ʊ n̪ n̪ iː ɾ ʊ
మున్ను	m ʊ n̪ n̪ ʊ
ముప్పావు	m ʊ pː aː ʋ ʊ
ముల్లు	m ʊ lː ʊ
మువ్వన్నె	m ʊ ʋː ɐ n̪ n̪ ɛ
మువ్వురు	m u ʋː u r̪ u
ముసలి	m ʊ s ɐ l ɪ
మూడింతలు	m uː ɖ ɪ n̪ t̪ ɐ l ʊ
మూడు	m uː ɖ ʊ
మూతి	m uː t i
మూయు	m uː j ʊ
మూల	m uː l ɐ
మూలం	m uː l ɐ m̃
మూలకేంద్రము	m uː l ɐ k eː n̪ d̪ ɾ ɐ m ʊ
మూలము	m uː l ɐ m ʊ
మూలాలు	m uː l aː l ʊ
మూలిక	m uː l ɪ k ɐ
మూలికలు	m uː l ɪ k ɐ l ʊ
మూల్యము	m uː l j ɐ m ʊ
మృదులము	m ɻ̍ d̪ ʊ l ɐ m ʊ
మెక్కు	m ɛ kː ʊ
మెగాలీటరు	m ɛ ɡ aː l iː ʈ ɐ ɾ ʊ
మెచ్చు	m ɛ t͡ɕː ʊ
మెత్త	m ɛ t̪ː ɐ
