𐌰𐌱𐌿	a b u
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌳𐌰	f r a kʷ i s t i d a
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌳𐌰𐌹	f r a kʷ i s t i d ɛː
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌸𐍃	f r a kʷ i s t i θ s
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌽𐌰𐌼	f r a kʷ i s t n a m
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽	f r a h i n θ a n
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽𐌳𐌰𐌽𐍃	f r a h i n θ a n d a n s
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽𐌳𐍃	f r a h i n θ a n d s
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽𐌳𐍉	f r a h i n θ a n d oː
𐍆𐍂𐌰𐌷𐌿𐌷	f r a h u h
𐍆𐍂𐌰𐌷𐌿𐌽𐌸𐌰𐌽𐌰	f r a h u n θ a n a
𐍆𐍂𐌰𐌷𐌿𐌽𐌸𐌰𐌽𐌰𐌹𐌼	f r a h u n θ a n ɛː m
𐍆𐍂𐌰𐌷𐌿𐌽𐌸𐌰𐌽𐍃	f r a h u n θ a n s
𐍆𐍂𐌰𐌸𐌾𐌰𐌹𐌳𐌰𐌿	f r a θ j ɛː d ɔː
𐍆𐍂𐌰𐌸𐌾𐌰𐌽	f r a θ j a n
𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽	ɸ r ɛ x n a n
𐍆𐍂𐌰𐌹𐍄𐌰𐌽	f r a i t a n
𐍆𐍂𐌰𐌹𐍄𐌹𐌸	f r a i t i θ
𐍆𐍂𐌰𐌺𐌰𐌽𐍄	f r a k a n t
𐍆𐍂𐌰𐌺𐌿𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	f r a k u n n a n d a n s
𐍆𐍂𐌰𐌺𐌿𐌽𐌽𐌰𐌽𐌳𐍃	f r a k u n n a n d s
𐍆𐍂𐌰𐌻𐌿𐍃𐍄	f r a l u s t
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐌰𐌹	f r a l u s t ɛː
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐌰𐌹𐍃	f r a l u s t ɛː s
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐍃	f r a l u s t s
𐍆𐍂𐌰𐌼	ɸ r a m
𐍆𐍂𐌰𐌼𐌰𐌸𐌹𐌳𐌰𐌽𐍃	f r a m a θ i d a n s
𐍆𐍂𐌰𐌼𐌰𐌸𐌹𐌸𐍃	f r a m a θ i θ s
𐍆𐍂𐌰𐌼𐌰𐌸𐌾𐌰𐌽	f r a m a θ j a n
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐌰	f r a m a l d r a
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍃	f r a m a l d r s
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍉𐌶𐌰	f r a m a l d r oː z a
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍉𐌶𐌴𐌹	f r a m a l d r oː z iː
𐍆𐍂𐌰𐌼𐌹𐍃	f r a m i s
𐍆𐍂𐌰𐌼𐌿𐌷	f r a m u h
𐍆𐍂𐌰𐌼𐍅𐌰𐌹𐍂𐌸𐌹𐍃	f r a m w ɛ r θ i s
𐍆𐍂𐌰𐌼𐍅𐌹𐌲𐌹𐍃	f r a m w i ɡ i s
𐍆𐍂𐌰𐌽𐌹𐌼𐌰	f r a n i m a
𐍆𐍂𐌰𐌽𐌹𐌼𐌰𐌽	f r a n i m a n
𐍆𐍂𐌰𐌿𐌾𐌰	f r ɔː j a
𐍆𐍂𐌰𐍂𐌹𐌽𐌽𐌰𐌽	f r a r i n n a n
𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌹𐌳𐌰𐌹𐌶𐌴	f r a w a r d i d ɛː z eː
𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌹𐌸𐍃	f r a w a r d i θ s
𐍆𐍂𐌰𐍅𐌹𐌻𐍅𐌰𐌽	f r a w i l w a n
𐍆𐍂𐌰𐍅𐌹𐍃𐌰𐌽	f r a w i s a n
𐍆𐍂𐌰𐍅𐌿𐌻𐍅𐌰𐌽𐌰𐌽𐌰	f r a w u l w a n a n a
𐍆𐍂𐌰𐍅𐌿𐌻𐍅𐌰𐌽𐍃	f r a w u l w a n s
𐍆𐍂𐌰𐍅𐍂𐌴𐌺𐌿𐌽	f r a w r eː k u n
𐍆𐍂𐌰𐍅𐍂𐌹𐌺𐌰𐌽	f r a w r i k a n
𐍆𐍂𐌰𐍅𐍂𐍉𐌷𐌹𐌸𐍃	f r a w r oː h i θ s
𐍆𐍂𐌰𐍅𐍂𐍉𐌷𐌾𐌰𐌽	f r a w r oː h j a n
𐍆𐍂𐌴𐌹𐌳𐌹𐌳𐌰	f r iː d i d a
𐍆𐍂𐌴𐌹𐌳𐌾𐌰	f r iː d j a
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌹	f r iː d j ɛː
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌽	f r iː d j a n
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌽𐌳𐍃	f r iː d j a n d s
𐍆𐍂𐌴𐍄	f r eː t
𐍆𐍂𐌴𐍄𐌿𐌽	f r eː t u n
𐍆𐍂𐌹𐌰𐌸𐍅𐌰𐌼𐌹𐌻𐌳𐌴𐌹𐍃	f r i j a θ w a m i l d iː s
𐍆𐍂𐌹𐌰𐌸𐍅𐌰𐌼𐌹𐌻𐌳𐌾𐌰𐌹	f r i a θ w a m i l d j ɛː
𐍆𐍂𐌹𐌾𐌰𐌸𐍅𐌰	f r i j a θ w a
𐍆𐍂𐌹𐌾𐍉𐌽	f r i j oː n
𐍆𐍂𐌹𐌿𐍃	f r i u̯ s
𐍆𐍂𐌹𐌿𐍃𐌰	f r i u̯ s a
𐍆𐍂𐌿𐌼𐌰𐌳𐌴𐌹	f r u m a d iː
𐍆𐍂𐌿𐌼𐌰𐌳𐌴𐌹𐌽	f r u m a d iː n
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐌹	f r u m i s t i
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐌾𐌰	f r u m i s t j a
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐌾𐌰𐌼	f r u m i s t j a m
𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐍃	f r u m i s t s
𐍆𐍂𐍉𐌸𐍃	ɸ r oː θ s
𐍆𐍉𐌳𐍂	f oː d r
𐍆𐍉𐌽	f oː n
𐍈𐌰𐌳𐍂𐌴	ʍ a d r eː
𐍈𐌰𐌸	ʍ a θ
𐍈𐌰𐌸𐌰𐍂	ʍ a θ a r
𐍈𐌰𐌹𐍂𐌱𐌰𐌽	ʍ ɛ r b a n
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐌰𐌽𐌴	ʍ ɛ r b a n d a n eː
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐌰𐌽𐍃	ʍ ɛ r b a n d a n s
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐍃	ʍ ɛ r b a n d s
𐍈𐌰𐌹𐍄𐌴𐌹𐍃	ʍ ɛː t iː s
𐍈𐌰𐌽	ʍ a n
𐍈𐌰𐌽𐌿𐌷	ʍ a n u h
𐍈𐌰𐌽𐍉𐌷	ʍ a n oː h
𐍈𐌰𐍂	ʍ a r
𐍈𐌰𐍂𐌾𐌹𐍃	ʍ a r j i s
𐍈𐌰𐍃	ʍ a s
𐍈𐌴	ʍ eː
𐍉𐌲𐌰𐌽	oː ɣ a n
