Achab	aː k a b
beautevous	b ɛ u̯ t eː uː s
beautevous	b ɛ u̯ t eː v uː s
beche	b eː t͡ʃ ə
bede	b ɛː d ə
bedeman	b æː d ə m a n
bedeman	b ɛ d ə m a n
bedeman	b ɛː d ə m a n
bedfelawe	b ɛ d f ɛ l a u̯ ə
bedfelawe	b ɛ d f ɛ l ɔ u̯ ə
bedreden	b ɛ d r ɛː d ə n
bee	b eː
bee	b øː
beem	b ɛː m
been	b eː n
been	b øː n
beeste	b ɛ s t ə
beeste	b ɛː s t ə
beestly	b ɛ s t ə l i t͡ʃ
beestly	b ɛ s t ə l iː
bef	b eː f
bef	b øː f
beflugged	b ɪ f l ʌ ɡ ɪ d
beggen	b ɛ ɡ ə n
beggere	b ɛ ɡ ə r ə
begreten	b i ɡ r eː t ə n
behove	b i h oː v ə
behoven	b i h oː v ə n
beken	b eː k ə n
beken	b ɛː k ə n
bekenen	b ɛ k ə n ə n
bekenynge	b ɛ k ə n i n ɡ ə
bel	b ɛ l
bel	b ɛː l
belde	b eː l d ə
belde	b ɛː l d ə
belden	b eː l d ə n
belden	b ɛː l d ə n
bely	b ɛ l iː
beme	b eː m ə
bemen	b eː m ə n
bemen	b ɛː m ə n
bemere	b eː m ə r ə
bendel	b ɛ n d ə l
bendel	b ɛ n d ɛː l
bene	b ɛː n ə
benediccion	b ɛ n i d i k s i oː n
benediccion	b ɛ n i d i k s i uː n
benediccion	b ɛ n i d i k s j u n
benedicite	b ɛ n i d i s i t eː
benedicite	b ɛ n s t eː
benedicite	b ɛ n ə d i s t eː
benigne	b ɛ n i n ɡ n ə
benigne	b ɛ n iː n ə
benignely	b ɛ n i n ɡ n ə l iː
benignely	b ɛ n iː n ə l iː
benignite	b ɛ n i n ɡ n i t eː
benignite	b ɛ n iː n ɡ n i t eː
benysoun	b ɛ n i z u n
benysoun	b ɛ n i z uː n
berd	b ɛ r d
berd	b ɛː r d
berdles	b ɛ r d l ɛː s
berdles	b ɛː r d l ɛː s
bere	b ɛː r ə
beren	b ɛː r ə n
beriel	b i r i ə l
beriel	b i r i ə l s
beriel	b u r i ə l
beriel	b u r i ə l s
beriel	b ɛ r i ə l
berien	b i r j ə n
berien	b u r i ə n
berien	b u r j ə n
berien	b u r ə n
berien	b ɛ r i ə n
berien	b ɛ r j ə n
berien	b ɛ r ə n
berier	b i r i ə r
berier	b ɛ r i ə r
beringe	b ɛː r i n ɡ
berken	b ɛ r k ə n
berkere	b ɛ r k ə r ə
berkyng	b ɛ r k i n ɡ
berme	b a r m ə
berme	b ɛ r m ə
bern	b eː r n
bern	b øː r n
bern	b ɛ r n
bern	b ɛː r n
berwen	b œ r ɣ ə n
berwen	b ɛ r w ə n
berye	b ɛ r iː ə
beryl	b ɛ r i l
beryl	b ɛ r iː l
besaunt	b ɛ z a u̯ n t
besaunt	b ɛː z a u̯ n t
besme	b ɛː z m ə
besme	b ɛː z ə m
bestaile	b ɛ s t a l ə
bestaile	b ɛ s t ɛ i̯ l ə
beste	b ɛ s t
bestial	b ɛ s t i a l
bestial	b ɛ s t i aː l
bestial	b ɛː s t i a l
bestially	b ɛ s t i a l l iː
bestially	b ɛ s t i aː l l iː
beswiken	b i s w iː k ə n
bet	b ɛ t
bete	b eː t ə
betel	b eː t ə l
beten	b eː t ə n
beten	b ɛ t ə n
beten	b ɛː t ə n
beteren	b ɛ t ə r ə n
beterynge	b ɛ t ə r i n ɡ
bethen	b æː ð ə n
bethen	b ɛ ð ə n
bethen	b ɛː ð ə n
bettre	b ɛ t r ə
bettre	b ɛ t ə r ə
bever	b øː v ə r
bever	b ɛː v ə r
beverage	b ɛ v ə r a d͡ʒ ə
beverage	b ɛ v ə r aː d͡ʒ ə
bewrien	b i w r iː ə n
beyle	b ɛ i̯ l
bible	b iː b ə l
bicaren	b i k aː r ə n
bicche	b i t͡ʃ ə
bidelven	b i d ɛ l v ə n
biflowen	b i f l ɔ u̯ ə n
bifore	b i f ɔː r ə
biheste	b i h ɛ s t ə
biheste	b i h ɛː s t ə
biheve	b i h eː v ə
bileve	b i l ɛː v ə
bileven	b i l eː v ə n
bilewit	b i l ə w i t
bilewit	b i l ə ʍ iː t
binden	b i n d ə n
binden	b iː n d ə n
biqueste	b i k w ɛ s t
biqueste	b i k w ɛː s t
biquethen	b i k w ɛː ð ə n
birche	b i r k ə
birche	b i r t͡ʃ ə
bireven	b i r ɛː v ə n
bireven	b ɛ r ɛː v ə n
bischop	b i ʃ u p
bischophod	b i ʃ ɔ p h ɔː d
bischopriche	b i ʃ u p r i k ə
bischopriche	b i ʃ u p r i t͡ʃ ə
bischopriche	b i ʃ u p r iː k ə
bischopriche	b i ʃ u p r iː t͡ʃ ə
bisegen	b i s eː d͡ʒ ə n
bisemen	b i s eː m ə n
biside	b i s iː d ə
bisili	b i z i l iː
bisili	b i z iː l iː
bisne	b i z n ə
bisne	b i z ə n
bisne	b iː z n ə
bisne	b iː z ə n
bisquyte	b i s k i u̯ t
bisquyte	b i s k w i t
bisy	b i z iː
bisy	b y z iː
bisynes	b i z i n ɛ s ə
bisynes	b i z iː n ɛ s ə
biten	b i t eː n
biten	b i t øː n
biten	b iː t ə n
biteon	b i t eː n
biteon	b i t øː n
bitwixe	b i t w i k s
bitwixe	b i t w i k s t
bityden	b i t iː d ə n
biveren	b eː v ə r ə
biveren	b i v ə r ə n
bivien	b i v j ə n
biwinnen	b i w i n ə n
biyete	b i j ɛː t ə
bladdre	b l a d ə r
bladdre	b l ɛ d ə r
bladdre	b l ɛː d ə r
bladdren	b l a d ə r ə n
bladdren	b l ɛ d ə r ə n
blade	b l a d
blade	b l aː d
blader	b l a d ə r
blader	b l aː d ə r
bladyn	b l aː d ə n
blak	b l a k
blak	b l aː k
blame	b l aː m ə
blameable	b l aː m ə aː b ə l
blameful	b l aː m ə f u l
blameles	b l aː m ə l ɛ s
blameles	b l aː m ə l ɛː s
blamen	b l aː m ə n
blamer	b l aː m ə r ə
blamyng	b l aː m i n ɡ
blase	b l aː z ə
blase	b l æː z ə
blase	b l ɛː z ə
blasen	b l aː z ə n
blasfeme	b l a s f ɛː m ə
blasfemen	b l a s f ɛː m ə n
blasfemour	b l a s f ə m u r
blasfemour	b l a s f ə m uː r
blasfemour	b l a s f ɛː m ə r ə
blasfemye	b l a s f ɛ m iː ə
blasfemye	b l a s f ɛ m ə
blasfemyng	b l a s f ɛː m i n ɡ
blasoun	b l aː z u n
blasoun	b l aː z uː n
blasoun	b l aː z ə n
blast	b l a s t
blast	b l ɛː s t
blasten	b l a s t ə n
blechen	b l ɛː t͡ʃ ə n
blede	b l eː d
blede	b l ɛː d
bleden	b l eː d ə n
blessen	b l ɛ s ə n
bleten	b l ɛː t ə n
blewe	b l ɛ u ə
bliken	b l i k ə n
bliken	b l iː k ə n
blinnen	b i l i n ə n
blinnen	b l i n ə n
blo	b l aː
blo	b l ɔː
blome	b l oː m ə
blome	b l yː m
blomen	b l oː m ə n
blomere	b l oː m ə r ə
blood	b l oː d
blosme	b l ɔ s m ə
blosme	b l ɔ s ə m
blosmen	b l ɔ s m ə n
blosmy	b l ɔ s m iː
blow	b l a u̯
blow	b l ɔ u̯
blowen	b l ɑ u̯ ə n
blowen	b l ɔ u̯ ə n
blowere	b l ɑ u̯ ə r ə
blowere	b l ɔ u̯ ə r ə
blowynge	b l ɑ u̯ i n ɡ ə
blowynge	b l ɔ u̯ i n ɡ ə
blynd	b l i n d
blynd	b l iː n d
bocher	b u t͡ʃ eː r
bocher	b u t͡ʃ ə r
bocherie	b u t͡ʃ ə r iː ə
bochous	b oː k h uː s
bocstaff	b oː k s t a f
bocstaff	b oː k s t aː v ə
bodeword	b oː d w oː r d
bodeword	b oː d w u r d
bodi	b ɔ d iː
bodi	b ɔː d iː
boillen	b u i̯ l ə n
bok	b oː k
bokel	b u k ə l
boket	b u k ɛ t
bolde	b aː l d
bolde	b ɔː l d
bole	b u l ə
bole	b uː l ə
bole	b ɔː l
bole	b ɔː l ə
bolster	b ɔ l s t ə r
bombard	b u m b a r d
bon	b aː n
bon	b ɑː n
bon	b ɔː n
bonchef	b ɔ n t ʃ eː f
bonde	b ɔː n d ə
bonden	b ɔ n d ə n
bonden	b ɔː n d ə n
bonwort	b aː n w u r t
bonwort	b ɑː n w u r t
bonwort	b ɔː n w u r t
boon	b oː n
bor	b ɑː r
bor	b ɔː r
bord	b oː r d
bord	b ɔ r d
bordcloth	b oː r d k l ɔː θ
bordcloth	b ɔ r d k l ɔː θ
borden	b oː r d ə n
borden	b ɔ r d ə n
bordis	b u r d iː s
bordis	b uː r d iː s
bordis	b uː r d ɛ i̯ s
bordure	b oː r d i u̯ r ə
bordure	b oː r d u r ə
bordure	b ɔ r d i u̯ r ə
bordure	b ɔ r d u r ə
bore	b ɔː r ə
boryn	b ɔː r ə n
boryng	b ɔː r i n ɡ
bosom	b o z u m
bosom	b oː z u m
bost	b ɔː s t
bosten	b ɔː s t ə n
bot	b ɔː t
bote	b oː t ə
boteles	b oː t l ɛː s
botemles	b ɔ t ə m l ɛː s
boten	b oː t ə n
botere	b ɔː t ə r ə
boterflye	b u t ə r f l iː ə
boterflye	b u t ə r f l ɛ i̯ ə
boterie	b u t ə r i ə
boterie	b u t ə r iː ə
botew	b oː t ɛ u̯
botew	b u t ɛ u̯
bothe	b oː ð
bothe	b oː θ
bothe	b uː θ
bothe	b ɔː θ ə
botme	b ɔ t ə m
botme	b ɔ ð ə m
botnen	b oː t ə n ə n
botnen	b ɔ t ə n ə n
botnyng	b oː t ə n i n ɡ
botnyng	b ɔ t ə n i n ɡ
botonen	b u t u n ə n
botonen	b u t ə n ə n
botoun	b u t u n
botoun	b u t uː n
botoun	b u t ə n
botyng	b oː t i n ɡ
bouk	b uː k
boun	b oː n
boun	b uː n
bounen	b uː n ə n
bounte	b uː n t eː
bour	b uː r
bourde	b uː r d ə
bourdeful	b uː r d f u l
bourden	b oː r d ə n
bourden	b uː r d ə n
bourding	b uː r d i n ɡ
bourdour	b uː r d i uː r
bourdour	b uː r d u r
bourdour	b uː r d uː r
bourdyng	b uː r d i n ɡ
bousen	b uː z ə n
bowe	b ɔ u̯ ə
bowen	b uː ə n
box	b ɔ k s
boye	b ɔ i̯ ə
brace	b r aː s ə
bracen	b r aː s ə n
bracer	b r aː s eː r
bracer	b r aː s ə r ə
bragot	b r a k ə t
bragot	b r a ɡ ə t
bran	b r a n
bran	b r aː n
bran	b r ɛ n
brand	b r a n d
brand	b r aː n d
brand	b r ɔ n d
brand	b r ɔː n d
branden	b r a n d ə n
branden	b r aː n d ə n
branden	b r ɔ n d ə n
branden	b r ɔː n d ə n
brandire	b r a n d iː r ə
brandire	b r a n d iː r ə n
brandire	b r ɔ n d iː r ə
brandreth	b r a n d l ɛ d ə
brandreth	b r a n d l ɛ t ə
brandreth	b r a n d r ɛ θ ə
bras	b r a s
brasen	b r aː s ə n
brasyng	b r aː s i n ɡ
braunche	b r a n t͡ʃ ə
braunche	b r a u̯ n t͡ʃ ə
braunchen	b r a n t͡ʃ ə n
braunchen	b r a u̯ n t͡ʃ ə n
braundischen	b r a u̯ n d i s ə n
braundischen	b r a u̯ n d i ʃ ə n
brawne	b r a u̯ n
brawne	b r a w u n
brawny	b r a u̯ n iː
brayen	b r æ i̯ ə n
brayle	b r æ i̯ l
brayle	b r æ i̯ ə l
brayn	b r æ i̯ n
brayn	b r æ i̯ ə n
braynen	b r æ i̯ n ə n
braynles	b r æ i̯ n l ɛ s
braynles	b r æ i̯ n l ɛː s
brayny	b r æ i̯ n iː
bred	b r ɛː d
brede	b r ɛ d ə
brede	b r ɛː d ə
breden	b r eː d ə n
breden	b r ɛː d ə n
bredles	b r ɛː d l ɛ s
bredles	b r ɛː d l ɛː s
bredthe	b r ɛː d ð ə
bredthe	b r ɛː t θ ə
bredynge	b r eː d i n ɡ ə
breeth	b r ɛː θ
bref	b r eː f
bref	b r eː v ə
breid	b r eː d ə
breid	b r æ i̯ d ə
breiden	b r eː d ə n
breiden	b r æ i̯ d ə n
brekefast	b r ɛ k f a s t
brekefast	b r ɛː k f a s t
breken	b r ɛː k ə n
breker	b r ɛː k ə r ə
brembel	b r a m b ə l
brembel	b r i m b ə l
brembel	b r ɛ m b ə l
brerd	b r ɛ r d
brerd	b r ɛː r d
brere	b r eː r
brere	b r ɛː r
brest	b r eː s t
brest	b r øː s t
brest	b r ɛ s t
bresten	b a r s t ə n
bresten	b r i s t ə n
bresten	b r ɛ s t ə n
bresten	b u r s t ə n
bresten	b ɛ r s t ə n
bretful	b r ɛ t f u l
bretful	b r ɛː t f u l
brevely	b r eː f l iː
brevely	b r eː v ə l iː
brevely	b r eː v ə l iː t ʃ ə
brewe	b r eː
brewe	b r æ i̯
brewe	b r ɛ u̯
brewen	b r i u̯ ə n
brewere	b r i u̯ ə r ə
brewestere	b r i u̯ ə s t r ə
brewestere	b r i u̯ ə s t ə r ə
brewhous	b r i u̯ ə h uː s
brewynge	b r i u̯ i n ɡ ə
breydynge	b r eː d i n ɡ
breydynge	b r ɛ i̯ d i n ɡ
brid	b r i d
bridale	b r iː d a l ə
bridale	b r iː d aː l ə
bride	b r iː d
bridegome	b r iː d ɡ oː m ə
bridegome	b r iː d ɡ u m ə
bridel	b r iː d ə l
bridlen	b r iː d ə l ə n
brigge	b r i d͡ʒ ə
brigge	b r i ɡ ə
brigge	b r u d͡ʒ ə
brigge	b r ɛ d͡ʒ ə
brinke	b r i n k ə
brinke	b r ɛ n k ə
brionie	b r iː a n ə
brionie	b r iː ɔ n iː ə
brionie	b r iː ɔ n ə
bristel	b r i s t ə l
broche	b r ɔː t͡ʃ ə
brochen	b r ɔː t͡ʃ ə n
brom	b r oː m
brood	b r ɔː d
broth	b r ɔ θ
brother	b r oː ð ə r
brotherhede	b r oː ð ə r h oː d
brotherhede	b r oː ð ə r h ɔː d
brotherhede	b r oː ð ə r h ɛː d
brotherhede	b r oː ð ə r r ɛː d ə
brotherles	b r oː ð ə r l ɛ s
brotherles	b r oː ð ə r l ɛː s
brotherly	b r oː ð ə r l iː
brotherwort	b r oː ð ə r w u r t
broun	b r uː n
browe	b r i u̯
browe	b r uː
brunswyn	b r u n s w iː n
brymston	b r i m s t ɔː n
brymston	b r i n s t ɔː n
bryne	b r iː n ə
bryngen	b r i n ɡ ə n
buffet	b u f ɛ t
buffeten	b u f ɛ t ə n
bukke	b u k ə
bukskyn	b u k s k i n
bullok	b u l ɔ k
bunne	b u n ə
burde	b eː r d ə
burde	b i r d ə
burde	b iː r d ə
burde	b u r d ə
burde	b uː r d ə
burde	b y r d ə
burde	b yː r d ə
burdoun	b u r d u n
burdoun	b u r d uː n
burel	b u r ɛ l
burel	b ɔ r ɛ l
burely	b u r l i t͡ʃ
burely	b u r l iː
burgage	b u r ɡ aː d͡ʒ ə
burnet	b u r n ɛ t
burnet	b u r n ɛː t
burst	b i r s t
burst	b r i s t
burst	b r u s t
burst	b u r s t
buryinge	b i r i i n ɡ
buryinge	b u r i i n ɡ
buryinge	b ɛ r i i n ɡ
buryinge	b ɛ r i n ɡ
burynes	b i r i n ɛ s
burynes	b u r i n ɛ s
burynes	b ɛ r i n ɛ s
bush	b u ʃ
busshel	b u i̯ ʃ ɛ l
busshel	b u s ɛ l
busshel	b u ʃ ɛ l
buter	b u t ə r ə
buttry	b u t r iː
buxum	b u k s u m
buxum	b uː s u m
buxumly	b u k s u m l iː
by	b i
by	b iː
byen	b iː ə n
bylden	b iː l d ə n
bylden	b yː l d ə n
byldere	b iː l d ə r ə
byldere	b yː l d ə r ə
byldynge	b i l d i n ɡ ə
byldynge	b iː l d i n ɡ ə
byldynge	b y l d i n ɡ ə
byldynge	b yː l d i n ɡ ə
bynde	b i n d ə
bynde	b iː n d ə
byndere	b i n d ə r ə
byndere	b iː n d ə r ə
byndynge	b i n d i n ɡ ə
byndynge	b i n d u n ɡ ə
byndynge	b iː n d i n ɡ ə
byndynge	b iː n d u n ɡ ə
bypath	b iː p a θ
bypath	b iː p aː θ
byword	b iː w oː r d
byword	b iː w u r d
cable	k aː b ə l
caboche	k a b a d͡ʒ ə
caboche	k a b ɔ d͡ʒ ə
caboche	k a b ɔ t͡ʃ ə
cacchen	k a t͡ʃ ə n
cage	k aː d͡ʒ ə
caitif	k æ i̯ t i f
caitif	k æ i̯ t iː f
cake	k aː k ə
calch	k a l t͡ʃ
calf	k a l f
calf	k a l f ə
calf	t͡ʃ a l f
callynge	k a l i n ɡ
calme	k a l m ə
calver	k a l v ə r
calwe	k a l i u̯
calwe	k a l w ə
calwe	k a l ɔ u̯
camel	k a m æ i̯ l
camel	k a m ɛ l
camel	k a m ɛː l
camel	t͡ʃ a m æ i̯ l
camel	t͡ʃ a m ɛ l
camel	t͡ʃ a m ɛː l
camper	k a m p ə r
campyng	k a m p i n ɡ
canape	k a n a p eː
canape	k a n ɔ p eː
candel	k a n d ə l
cane	k aː n ə
canel	k a n ɛ l ə
canel	k a n ɛː l ə
canevas	k a n ə v a s
canevas	k a n ə v aː s
canne	k a n ə
canner	k a n ə r ə
canon	k a n oː n
canoun	k a n u n
canoun	k a n uː n
cant	k a n t
capacite	k a p a s i t eː
capcioun	k a p s i uː n
capcioun	k a p s j u n
capitain	k a p i t ɛ i̯ n ə
capitain	k a p ə t i n ə
capitain	k aː p i t ɛ i̯ n ə
capitainerie	k a p ə t i n ə r iː ə
capitainerie	k a p ə t ɛ i̯ n ə r iː ə
capitainship	k a p ə t i n ʃ i p ə
capitainship	k a p ə t ɛ i̯ n ə ʃ i p ə
capitainship	k aː p ə t ɛ i̯ n ə ʃ i p ə
capoun	k aː p u n
capoun	k aː p uː n
capoun	k aː p ə n
cappe	k a p ə
cappen	k a p ə n
capper	k a p ə r ə
cappynge	k a p i n ɡ
capston	k a p s t ɔː n
captif	k a p t i f
captif	k a p t i v ə
captif	k a p t iː f
captif	k a p t iː v ə
captivite	k a p t i v i t eː
caraway	k a r w iː
caraway	k a r ə w iː
carbuncle	k a r b u k ə l
carbuncle	k a r b u n k ə l
care	k aː r ə
caren	k aː r ə n
carfukes	k a r f u k s
carole	k a r ɔ l ə
carole	k a r ɔː l ə
carpe	k a r p ə
carpenter	k a r p ɛ n t eː r
carpenter	k a r p ɛ n t ə r
carpentrie	k a r p ɛ n t r iː ə
carpette	k a r p ɛ t ə
carre	k a r ə
carvi	k a r v iː
case	k a s ə
case	k aː s ə
casere	k a z ə r ə
casere	k aː z ə r ə
cassen	k a s ə n
castel	k a s t ə l
cat	k a t
cataract	k a t ə r a k
cataract	k a t ə r a k t aː
cataract	k a t ə r a k t ə
cathedral	k a t ɛː d r a l
cathedral	k a t ɛː d r aː l
cauce	k a u̯ s eː
caudel	k a u̯ d ɛ l
caudel	k a u̯ d ɛː l
caudroun	k a u̯ d r u n
caudroun	k a u̯ d r uː n
causen	k a u̯ z ə n
cave	k aː v ə
caven	k aː v ə n
caverne	k a v ɛ r n ə
cavernous	k a v ɛ r n u s
cavernous	k a v ɛ r n ɔː s ə
cedre	s ɛː d r ə
cedre	s ɛː d ə r
celle	s ɛ l ə
cenacle	s ɛ n aː k l ə
cenacle	s ɛ n aː k ə l
cenyth	s ɛ n i t
cenyth	s ɛː n i t
cerebrum	s ɛ r ə b r u m
cerebrum	s ɛ r ə b r ə
cerebrum	s ɛ r ə b ə r
certeyn	s ɛ r t i n
certeyn	s ɛ r t æ i̯ n
certeynly	s ɛ r t i n l iː
certeynly	s ɛ r t æ i̯ n l iː
cerymonial	s ɛ r i m ɔ n i aː l
cerymonial	s ɛ r i m ɔː n i aː l
cerymonial	s ɛ r ə m ɔː n i aː l
cerymonye	s ɛ r i m ɔ n iː ə
cerymonye	s ɛ r i m ɔː n iː ə
cerymonye	s ɛ r ə m ɔː n iː ə
chaf	k a f
chaf	t͡ʃ a f
chaf	t͡ʃ ɛ f
chafur	t͡ʃ a f ə r
chafur	t͡ʃ aː f ə r
chafur	t͡ʃ aː v ə r
chalenge	t͡ʃ a l a u̯ n d͡ʒ ə
chalenge	t͡ʃ a l ɛ n d͡ʒ ə
chalengeable	t ʃ a l a n d͡ʒ aː b ə l
chalengeable	t ʃ a l ɛ n d͡ʒ aː b ə l
chalengen	t ʃ a l a u̯ n d ʒ ə n
chalengen	t ʃ a l ɛ n d ʒ ə n
chalengere	t ʃ a l a n d ʒ u r
chalengere	t ʃ a l ɛ n d ʒ ə r ə
chalengynge	t ʃ a l a n d ʒ i n ɡ ə
chalengynge	t ʃ a l ɛ n d ʒ i n ɡ ə
chalis	k a l i s ə
chalis	t ʃ a l i s ə
chalk	k a l k
chalk	t͡ʃ a l k
chambre	t ʃ a m b r ə
chambre	t ʃ a m b ə r
chambre	t ʃ a u̯ m b r ə
chambre	t ʃ a u̯ m b ə r
chambre	t ʃ aː m b r ə
chambre	t ʃ aː m b ə r
champioun	k a m p i uː n
champioun	t ʃ a m p i uː n
champioun	t ʃ a m p j u n
champioun	t ʃ a m p j uː n
champioun	t ʃ a u̯ m p i uː n
chape	t͡ʃ aː p ə
chapele	t͡ʃ a p ə l ə
chapele	t͡ʃ a p ɛ l ə
chapeleyn	t͡ʃ a p ə l i n
chapeleyn	t͡ʃ a p ə l æ i̯ n
charjous	t ʃ a r d ʒ u s
charjous	t ʃ a r d ʒ uː s
charme	t͡ʃ a r m ə
charmen	t͡ʃ a r m ə n
charmer	t ʃ a r m ɛ r
charmynge	t ʃ a r m i n ɡ ə
chartre	t͡ʃ a r t r ə
chartre	t͡ʃ a r t ə r
chaudoun	t͡ʃ a u̯ d u n
chaudoun	t͡ʃ a u̯ d uː n
chaudoun	t͡ʃ a u̯ d w iː n
chaufen	t͡ʃ a u̯ f ə n
chaufen	t͡ʃ aː f ə n
chaufour	t͡ʃ a f uː r
chaufour	t͡ʃ a f ə r
chaufour	t͡ʃ a u̯ f uː r
chaufour	t͡ʃ a u̯ f ə r
chaufour	t͡ʃ aː f uː r
chaufour	t͡ʃ aː f ə r
chaunce	t͡ʃ a n s ə
chaunce	t͡ʃ a u̯ n s ə
chauncen	t͡ʃ a n s ə n
chauncen	t͡ʃ a u̯ n s ə n
chaundeler	t͡ʃ a n d ə l eː r
chaundeler	t͡ʃ a n d ə l ə r
chaundeler	t͡ʃ a u̯ n d ə l eː r
chaundeler	t͡ʃ a u̯ n d ə l ə r
chauntement	t͡ʃ a u̯ n t ə m ɛ n t
chaunten	t͡ʃ a n t ə n
chaunten	t͡ʃ a u̯ n t ə n
chaunteresse	t͡ʃ a u̯ n t ə r ɛ s ə
chaunterie	t͡ʃ a u̯ n t ə r iː ə
chauntour	t͡ʃ a n t u r
chauntour	t͡ʃ a n t uː r
chauntour	t͡ʃ a n t ə r
chauntynge	t͡ʃ a n t i n ɡ ə
chauntynge	t͡ʃ a u̯ n t i n ɡ ə
chavel	t͡ʃ a v ə l
chavel	t͡ʃ aː v ə l
chayer	t͡ʃ aː r ə
chayer	t͡ʃ aː ə r ə
chayer	t͡ʃ æ i̯ r ə
chayer	t͡ʃ æ i̯ ə r ə
chef	t͡ʃ eː f
chefly	t͡ʃ eː f l iː
chefly	t͡ʃ eː v ə l iː
chek	t͡ʃ ɛ k
chek	t͡ʃ ɛː k
cheke	t͡ʃ eː k ə
cheke	t͡ʃ ɔː k ə
cheke	t͡ʃ ɛː k ə
cheker	t͡ʃ ɛ k eː r
cheker	t͡ʃ ɛ k ə r
chekmat	t͡ʃ ɛ k m aː t
chekmat	t͡ʃ ɛː k m aː t
cheri	t ʃ i r iː
cheri	t ʃ ɛ r iː
cherl	t͡ʃ ɛ r l
cherl	t͡ʃ ɛː r l
chervell	t ʃ ɛ r v ɛ l ə
ches	t͡ʃ ɛ s
ches	t͡ʃ ɛː s
chese	t͡ʃ eː z ə
chesen	t͡ʃ eː z ə n
chesible	t͡ʃ ɛ z i b l ə
chesible	t͡ʃ ɛ z i b ə l
chesible	t͡ʃ ɛ z i p ə l
chest	t͡ʃ ɛː s t
cheste	k i s t ə
cheste	t͡ʃ i s t ə
cheste	t͡ʃ ɛ s t ə
chesteyne	t͡ʃ a s t æ i̯ n ə
chesteyne	t͡ʃ ɛ s t æ i̯ n ə
chesteyne	t͡ʃ ɛ s t ə n
chet	t͡ʃ eː t
chet	t͡ʃ ɛː t
chete	t͡ʃ eː t ə
chetour	t͡ʃ ɛː t u r
chetour	t͡ʃ ɛː t uː r
chevese	t͡ʃ eː v i s ə
chevese	t͡ʃ i v i s ə
chevese	t͡ʃ ɛ v i s ə
chevese	t͡ʃ ɛː v i s ə
cheveteyn	t͡ʃ eː f t i n ə
cheveteyn	t͡ʃ eː f t æ i̯ n ə
cheveteyn	t͡ʃ eː v ə t i n ə
cheveteyn	t͡ʃ eː v ə t æ i̯ n ə
chewen	t͡ʃ i u̯ ə n
chewen	t͡ʃ ɔ u̯ ə n
chewet	t͡ʃ i u̯ ɛ t
chewynge	t͡ʃ i u̯ i n ɡ ə
cheyne	t͡ʃ iː n
cheyne	t͡ʃ æ i̯ n ə
cheyne	t͡ʃ æ i̯ ɳ ə
cheynen	t͡ʃ iː n ə n
cheynen	t͡ʃ æ i̯ n ə n
cheynen	t͡ʃ æ i̯ ɳ ə n
chibolle	t͡ʃ i b ɔ l ə
chiken	t͡ʃ eː k ə
chiken	t͡ʃ i k ə
chiken	t͡ʃ i k ə n
child	t͡ʃ iː l d
childberyng	t ʃ iː l d b ɛː r i n ɡ
childen	t ʃ iː l d ə n
childhode	t ʃ iː l d h oː d
childhode	t ʃ iː l d h ɔː d
childhode	t ʃ iː l d h ɛː d
childing	t ʃ iː l d i n ɡ
childissh	t ʃ iː l d i ʃ
childles	t͡ʃ iː l d l ɛː s
childly	t͡ʃ iː l d l i t͡ʃ ə
childly	t͡ʃ iː l d l iː
childwyte	t ʃ iː l d w iː t ə
chippe	t͡ʃ i p
chirche	k i r k
chirche	t͡ʃ i r t͡ʃ ə
chirm	t͡ʃ a r m
chirm	t͡ʃ i r m
chirm	t͡ʃ u r m
chirm	t͡ʃ ɛ r m
chirmen	t͡ʃ i r m ə n
chis	t͡ʃ iː s
chisel	t͡ʃ eː s ɛ l
chisel	t͡ʃ i s ɛ l
chisel	t͡ʃ i s ɛː l
chivaler	t͡ʃ i v a l eː r
chivaler	t͡ʃ i v a l ə r
chivaler	t͡ʃ ɛ v a l eː r
chivalerie	t͡ʃ i v a l r iː ə
chivalerie	t͡ʃ i v a l ə r iː ə
chivalerie	t͡ʃ ɛ v a l ə r iː ə
chivalerous	t͡ʃ i v a l r u s
chivalerous	t͡ʃ i v a l ə r uː s
chivalerous	t͡ʃ ɛ v a l ə r uː s
chois	t͡ʃ ɔ i̯ s
chois	t͡ʃ ɔː s
choisly	t͡ʃ ɔ i̯ s l iː
choisly	t͡ʃ ɔː s l iː
choken	t͡ʃ eː k ə n
choken	t͡ʃ ɔː k ə n
chosling	t͡ʃ oː z l i n ɡ
chymeney	t͡ʃ i m i n æ i̯
chyn	t͡ʃ i n
chyne	t͡ʃ eː n ə
chyne	t͡ʃ i n ə
chyne	t͡ʃ iː n ə
chynen	t͡ʃ i n ə n
chynen	t͡ʃ iː n ə n
chyrne	k i r n ə
chyrne	t͡ʃ i r n ə
chyrne	t͡ʃ ɛ r n ə
chyrnen	t͡ʃ i r n ə n
chyrnynge	t͡ʃ i r n i n ɡ ə
chyvachie	t͡ʃ i v a u̯ t͡ʃ iː ə
chyvachie	t͡ʃ ɛ v a u̯ t͡ʃ iː ə
cifre	s i f r ə
cifre	s i f ə r
cipre	s i p r ə
cipre	s i p ə r
cipres	s i p r ɛ s
cipres	s iː p r ɛ s
cirurgical	s i r u r d͡ʒ i k a l
cirurgical	s i r u r d͡ʒ i k aː l
cirurgie	s i r u r d͡ʒ iː ə
cirurgien	s i r u r d ʒ i n
