ꜣ	ɑ
nswt	ʔ ə n s iː ʔ ə
nswt	ʔ ə n s iː ʔ
nswt	n ɛ s uː t
nswt	n ɛ s uː t
nswtyw	n ɛ s uː t iː uː
nsrt	n a s ɾ a t
nsrt	n a s ɾ a ʔ
nsrt	n a s ɾ a
nsrt	n a s ɾ ə
nsrt	n a s ɾ a t
nsrt	n a s ɾ a ʔ
nsrt	n a s ɾ a
nsrt	n a s ɾ ə
nsrt	n ɛ s r ɛ t
nst	n ɛ s ɛ t
nš	n ɛ ʃ
nšp	n aː ʃ a p
nšp	n aː ʃ a p
nšp	n aː ʃ ə p
nšp	n oː ʃ ə p
nšp	n aː ʃ a p
nšp	n aː ʃ a p
nšp	n aː ʃ ə p
nšp	n oː ʃ ə p
nšp	n ɛ ʃ ɛ p
nšm	n ɛ ʃ ɛ m
nšmt	n ɛ ʃ m ɛ t
nšnj	n ɛ ʃ n i
nšt	n ɛ ʃ ɛ t
nqꜥ	n ɛ k ɑː
nqꜥwt	n ə qʼ oː ʔ
nqꜥwt	n ə qʼ oː ʔ
nqꜥwt	n ɛ k ɑː uː t
nqdd	n ɛ k d ɛ d
nk	n ɛ k
nkw	n ɛ k uː
nkt	n u k u t
nkt	n u k u ʔ
nkt	n ə k u ʔ
nkt	n ə k ø ʔ
nkt	n u k u t
nkt	n u k u ʔ
nkt	n ə k u ʔ
nkt	n ə k ø ʔ
nkt	n ɛ k ɛ t
ngꜣw	n ɛ ɡ ɑ uː
nt	n ɛ t
ntj	n i t i j
ntj	n i t i j
ntj	n ə t ə
ntj	n ə t
ntj	n i t i j
ntj	n i t i j
ntj	n ə t ə
ntj	n ə t
ntj	n ɛ t i
ntj	ɛ n t i
ntw	ʔ a n t a w
ntw	n t a w
ntw	ʔ a n t a w
ntw	n t a w
ntw	ʔ a n t a w
ntw	n t a w
ntw	ʔ a n t a w
ntw	n t a w
ntw	n ɛ t uː
ntw	ɛ n t uː
ntb	n ɛ t ɛ b
ntf	j a n t a f
ntf	n t a f
ntf	ʔ a n t a f
ntf	n t a f
ntf	ʔ a n t a f
ntf	n t a f
ntf	j a n t a f
ntf	n t a f
ntf	ʔ a n t a f
ntf	n t a f
ntf	ʔ a n t a f
ntf	n t a f
ntf	n ɛ t ɛ f
ntf	ɛ n t ɛ f
ntf	n ɛ t ɛ f
nts	j a n t a s
nts	n t a s
nts	ʔ a n t a s
nts	n t a s
nts	ʔ a n t a s
nts	n t a s
nts	j a n t a s
nts	n t a s
nts	ʔ a n t a s
nts	n t a s
nts	ʔ a n t a s
nts	n t a s
nts	n ɛ t ɛ s
nts	ɛ n t ɛ s
ntsn	j a n t aː s i n
ntsn	n t aː s i n
ntsn	j a n t aː s i n
ntsn	n t aː s i n
ntsn	ʔ a n t aː s ə n
ntsn	n t aː s ə n
ntsn	ʔ a n t oː s ə n
ntsn	n t oː s ə n
ntsn	j a n t aː s i n
ntsn	n t aː s i n
ntsn	j a n t aː s i n
ntsn	n t aː s i n
ntsn	ʔ a n t aː s ə n
ntsn	n t aː s ə n
ntsn	ʔ a n t oː s ə n
ntsn	n t oː s ə n
ntsn	n ɛ t ɛ s ɛ n
ntsn	ɛ n t ɛ s ɛ n
ntsnj	n ɛ t ɛ s ɛ n i
ntsnj	ɛ n t ɛ s ɛ n i
ntk	j a n t a k
ntk	n t a k
ntk	ʔ a n t a k
ntk	n t a k
ntk	ʔ a n t a k
ntk	n t a k
ntk	j a n t a k
ntk	n t a k
ntk	ʔ a n t a k
ntk	n t a k
ntk	ʔ a n t a k
ntk	n t a k
ntk	n ɛ t ɛ k
ntk	ɛ n t ɛ k
ntt	n ɛ t ɛ t
ntt	ɛ n t ɛ t
ntt	n ɛ t ɛ t
ntt	ɛ n t ɛ t
nttn	n ɛ t ɛ t ɛ n
nttn	ɛ n t ɛ t ɛ n
ntṯ	j a n t a ʔ
ntṯ	n t a ʔ
ntṯ	ʔ a n t a ʔ
ntṯ	n t a ʔ
ntṯ	ʔ a n t a ʔ
ntṯ	n t a ʔ
ntṯ	j a n t a ʔ
ntṯ	n t a ʔ
ntṯ	ʔ a n t a ʔ
ntṯ	n t a ʔ
ntṯ	ʔ a n t a ʔ
ntṯ	n t a ʔ
ntṯ	n ɛ t ɛ t͡ʃ
ntṯ	ɛ n t ɛ t͡ʃ
ntṯn	j a n t aː c i n
ntṯn	n t aː c i n
ntṯn	j a n t aː t i n
ntṯn	n t aː t i n
ntṯn	ʔ a n t aː t ə n
ntṯn	n t aː t ə n
ntṯn	ʔ a n t oː t ə n
ntṯn	n t oː t ə n
ntṯn	j a n t aː c i n
ntṯn	n t aː c i n
ntṯn	j a n t aː t i n
ntṯn	n t aː t i n
ntṯn	ʔ a n t aː t ə n
ntṯn	n t aː t ə n
ntṯn	ʔ a n t oː t ə n
ntṯn	n t oː t ə n
ntṯn	n ɛ t ɛ t͡ʃ ɛ n
ntṯn	ɛ n t ɛ t͡ʃ ɛ n
nṯr	n aː c a ɾ
nṯr	n aː t a ʔ
nṯr	n aː t a
nṯr	n oː t ə
nṯr	n aː c a ɾ
nṯr	n aː t a ʔ
nṯr	n aː t a
nṯr	n oː t ə
nṯr	n ɛ t͡ʃ ɛ r
nṯrj	n ɛ t͡ʃ ɛ r i
nṯrj	n u c ɾ i j
nṯrj	n u c ɾ i t
nṯrj	n u t ɾ i j
nṯrj	n u t ɾ i ʔ
nṯrj	n ə t ɾ e ʔ
nṯrj	n ə t ɾ e ʔ
nṯrj	n u c ɾ i j
nṯrj	n u c ɾ i t
nṯrj	n u t ɾ i j
nṯrj	n u t ɾ i ʔ
nṯrj	n ə t ɾ e ʔ
nṯrj	n ə t ɾ e ʔ
nṯrj	n ɛ t͡ʃ r i
nṯryt	n ɛ t͡ʃ r iː t
nṯrw	n a c uː ɾ a w
nṯrw	n a t uː ɾ a w
nṯrw	n ə t uː ɾ ə
nṯrw	n ə t eː ɾ
nṯrw	n a c uː ɾ a w
nṯrw	n a t uː ɾ a w
nṯrw	n ə t uː ɾ ə
nṯrw	n ə t eː ɾ
nṯrw	n ɛ t͡ʃ ɛ r uː
nṯrwj	n ɛ t͡ʃ r uː i
nṯrt	n a c aː ɾ a t
nṯrt	n a t aː ɾ a ʔ
nṯrt	n ə t aː ɾ a
nṯrt	n ə t oː ɾ ə
nṯrt	n a c aː ɾ a t
nṯrt	n a t aː ɾ a ʔ
nṯrt	n ə t aː ɾ a
nṯrt	n ə t oː ɾ ə
nṯrt	n ɛ t͡ʃ ɛ r ɛ t
nṯrtj	n ɛ t͡ʃ ɛ r t i
nḏ	n ɛ d͡ʒ
nḏꜣ	n ɛ d͡ʒ ɑ
nḏꜣw	n ɛ d͡ʒ ɑ uː
nḏꜣḏꜣ	n ɛ d͡ʒ ɑ d͡ʒ ɑ
nḏyt	n ɛ d͡ʒ iː t
nḏm	n aː cʼ a m
nḏm	n aː tʼ a m
nḏm	n aː tʼ ə m
nḏm	n oː tʼ ə m
nḏm	n aː cʼ a m
nḏm	n aː tʼ a m
nḏm	n aː tʼ ə m
nḏm	n oː tʼ ə m
nḏm	n aː cʼ i m
nḏm	n aː tʼ i m
nḏm	n aː tʼ ə m
nḏm	n oː tʼ ə m
nḏm	n aː cʼ i m
nḏm	n aː tʼ i m
nḏm	n aː tʼ ə m
nḏm	n oː tʼ ə m
nḏm	n ɛ d͡ʒ ɛ m
nḏnḏ	n ɛ d͡ʒ n ɛ d͡ʒ
nḏr	n ɛ d͡ʒ ɛ r
nḏrj	n ɛ d͡ʒ ɛ r i
nḏs	n aː cʼ a s
nḏs	n aː tʼ a s
nḏs	n aː tʼ ə s
nḏs	n oː tʼ ə s
nḏs	n aː cʼ a s
nḏs	n aː tʼ a s
nḏs	n aː tʼ ə s
nḏs	n oː tʼ ə s
nḏs	n ɛ d͡ʒ ɛ s
nḏt	n ɛ d͡ʒ ɛ t
nḏdnḏd	n ɛ d͡ʒ ɛ d n ɛ d͡ʒ ɛ d
nḏdḏd	n ɛ d͡ʒ ɛ d d͡ʒ ɛ d
r	ɾ a ʀ
r	ɾ a ʀ
r	ɾ a ʔ
r	ɾ a ʔ
r	ɾ a ʀ
r	ɾ a ʀ
r	ɾ a ʔ
r	ɾ a ʔ
r	ɾ aː ʀ a w
r	ɾ aː ʀ a w
r	ɾ aː w ə
r	ɾ oː w
r	ɾ aː ʀ a w
r	ɾ aː ʀ a w
r	ɾ aː w ə
r	ɾ oː w
r	ɛ r
r	j i ɾ
r	j i ʔ
r	ʔ ə
r	ʔ ə
r	j i ɾ
r	j i ʔ
r	ʔ ə
r	ʔ ə
r	ɛ r
rꜣ	r ɑ
rꜥ	ɾ iː ʕ u w
rꜥ	ɾ iː ʕ u w
rꜥ	ɾ eː ʕ ə
rꜥ	ɾ eː ʕ
rꜥ	ɾ iː ʕ u w
rꜥ	ɾ iː ʕ u w
rꜥ	ɾ eː ʕ ə
rꜥ	ɾ eː ʕ
rꜥ	r ɑː
rw	r uː
rwj	r uː i
rwj	r uː i
rwt	r uː t
rwd	r uː d
rwḏ	r uː d͡ʒ
rwḏt	ɾ a w cʼ i t
rwḏt	ɾ a w tʼ i ʔ
rwḏt	ɾ a w tʼ a
rwḏt	ɾ a w tʼ ə
rwḏt	ɾ a w cʼ i t
rwḏt	ɾ a w tʼ i ʔ
rwḏt	ɾ a w tʼ a
rwḏt	ɾ a w tʼ ə
rwḏt	r uː d͡ʒ ɛ t
rbw	r ɛ b uː
rpwḥw	r ɛ p uː h uː
rm	r ɛ m
rmj	ɾ iː m i t
rmj	ɾ iː m i ʔ
rmj	ɾ iː m a
rmj	ɾ iː m ə
rmj	ɾ iː m i t
rmj	ɾ iː m i ʔ
rmj	ɾ iː m a
rmj	ɾ iː m ə
rmj	r ɛ m i
rmyt	r a m iː j V ʔ
rmyt	r ə m eː ʔ ə
rmyt	r ə m eː ʔ
rmyt	r a m iː j V ʔ
rmyt	r ə m eː ʔ ə
rmyt	r ə m eː ʔ
rmyt	r ɛ m iː t
rmn	r ɛ m ɛ n
rmnj	r ɛ m n i
rmnn	r ɛ m n ɛ n
rmrm	r ɛ m r ɛ m
rmrmt	r ɛ m r ɛ m ɛ t
rmṯ	ɾ aː m a c
rmṯ	ɾ aː m a ʔ
rmṯ	ɾ aː m a
rmṯ	ɾ oː m ə
rmṯ	ɾ aː m a c
rmṯ	ɾ aː m a ʔ
rmṯ	ɾ aː m a
rmṯ	ɾ oː m ə
rmṯ	r ɛ m ɛ t͡ʃ
rmṯt	r ɛ m ɛ t͡ʃ ɛ t
rn	ɾ i n
rn	ɾ i n
rn	ɾ e n
rn	ɾ e n
rn	ɾ i n
rn	ɾ i n
rn	ɾ e n
rn	ɾ e n
rn	r ɛ n
rn	r ɛ n
rnp	r ɛ n ɛ p
rnpj	ɾ i n p i t
rnpj	ɾ i n p i ʔ
rnpj	ɾ e n p a
rnpj	ɾ e n p ə
rnpj	ɾ i n p i t
rnpj	ɾ i n p i ʔ
rnpj	ɾ e n p a
rnpj	ɾ e n p ə
rnpj	r ɛ n ɛ p i
rnpwt	ɾ i n p iː w a t
rnpwt	ɾ i n p iː w a t
rnpwt	r ɛ n p uː t
rnpt	ɾ a n p a t
rnpt	ɾ a n p a ʔ
rnpt	ɾ a n p a
rnpt	ɾ a n p ə
rnpt	ɾ a n p a t
rnpt	ɾ a n p a ʔ
rnpt	ɾ a n p a
rnpt	ɾ a n p ə
rnpt	ɾ a n p a w w a t
rnpt	ɾ a n p a w w a ʔ
rnpt	ɾ ə n p a w w a
rnpt	ɾ ə n p a w w ə
rnpt	ɾ a n p a w w a t
rnpt	ɾ a n p a w w a ʔ
rnpt	ɾ ə n p a w w a
rnpt	ɾ ə n p a w w ə
rnpt	r ɛ n p ɛ t
rnn	r ɛ n ɛ n
rrj	ɾ iː ɾ i j
rrj	ɾ iː ɾ i j
rrj	ɾ iː ɾ ə
rrj	ɾ iː ɾ
rrj	ɾ iː ɾ i j
rrj	ɾ iː ɾ i j
rrj	ɾ iː ɾ ə
rrj	ɾ iː ɾ
rrj	r ɛ r i
rhn	ɾ aː h a n
rhn	ɾ aː h a n
rhn	ɾ aː h ə n
rhn	ɾ oː h ə n
rhn	ɾ aː h a n
rhn	ɾ aː h a n
rhn	ɾ aː h ə n
rhn	ɾ oː h ə n
rhn	ɾ i h n i t
rhn	ɾ i h n i ʔ
rhn	ɾ e h n a
rhn	ɾ e h n ə
rhn	ɾ i h n i t
rhn	ɾ i h n i ʔ
rhn	ɾ e h n a
rhn	ɾ e h n ə
rhn	r ɛ h ɛ n
rḥw	r ɛ h uː
rḥwj	r ɛ h uː i
rḫ	r ɛ x
rḫyt	l V χ iː w a t
rḫyt	l V χ iː j a ʔ
rḫyt	l ə χ eː ʔ ə
rḫyt	l ə χ eː ʔ
rḫyt	l V χ iː w a t
rḫyt	l V χ iː j a ʔ
rḫyt	l ə χ eː ʔ ə
rḫyt	l ə χ eː ʔ
rḫyt	r ɛ x iː t
rḫs	r ɛ x ɛ s
rs	r ɛ s
rsj	r ɛ s i
rsj	ɾ uː s V j
rsj	ɾ uː s V j
rsj	ɾ uː s ə
rsj	ɾ øː s
rsj	ɾ uː s V j
rsj	ɾ uː s V j
rsj	ɾ uː s ə
rsj	ɾ øː s
rsj	r ɛ s i
rsw	r ɛ s uː
rswt	ɾ i s w a t
rswt	ɾ i s w a ʔ
rswt	ɾ e s w a
rswt	ɾ e s w ə
rswt	ɾ i s w a t
rswt	ɾ i s w a ʔ
rswt	ɾ e s w a
rswt	ɾ e s w ə
rswt	r ɛ s uː t
rš	r ɛ ʃ
ršw	r ɛ ʃ uː
ršwt	ɾ i ʃ w V t
ršwt	ɾ i ʃ w V ʔ
ršwt	ɾ e ʃ a
ršwt	ɾ e ʃ ə
ršwt	ɾ i ʃ w V t
ršwt	ɾ i ʃ w V ʔ
ršwt	ɾ e ʃ a
ršwt	ɾ e ʃ ə
ršwt	r ɛ ʃ uː t
ršpw	r ɛ ʃ p uː
ršrš	r ɛ ʃ r ɛ ʃ
rqj	ɾ iː qʼ i t
rqj	ɾ iː qʼ i ʔ
rqj	ɾ iː qʼ a
rqj	ɾ iː qʼ ə
rqj	ɾ iː qʼ i t
rqj	ɾ iː qʼ i ʔ
rqj	ɾ iː qʼ a
rqj	ɾ iː qʼ ə
rqj	r ɛ k i
rk	r ɛ k
rkjšꜣ	r ɛ k i ʃ ɑ
rkḥ	ɾ aː k a ħ
rkḥ	ɾ aː k a ħ
rkḥ	ɾ aː k ə ħ
rkḥ	ɾ oː k ə ħ
rkḥ	ɾ aː k a ħ
rkḥ	ɾ aː k a ħ
rkḥ	ɾ aː k ə ħ
rkḥ	ɾ oː k ə ħ
rkḥ	r ɛ k ɛ h
rtḥ	r ɛ t ɛ h
rtḥtj	r ɛ t h ɛ t i
rṯnw	r ɛ t͡ʃ ɛ n uː
rd	ɾ i tʼ
rd	ɾ i tʼ
rd	ɾ e tʼ
rd	ɾ e tʼ
rd	ɾ i tʼ
rd	ɾ i tʼ
rd	ɾ e tʼ
rd	ɾ e tʼ
rd	r ɛ d
rd	ɾ aː tʼ u w
rd	ɾ aː tʼ u w
rd	ɾ aː tʼ ə
rd	ɾ oː tʼ
rd	ɾ aː tʼ u w
rd	ɾ aː tʼ u w
rd	ɾ aː tʼ ə
rd	ɾ oː tʼ
rd	ɾ a tʼ w a w
rd	ɾ a tʼ w a w
rd	ɾ a tʼ w ə
rd	ɾ a tʼ ə
rd	ɾ a tʼ w a w
rd	ɾ a tʼ w a w
rd	ɾ a tʼ w ə
rd	ɾ a tʼ ə
rd	r ɛ d
rḏj	ɾ V cʼ iː j i t
rḏj	cʼ iː j i t
rḏj	ɾ V tʼ iː j i ʔ
rḏj	tʼ iː j i ʔ
rḏj	ɾ ə tʼ iː ʔ ə
rḏj	tʼ iː ʔ ə
rḏj	tʼ iː ʔ
rḏj	ɾ V cʼ iː j i t
rḏj	cʼ iː j i t
rḏj	ɾ V tʼ iː j i ʔ
rḏj	tʼ iː j i ʔ
rḏj	ɾ ə tʼ iː ʔ ə
rḏj	tʼ iː ʔ ə
rḏj	tʼ iː ʔ
rḏj	r ɛ d͡ʒ i
rḏw	r ɛ d͡ʒ uː
h	h ɛ
hꜣ	h ɑ
hꜣj	h i ʀ j i t
hꜣj	h i ʀ j i ʔ
hꜣj	h e ʔ j a
hꜣj	h e ʔ j ə
hꜣj	h i ʀ j i t
hꜣj	h i ʀ j i ʔ
hꜣj	h e ʔ j a
hꜣj	h e ʔ j ə
hꜣj	h ɑ i
hꜣw	h ɑ uː
hꜣb	h aː ʀ a b
hꜣb	h aː ʀ a b
hꜣb	h aː ʔ ə b
hꜣb	h oː ʔ ə β
hꜣb	h aː ʀ a b
hꜣb	h aː ʀ a b
hꜣb	h aː ʔ ə b
hꜣb	h oː ʔ ə β
hꜣb	h ɑ b
hꜣkr	h ɑ k ɛ r
hj	h i j
hj	h i j
hj	h e j
hj	h e j
hj	h i j
hj	h i j
hj	h e j
hj	h e j
hj	h i
hy	h iː
hwhw	h uː h uː
hb	h ɛ b
hbj	h i b j a w
hbj	h i j b a w
hbj	h iː b ə
hbj	h iː p
hbj	h i b j a w
hbj	h i j b a w
hbj	h iː b ə
hbj	h iː p
hbj	h i b j aː w a w
hbj	h i j b aː w a w
hbj	h ə j b aː j ə
hbj	h ə j β oː j
hbj	h i b j aː w a w
hbj	h i j b aː w a w
hbj	h ə j b aː j ə
hbj	h ə j β oː j
hbj	h ɛ b i
hbnj	h ɛ b n i
hbhb	h ɛ b h ɛ b
hp	h i p
hp	h i p
hp	h e p
hp	h e p
hp	h i p
hp	h i p
hp	h e p
hp	h e p
hp	h ɛ p
hmy	h ɛ m iː
hmhmt	h ɛ m h ɛ m ɛ t
hn	h ɛ n
hnw	h iː n a w
hnw	h iː n a w
hnw	h iː n ə
hnw	h iː n
hnw	h iː n a w
hnw	h iː n a w
hnw	h iː n ə
hnw	h iː n
hnw	h ɛ n uː
hnw	h ɛ n uː
hnw	h ɛ n uː
hnw	h ɛ n uː
hnn	h ɛ n ɛ n
hndwꜣy	h ɛ n d uː ɑ iː
hr	h aː ɾ
hr	h aː ɾ
hr	h aː ɾ
hr	h oː ɾ
hr	h aː ɾ
hr	h aː ɾ
hr	h aː ɾ
hr	h oː ɾ
hr	h ɛ r
hrw	h a ɾ w u w
hrw	h a ʔ w u w
hrw	h a ʔ w ə
hrw	h a ʔ w
hrw	h a ɾ w u w
hrw	h a ʔ w u w
hrw	h a ʔ w ə
hrw	h a ʔ w
hrw	h a ɾ u w w
hrw	h a ɾ u w w
hrw	h ə ɾ u w w
hrw	h ə ɾ ø w w
hrw	h a ɾ u w w
hrw	h a ɾ u w w
hrw	h ə ɾ u w w
hrw	h ə ɾ ø w w
hrw	h ɛ r uː
hrw	h ɛ r uː
hrm	h ɛ r ɛ m
hh	h ɛ h
hkr	h ɛ k ɛ r
hd	h ɛ d
ḥꜣ	h ɑ
ḥꜣj	h ɑ i
ḥꜣj	h ɑ i
ḥꜣyt	h ɑ iː t
ḥꜣw	h ɑ uː
ḥꜣb	ħ a ʀ a b
ḥꜣb	ħ a ʀ a b
ḥꜣb	ħ ə a b
ḥꜣb	ħ ə a p
ḥꜣb	ħ a ʀ a b
ḥꜣb	ħ a ʀ a b
ḥꜣb	ħ ə a b
ḥꜣb	ħ ə a p
ḥꜣb	h ɑ b
ḥꜣbj	ħ i ʀ b i t
ḥꜣbj	ħ i ʀ b i ʔ
ḥꜣbj	ħ iː b a
ḥꜣbj	ħ iː β ə
ḥꜣbj	ħ i ʀ b i t
ḥꜣbj	ħ i ʀ b i ʔ
ḥꜣbj	ħ iː b a
ḥꜣbj	ħ iː β ə
ḥꜣbj	h ɑ b i
ḥꜣp	ħ aː ʀ a p
ḥꜣp	ħ aː ʀ a p
ḥꜣp	ħ aː ʔ ə p
ḥꜣp	ħ oː ʔ ə p
ḥꜣp	ħ aː ʀ a p
ḥꜣp	ħ aː ʀ a p
ḥꜣp	ħ aː ʔ ə p
ḥꜣp	ħ oː ʔ ə p
ḥꜣp	h ɑ p
ḥꜣm	h ɑ m
ḥꜣḥꜣ	h ɑ h ɑ
ḥꜣq	h ɑ k
ḥꜣt	ħ uː ʀ i t
ḥꜣt	ħ uː ʀ i ʔ
ḥꜣt	ħ uː ʔ ə
ḥꜣt	ħ eː ʔ
ḥꜣt	ħ uː ʀ i t
ḥꜣt	ħ uː ʀ i ʔ
ḥꜣt	ħ uː ʔ ə
ḥꜣt	ħ eː ʔ
ḥꜣt	h ɑ t
ḥꜣt	h ɑ t
ḥꜣt	h ɑ t
ḥꜣt	h ɑ t
ḥꜣtj	ħ u ʀ iː t i j
ḥꜣtj	ħ u ʀ iː t i j
ḥꜣtj	ħ w iː t ə
ḥꜣtj	ħ w iː t
ḥꜣtj	ħ u ʀ iː t i j
ḥꜣtj	ħ u ʀ iː t i j
ḥꜣtj	ħ w iː t ə
ḥꜣtj	u
ḥꜣtj	ħ u ʀ iː
ḥꜣtj	ħ u j iː
ḥꜣtj	ħ w iː
ḥꜣtj	ħ w iː t
ḥꜣtj	ħ u ʀ t V j
ḥꜣtj	ħ u ʀ t V j
ḥꜣtj	ħ uː t ə
ḥꜣtj	ħ eː t
ḥꜣtj	ħ u ʀ t V j
ḥꜣtj	ħ u ʀ t V j
ḥꜣtj	ħ uː t ə
ḥꜣtj	ħ eː t
ḥꜣtj	h ɑ t i
ḥꜣtt	h ɑ t ɛ t
ḥjp	h i p
ḥjpt	h i p ɛ t
ḥjrꜣpw	ħ a r p a
ḥjrꜣpw	ħ a r p a
ḥjrꜣpw	h i r ɑ p uː
ḥꜥj	h ɑː i
ḥꜥꜥwt	h ɑː ʔ ɑː uː t
ḥꜥw	h ɑː uː
ḥꜥb	h ɑː b
ḥꜥpj	ħ V ʕ p i j
ḥꜥpj	ħ V j p i j
ḥꜥpj	ħ ə p e j
ḥꜥpj	ħ ə p e j
ḥꜥpj	ħ V ʕ p i j
ḥꜥpj	ħ V j p i j
ḥꜥpj	ħ ə p e j
ḥꜥpj	ħ ə p e j
ḥꜥpj	h ɑː p i
ḥꜥt	h ɑː t
ḥꜥḏꜣ	h ɑː d͡ʒ ɑ
ḥw	h uː
ḥwꜣ	ħ aː w a ʀ
ḥwꜣ	ħ aː w a ʀ
ḥwꜣ	ħ aː w ə
ḥwꜣ	ħ oː w
ḥwꜣ	ħ aː w a ʀ
ḥwꜣ	ħ aː w a ʀ
ḥwꜣ	ħ aː w ə
ḥwꜣ	ħ oː w
ḥwꜣ	h uː ɑ
ḥwꜣꜣt	h uː ɑ ʔ ɑ t
ḥwj	h uː i
ḥwꜥ	h uː ɑː
ḥww	h uː ʔ uː
ḥwn	h uː n
ḥwnj	h uː n i
ḥwnt	h uː n ɛ t
ḥwrw	h uː r uː
ḥwrwnꜣ	h uː r uː n ɑ
ḥwt	ħ aː w i t
ḥwt	ħ aː j i ʔ
ḥwt	ħ aː ʔ ə
ḥwt	ħ oː ʔ
ḥwt	ħ aː w i t
ḥwt	ħ aː j i ʔ
ḥwt	ħ aː ʔ ə
ḥwt	ħ oː ʔ
ḥwt	h uː t
ḥwt	h uː t
ḥwḏꜣr	h uː d͡ʒ ɑ r
ḥbꜣbꜣ	h ɛ b ɑ b ɑ
ḥbw	h ɛ b uː
ḥbbt	h ɛ b ɛ b ɛ t
ḥbnnwt	h ɛ b n ɛ n uː t
ḥbs	ħ aː b a s
ḥbs	ħ aː b a s
ḥbs	ħ aː b ə s
ḥbs	ħ oː β ə s
ḥbs	ħ aː b a s
ḥbs	ħ aː b a s
ḥbs	ħ aː b ə s
ḥbs	ħ oː β ə s
ḥbs	ħ a b a s
ḥbs	ħ a b a s
ḥbs	ħ ə b a s
ḥbs	ħ ə β a s
ḥbs	ħ a b a s
ḥbs	ħ a b a s
ḥbs	ħ ə b a s
ḥbs	ħ ə β a s
ḥbs	h ɛ b ɛ s
ḥbsyt	h ɛ b s iː t
ḥbsw	h ɛ b ɛ s uː
ḥbswt	h ɛ b s uː t
ḥp	ħ u j p V w
ḥp	ħ u j p V w
ḥp	ħ u ʔ p ə
ḥp	ħ ø ʔ p
ḥp	ħ u j p V w
ḥp	ħ u j p V w
ḥp	ħ u ʔ p ə
ḥp	ħ ø ʔ p
ḥp	h ɛ p
ḥpy	h ɛ p iː
ḥpt	h ɛ p ɛ t
ḥfꜣw	ħ a f ʀ a w
ḥfꜣw	ħ a f ʀ a w
ḥfꜣw	ħ a f ə
ḥfꜣw	ħ a f
ḥfꜣw	ħ a f ʀ a w
ḥfꜣw	ħ a f ʀ a w
ḥfꜣw	ħ a f ə
ḥfꜣw	ħ a f
ḥfꜣw	ħ a f ʀ aː w a w
ḥfꜣw	ħ a f ʀ aː w a w
ḥfꜣw	ħ ə f aː j ə
ḥfꜣw	ħ ə f oː j
ḥfꜣw	ħ a f ʀ aː w a w
ḥfꜣw	ħ a f ʀ aː w a w
ḥfꜣw	ħ ə f aː j ə
ḥfꜣw	ħ ə f oː j
ḥfꜣw	h ɛ f ɑ uː
ḥfꜣt	ħ a f aː ʀ a t
ḥfꜣt	ħ a f aː ʀ a ʔ
ḥfꜣt	ħ ə f aː ʔ ə
ḥfꜣt	ħ ə f oː ʔ
ḥfꜣt	ħ a f aː ʀ a t
ḥfꜣt	ħ a f aː ʀ a ʔ
ḥfꜣt	ħ ə f aː ʔ ə
ḥfꜣt	ħ ə f oː ʔ
ḥfꜣt	h ɛ f ɑ t
ḥfn	h ɛ f ɛ n
ḥm	h ɛ m
ḥmꜣt	h ɛ m ɑ t
ḥmj	h ɛ m i
ḥmy	h ɛ m iː
ḥmw	ħ V m u w
ḥmw	ħ V m u w
ḥmw	ħ ə m u ʔ
ḥmw	ħ ə m ø ʔ
ḥmw	ħ V m u w
ḥmw	ħ V m u w
ḥmw	ħ ə m u ʔ
ḥmw	ħ ə m ø ʔ
ḥmw	h ɛ m uː
ḥmw	h ɛ m uː
ḥmw	h ɛ m uː
ḥmww	h ɛ m uː ʔ uː
ḥmwt	h ɛ m uː t
ḥmsj	ħ i m s i t
ḥmsj	ħ i m s i ʔ
ḥmsj	ħ e m s a
ḥmsj	ħ e m s ə
ḥmsj	ħ i m s i t
ḥmsj	ħ i m s i ʔ
ḥmsj	ħ e m s a
ḥmsj	ħ e m s ə
ḥmsj	h ɛ m ɛ s i
ḥmt	ħ iː m a t
ḥmt	ħ iː m a ʔ
ḥmt	ħ iː m a
ḥmt	ħ iː m ə
ḥmt	ħ iː m a t
ḥmt	ħ iː m a ʔ
ḥmt	ħ iː m a
ḥmt	ħ iː m ə
ḥmt	ħ i j a m w a t
ḥmt	ħ i j a m w a ʔ
ḥmt	ħ ə j a m w a
ḥmt	ħ ə j a m w ə
ḥmt	ħ i j a m w a t
ḥmt	ħ i j a m w a ʔ
ḥmt	ħ ə j a m w a
ḥmt	ħ ə j a m w ə
ḥmt	h ɛ m ɛ t
ḥmt	h ɛ m ɛ t
ḥmt	h ɛ m ɛ t
ḥmt	h ɛ m ɛ t
ḥn	h ɛ n
ḥnj	h ɛ n i
ḥnꜥ	h ɛ n ɑː
ḥnꜥj	h ɛ n ɑː i
ḥnꜥw	h ɛ n ɑː uː
ḥnw	ħ ə n e w
ḥnw	ħ ə n e w
ḥnw	h ɛ n uː
ḥnw	h ɛ n uː
ḥnw	h ɛ n uː
ḥnwt	h ɛ n uː t
ḥnmmt	h ɛ n m ɛ m ɛ t
ḥnmnm	h ɛ n ɛ m n ɛ m
ḥnn	h ɛ n ɛ n
ḥnzk	h ɛ n z ɛ k
ḥnzkt	h ɛ n z ɛ k ɛ t
ḥns	h ɛ n ɛ s
ḥnqt	h ɛ n k ɛ t
ḥnk	ħ aː n a k
ḥnk	ħ aː n a k
ḥnk	ħ aː n ə k
