â	a
anghydwelediadau	a ŋ h ɨ̞ d w ɛ l ɛ d j a d ɛ
anghydwelediadau	a ŋ h ɨ̞ d w ɛ l ɛ d j a d a
anghyfartal	a ŋ h ə v a r t a l
anghyfreithlon	a ŋ h ə v r e i̯ θ l ɔ n
anghyfiawn	a ŋ̊ h ə v j a u̯ n
anghyfiawnder	a ŋ h ə v j a u̯ n d ɛ r
anghyflawn	a ŋ h ə v l a u̯ n
anghyflogaeth	a ŋ h ə v l ɔ ɡ a ɨ̯ θ
anghyflogaeth	a ŋ h ə v l ɔ ɡ ɛ θ
anghyflogaeth	a ŋ h ə v l ɔ ɡ ɛ θ
anghyfforddus	a ŋ h ə f ɔ r ð ɨ̞ s
anghymdeithasol	a ŋ h ə m d e i̯ θ a s ɔ l
anghymeradwyaeth	a ŋ h ə m ɛ r a d ʊ ɨ̯ a ɨ̯ θ
anghymeradwyaeth	a ŋ h ə m ɛ r a d ʊ ɨ̯ ɛ θ
anghymeradwyaeth	a ŋ h ə m ɛ r a d ʊ ɨ̯ ɛ θ
anghymreig	a ŋ h ə m r e i̯ ɡ
anghymreigio	a ŋ h ə m r e i̯ ɡ j ɔ
anghyseinedd	a ŋ h ə s e i̯ n ɛ ð
anghytgord	a ŋ h ə t ɡ ɔ r d
anghytgordiau	a ŋ h ə t ɡ ɔ r d j a ɨ̯
anghytgordiau	a ŋ h ə t ɡ ɔ r d j ɛ
anghytgordiau	a ŋ h ə t ɡ ɔ r d j a
anghytgordiau	a ŋ h ə t ɡ ɔ r d j ɛ
anghytgordiau	a ŋ h ə t ɡ ɔ r d j a
anghytûn	a ŋ h ə t ɨː n
anghytundeb	a ŋ h ə t ɨ̞ n d ɛ b
anghytundebau	a ŋ h ə t ɨ̞ n d ɛ b a ɨ̯
anghytundebau	a ŋ h ə t ɨ̞ n d ɛ b ɛ
anghytundebau	a ŋ h ə t ɨ̞ n d ɛ b a
anghytundebau	a ŋ h ə t ɨ̞ n d ɛ b ɛ
anghytundebau	a ŋ h ə t ɨ̞ n d ɛ b a
anghytuno	a ŋ h ə t ɨ n ɔ
anghytuno	a ŋ ə t ɨ n ɔ
anghytuno	a ŋ ə t ɨ n ɔ
anghywir	a ŋ̊ h ə w ɪ r
angladd	a ŋ l a ð
angladdau	a ŋ l a ð a ɨ̯
angladdau	a ŋ l a ð ɛ
angladdau	a ŋ l a ð a
angladdau	a ŋ l a ð ɛ
angladdau	a ŋ l a ð a
anghlodau	a ŋ h l ɔ d a ɨ̯
anghlodau	a ŋ h l ɔ d ɛ
anghlodau	a ŋ h l ɔ d a
anghlodau	a ŋ h l ɔ d ɛ
anghlodau	a ŋ h l ɔ d a
angof	a ŋ ɔ v
angor	a ŋ ɔ r
angylaidd	a ŋ ə l a i̯ ð
angylaidd	a ŋ ə l ɛ ð
angylaidd	a ŋ ə l ɛ ð
angyles	a ŋ ə l ɛ s
angylion	a ŋ ə l j ɔ n
ai	a i̯
âi	aː i̯
aidd	a i̯ ð
aiff	a i̯ f
aifft	a i̯ f t
ail	a i̯ l
ail ar bymtheg	a i̯ l a r b ə m θ ɛ ɡ
ail ar hugain	a i̯ l a r h ɪ ɡ a i̯ n
ailbeintio	a i̯ l b e i̯ n t j ɔ
aildrefnu	a i̯ l d r e v n ɨ̞
ailfeddiannu	a i̯ l v ɛ ð j a n ɨ̞
ailosod	a i̯ l ɔ s ɔ d
ailosod	a i̯ l ɔ s ɔ d
ailwampio	a i̯ l w a m p j ɔ
ailwampio	a i̯ l w a m p j ɔ
aillt	a i̯ ɬ d
air	a i̯ r
ais	a i̯ s
ait	a i̯ t
âl	aː l
alan	a l a n
alannon	a l a n ɔ n
alar	a l a r
alar	aː l a r
alarch	a l a r χ
alaw	a l a u̯
alban	a l b a n
alban	a l b a n
alban arthan	a l b a n a r θ a n
alban cyntefin	a l b a n k ə n t ɛ v ɪ n
alban eilir	a l b a n e i̯ l ɪ r
alban elfed	a l b a n ɛ l v ɛ d
alban hefin	a l b a n h ɛ v ɪ n
alban hyfed	a l b a n h ə v ɛ d
albanau	a l b a n a ɨ̯
albanau	a l b a n ɛ
albanau	a l b a n a
albanau	a l b a n ɛ
albanau	a l b a n a
albaneg	a l b a n ɛ ɡ
albwm	a l b ʊ m
alfarch	a l v a r χ
almaen	ə r a l m a ɨ̯ n
almaeneg	a l m e ɨ̯ n ɛ ɡ
almaenwr	a l m e ɨ̯ n ʊ r
almanac	a l m a n a k
almanaciau	a l m a n a k j a ɨ̯
almanaciau	a l m a n a k j ɛ
almanaciau	a l m a n a k j a
almanaciau	a l m a n a k j ɛ
almanaciau	a l m a n a k j a
almon	a l m ɔ n
almonau	a l m ɔ n a ɨ̯
almonau	a l m ɔ n ɛ
almonau	a l m ɔ n a
almonau	a l m ɔ n ɛ
almonau	a l m ɔ n a
alwminiwm	a l ʊ m ɪ n j ʊ m
all	a ɬ
alla	a ɬ a
allai	a ɬ a i̯
allai	a ɬ ɛ
allai	a ɬ ɛ
allan	a ɬ a n
allanadlu	a ɬ a n a d l ɨ̞
allanfa	a ɬ a n v a
allanfa dân	a ɬ a n v a d aː n
allanfeydd tân	a ɬ a n v e ɨ̯ ð t aː n
allanol	a ɬ a n ɔ l
allant	a ɬ a n t
allblyg	a ɬ b l ɨ̞ ɡ
allen	a ɬ ɛ n
aller	a ɬ ɛ r
allforiadwy	a ɬ v ɔ r j a d ʊ ɨ̯
allforio	a ɬ v ɔ r j ɔ
allforion	a ɬ v ɔ r j ɔ n
allforiwr	a ɬ v ɔ r j ʊ r
allforwyr	a ɬ v ɔ r w ɨ̞ r
allforyn	a ɬ v ɔ r ɨ̞ n
allfudo	a ɬ v ɨ̞ d ɔ
allgofnodi	a ɬ ɡ ɔ v n ɔ d i
alli	a ɬ i
allo	a ɬ ɔ
allor	a ɬ ɔ r
allt	aː ɬ d
alltud	a ɬ d ɨ̞ d
allwedd	a ɬ w ɛ ð
allweddell	a ɬ w ɛ ð ɛ ɬ
allweddellau	a ɬ w ɛ ð ɛ ɬ a ɨ̯
allweddellau	a ɬ w ɛ ð ɛ ɬ ɛ
allweddellau	a ɬ w ɛ ð ɛ ɬ a
allweddellau	a ɬ w ɛ ð ɛ ɬ ɛ
allweddellau	a ɬ w ɛ ð ɛ ɬ a
allwthio	a ɬ ʊ θ j ɔ
am	a m
am byth	a m b ɨː θ
am wn i	a m ʊ n iː
amaethyddiaeth	a m e ɨ̯ θ ə ð j a ɨ̯ θ
amaethyddiaeth	a m e ɨ̯ θ ə ð j ɛ θ
amaethyddiaeth	a m e ɨ̯ θ ə ð j ɛ θ
amanita	a m a n ɪ t a
amanita benfelen	a m a n ɪ t a b ɛ n v ɛ l ɛ n
amanita borffor	a m a n ɪ t a b ɔ r f ɔ r
amanita droednoeth	a m a n ɪ t a d r ɔ ɨ̯ d n ɔ ɨ̯ θ
amanita'r gwybed	a m a n ɪ t a r ɡ w ə b ɛ d
amau	a m a ɨ̯
amau	a m ɛ
amau	a m a
amau	a m ɛ
amau	a m a
ambell	a m b ɛ ɬ
ambell	a m b a ɬ
ambell	a m b a ɬ
ambeutu	a m b e ɨ̯ t ɨ̞
ambiti	a m b ɪ t ɪ
ambiwlans	a m b ɪ u̯ l a n s
ambiwlansys	a m b ɪ u̯ l a n s ɨ̞ s
amcan	a m k a n
amcangyfrif	a m k a ŋ ɡ ə v r ɪ
amcangyfrifon	a m k a ŋ ɡ ə v r ɪ v ɔ n
amcanion	a m k a n j ɔ n
amcanu	a m k a n ɨ̞
amddiffyn	a m ð ɪ f ɨ̞ n
amddiffynnaf	a m ð ɪ f ə n a v
ameba	a m ɛ b a
america	a m ɛ r ɪ k a
america ladin	a m ɛ r ɪ k a l a d ɪ n
amethyst	a m ɛ θ ɨ̞ s d
amffibiad	a m f ɪ b j a d
amgáu	a m ɡ a ɨ̯
amguedd	a m ɡ ɨː ɛ ð
amgueddfa	a m ɡ ɨ̞ ɛ ð v a
amgyffred	a m ɡ ə f r ɛ d
amgylch	a m ɡ ɨ̞ l χ
amgylchedd	a m ɡ ə l χ ɛ ð
amgylcheddol	a m ɡ ə l χ ɛ ð ɔ l
amharu	a m̥ h a r ɨ
amhenodol	a m h ɛ n ɔ d ɔ l
amherffaith	a m̥ h ɛ r f a i̯ θ
amheuaeth	a m h e ɨ̯ a ɨ̯ θ
amheuaeth	a m h e ɨ̯ ɛ θ
amheuaeth	a m h e ɨ̯ ɛ θ
amheuaf	a m h e ɨ̯ a v
amheuaf	a m h e ɨ̯ a
amheuaf	a m h e ɨ̯ a
amlach	a m l a χ
amlen	a m l ɛ n
amlwg	a m l ʊ ɡ
amlygu	a m l ə ɡ ɨ
amnewid	a n n ɛ u̯ ɪ d
amobr	a m ɔ b r
amod	a m ɔ d
amodau	a m ɔ d a ɨ̯
amodau	a m ɔ d ɛ
amodau	a m ɔ d a
amodau	a m ɔ d ɛ
amodau	a m ɔ d a
amodi	a m ɔ d i
amodiad	a m ɔ d j a d
amrannau	a m r a n a ɨ̯
amrannau	a m r a n ɛ
amrannau	a m r a n a
amrannau	a m r a n ɛ
amrannau	a m r a n a
amrant	a m r a n t
amrantiad	a m r a n t j a d
amrwd	a m r ʊ d
amrwymo	a m r ʊ ɨ̯ m ɔ
amryw	a m r ɪ u̯
amryw	a m r ɨ u̯
amrywedd	a m r ɪ u̯ j ɛ ð
amrywedd	a m r ɨ u̯ j ɛ ð
amrywiad	a m r ɪ u̯ j a d
amrywiad	a m r ɨ̞ u̯ j a d
amrywiadau	a m r ɪ u̯ j a d a ɨ̯
amrywiadau	a m r ɨ̞ u̯ j a d a ɨ̯
amrywiadau	a m r ɪ u̯ j a d ɛ
amrywiadau	a m r ɪ u̯ j a d a
amrywiadau	a m r ɨ̞ u̯ j a d ɛ
amrywiadau	a m r ɨ̞ u̯ j a d a
amrywiadau	a m r ɪ u̯ j a d ɛ
amrywiadau	a m r ɪ u̯ j a d a
amrywiadau	a m r ɨ̞ u̯ j a d ɛ
amrywiadau	a m r ɨ̞ u̯ j a d a
amrywiaeth	a m r ɪ u̯ j a ɨ̯ ð
amrywiaeth	a m r ɨ u̯ j a ɨ̯ ð
amrywiaeth	a m r ɪ u̯ j ɛ θ
amrywiaeth	a m r ɨ u̯ j ɛ θ
amrywiaeth	a m r ɪ u̯ j ɛ θ
amrywiaeth	a m r ɨ u̯ j ɛ θ
amrywiaethau	a m r ɪ u̯ j e ɨ̯ θ a ɨ̯
amrywiaethau	a m r ɨ̞ u̯ j e ɨ̯ θ a ɨ̯
amrywiaethau	a m r ɪ u̯ j e ɨ̯ θ ɛ
amrywiaethau	a m r ɪ u̯ j e ɨ̯ θ a
amrywiaethau	a m r ɨ̞ u̯ j e ɨ̯ θ ɛ
amrywiaethau	a m r ɨ̞ u̯ j e ɨ̯ θ a
amrywiaethau	a m r ɪ u̯ j e ɨ̯ θ ɛ
amrywiaethau	a m r ɪ u̯ j e ɨ̯ θ a
amrywiaethau	a m r ɨ̞ u̯ j e ɨ̯ θ ɛ
amrywiaethau	a m r ɨ̞ u̯ j e ɨ̯ θ a
amrywio	a m r ɪ u̯ j ɔ
amrywio	a m r ɨ u̯ j ɔ
amrywiol	a m r ɪ u̯ j ɔ l
amrywiol	a m r ɨ u̯ j ɔ l
amser	a m s ɛ r
amser	a m s a r
amser maith yn ôl	a m s ɛ r m a i̯ θ ə n oː l
amser maith yn ôl	a m s a r m a i̯ θ ə n oː l
amserau	a m s ɛ r a ɨ̯
amserau	a m s ɛ r ɛ
amserau	a m s ɛ r a
amserau	a m s ɛ r ɛ
amserau	a m s ɛ r a
amseriadur	a m s ɛ r j a d ɨ̞ r
amseriaduron	a m s ɛ r j a d ɨ̞ r ɔ n
amserlen	a m s ɛ r l ɛ n
amserlenni	a m s ɛ r l ɛ n i
amseroedd	a m s ɛ r ɔ ɨ̯ ð
amwythig	a m ʊ ɨ̯ θ ɪ ɡ
amynedd	a m ə n ɛ ð
amyneddgar	a m ə n ɛ ð ɡ a r
ân	aː n
anabl	a n a b l
anabledd	a n a b l ɛ ð
anableddau	a n a b l ɛ ð a ɨ̯
anableddau	a n a b l ɛ ð ɛ
anableddau	a n a b l ɛ ð a
anableddau	a n a b l ɛ ð ɛ
anableddau	a n a b l ɛ ð a
anadlu	a n a d l ɨ
anadnabyddus	a n a d n a b ə ð ɨ̞ s
anaf	a n a v
anafa	a n a v a
anafai	a n a v a i̯
anafais	a n a v a i̯ s
anafais	a n a v ɛ s
anafais	a n a v ɪ ʃ
anafais	a n a v ɛ s
anafais	a n a v ɪ ʃ
anafes	a n a v ɛ s
anafes	a n a v ɪ ʃ
anafiadau	a n a v j a d a ɨ̯
anafiadau	a n a v j a d ɛ
anafiadau	a n a v j a d a
anafiadau	a n a v j a d ɛ
anafiadau	a n a v j a d a
anafu	a n a v ɨ̞
anawsterau	a n a u̯ s d ɛ r a ɨ̯
anawsterau	a n a u̯ s d ɛ r ɛ
anawsterau	a n a u̯ s d ɛ r a
anawsterau	a n a u̯ s d ɛ r ɛ
anawsterau	a n a u̯ s d ɛ r a
aneiri	a n e i̯ r i
aneiriol	a n e i̯ r j ɔ l
aneirod	a n e i̯ r ɔ d
anelu	a n ɛ l ɨ̞
anesboniadwy	a n ɛ s b ɔ n j a d ʊ ɨ̯
anesgusodol	a n ɛ s ɡ ɨ̞ s ɔ d ɔ l
anfantais	a n v a n t a i̯ s
anfantais	a n v a n t ɛ s
anfantais	a n v a n t ɛ s
anfanteision	a n v a n t e i̯ ʃ ɔ n
anferth	a n v ɛ r θ
anferth	a n v a r θ
anferth	a n v a r θ
anfon	a n v ɔ n
anfonaf	a n v ɔ n a v
anffodus	a n f ɔ d ɨ̞ s
anffurfiol	a n f ɨ̞ r v j ɔ l
angorau	a ŋ ɔ r a ɨ̯
angorau	a ŋ ɔ r a ɛ
angorau	a ŋ ɔ r a a
angorau	a ŋ ɔ r a ɛ
angorau	a ŋ ɔ r a a
angorion	a ŋ ɔ r j ɔ n
angylesau	a ŋ ə l ɛ s a ɨ̯
angylesau	a ŋ ə l ɛ s ɛ
angylesau	a ŋ ə l ɛ s a
angylesau	a ŋ ə l ɛ s ɛ
angylesau	a ŋ ə l ɛ s a
anhawster	a n h a u̯ s d ɛ r
anhawster	a n h a u̯ s d a r
anhawster	a n h a u̯ s d a r
anheddau	a n h ɛ ð a ɨ̯
anheddau	a n h ɛ ð ɛ
anheddau	a n h ɛ ð a
anheddau	a n h ɛ ð ɛ
anheddau	a n h ɛ ð a
anhwylder	a n h ʊ ɨ̯ l d ɛ r
anhwylder bwyta	a n h ʊ ɨ̯ l d ɛ r b ʊ ɨ̯ t a
anhwylderau	a n h ʊ ɨ̯ l d ɛ r a ɨ̯
anhwylderau	a n h ʊ ɨ̯ l d ɛ r ɛ
anhwylderau	a n h ʊ ɨ̯ l d ɛ r a
anhwylderau	a n h ʊ ɨ̯ l d ɛ r ɛ
anhwylderau	a n h ʊ ɨ̯ l d ɛ r a
anhwylderau bwyta	a n h ʊ ɨ̯ l d ɛ r a ɨ̯ b ʊ ɨ̯ t a
anhwylderau bwyta	a n h ʊ ɨ̯ l d ɛ r ɛ b ʊ ɨ̯ t a
anhwylderau bwyta	a n h ʊ ɨ̯ l d ɛ r a b ʊ ɨ̯ t a
anhwylderau bwyta	a n h ʊ ɨ̯ l d ɛ r ɛ b ʊ ɨ̯ t a
anhwylderau bwyta	a n h ʊ ɨ̯ l d ɛ r a b ʊ ɨ̯ t a
anhysbys	a n h ə s b ɨ̞ s
anial	a n j a l
anialwch	a n j a l ʊ χ
anian	a n j a n
anianau	a n j a n a ɨ̯
anianau	a n j a n ɛ
anianau	a n j a n a
anianau	a n j a n ɛ
anianau	a n j a n a
anifail	a n ɪ v a i̯ l
anifail	a n ɪ v ɛ l
anifail	a n ɪ v ɛ l
animeiddiad	a n ɪ m e i̯ ð j a d
animeiddiadau	a n ɪ m e i̯ ð j j a d a ɨ̯
animeiddiadau	a n ɪ m e i̯ ð j j a d ɛ
animeiddiadau	a n ɪ m e i̯ ð j j a d a
animeiddiadau	a n ɪ m e i̯ ð j j a d ɛ
animeiddiadau	a n ɪ m e i̯ ð j j a d a
animeiddio	a n ɪ m e i̯ ð j ɔ
animeiddiwr	a n ɪ m e i̯ ð j ʊ r
animeiddwyr	a n ɪ m e i̯ ð w ɨ̞ r
annedd	a n ɛ ð
annedd	a n a ð
annedd	a n a ð
anner	a n ɛ r
annerch	a n ɛ r χ
annherfynol	a n h ɛ r v ə n ɔ l
annog	a n ɔ ɡ
annwyd	a n ʊ ɨ̯ d
annwyl	a n ʊ ɨ̯ l
anobaith	a n ɔ b a i θ
anobaith	a n ɔ b ɛ θ
anobaith	a n ɔ b ɛ θ
anobeithiau	a n ɔ b e i̯ θ j a ɨ̯
anobeithiau	a n ɔ b e i̯ θ j ɛ
anobeithiau	a n ɔ b e i̯ θ j a
anobeithiau	a n ɔ b e i̯ θ j ɛ
anobeithiau	a n ɔ b e i̯ θ j a
anobeithio	a n ɔ b e i̯ θ j ɔ
anobeithiol	a n ɔ b e i̯ θ j ɔ l
anodd	a n ɔ ð
anoddach	a n ɔ ð a χ
anoddaf	a n ɔ ð a v
anoddaf	a n ɔ ð a
anoddaf	a n ɔ ð a
anodded	a n ɔ ð ɛ d
anogaf	a n ɔ ɡ a v
anogaf	a n ɔ ɡ a
anogaf	a n ɔ ɡ a
anrheg	a n r̥ ɛ ɡ
anrhydedd	a n r̥ ə d ɛ ð
anrhydeddu	a n r̥ ə d ɛ ð ɨ̞
anrhydeddus	a n r̥ ə d ɛ ð ɨ̞ s
ansawdd	a n s a u̯ ð
ansoddair	a n s ɔ ð a i̯ r
ansoddeiriau	a n s ɔ ð e i̯ r j a ɨ̯
ansoddeiriau	a n s ɔ ð e i̯ r j ɛ
ansoddeiriau	a n s ɔ ð e i̯ r j a
ansoddeiriau	a n s ɔ ð e i̯ r j ɛ
ansoddeiriau	a n s ɔ ð e i̯ r j a
ânt	aː n t
antigwa	a n t ɪ ɡ w a
antigwa a barbiwda	a n t ɪ ɡ w a a b a r b ɪ u̯ d a
antimoni	a n t ɪ m ɔ n i
anthem	a n θ ɛ m
anthemau	a n θ ɛ m a ɨ̯
anthemau	a n θ ɛ m ɛ
anthemau	a n θ ɛ m a
anthemau	a n θ ɛ m ɛ
anthemau	a n θ ɛ m a
anuniongyrchol	a n ɨ̞ n j ɔ ŋ ɡ ə r χ ɔ l
anwaraidd	a n w a r a i̯ ð
anwedd	a n w ɛ ð
anweddu	a n w ɛ ð ɨ̞
anweddus	a n w ɛ ð ɨ̞ s
anwybyddu	a n w ɨ̞ b ə ð ɨ̞
ap	a p
apêl	a p eː l
apeliadau	a p ɛ l j a d a ɨ̯
apeliadau	a p ɛ l j a d ɛ
apeliadau	j a d a
apeliadau	a p ɛ l j a d ɛ
apeliadau	j a d a
apostol	a p ɔ s d ɔ l
apostolion	a p ɔ s d ɔ l j ɔ n
ar	a r
ar agor	a r a ɡ ɔ r
ar amrantiad	a r a m r a n t j a d
ar amser	a r a m s ɛ r
ar amser	a r a m s a r
ar ben	a r b ɛ n
ar bwys	a r b uː ɨ̯ s
ar daith	a r d a i̯ θ
ar dân	a r d aː n
ar draws	a r d r a u̯ s
ar frys	a r v r ɨː s
ar gau	a r ɡ a ɨ̯
ar gof a chadw	a r ɡ oː v a χ a d ʊ
ar gyfer	a r ɡ ə v ɛ r
ar gyfer	a r ɡ ə v a r
ar gyfer	a r ɡ ə v a r
ar hyn o bryd	a r h ɨ̞ n ɔ b r ɨː d
ar hyn o bryd	a r h ɨ̞ n ɔ b r ɨː d
ar lafar	a r l a v a r
ar ôl	a r oː l
ar wahân	a r w a h aː n
ar werth	a r w ɛ r θ
arad	a r a d
aradr	a r a d r
aradr	a r a d
aradr	a r a d
araf	a r a v
araf	a r a
araf	a r a
arafu	a r a v ɨ̞
arall	a r a ɬ
aran	a r a n
aranianoliaeth	a r a n j a n ɔ l j a ɨ̯ θ
aranianoliaeth	a r a n j a n ɔ l j ɛ θ
aranianoliaeth	a r a n j a n ɔ l j ɛ θ
arbed	a r b ɛ d
arbedaf	a r b ɛ d a v
arbedaf	a r b ɛ d a
arbedaf	a r b ɛ d a
arbennig	a r b ɛ n ɪ ɡ
arbrawf	a r b r a u̯ v
arbrofi	a r b r ɔ v ɪ
arch	a r χ
archangel	a r χ a ŋ ɛ l
archangel	a r χ a ŋ a l
archangel	a r χ a ŋ a l
archangylion	a r χ a ŋ ə l j ɔ n
archdeyrniaeth	a r χ d e ɨ̯ r n j a ɨ̯ θ
archdeyrniaeth	a r χ d e ɨ̯ r n j ɛ θ
archdeyrniaeth	a r χ d e ɨ̯ r n j ɛ θ
archdeyrniaethau	a r χ d e ɨ̯ r n j e ɨ̯ θ a ɨ̯
archdeyrniaethau	a r χ d e ɨ̯ r n j e ɨ̯ θ ɛ
archdeyrniaethau	a r χ d e ɨ̯ r n j e ɨ̯ θ a
archdeyrniaethau	a r χ d e ɨ̯ r n j e ɨ̯ θ ɛ
archdeyrniaethau	a r χ d e ɨ̯ r n j e ɨ̯ θ a
archdderwydd	a r χ ð ɛ r w ɨ̞ ð
archeb	a r χ ɛ b
archebion	a r χ ɛ b j ɔ n
archebu	a r χ ɛ b ɨ̞
archesgob	a r χ ɛ s ɡ ɔ b
archesgobion	a r χ ɛ s ɡ ɔ b j ɔ n
archfarchnad	a r χ v a r χ n a d
archfarchnadoedd	a r χ v a r χ n a d ɔ ɨ̯ ð
archoll	a r χ ɔ ɬ
archolli	a r χ ɔ ɬ i
archser	a r χ s ɛ r
archseren	a r χ s ɛ r ɛ n
archwilio	a r χ w ɪ l j ɔ
ardal	a r d a l
ardaloedd	a r d a l ɔ ɨ̯ ð
arddangos	a r ð a ŋ ɔ s
ardd	a r ð
ardd	aː r ð
arddaf	a r ð a v
arddangosfa	a r ð a ŋ ɡ ɔ s v a
arddangosfeydd	a r ð a ŋ ɡ ɔ s v e ɨ̯ ð
arddelw	a r ð ɛ l u
arddelwon	a r ð ɛ l w ɔ n
ardderchog	a r ð ɛ r χ ɔ ɡ
arddodi	a r ð ɔ d ɪ
arddodiad	a r ð ɔ d j a d
arddodiaid	a r ð ɔ d j a i̯ d
arddodiaid	a r ð ɔ d j ɛ d
arddodiaid	a r ð ɔ d j ɛ d
arddwrn	a r ð ʊ r n
arddyrnau	a r ð ə r n a ɨ̯
arddyrnau	a r ð ə r n ɛ
arddyrnau	a r ð ə r n a
arddyrnau	a r ð ə r n ɛ
arddyrnau	a r ð ə r n a
aredaf	a r ɛ d a v
aredaf	a r ɛ d a
aredaf	a r ɛ d a
aredig	a r ɛ d ɪ ɡ
aren	a r ɛ n
arennau	a r ɛ n a ɨ̯
arennau	a r ɛ n ɛ
arennau	a r ɛ n a
arennau	a r ɛ n ɛ
arennau	a r ɛ n a
arestiad	a r ɛ s d j a d
arestiadau	a r ɛ s d j a d a ɨ̯
arestiadau	a r ɛ s d j a d ɛ
arestiadau	a r ɛ s d j a d a
arestiadau	a r ɛ s d j a d ɛ
arestiadau	a r ɛ s d j a d a
arestio	a r ɛ s d j ɔ
arf	a r v
arfau	a r v a ɨ̯
arfau	a r v ɛ
arfau	a r v a
arfau	a r v ɛ
arfau	a r v a
arfbais	a r v b a i̯ s
arfbeisiau	a r v b e i̯ ʃ a ɨ̯
arfbeisiau	a r v b e i̯ ʃ ɛ
arfbeisiau	a r v b e i̯ ʃ a
arfbeisiau	a r v b e i̯ ʃ ɛ
arfbeisiau	a r v b e i̯ ʃ a
arfedd	a r v ɛ ð
arfedd	a r v a ð
arfedd	a r v a ð
arfeddion	a r v ɛ ð j ɔ n
arfeddog	a r v ɛ ð ɔ ɡ
arfer	a r v ɛ r
arfer	a r v a r
arfer	a r v a r
arfod	a r v ɔ d
arfodau	a r v ɔ d a ɨ̯
arfodau	a r v ɔ d ɛ
arfodau	a r v ɔ d a
arfodau	a r v ɔ d ɛ
arfodau	a r v ɔ d a
arfodau	a r v ɔ d
arfodion	a r v ɔ d j ɔ n
argaen	a r ɡ a ɨ̯ n
argaenau	a r ɡ e ɨ̯ n a ɨ̯
argaenau	a r ɡ e ɨ̯ n ɛ
argaenau	a r ɡ e ɨ̯ n a
argaenau	a r ɡ e ɨ̯ n ɛ
argaenau	a r ɡ e ɨ̯ n a
arglwydd	a r ɡ l ʊ ɨ̯ ð
arglwydd	a r ɡ l ʊ ɨ̯ ð
arglwyddes	a r ɡ l ʊ ɨ̯ ð ɛ s
arglwyddes	a r ɡ l ʊ ɨ̯ ð ɛ s
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a ɨ̯
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s ɛ
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s ɛ
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a ɨ̯
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s ɛ
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s ɛ
arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a
arglwyddi	a r ɡ l ʊ ɨ̯ ð ɪ
argoel	a r ɡ ɔ ɨ̯ l
argoelion	a r ɡ ɔ ɨ̯ l j ɔ n
argoelion	a r ɡ ɔ i̯ l j ɔ n
argrafiadau	a r ɡ r a f j a d a ɨ̯
argrafiadau	a r ɡ r a f j a d ɛ
argrafiadau	a r ɡ r a f j a d a
argrafiadau	a r ɡ r a f j a d ɛ
argrafiadau	a r ɡ r a f j a d a
argraff	a r ɡ r a f
argraffiad	a r ɡ r a f j a d
argraffiadaeth	a r ɡ r a f j a d a ɨ̯ θ
argraffiadaeth	a r ɡ r a f j a d ɛ θ
argraffiadaeth	a r ɡ r a f j a d ɛ θ
argraffiadau	a r ɡ r a f j a d a ɨ̯
argraffiadau	a r ɡ r a f j a d ɛ
argraffiadau	a r ɡ r a f j a d a
argraffiadau	a r ɡ r a f j a d ɛ
argraffiadau	a r ɡ r a f j a d a
argraffiadol	a r ɡ r a f j a d ɔ l
argraffiadwyr	a r ɡ r a f j a d w ɨ̞ r
argraffiadydd	a r ɡ r a f j a d ɨ̞ ð
argraffu	a r ɡ r a f ɨ̞
argraffwr	a r ɡ r a f ʊ r
argraffwyr	a r ɡ r a f w ɨ̞ r
argraffydd	a r ɡ r a f ɨ̞ ð
argraffyddion	a r ɡ r a f ə ð j ɔ n
argyfwng	a r ɡ ə v ʊ ŋ
argyfyngau	a r ɡ ə v ə ŋ a ɨ̯
argyfyngau	a r ɡ ə v ə ŋ ɛ
argyfyngau	a r ɡ ə v ə ŋ a
argyfyngau	a r ɡ ə v ə ŋ ɛ
argyfyngau	a r ɡ ə v ə ŋ a
argyfyngus	a r ɡ ə v ə ŋ ɨ̞ s
arholi	a r h ɔ l ɪ
arholiad	a r h ɔ l j a d
arhosaf	a r h ɔ s a v
arhosfa	a r h ɔ s v a
arian	a r j a n
arian parod	a r j a m p a r ɔ d
ariannin	ə r a r j a n ɪ n
ariannog	a r j a n ɔ ɡ
ariannwr	a r j a n ʊ r
arianrhod	a r j a n r̥ ɔ d
arianrhod	a r j a n r̥ ɔ d
arloesi	a r l ɔ ɨ̯ s ɪ
arlwy	a r l u ɨ̯
arlwyau	a r l ʊ ɨ̯ a ɨ̯
arlwyau	a r l ʊ ɨ̯ ɛ
arlwyau	a r l ʊ ɨ̯ a
arlwyau	a r l ʊ ɨ̯ ɛ
arlwyau	a r l ʊ ɨ̯ a
arllwys	a r ɬ ʊ ɨ̯ s
