ア	a̠
メトロ	m e̞ t o̞ ɾ o̞
メドフォード	m e̞ d o̞ ɸ o̞ː d o̞
メドレー	m e̞ d o̞ ɾ e̞ː
メビバイト	m e̞ bʲ i b a̠ i t o̞
メビビット	m e̞ bʲ i bʲ i t̚ t o̞
メモ	m e̞ m o̞
メモメモ	m e̞ m o̞ m e̞ m o̞
メモリ	m e̞ m o̞ ɾʲ i
メモリー	m e̞ m o̞ ɾʲ iː
メラネシア	m e̞ ɾ a̠ n e̞ ɕ i a̠
メランコリア	m e̞ ɾ ã̠ ŋ k o̞ ɾʲ i a̠
メランコリー	m e̞ ɾ ã̠ ŋ k o̞ ɾʲ iː
メリケン	m e̞ ɾʲ i k ẽ̞ ɴ
メリット	m e̞ ɾʲ i t̚ t o̞
メリデメ	m e̞ ɾʲ i d e̞ m e̞
メリメリ	m e̞ ɾʲ i m e̞ ɾʲ i
メリー	m e̞ ɾʲ iː
メリーランド	m e̞ ɾʲ iː ɾ ã̠ n d o̞
メレンゲ	m e̞ ɾ ẽ̞ ŋ ɡ e̞
メロコア	m e̞ ɾ o̞ k o̞ a̠
メロドラマ	m e̞ ɾ o̞ d o̞ ɾ a̠ m a̠
メロン	m e̞ ɾ õ̞ ɴ
メロンパン	m e̞ ɾ õ̞ m p ã̠ ɴ
メンカラ	m ẽ̞ ŋ k a̠ ɾ a̠
メンキャバ	m ẽ̞ ŋʲ kʲ a̠ b a̠
メンター	m ẽ̞ n t a̠ː
メンテ	m ẽ̞ n t e̞
メンテナー	m ẽ̞ n t e̞ n a̠ː
メンバー	m ẽ̞ m b a̠ː
メンマ	m ẽ̞ mː a̠
メーカー	m e̞ː k a̠ː
メーター	m e̞ː t a̠ː
メーデー	m e̞ː d e̞ː
メード	m e̞ː d o̞
メーラー	m e̞ː ɾ a̠ː
メーリーランド	m e̞ː ɾʲ iː ɾ ã̠ n d o̞
モ	m o̞
モア	m o̞ a̠
モアレ	m o̞ a̠ ɾ e̞
モカ	m o̞ k a̠
モガ	m o̞ ɡ a̠
モダン	m o̞ d ã̠ ɴ
モチベ	m o̞ t͡ɕ i b e̞
モチベーション	m o̞ t͡ɕ i b e̞ː ɕ õ̞ ɴ
モッツァレラ	m o̞ t̚ t͡s a̠ ɾ e̞ ɾ a̠
モッツェッタ	m o̞ t̚ t͡s e̞ t̚ t a̠
モットー	m o̞ t̚ t o̞ː
モッパン	m o̞ p̚ p ã̠ ɴ
モテモテ	m o̞ t e̞ m o̞ t e̞
モデラート	m o̞ d e̞ ɾ a̠ː t o̞
モナコ	m o̞ n a̠ k o̞
モネ	m o̞ n e̞
モノキニ	m o̞ n o̞ kʲ i ɲ̟ i
モノホン	m o̞ n o̞ h õ̞ ɴ
モノポリー	m o̞ n o̞ p o̞ ɾʲ iː
モバイラー	m o̞ b a̠ i ɾ a̠ː
モヒ	m o̞ ç i
モボ	m o̞ b o̞
モモ	m o̞ m o̞
モモンガ	m o̞ m õ̞ ŋ ɡ a̠
モラハラ	m o̞ ɾ a̠ h a̠ ɾ a̠
モロ	m o̞ ɾ o̞
モロッコ	m o̞ ɾ o̞ k̚ k o̞
モロニ	m o̞ ɾ o̞ ɲ̟ i
モロヘイヤ	m o̞ ɾ o̞ h e̞ː j a̠
モン	m õ̞ ɴ
モンキー	m õ̞ ŋʲ kʲ iː
モンゴロイド	m õ̞ ŋ ɡ o̞ ɾ o̞ i d o̞
モンタナ	m õ̞ n t a̠ n a̠
モンテビデオ	m õ̞ n t e̞ bʲ i d e̞ o̞
モンテレー	m õ̞ n t e̞ ɾ e̞ː
モーセ	m o̞ː s e̞
モーター	m o̞ː t a̠ː
モーターカー	m o̞ː t a̠ː k a̠ː
モーターボート	m o̞ː t a̠ː b o̞ː t o̞
モード	m o̞ː d o̞
モーラ	m o̞ː ɾ a̠
モーリタニア	m o̞ː ɾʲ i t a̠ ɲ̟ i a̠
ヤ	j a̠
ヤオトン	j a̠ o̞ t õ̞ ɴ
ヤキマ	j a̠ kʲ i m a̠
ヤッケ	j a̠ k̚ k e̞
ヤペテ	j a̠ p e̞ t e̞
ヤマンバ	j a̠ m ã̠ m b a̠
ヤミ	j a̠ mʲ i
ヤリマン	j a̠ ɾʲ i m ã̠ ɴ
ヤンキー	j ã̠ ŋʲ kʲ iː
ヤンゴン	j ã̠ ŋ ɡ õ̞ ɴ
ヤンデレ	j ã̠ n d e̞ ɾ e̞
ヤード	j a̠ː d o̞
ヤーバー	j a̠ː b a̠ː
ヨ	j o̞
ヨカタ	j o̞ k a̠ t a̠
ヨガ	j o̞ ɡ a̠
ヨギ	j o̞ ɡʲ i
ヨコテン	j o̞ k o̞ t ẽ̞ ɴ
ヨタビット	j o̞ t a̠ bʲ i t̚ t o̞
ヨット	j o̞ t̚ t o̞
ヨハネ	j o̞ h a̠ n e̞
ヨビバイト	j o̞ bʲ i b a̠ i t o̞
ヨビビット	j o̞ bʲ i bʲ i t̚ t o̞
ヨーガ	j o̞ː ɡ a̠
ヨーダ	j o̞ː d a̠
ヨード	j o̞ː d o̞
ヨードチンキ	j o̞ː d o̞ t͡ɕ ĩ ŋʲ kʲ i
ヨーヨー	j o̞ː j o̞ː
ヨーロッパ	j o̞ː ɾ o̞ p̚ p a̠
ラ	ɾ a̠
ライオン	ɾ a̠ i õ̞ ɴ
ライガー	ɾ a̠ i ɡ a̠ː
ライター	ɾ a̠ i t a̠ː
ライダー	ɾ a̠ i d a̠ː
ライチ	ɾ a̠ i t͡ɕ i
ライト	ɾ a̠ i t o̞
ライトセーバー	ɾ a̠ i t o̞ s e̞ː b a̠ː
ライノベ	ɾ a̠ i n o̞ b e̞
ライバー	ɾ a̠ i b a̠ː
ライン	ɾ a̠ ĩ ɴ
ラガーマン	ɾ a̠ ɡ a̠ː m ã̠ ɴ
ラケット	ɾ a̠ k e̞ t̚ t o̞
ラサ	ɾ a̠ s a̠
ラザロ	ɾ a̠ z a̠ ɾ o̞
ラザーニャ	ɾ a̠ z a̠ː ɲ̟ a̠
ラシャ	ɾ a̠ ɕ a̠
ラジアン	ɾ a̠ ʑ i ã̠ ɴ
ラジエーター	ɾ a̠ ʑ i e̞ː t a̠ː
ラジオ	ɾ a̠ ʑ i o̞
ラジオカセット	ɾ a̠ ʑ i o̞ k a̠ s e̞ t̚ t o̞
ラジカセ	ɾ a̠ ʑ i k a̠ s e̞
ラジコン	ɾ a̠ ʑ i k õ̞ ɴ
ラジャー	ɾ a̠ ʑ a̠ː
ラッキー	ɾ a̠ k̚ʲ kʲ iː
ラッチ	ɾ a̠ t̚ t͡ɕ i
ラット	ɾ a̠ t̚ t o̞
ラッパー	ɾ a̠ p̚ p a̠ː
ラテン	ɾ a̠ t ẽ̞ ɴ
ラトビア	ɾ a̠ t o̞ bʲ i a̠
ラトヴィア	ɾ a̠ t o̞ bʲ i a̠
ラドン	ɾ a̠ d õ̞ ɴ
ラノベ	ɾ a̠ n o̞ b e̞
ラバト	ɾ a̠ b a̠ t o̞
ラビ	ɾ a̠ bʲ i
ラファエロ	ɾ a̠ ɸ a̠ e̞ ɾ o̞
ラベンダー	ɾ a̠ b ẽ̞ n d a̠ː
ラボ	ɾ a̠ b o̞
ラボラトリー	ɾ a̠ b o̞ ɾ a̠ t o̞ ɾʲ iː
ラマ	ɾ a̠ m a̠
ラミー	ɾ a̠ mʲ iː
ラメ	ɾ a̠ m e̞
ララバイ	ɾ a̠ ɾ a̠ b a̠ i
ラリパッパ	ɾ a̠ ɾʲ i p a̠ p̚ p a̠
ラリマー	ɾ a̠ ɾʲ i m a̠ː
ラリー	ɾ a̠ ɾʲ iː
ラン	ɾ ã̠ ɴ
ランゲージ	ɾ ã̠ ŋ ɡ e̞ː ʑ i
ランジェリー	ɾ ã̠ ɲ̟ d͡ʑ e̞ ɾʲ iː
ランタニド	ɾ ã̠ n t a̠ ɲ̟ i d o̞
ランタノイド	ɾ ã̠ n t a̠ n o̞ i d o̞
ランタン	ɾ ã̠ n t ã̠ ɴ
ランチ	ɾ ã̠ ɲ̟ t͡ɕ i
ランチメイト	ɾ ã̠ ɲ̟ t͡ɕ i m e̞ː t o̞
ランド	ɾ ã̠ n d o̞
ランナー	ɾ ã̠ nː a̠ː
ラー	ɾ a̠ː
ラーダン	ɾ a̠ː d ã̠ ɴ
ラード	ɾ a̠ː d o̞
ラーマーヤナ	ɾ a̠ː m a̠ː j a̠ n a̠
ラーメン	ɾ a̠ː m ẽ̞ ɴ
リ	ɾʲ i
リアカー	ɾʲ i a̠ k a̠ː
リアコ	ɾʲ i a̠ k o̞
リアタイ	ɾʲ i a̠ t a̠ i
リェ	ɾʲ e̞
リェイダ	ɾʲ e̞ː d a̠
リエゾン	ɾʲ i e̞ z õ̞ ɴ
リオ	ɾʲ i o̞
リカオン	ɾʲ i k a̠ õ̞ ɴ
リカバリー	ɾʲ i k a̠ b a̠ ɾʲ iː
リガ	ɾʲ i ɡ a̠
リケジョ	ɾʲ i k e̞ ʑ o̞
リコッタ	ɾʲ i k o̞ t̚ t a̠
リコピン	ɾʲ i k o̞ pʲ ĩ ɴ
リコーダー	ɾʲ i k o̞ː d a̠ː
リザードマン	ɾʲ i z a̠ː d o̞ m ã̠ ɴ
リシ	ɾʲ i ɕ i
リシン	ɾʲ i ɕ ĩ ɴ
リジン	ɾʲ i ʑ ĩ ɴ
リセット	ɾʲ i s e̞ t̚ t o̞
リゾット	ɾʲ i z o̞ t̚ t o̞
リタイア	ɾʲ i t a̠ i a̠
リタード	ɾʲ i t a̠ː d o̞
リチャード	ɾʲ i t͡ɕ a̠ː d o̞
リッチ	ɾʲ i t̚ t͡ɕ i
リテラシー	ɾʲ i t e̞ ɾ a̠ ɕ iː
リトアニア	ɾʲ i t o̞ a̠ ɲ̟ i a̠
リトライ	ɾʲ i t o̞ ɾ a̠ i
リドカイン	ɾʲ i d o̞ k a̠ ĩ ɴ
リニア	ɾʲ i ɲ̟ i a̠
リニメント	ɾʲ i ɲ̟ i m ẽ̞ n t o̞
リハ	ɾʲ i h a̠
リハビリ	ɾʲ i h a̠ bʲ i ɾʲ i
リハビリテーション	ɾʲ i h a̠ bʲ i ɾʲ i t e̞ː ɕ õ̞ ɴ
リバ	ɾʲ i b a̠
リバー	ɾʲ i b a̠ː
リビア	ɾʲ i bʲ i a̠
リビドー	ɾʲ i bʲ i d o̞ː
リピド	ɾʲ i pʲ i d o̞
リピーター	ɾʲ i pʲ iː t a̠ː
リピート	ɾʲ i pʲ iː t o̞
リベリア	ɾʲ i b e̞ ɾʲ i a̠
リベンジ	ɾʲ i b ẽ̞ ɲ̟ d͡ʑ i
リボ	ɾʲ i b o̞
リボン	ɾʲ i b õ̞ ɴ
リポーター	ɾʲ i p o̞ː t a̠ː
リマ	ɾʲ i m a̠
リマインダー	ɾʲ i m a̠ ĩ n d a̠ː
リマインド	ɾʲ i m a̠ ĩ n d o̞
リモ	ɾʲ i m o̞
リモコン	ɾʲ i m o̞ k õ̞ ɴ
リモネン	ɾʲ i m o̞ n ẽ̞ ɴ
リモホ	ɾʲ i m o̞ h o̞
リモート	ɾʲ i m o̞ː t o̞
リャ	ɾʲ a̠
リャマ	ɾʲ a̠ m a̠
リヤカー	ɾʲ i j a̠ k a̠ː
リヤド	ɾʲ i j a̠ d o̞
リョ	ɾʲ o̞
リラ	ɾʲ i ɾ a̠
リリイベ	ɾʲ i ɾʲ iː b e̞
リレー	ɾʲ i ɾ e̞ː
リンカー	ɾʲ ĩ ŋ k a̠ː
リンギット	ɾʲ ĩ ŋʲ ɡʲ i t̚ t o̞
リンチ	ɾʲ ĩ ɲ̟ t͡ɕ i
リンパ	ɾʲ ĩ m p a̠
リヴァイアサン	ɾʲ i b a̠ i a̠ s ã̠ ɴ
リーダー	ɾʲ iː d a̠ː
リーチ	ɾʲ iː t͡ɕ i
リート	ɾʲ iː t o̞
リード	ɾʲ iː d o̞
リーマン	ɾʲ iː m ã̠ ɴ
レ	ɾ e̞
レ゚	ɾ e̞
レア	ɾ e̞ a̠
レアー	ɾ e̞ a̠ː
レイテ	ɾ e̞ː t e̞
レイテンシ	ɾ e̞ː t ẽ̞ ɰ̃ ɕ i
レイテンシー	ɾ e̞ː t ẽ̞ ɰ̃ ɕ iː
レイトレ	ɾ e̞ i t o̞ ɾ e̞
レイパー	ɾ e̞ː p a̠ː
レインボー	ɾ e̞ ĩ m b o̞ː
レオ	ɾ e̞ o̞
レオタード	ɾ e̞ o̞ t a̠ː d o̞
レガート	ɾ e̞ ɡ a̠ː t o̞
レゲエ	ɾ e̞ ɡ e̞ː
レコーダー	ɾ e̞ k o̞ː d a̠ː
レコード	ɾ e̞ k o̞ː d o̞
レゴ	ɾ e̞ ɡ o̞
レザー	ɾ e̞ z a̠ː
レシピ	ɾ e̞ ɕ i̥ pʲ i
レシート	ɾ e̞ ɕ iː t o̞
レジ	ɾ e̞ ʑ i
レジャー	ɾ e̞ ʑ a̠ː
レジャーランド	ɾ e̞ ʑ a̠ː ɾ ã̠ n d o̞
レソト	ɾ e̞ s o̞ t o̞
レター	ɾ e̞ t a̠ː
レトロ	ɾ e̞ t o̞ ɾ o̞
レバガチャ	ɾ e̞ b a̠ ɡ a̠ t͡ɕ a̠
レバー	ɾ e̞ b a̠ː
レパートリー	ɾ e̞ p a̠ː t o̞ ɾʲ iː
レビ	ɾ e̞ bʲ i
レベチ	ɾ e̞ b e̞ t͡ɕ i
レポ	ɾ e̞ p o̞
レポーター	ɾ e̞ p o̞ː t a̠ː
レポート	ɾ e̞ p o̞ː t o̞
レモネード	ɾ e̞ m o̞ n e̞ː d o̞
レモン	ɾ e̞ m õ̞ ɴ
レンジ	ɾ ẽ̞ ɲ̟ d͡ʑ i
レンジャー	ɾ ẽ̞ ɲ̟ d͡ʑ a̠ː
レンタカー	ɾ ẽ̞ n t a̠ k a̠ː
レンチ	ɾ ẽ̞ ɲ̟ t͡ɕ i
レンチン	ɾ ẽ̞ ɲ̟ t͡ɕ ĩ ɴ
レントゲン	ɾ ẽ̞ n t o̞ ɡ ẽ̞ ɴ
レントラー	ɾ ẽ̞ n t o̞ ɾ a̠ː
レヴァント	ɾ e̞ b ã̠ n t o̞
レヴィアタン	ɾ e̞ bʲ i a̠ t ã̠ ɴ
レーサー	ɾ e̞ː s a̠ː
レーザ	ɾ e̞ː z a̠
レーザー	ɾ e̞ː z a̠ː
レーシー	ɾ e̞ː ɕ iː
レーダー	ɾ e̞ː d a̠ː
レーニン	ɾ e̞ː ɲ̟ ĩ ɴ
レーヨン	ɾ e̞ː j õ̞ ɴ
ロ	ɾ o̞
ロ゚	ɾ o̞
ロイシン	ɾ o̞ i ɕ ĩ ɴ
ロイド	ɾ o̞ i d o̞
ロケ	ɾ o̞ k e̞
ロケット	ɾ o̞ k e̞ t̚ t o̞
ロケハン	ɾ o̞ k e̞ h ã̠ ɴ
ロケーション	ɾ o̞ k e̞ː ɕ õ̞ ɴ
ロコモコ	ɾ o̞ k o̞ m o̞ k o̞
ロゴ	ɾ o̞ ɡ o̞
ロザリオ	ɾ o̞ z a̠ ɾʲ i o̞
ロシア	ɾ o̞ ɕ i a̠
ロシヤ	ɾ o̞ ɕ i j a̠
ロジハラ	ɾ o̞ ʑ i h a̠ ɾ a̠
ロジバン	ɾ o̞ ʑ i b ã̠ ɴ
ロジー	ɾ o̞ ʑ iː
ロッカー	ɾ o̞ k̚ k a̠ː
ロト	ɾ o̞ t o̞
ロハ	ɾ o̞ h a̠
ロビー	ɾ o̞ bʲ iː
ロボット	ɾ o̞ b o̞ t̚ t o̞
ロボトミー	ɾ o̞ b o̞ t o̞ mʲ iː
ロマン	ɾ o̞ m ã̠ ɴ
ロメ	ɾ o̞ m e̞
ロリ	ɾ o̞ ɾʲ i
ロリィタ	ɾ o̞ ɾʲ iː t a̠
ロリコン	ɾ o̞ ɾʲ i k õ̞ ɴ
ロリショタ	ɾ o̞ ɾʲ i ɕ o̞ t a̠
ロリババア	ɾ o̞ ɾʲ i b a̠ b a̠ː
ロリータ	ɾ o̞ ɾʲ iː t a̠
ロンドン	ɾ õ̞ n d õ̞ ɴ
ロンパリ	ɾ õ̞ m p a̠ ɾʲ i
ロヴァニエミ	ɾ o̞ b a̠ ɲ̟ i e̞ mʲ i
ロー	ɾ o̞ː
ローカライゼーション	ɾ o̞ː k a̠ ɾ a̠ i z e̞ː ɕ õ̞ ɴ
ローション	ɾ o̞ː ɕ õ̞ ɴ
ロータリエンコーダ	ɾ o̞ː t a̠ ɾʲ i ẽ̞ ŋ k o̞ː d a̠
ロータリー	ɾ o̞ː t a̠ ɾʲ iː
ローター	ɾ o̞ː t a̠ː
ローテ	ɾ o̞ː t e̞
ローテーション	ɾ o̞ː t e̞ː ɕ õ̞ ɴ
ローデシア	ɾ o̞ː d e̞ ɕ i a̠
ロード	ɾ o̞ː d o̞
ロードアイランド	ɾ o̞ː d o̞ a̠ i ɾ ã̠ n d o̞
ロードショー	ɾ o̞ː d o̞ ɕ o̞ː
ロードランナー	ɾ o̞ː d o̞ ɾ ã̠ nː a̠ː
ロードローラー	ɾ o̞ː d o̞ ɾ o̞ː ɾ a̠ː
ローファイ	ɾ o̞ː ɸ a̠ i
ローファー	ɾ o̞ː ɸ a̠ː
ローラリ	ɾ o̞ː ɾ a̠ ɾʲ i
ローリエ	ɾ o̞ː ɾʲ i e̞
ローレット	ɾ o̞ː ɾ e̞ t̚ t o̞
ヲタ	o̞ t a̠
ン	n
ンジャメナ	ɲ̟ d͡ʑ a̠ m e̞ n a̠
ヴァンパイア	b ã̠ m p a̠ i a̠
ヴァージョン	b a̠ː ʑ õ̞ ɴ
ヴィェ	bʲ e̞
ヴィェンチャン	bʲ ẽ̞ ɲ̟ t͡ɕ ã̠ ɴ
ヴィエンチャン	bʲ i ẽ̞ ɲ̟ t͡ɕ ã̠ ɴ
ヴィエンナ	bʲ i ẽ̞ nː a̠
ヴィオラ	bʲ i o̞ ɾ a̠
ヴィラン	bʲ i ɾ ã̠ ɴ
ヴェネチア	b e̞ n e̞ t͡ɕ i a̠
ヴェネチヤ	b e̞ n e̞ t͡ɕ i j a̠
ヴェネーチア	b e̞ n e̞ː t͡ɕ i a̠
ヴォケ	b o̞ k e̞
ヴォジャノーイ	b o̞ ʑ a̠ n o̞ː i
ヴォッカ	b o̞ k̚ k a̠
ヴォトカ	b o̞ t o̞ k a̠
ヴャ	bʲ a̠
ヴョ	bʲ o̞
ヸャ	bʲ a̠
ヸョ	bʲ o̞
ヿ	k o̞ t o̞
