A	a
adierazezin	a d i e ɾ a s̺ e s̺ i n
adierazezin	a d i e ɾ a s̻ e s̻ i n
adierazgarri	a d i e ɾ a s̺ ɡ a r i
adierazgarri	a d i e ɾ a s̻ ɡ a r i
adierazgarritasun	a d i e ɾ a s̺ ɡ a r i t a s̺ u n
adierazgarritasun	a d i e ɾ a s̻ ɡ a r i t a s̺ u n
adierazi	a d i e ɾ a s̺ i
adierazi	a d i e ɾ a s̻ i
adierazkaitz	a d i e ɾ a s̺ k a i̯ t͡s̻
adierazkaitz	a d i e ɾ a s̻ k a i̯ t͡s̻
adierazkizun	a d i e ɾ a s̺ k i s̺ u n
adierazkizun	a d i e ɾ a s̻ k i s̻ u n
adierazkor	a d i e ɾ a s̺ k o r
adierazkor	a d i e ɾ a s̻ k o r
adierazkortasun	a d i e ɾ a s̺ k o r t a s̺ u n
adierazkortasun	a d i e ɾ a s̻ k o r t a s̺ u n
adierazle	a d i e ɾ a s̺ l e
adierazle	a d i e ɾ a s̻ l e
adierazmolde	a d i e ɾ a s̺ m o l d e
adierazmolde	a d i e ɾ a s̻ m o l d e
adierazpen	a d i e ɾ a s̺ p e n
adierazpen	a d i e ɾ a s̻ p e n
adierazpide	a d i e ɾ a s̺ p i d e
adierazpide	a d i e ɾ a s̻ p i d e
adierazte	a d i e ɾ a s̺ t e
adierazte	a d i e ɾ a s̻ t e
adierraz	a d i e r a s̺
adierraz	a d i e r a s̻
adierraztasun	a d i e r a s̺ t a s̺ u n
adierraztasun	a d i e r a s̻ t a s̺ u n
adiezin	a d i e s̺ i n
adiezin	a d i e s̻ i n
adigabe	a d i ɡ a b e
adigabetu	a d i ɡ a b e t u
adigai	a d i ɡ a i̯
adigaitz	a d i ɡ a i̯ t͡s̻
adigaiztasun	a d i ɡ a i̯ s̺ t a s̺ u n
adigaiztasun	a d i ɡ a i̯ s̻ t a s̺ u n
adigalkor	a d i ɡ a l k o r
adigarri	a d i ɡ a r i
adigarritasun	a d i ɡ a r i t a s̺ u n
adigogor	a d i ɡ o ɡ o r
adiguri	a d i ɡ u ɾ i
adiguritsu	a d i ɡ u ɾ i t͡s̺ u
adiguritsu	a d i ɡ u ɾ i t͡s̻ u
adikatu	a d i k a t u
adikor	a d i k o r
adikune	a d i k u n e
adimen	a d i m e n
adimendu	a d i m e n d u
adimendun	a d i m e n d u n
adimengabe	a d i m e n ɡ a b e
adimentsu	a d i m e n t͡s̺ u
adimentsu	a d i m e n t͡s̻ u
adin	a d i n
adiskide	a d i s̺ k i d e
adiskidetasun	a d i s̺ k i d e t a s̺ u n
aditu	a d i t u
aditz	a d i t͡s̻
aditzondo	a d i t͡s̻ o n d o
adizki	a d i s̺ k i
adizki	a d i s̻ k i
adizkitegi	a d i s̺ k i t e ɡ i
adizkitegi	a d i s̻ k i t e ɡ i
administratzaile	a d m i n i s̺ t r a t͡s̻ a i̯ l e
administratzaile	a d m i n i s̺ t r a t͡s̻ a ʎ e
adore	a d o ɾ e
ados	a d o s̺
adoste	a d o s̺ t e
adosten	a d o s̺ t e n
adostu	a d o s̺ t u
adostuko	a d o s̺ t u k o
adreilu	a d r e i̯ l u
adreilu	a d r e ʎ u
aerobik	a e ɾ o b i k
aerobiko	a e ɾ o b i k o
aerobio	a e ɾ o b i o
aerodinamika	a e ɾ o d i n a m i k a
aerodinamiko	a e ɾ o d i n a m i k o
aerodromo	a e ɾ o d r o m o
aeroespazial	a e ɾ o e s̺ p a s̻ i a l
aeroklub	a e ɾ o k l u b
aerolabaingailu	a e ɾ o l a b a i̯ n ɡ a i̯ l u
aerolabaingailu	a e ɾ o l a b a i̯ n ɡ a ʎ u
aerolito	a e ɾ o l i t o
aerometro	a e ɾ o m e t r o
aeromodelismo	a e ɾ o m o d e l i s̺ m o
aeronauta	a e ɾ o n a u̯ t a
aeronautika	a e ɾ o n a u̯ t i k a
aeronautiko	a e ɾ o n a u̯ t i k o
aeroplano	a e ɾ o p l a n o
aerosol	a e ɾ o s̺ o l
aerosorgailu	a e ɾ o s̺ o r ɡ a i̯ l u
aerosorgailu	a e ɾ o s̺ o r ɡ a ʎ u
aerostatika	a e ɾ o s̺ t a t i k a
aerostato	a e ɾ o s̺ t a t o
afaitatu	a f a i̯ t a t u
afalaitzin	a f a l a i̯ t͡s̻ i n
afalaurre	a f a l a u̯ r e
afaldu	a f a l d u
afari	a f a ɾ i
afariketa	a f a ɾ i k e t a
afganistandar	a f ɡ a n i s̺ t a n d a r
agate	a ɡ a t e
ageriko	a ɡ e ɾ i k o
agerkunde	a ɡ e r k u n d e
agertoki	a ɡ e r t o k i
agertu	a ɡ e r t u
agi	a ɡ i
aginpide	a ɡ i m p i d e
agor	a ɡ o r
agorril	a ɡ o r i l
agortu	a ɡ o r t u
agur	a ɡ u r
agure	a ɡ u ɾ e
ahabe	ã h ã b e
ahabia	a b i a
ahabia	a h a b i a
ahai	a h̃ a i
ahal	a h a l
ahal	a l
ahaldun	a h a l d u n
ahaldun	a l d u n
ahalke	a h a l k e
ahalke	a l k e
ahari	a h a ɾ i
ahari	a ɾ i
ahate	a h a t e
ahate	a h̃ a t e
ahate	a t e
ahatebeltz	a h a t e b e l t͡s̻
ahatebeltz	a t e b e l t͡s̻
ahateki	a h a t e k i
ahateki	a t e k i
ahatekume	a h a t e k u m e
ahatekume	a t e k u m e
ahatettipi	a h a t e c i p i
ahatettipi	a t e c i p i
ahatetxo	a h a t e t͡ʃ o
ahatetxo	a t e t͡ʃ o
ahatz	a h a t͡s̻
ahatz	a t͡s̻
ahazte	a h a s̻ t e
ahazte	a s̺ t e
ahazte	a s̻ t e
ahazten	a h a s̻ t e n
ahazten	a s̺ t e n
ahazten	a s̻ t e n
ahaztu	a h a s̻ t u
ahaztu	a s̺ t u
ahaztu	a s̻ t u
ahaztuko	a h a s̻ t u k o
ahaztuko	a s̺ t u k o
ahaztuko	a s̻ t u k o
ahizpa	a h i s̻ p a
ahizpa	a i̯ s̻ p a
aho	a h o
aho	a o
ahobero	a h o b e ɾ o
ahobero	a o b e ɾ o
ahul	a h u l
ahul	a u̯ l
ahuldu	a h u l d u
ahuldu	a u̯ l d u
ahuntz	a h u n t͡s̻
ahuntz	a u̯ n t͡s̻
aihen	a i̯ e n
aihen	a i̯ h e n
aiherkunde	a i̯ e r k u n d e
aiherkunde	a i̯ h e r k u n d e
ainarba	a i̯ n a r b a
ainarba	a ɲ a r b a
aingeru	a i̯ n ɡ e ɾ u
aingira	a i̯ n ɡ i ɾ a
aingura	a i̯ n ɡ u ɾ a
aintzira	a i̯ n t͡s̻ i ɾ a
aire	a i̯ ɾ e
aireportu	a i̯ ɾ e p o r t u
aireratu	a i̯ ɾ e ɾ a t u
aise	a i̯ s̺ e
aita	a i̯ t a
aitaginarreba	a i̯ t a ɡ i n a r e b a
aitaginarreba	a i̯ t a ɡ i ɲ a r e b a
aitaginarrebakide	a i̯ t a ɡ i n a r e b a k i d e
aitaginarrebakide	a i̯ t a ɡ i ɲ a r e b a k i d e
aitaorde	a i̯ t a o r d e
aitatasun	a i̯ t a t a s̺ u n
aitatxi	a i̯ t a t͡ʃ i
aitona	a i̯ t o n a
aitzur	a i̯ t͡s̻ u r
aizkolari	a i̯ s̺ k o l a ɾ i
aizkolari	a i̯ s̻ k o l a ɾ i
aizkora	a i̯ s̺ k o ɾ a
aizkora	a i̯ s̻ k o ɾ a
aizto	a i̯ s̺ t o
aizto	a i̯ s̻ t o
aizu	a i̯ s̺ u
aizu	a i̯ s̻ u
akabatu	a k a b a t u
akain	a k a i̯ n
akelarre	a k e l a r e
aker	a k e r
akordeoi	a k o r d e o i̯
akrobata	a k r o b a t a
aktiba	a k t i b a
aktibatu	a k t i b a t u
aktibatuko	a k t i b a t u k o
aktibatze	a k t i b a t͡s̻ e
aktibatzen	a k t i b a t͡s̻ e n
aktore	a k t o ɾ e
akura	a k u ɾ a
akuratu	a k u ɾ a t u
al	a l
ala	a l a
alaba	a l a b a
alai	a l a i̯
albaitari	a l b a i̯ t a ɾ i
albaniar	a l b a n i a r
albaniera	a l b a n i e ɾ a
albarikoke	a l b a ɾ i k o k e
alboroke	a l b o ɾ o k e
alda	a l d a
aldaketa	a l d a k e t a
aldapa	a l d a p a
aldatu	a l d a t u
aldatuko	a l d a t u k o
aldatze	a l d a t͡s̻ e
aldatzen	a l d a t͡s̻ e n
alde	a l d e
aldetik	a l d e t i k
aldeztu	a l d e s̻ t u
aldizkari	a l d i s̻ k a ɾ i
aleman	a l e m a n
alemanera	a l e m a n e ɾ a
alemaniar	a l e m a n i a r
aletegi	a l e t e ɡ i
algara	a l ɡ a ɾ a
alienatu	a l i e n a t u
alkandora	a l k a n d o ɾ a
alkandorak	a l k a n d o ɾ a k
alkandorek	a l k a n d o ɾ e k
alkate	a l k a t e
alkohol	a l k o h o l
alkohol	a l k o l
alkohola	a l k o h o l a
alkohola	a l k o l a
alkoholan	a l k o h o l a n
alkoholan	a l k o l a n
alkoholen	a l k o h o l e n
alkoholen	a l k o l e n
alkoholi	a l k o h o l i
alkoholi	a l k o l i
alkoholik	a l k o h o l i k
alkoholik	a l k o l i k
alokatu	a l o k a t u
alta	a l t a
altu	a l t u
altxaprima	a l t͡ʃ a p r i m a
altxatu	a l t͡ʃ a t u
altxoin	a l t͡ʃ o i̯ n
altxor	a l t͡ʃ o r
aluminio	a l u m i n i o
ama	a m a
amaginarreba	a m a ɡ i n a r e b a
amaginarreba	a m a ɡ i ɲ a r e b a
amaginarrebakide	a m a ɡ i n a r e b a k i d e
amaginarrebakide	a m a ɡ i ɲ a r e b a k i d e
amai	a m a i̯
amaiera	a m a i̯ e ɾ a
amaitu	a m a i̯ t u
amama	a m a m a
amaraun	a m a ɾ a u̯ n
amatasun	a m a t a s̺ u n
amatatu	a m a t a t u
amerikano	a m e ɾ i k a n o
amesgaizto	a m e s̺ ɡ a i̯ s̺ t o
amesgaizto	a m e s̺ ɡ a i̯ s̻ t o
amestu	a m e s̺ t u
amets	a m e t͡s̺
ametz	a m e t͡s̻
amildu	a m i l d u
amodio	a m o d i o
amona	a m o n a
amore	a m o ɾ e
amorratu	a m o r a t u
anabasa	a n a b a s̺ a
anagrama	a n a ɡ r a m a
anaia	a n a i̯ a
anana	a n a n a
andeatu	a n d e a t u
andere	a n d e ɾ e
andereño	a n d e ɾ e ɲ o
andorratar	a n d o r a t a r
andorratarra	a n d o r a t a r a
andorratarrak	a n d o r a t a r a k
andorratarraren	a n d o r a t a r a ɾ e n
andorratarrari	a n d o r a t a r a ɾ i
andorratarrei	a n d o r a t a r e i̯
andorratarrek	a n d o r a t a r e k
andorratarren	a n d o r a t a r e n
andorratarri	a n d o r a t a r i
andre	a n d r e
andregai	a n d r e ɡ a i̯
angelu	a n ɡ e l u
angurri	a n ɡ u r i
animalia	a n i m a l i a
animatu	a n i m a t u
anime	a n i m e
anker	a n k e r
antiheroi	a n t i e ɾ o i̯
antiheroi	a n t i h e ɾ o i̯
antimikrobiar	a n t i m i k r o b i a r
antolakunde	a n t o l a k u n d e
antropologia	a n t r o p o l o ɡ i a
antxeta	a n t͡ʃ e t a
antxoa	a n t͡ʃ o a
antzara	a n t͡s̻ a ɾ a
antzeratu	a n t͡s̻ e ɾ a t u
apaiz	a p a i̯ s̺
apaiz	a p a i̯ s̻
apaizgai	a p a i̯ s̺ ɡ a i̯
apaizgai	a p a i̯ s̻ ɡ a i̯
apal	a p a l
apaldu	a p a l d u
apar	a p a r
apez	a p e s̺
apez	a p e s̻
apezpiku	a p e s̻ p i k u
apiril	a p i ɾ i l
apo	a p o
aporofobia	a p o ɾ o f o b i a
aprobetxategi	a p r o b e t͡ʃ a t e ɡ i
arabera	a ɾ a b e ɾ a
arabiera	a ɾ a b i e ɾ a
arabisagar	a ɾ a b i s̺ a ɡ a r
aragoiera	a ɾ a ɡ o i̯ e ɾ a
aramu	a ɾ a m u
aran	a ɾ a n
aranondo	a ɾ a n o n d o
arazi	a ɾ a s̻ i
arbola	a r b o l a
ardi	a r d i
ardo	a r d o
ardura	a r d u ɾ a
arduratu	a r d u ɾ a t u
are	a ɾ e
argazki	a r ɡ a s̺ k i
argazki	a r ɡ a s̻ k i
argazkigintza	a r ɡ a s̺ k i ɡ i n t͡s̻ a
argazkigintza	a r ɡ a s̻ k i ɡ i n t͡s̻ a
argazkilari	a r ɡ a s̺ k i l a ɾ i
argazkilari	a r ɡ a s̻ k i l a ɾ i
argazkilaritza	a r ɡ a s̺ k i l a ɾ i t͡s̻ a
argazkilaritza	a r ɡ a s̻ k i l a ɾ i t͡s̻ a
argi	a r ɡ i
argitsu	a r ɡ i t͡s̺ u
argitsu	a r ɡ i t͡s̻ u
arin	a ɾ i n
aritz	a ɾ i t͡s̻
arkume	a r k u m e
armairu	a r m a i̯ ɾ u
armeniar	a r m e n i a r
armeniera	a r m e n i e ɾ a
armiarma	a r m i a r m a
arnegu	a r n e ɡ u
aro	a ɾ o
arotz	a ɾ o t͡s̻
aroztegi	a ɾ o s̺ t e ɡ i
aroztegi	a ɾ o s̻ t e ɡ i
arpoi	a r p o i̯
arrain	a r a i̯ n
arrano	a r a n o
arranotegi	a r a n o t e ɡ i
arrantzale	a r a n t͡s̻ a l e
arraro	a r a ɾ o
arrastatu	a r a s̺ t a t u
arratoi	a r a t o i̯
arraun	a r a u̯ n
arrautza	a r a u̯ t͡s̻ a
arrautzopil	a r a u̯ t͡s̻ o p i l
arraza	a r a s̺ a
arraza	a r a s̻ a
arrazoi	a r a s̺ o i̯
arrazoi	a r a s̻ o i̯
arreba	a r e b a
arriskatu	a r i s̺ k a t u
arrisku	a r i s̺ k u
arriskutsu	a r i s̺ k u t͡s̺ u
arriskutsu	a r i s̺ k u t͡s̻ u
arroda	a r o d a
arropa	a r o p a
arrosa	a r o s̺ a
arrotz	a r o t͡s̻
arroz	a r o s̺
arroz	a r o s̻
arrunt	a r u n t
artaburu	a r t a b u ɾ u
arte	a r t e
artifizial	a r t i f i s̺ i a l
artifizial	a r t i f i s̻ i a l
artile	a r t i l e
artile	a r t i ʎ e
artillari	a r t i ʎ a ɾ i
artisau	a r t i s̺ a u̯
artista	a r t i s̺ t a
artizar	a r t i s̻ a r
arto	a r t o
artseniko	a r t͡s̺ e n i k o
artxipelago	a r t͡ʃ i p e l a ɡ o
artzain	a r t͡s̻ a i̯ n
asaba	a s̺ a b a
asaldatu	a s̺ a l d a t u
askatasun	a s̺ k a t a s̺ u n
askatu	a s̺ k a t u
aske	a s̺ k e
aski	a s̺ k i
asko	a s̺ k o
asmatu	a s̺ m a t u
asmo	a s̺ m o
asperkunde	a s̺ p e r k u n d e
aspertu	a s̺ p e r t u
aspertuta	a s̺ p e r t u t a
aste	a s̺ t e
astearte	a s̺ t e a r t e
asteazken	a s̺ t e a s̻ k e n
asteburu	a s̺ t e b u ɾ u
astelehen	a s̺ t e l e h e n
astelehen	a s̺ t e l e n
asteroide	a s̺ t e ɾ o i̯ d e
astindu	a s̺ t i n d u
asto	a s̺ t o
astronomia	a s̺ t r o n o m i a
asturiera	a s̺ t u ɾ i e ɾ a
asun	a s̺ u n
atari	a t a ɾ i
atariko	a t a ɾ i k o
ate	a t e
atera	a t e ɾ a
aterpe	a t e r p e
atoi	a t o i̯
atorra	a t o r a
atso	a t͡s̺ o
atso	a t͡s̻ o
atsokeria	a t͡s̺ o k e ɾ i a
atsokeria	a t͡s̻ o k e ɾ i a
atsotitz	a t͡s̺ o t i t͡s̻
atsotitz	a t͡s̻ o t i t͡s̻
atsotitza	a t͡s̺ o t i t͡s̻ a
atsotitza	a t͡s̻ o t i t͡s̻ a
atsotitzik	a t͡s̺ o t i t͡s̻ i k
atsotitzik	a t͡s̻ o t i t͡s̻ i k
atsotizlari	a t͡s̺ o t i s̻ l a ɾ i
atsotizlari	a t͡s̻ o t i s̺ l a ɾ i
atsotu	a t͡s̺ o t u
atsotu	a t͡s̻ o t u
atxeki	a t͡ʃ e k i
atxekiko	a t͡ʃ e k i k o
atxekitze	a t͡ʃ e k i t͡s̻ e
atxekitzen	a t͡ʃ e k i t͡s̻ e n
atxilotu	a t͡ʃ i l o t u
atxilotu	a t͡ʃ i ʎ o t u
atzamar	a t͡s̻ a m a r
atzapar	a t͡s̻ a p a r
atze	a t͡s̻ e
atzealde	a t͡s̻ e a l d e
atzean	a t͡s̻ e a n
atzelari	a t͡s̻ e l a ɾ i
atzera	a t͡s̻ e ɾ a
atzo	a t͡s̻ o
atzodanik	a t͡s̻ o d a n i k
atzoko	a t͡s̻ o k o
atzotik	a t͡s̻ o t i k
auhen	a u̯ e n
auhen	a u̯ h e n
auhendatu	a u̯ e n d a t u
auhendatu	a u̯ h e n d a t u
aukera	a u̯ k e ɾ a
aukeraketa	a u̯ k e ɾ a k e t a
aukeratu	a u̯ k e ɾ a t u
aukeratuko	a u̯ k e ɾ a t u k o
aukeratze	a u̯ k e ɾ a t͡s̻ e
aukeratzen	a u̯ k e ɾ a t͡s̻ e n
aulki	a u̯ l k i
aupa	a u̯ p a
aurka	a u̯ r k a
aurki	a u̯ r k i
aurkikunde	a u̯ r k i k u n d e
aurkitu	a u̯ r k i t u
aurkituko	a u̯ r k i t u k o
aurkitze	a u̯ r k i t͡s̻ e
aurkitzen	a u̯ r k i t͡s̻ e n
aurpegi	a u̯ r p e ɡ i
aurre	a u̯ r e
aurrera	a u̯ r e ɾ a
aurten	a u̯ r t e n
ausart	a u̯ s̺ a r t
ausartu	a u̯ s̺ a r t u
auskalo	a u̯ s̺ k a l o
austriar	a u̯ s̺ t r i a r
autismo	a u̯ t i s̺ m o
auto	a u̯ t o
autobide	a u̯ t o b i d e
automatiko	a u̯ t o m a t i k o
auzo	a u̯ s̻ o
azal	a s̻ a l
azaldu	a s̻ a l d u
azalpen	a s̺ a l p e n
azalpen	a s̻ a l p e n
azaro	a s̻ a ɾ o
azazkal	a s̻ a s̻ k a l
azenario	a s̺ e n a ɾ i o
azenario	a s̻ e n a ɾ i o
azerbaijandar	a s̻ e r b a i̯ j a n d a r
azerbaijanera	a s̺ e r b a i̯ d͡ʒ a n e ɾ a
azerbaijanera	a s̻ e r b a i̯ j a n e ɾ a
azerbaijanera	a s̻ e r b a i̯ ɟ a n e ɾ a
azeri	a s̺ e ɾ i
azeri	a s̻ e ɾ i
azerikeria	a s̺ e ɾ i k e ɾ i a
azerikeria	a s̻ e ɾ i k e ɾ i a
azeriki	a s̺ e ɾ i k i
azeriki	a s̻ e ɾ i k i
azerikume	a s̺ e ɾ i k u m e
azerikume	a s̻ e ɾ i k u m e
azeritegi	a s̺ e ɾ i t e ɡ i
azeritegi	a s̻ e ɾ i t e ɡ i
azido	a s̻ i d o
azkar	a s̺ k a r
azkar	a s̻ k a r
azkarregi	a s̺ k a r e ɡ i
azkarregi	a s̻ k a r e ɡ i
azken	a s̻ k e n
azkonar	a s̻ k o n a r
azoka	a s̻ o k a
azpi	a s̻ p i
azpian	a s̻ p i a n
azpiegitura	a s̺ p i e ɡ i t u ɾ a
azpiegitura	a s̻ p i e ɡ i t u ɾ a
azpimarratu	a s̺ p i m a r a t u
azpimarratu	a s̻ p i m a r a t u
azpititulu	a s̻ p i t i t u l u
aztarna	a s̺ t a r n a
aztarna	a s̻ t a r n a
aztertu	a s̺ t e r t u
aztertu	a s̻ t e r t u
aztertzaile	a s̺ t e r t͡s̻ a ʎ e
aztertzaile	a s̻ t e r t͡s̻ a i̯ l e
aztertzaile	a s̻ t e r t͡s̻ a ʎ e
azti	a s̺ t i
azti	a s̻ t i
azukre	a s̻ u k r e
b	b e
ba	b a
baba	b a b a
babazorro	b a b a s̻ o r o
babestu	b a b e s̺ t u
badadi	b a d a d i
badaitez	b a d a i̯ t e s̺
badaitez	b a d a i̯ t e s̻
badeza	b a d e s̺ a
badeza	b a d e s̻ a
badezagu	b a d e s̺ a ɡ u
badezagu	b a d e s̻ a ɡ u
badezak	b a d e s̺ a k
badezak	b a d e s̻ a k
badezan	b a d e s̺ a n
badezan	b a d e s̻ a n
badezat	b a d e s̺ a t
badezat	b a d e s̻ a t
badezate	b a d e s̺ a t e
badezate	b a d e s̻ a t e
badezazu	b a d e s̺ a s̺ u
badezazu	b a d e s̻ a s̻ u
badezazue	b a d e s̺ a s̺ u e
badezazue	b a d e s̻ a s̻ u e
badia	b a d i a
baditza	b a d i t͡s̻ a
baditzagu	b a d i t͡s̻ a ɡ u
baditzak	b a d i t͡s̻ a k
baditzan	b a d i t͡s̻ a n
baditzat	b a d i t͡s̻ a t
baditzate	b a d i t͡s̻ a t e
baditzazu	b a d i t͡s̻ a s̺ u
baditzazu	b a d i t͡s̻ a s̻ u
baditzazue	b a d i t͡s̻ a s̺ u e
baditzazue	b a d i t͡s̻ a s̻ u e
bagaitez	b a ɡ a i̯ t e s̺
bagaitez	b a ɡ a i̯ t e s̻
bagaitza	b a ɡ a i̯ t͡s̻ a
bagaitzak	b a ɡ a i̯ t͡s̻ a k
bagaitzan	b a ɡ a i̯ t͡s̻ a n
bagaitzate	b a ɡ a i̯ t͡s̻ a t e
bagaitzazu	b a ɡ a i̯ t͡s̻ a s̺ u
bagaitzazu	b a ɡ a i̯ t͡s̻ a s̻ u
bagaitzazue	b a ɡ a i̯ t͡s̻ a s̺ u e
bagaitzazue	b a ɡ a i̯ t͡s̻ a s̻ u e
bagenbiltza	b a ɡ e m b i l t͡s̻ a
bagenegi	b a ɡ e n e ɡ i
bagenegitza	b a ɡ e n e ɡ i t͡s̻ a
bageneki	b a ɡ e n e k i
bagenekizki	b a ɡ e n e k i s̻ k i
bagenekusa	b a ɡ e n e k u s̺ a
bagenekuski	b a ɡ e n e k u s̺ k i
bagenentzu	b a ɡ e n e n t͡s̻ u
bagenentzuzki	b a ɡ e n e n t͡s̻ u s̻ k i
bagenerakuski	b a ɡ e n e ɾ a k u s̺ k i
bagenerakutsa	b a ɡ e n e ɾ a k u t͡s̺ a
bageneuka	b a ɡ e n e u̯ k a
bageneuzka	b a ɡ e n e u̯ s̺ k a
bageneuzka	b a ɡ e n e u̯ s̻ k a
bageneza	b a ɡ e n e s̺ a
bageneza	b a ɡ e n e s̻ a
bagenezagu	b a ɡ e n e s̻ a ɡ u
bagenezaguzki	b a ɡ e n e s̻ a ɡ u s̻ k i
bagenihardu	b a ɡ e n i a r d u
bagenihardu	b a ɡ e n i h a r d u
bageniharduka	b a ɡ e n i a r d u k a
bageniharduka	b a ɡ e n i h a r d u k a
bagenirau	b a ɡ e n i ɾ a u̯
bagenirudi	b a ɡ e n i ɾ u d i
bagenitu	b a ɡ e n i t u
bagenitza	b a ɡ e n i t͡s̻ a
bagentoz	b a ɡ e n t o s̺
bagentoz	b a ɡ e n t o s̻
bagenu	b a ɡ e n u
bageunde	b a ɡ e u̯ n d e
bagil	b a ɡ i l
bagina	b a ɡ i n a
bagina	b a ɡ i ɲ a
bagindezaguzki	b a ɡ i n d e s̻ a ɡ u s̻ k i
bagindezaguzkik	b a ɡ i n d e s̻ a ɡ u s̻ k i k
bagindezaguzkin	b a ɡ i n d e s̻ a ɡ u s̻ k i n
bagindezaguzkite	b a ɡ i n d e s̻ a ɡ u s̻ k i t e
bagindezaguzkizu	b a ɡ i n d e s̻ a ɡ u s̻ k i s̻ u
bagindezaguzkizue	b a ɡ i n d e s̻ a ɡ u s̻ k i s̻ u e
bagindoaz	b a ɡ i n d o a s̺
bagindoaz	b a ɡ i n d o a s̻
baginduzka	b a ɡ i n d u s̺ k a
baginduzka	b a ɡ i n d u s̻ k a
baginduzkak	b a ɡ i n d u s̺ k a k
baginduzkak	b a ɡ i n d u s̻ k a k
baginduzkan	b a ɡ i n d u s̺ k a n
baginduzkan	b a ɡ i n d u s̻ k a n
baginduzkate	b a ɡ i n d u s̺ k a t e
baginduzkate	b a ɡ i n d u s̻ k a t e
baginduzkazu	b a ɡ i n d u s̺ k a s̺ u
baginduzkazu	b a ɡ i n d u s̻ k a s̻ u
baginduzkazue	b a ɡ i n d u s̺ k a s̺ u e
baginduzkazue	b a ɡ i n d u s̻ k a s̻ u e
bagintez	b a ɡ i n t e s̺
bagintez	b a ɡ i n t e s̻
bagintu	b a ɡ i n t u
bagintuk	b a ɡ i n t u k
bagintun	b a ɡ i n t u n
bagintuzte	b a ɡ i n t u s̻ t e
bagintuzu	b a ɡ i n t u s̻ u
bagintuzue	b a ɡ i n t u s̻ u e
bagintza	b a ɡ i n t͡s̻ a
bagintzak	b a ɡ i n t͡s̻ a k
bagintzan	b a ɡ i n t͡s̻ a n
bagintzate	b a ɡ i n t͡s̻ a t e
bagintzazu	b a ɡ i n t͡s̻ a s̺ u
bagintzazu	b a ɡ i n t͡s̻ a s̻ u
bagintzazue	b a ɡ i n t͡s̻ a s̺ u e
bagintzazue	b a ɡ i n t͡s̻ a s̻ u e
bahadi	b a a d i
bahadi	b a h a d i
bahaza	b a a s̺ a
bahaza	b a a s̻ a
bahaza	b a h a s̻ a
bahazagu	b a a s̺ a ɡ u
bahazagu	b a a s̻ a ɡ u
bahazagu	b a h a s̻ a ɡ u
bahazat	b a a s̺ a t
bahazat	b a a s̻ a t
bahazat	b a h a s̻ a t
bahazate	b a a s̺ a t e
bahazate	b a a s̻ a t e
bahazate	b a h a s̻ a t e
bahe	b a e
bahe	b a h e
bahegi	b a e ɡ i
bahegi	b a h e ɡ i
bahegitza	b a e ɡ i t͡s̻ a
bahegitza	b a h e ɡ i t͡s̻ a
baheki	b a e k i
baheki	b a h e k i
bahekizki	b a e k i s̻ k i
bahekizki	b a h e k i s̻ k i
bahekusa	b a e k u s̺ a
bahekusa	b a h e k u s̺ a
bahekuski	b a e k u s̺ k i
bahekuski	b a h e k u s̺ k i
bahenbil	b a e m b i l
bahenbil	b a h e m b i l
bahendi	b a e n d i
bahendi	b a h e n d i
bahengo	b a e n ɡ o
bahengo	b a h e n ɡ o
bahentor	b a e n t o r
bahentor	b a h e n t o r
bahentzu	b a e n t͡s̻ u
bahentzu	b a h e n t͡s̻ u
bahentzuzki	b a e n t͡s̻ u s̻ k i
bahentzuzki	b a h e n t͡s̻ u s̻ k i
baherakuski	b a e ɾ a k u s̺ k i
baherakuski	b a h e ɾ a k u s̺ k i
baherakutsa	b a e ɾ a k u t͡s̺ a
baherakutsa	b a h e ɾ a k u t͡s̺ a
baheuka	b a e u̯ k a
baheuka	b a h e u̯ k a
baheuzka	b a e u̯ s̺ k a
baheuzka	b a e u̯ s̻ k a
baheuzka	b a h e u̯ s̻ k a
baheza	b a e s̺ a
baheza	b a e s̻ a
baheza	b a h e s̻ a
bahezagu	b a e s̻ a ɡ u
bahezagu	b a h e s̻ a ɡ u
bahezaguzki	b a e s̻ a ɡ u s̻ k i
bahezaguzki	b a h e s̻ a ɡ u s̻ k i
bahihardu	b a h i h a r d u
bahihardu	b a i̯ a r d u
bahiharduka	b a h i h a r d u k a
bahiharduka	b a i̯ a r d u k a
bahindezagu	b a h i n d e s̻ a ɡ u
bahindezagu	b a i̯ n d e s̻ a ɡ u
bahindezagugu	b a h i n d e s̻ a ɡ u ɡ u
bahindezagugu	b a i̯ n d e s̻ a ɡ u ɡ u
bahindezagut	b a h i n d e s̻ a ɡ u t
bahindezagut	b a i̯ n d e s̻ a ɡ u t
bahindezagute	b a h i n d e s̻ a ɡ u t e
bahindezagute	b a i̯ n d e s̻ a ɡ u t e
bahindoa	b a h i n d o a
bahindoa	b a i n d o a
bahindu	b a h i n d u
bahindu	b a i̯ n d u
bahindugu	b a h i n d u ɡ u
bahindugu	b a i̯ n d u ɡ u
bahinduka	b a h i n d u k a
bahinduka	b a i̯ n d u k a
bahindukagu	b a h i n d u k a ɡ u
bahindukagu	b a i n d u k a ɡ u
bahindukat	b a h i n d u k a t
bahindukat	b a i n d u k a t
bahindukate	b a h i n d u k a t e
