ABŞ	ɑ b ʃ
seçmək	s e t͡ʃ m æ j
seçmək	s e t͡ʃ m æ k
seçmək	s e ʃ m ɑ χ
sidr	s i d r
siftə	s i f t æ
sikmək	s i k m æ j
sikmək	s i k m æ k
sikmək	s i k m æ ç
silahlanmaq	s i l ɑ h l ɑ mː a χ
silahlı	s i ɫ ɑ h ɫ ɯ
silk	s i l c
silmək	s i l m æ k
sima	s æ m ɑ
simic	s i m i d͡z
simic	s i m i d͡ʒ
simiclik	s i m i d͡z l i t͡ʃ
simiclik	s i m i d͡ʒ l i j
simiclik	s i m i d͡ʒ l i k
sincab	s i n d͡z ɑ b
sincab	s i n d͡ʒ ɑ b
siqaret	s i ɡ ɑ r e t
sirkə	s i r k æ
siyahı	s i j ɑː h ɯ
siyasət	s i j ɑ s æ t
soba	s o b ɑ
sol	s o ɫ
solaxay	s o ɫ ɑ χ ɑ j
soldış	s o ɫ d ɯ ʃ
solmaq	s o ɫ m ɑ x
son	s o n
sonra	s o n r a m
sonra	s o n r ɑ
sonra	s o ɴ r a
sonuncu	s o n u n d͡z u
sonuncu	s o n u n d͡ʒ u
sormaq	s o r m ɑ χ
sosializm	s o s i ɑ l i z m
sosializm	s ɑ s i ɑ l i z m
soxasox	s o χ ɑ s o χ
soxmaq	s o χ m ɑ χ
soxulcan	s o x u ɫ d͡z ɑ n
soxulcan	s o x u ɫ d͡ʒ ɑ n
soyad	s o j ɑ d
soymaq	s o j m ɑ χ
soyuducu	s o j u d u d͡z u
soyuducu	s o j u d u d͡ʒ u
soyunmaq	s o j u mː ɑ χ
soyuq	s o j u χ
soyutma	s o j u t m ɑ
soyutmaq	s o j u t m ɑ χ
ssenari	sː e n ɑ r i
stul	s t u ɫ
stəkan	i s c æ n
stəkan	i s c ɑ n
stəkan	i s t æ c ɑ n
stəkan	s t æ c ɑ n
su	s u
subay	s u b ɑ j
suiti	s u i t i
sulamaq	s u ɫ ɑ m ɑ x
sumka	s u m k ɑ
surət	s uː r æ t
susamaq	s u s ɑ m ɑ χ
susdurmaq	s u s d u r m a χ
susdurmaq	s u s t u r m a χ
susmaq	s u s m a χ
söhbət	s œ h b æ t
söhbət	s œ h p æ t
söhbət	s œ j b æ t
söhbət	s œː b æ t
sökmək	s œ h m ɑ χ
sökmək	s œ k m æ j
sökmək	s œ k m æ k
sökmək	s œ t͡ʃ m ɑ χ
sökmək	s œ ç m ɑ χ
söküntü	s œ k y n t y
söküntü	s œ t͡ʃ y n t y
söndürmək	s œ n d y r m æ j
söndürmək	s œ n d y r m æ k
söndürmək	s œ n d y r m ɑ χ
sönmək	s œ j m æ j
sönmək	s œ n m æ k
söykəmək	s œ j k æ m æ j
söykəmək	s œ j k æ m æ k
söykənmək	s œ j k æ n m æ j
söykənmək	s œ j k æ n m æ k
söyləmək	s œ j l æ m æ j
söyləmək	s œ j l æ m æ k
söymək	s œ j m æ j
söymək	s œ j m æ k
söymək	s œ j m ɑ χ
söyüş	s œ j y ʃ
söz	s œ z
sübut	s y b u t
süfrə	s y f r æ
sülh	s y l h
sümük	s y m y j
sümük	s y m y k
süni	s yː n i
sünni	s y nː i
sünnət	s y n n æ t
sürgün	s y r ɟ y n
sürmək	s y r m æ j
sürmək	s y r m æ k
sürmək	s y r m ɑ χ
sürtgü	s y r t d͡ʒ y
sürtgü	s y r t ɟ y
sürtkü	s y r t c y
sürtkü	s y r t t͡ʃ y
sürü	s y r y
sürücü	s y r y d͡z y
sürücü	s y r y d͡ʒ y
sürüşkən	s y r y ʃ c æ n
sürüşkən	s y r y ʃ ɟ æ n
sürətləndirmək	s y r æ t l æ n d i r m æ k
sürətlənmə	s y r æ t l æ mː æ
sürətlənmə	s y r æ t l æ n m æ
sürətlənmək	s y r æ t l æ mː æ k
sürətlənmək	s y r æ t l æ n m æ k
süysün	s y j s y n
süzmək	s y z m æ j
süzmək	s y z m æ k
sıfır	s ɯ f ɯ ɾ
sındırmaq	s ɯ n d ɯ r m ɑ χ
sınmaq	s ɯ mː ɑ χ
sırğa	s ɯ r ɣ ɑ
sıxmaq	s ɯ χ m a χ
sıyırmaq	s ɯ j ɯ r m ɑ χ
sıyırqac	s ɯ j ɯ r ɡ a d͡z
sıyırqac	s ɯ j ɯ r ɡ a d͡ʒ
sıyırqac	s ɯ j ɯ r ɣ a d͡z
sıyırqac	s ɯ j ɯ r ɣ a d͡ʒ
sıçmaq	s ɯ t͡s m ɑ χ
sıçmaq	s ɯ t͡ʃ m ɑ χ
sıçramaq	s ɯ t͡s r ɑ m x
sıçramaq	s ɯ t͡ʃ r ɑ m x
sıçrayış	s ɯ t͡s r ɑ j ɯ ʃ
sıçrayış	s ɯ t͡ʃ r ɑ j ɯ ʃ
sığmaq	s ɯ ɣ m ɑ χ
sığortalamaq	s ɯ ɣ o r t ɑ ɫ ɑ m ɑ χ
sığınmaq	s ɯ ɣ ɯ n m ɑ χ
sığınmaq	s ɯ ɣ ɯː m ɑ χ
səbirsiz	s æ b r s i z
səbirsizlik	s æ b r s i z l i c
səbəb	s æ b æ b
sədd	s æ d
səfalət	s æ f ɑː l æ t
səfil	s æ f i l
səfir	s æ f i r
səfər	s æ f æ r
səhnə	s æ h n æ
səhv	s æ f
səhər	s æ h æ r
səhər	s æ h æ r̥
səkkiz	s æ cː i z
səkkizayaq	s æ cː i z ɑ j ɑ χ
səkkizinci	s æ c c i z i n d͡ʒ i
səksəninci	s æ ç s æ n i n d͡ʒ i
sələf	s æ l æ f
səma	s æ m ɑ
səmimi	s æ m i m i
səmərə	s æ m æ r æ
səndemə	s æ n d e m æ
səngin	s æ n d͡ʒ i n
səngin	s æ ŋ ɡ i n
səngək	s æ ŋ æ h
səngək	s æ ŋ æ ɡ
səpmək	s æ p m æ j
sərbaz	s æ r b ɑ z
sərin	s æ r i n
sərinləmək	s æ r i nː æ m æ j
sərinləmək	s æ r i nː æ m æ k
səriştə	s æ r i ʃ t æ
sərlövhə	s æ r l œ v h æ
sərnişin	s æ r n i ʃ i n
sərraf	s æ rː ɑ f
sərt	s æ r t
sərxoş	s æ r χ o ʃ
sərçə	s æ r t͡s æ
sərçə	s æ r t͡ʃ æ
səs	s æ s
səsvermə	s æ s v e r m æ
səviyyə	s æ v i jː æ
tabaşir	t ɑ b ɑː ʃ i r
tabe	t ɑː b e
tac	t ɑ d͡z
tac	t ɑ d͡ʒ
tacir	t ɑː d͡z i r
tacir	t ɑː d͡ʒ i r
taktika	t ɑ k t i k ɑ
taktiki	t ɑ k t i k i
tala	t ɑ ɫ ɑ
talamaq	t ɑ ɫ ɑ m ɑ x
tale	t ɑː l e h
tamamilə	t æ m ɑ m iː l æ
tamamilə	t ɑ m ɑː m iː l æ
tamaşa	t ɑ m ɑ ʃ ɑ
tamaşaçı	t ɑ m ɑ ʃ ɑ t͡s ɯ
tamaşaçı	t ɑ m ɑ ʃ ɑ t͡ʃ ɯ
tanrı	t ɑ n r ɯ
tanış	t ɑ n ɯ ʃ
tanışmaq	t ɑ n ɯ ʃ m ɑ χ
tapdalamaq	t ɑ p t ɑ ɫ ɑ m ɑ χ
tapmaq	t ɑ p m ɑ χ
tapıntı	t ɑ p ɯ n t ɯ
tapşırmaq	t ɑ p ʃ ɯ r m ɑ χ
taqət	t ɑː ɡ æ t
tar	t ɑ r
tarakan	t ɑ r ɑ k ɑ n
tarix	t ɑˑ r i χ
tarixi	t ɑː r i χ i
tarixçi	t ɑˑ r i χ t͡s i
tarixçi	t ɑˑ r i χ t͡ʃ i
tarixən	t ɑˑ r i χ æ n
tarla	t ɑ r ɫ ɑ
taun	t ɑ u n
taxmaq	t ɑ χ m ɑ χ
tayfa	t ɑ j f ɑ
tayqol	t ɑ j ɡ o ɫ
tayqulaq	t ɑ j ɡ u ɫ ɑ x
tel	t e l
telefon	t e l e f o n
televiziya	t e l e v i z i j ɑ
terapevt	t e r ɑ p e f t
texnoloji	t e x n o ɫ o ʒ ɯ
tezlik	t e z d i j
tezlik	t e z d i k
tezlik	t e z d i ç
tezlik	t e z l i j
tezlik	t e z l i k
tezlik	t e z l i ç
tezliklə	t e z l i k l æ
tibb	t i b
ticarət	t i d͡z ɑ ɾ æ t
ticarət	t i d͡ʒ ɑ ɾ æ t
tikili	t i c i l i
tikili	t i t͡ʃ i l i
tikinti	t i c i n t i
tikinti	t i t͡ʃ i n t i
tikmək	t i k m e j
tikmək	t i k m æ j
tikmək	t i kʲ m æ kʲ
tikmək	t i t͡ʃ m æ ç
tikmək	t i t͡ʃ m ɑ χ
tikə	t i k æ
tikə	t i t͡ʃ æ
tilişkə	t i l i ʃ c æ
tire	t i r e
tok	t o k
topa	t o p ɑ
topal	t o p ɑ ɫ
toplu	t o p ɫ u
toran	t o r ɑ n
torba	t o r b ɑ
tormoz	t o r m o z
torpaq	t o p r ɑ χ
torpaq	t o r p ɑ χ
toxum	t o χ u m
toxumaq	t ɔ χ ʊ m ɑ χ
toxunmaq	t o χ u mː ɑ χ
toyuq	t o j u χ
toz	t o z
tozağacı	t o z a ɣ a d͡z ɯ
tozağacı	t o z a ɣ a d͡ʒ ɯ
tozağacı	t o z a ɣ a ʒ ɯ
tozsoran	t o sː o r ɑ n
trolleybus	t r ɑ lː e j b u s
tuman	t u m ɑ n
tumov	t u m o v
tumurcuq	t u m u r d͡z u χ
tumurcuq	t u m u r d͡ʒ u χ
turşəng	t u r ʃ æ ŋ ɡ
tutmaq	d u t m ɑ χ
tutmaq	t u t m ɑ χ
tutulmaq	t u t u ɫ m ɑ χ
tökmək	t œ c m æ c
tökmək	t œ c m æ j
tökmək	t œ k m ɑ χ
törəmək	t œ r æ m æ c
tövbə	t œ v b æ
tövbə	t œ w b æ
tövbə	t œː b æ
tövsiyə	t œ v s i j æ
tövsiyə	t œʷ s i j æ
tükənmə	t y k æ mː æ
tükənmə	t y k æ n m æ
tükənmə	t y t͡ʃ æ n m æ
tükənmək	t y k æ mː æ k
tükənmək	t y k æ n m æ k
tülkü	t y l c y
tünd	t y n d
türbə	t y r b æ
tüstü	t y s t y
tüstü	t y sː i
tıncıxmaq	t ɯ n d͡z ɯ χ m ɑ χ
tıncıxmaq	t ɯ n d͡ʒ ɯ χ m ɑ χ
tısbağa	t ɯ s b ɑ ɣ ɑ
tıxac	t ɯ χ ɑ d͡z
tıxac	t ɯ χ ɑ d͡ʒ
təbaşir	t æ b ɑː ʃ i r
təbii	t æ b ɪː
təbrik	t æ b r i k
təbrik	t æ b r i t͡ʃ
təbəxxür	t æ b æ xː y r
təbəə	t æ b æ æ
təcavüzkar	t æ d͡z ɑː v y z t͡ʃ ɑ r
təcavüzkar	t æ d͡ʒ ɑː v y z c ɑ r
təcrübə	t æ d͡z r y b æ
təcrübə	t æ d͡ʒ r y b æ
tədarük	t æ d ɑː r y c
tədarük	t æ d ɑː r y t͡ʃ
tədbir	t æ d b i r
tədbirli	t æ d b i r l i
tədbirli	t æ d b i rː i
tədhiş	t æ d h i ʃ
təfavüt	t a f o t
təfavüt	t æ f o t
təfavüt	t æ f ɑː v y t
təftiş	t æ f t i ʃ
təhqir	t æ h ɡ i r
təhrir	t æ h r i r
təhsil	t æ h s i l
tək	t æ h
tək	t æ k
tək	t æ ç
təkbuynuz	t æ c b u j n u z
təki	t æ c i
təkid	t æ k i d
təkid	t æ t͡ʃ i d
təkmilləşdirmək	t æ k m i lː æ ʃ d i r m æ k
təknikahlılıq	t æ k n i kʲ a h ɫ ɯ l ɯ χ
təknikahlılıq	t æ k n i ɡʲ a h ɫ ɯ l ɯ χ
təknikahlılıq	t æ t͡ʃ n i d͡ʒ a h ɫ ɯ l ɯ χ
təknikahlılıq	t æ t͡ʃ n i t͡ʃ a h ɫ ɯ l ɯ χ
təkrar	t i c r ɑ r
təkrar	t i t͡ʃ r ɑ r
təkrar	t æ c r ɑ r
təkyə	t æ c j æ
təkə	t æ k æ
təkər	t æ c æ r
təkər	t æ j æ ɾ
təkər	t æ t͡ʃ æ r
təlabat	t æ ɫ ɑ b ɑ t
təlatüm	t æ ɫ ɑː t y m
təliqə	t æ l i ɡ æ
tələbat	t æ l æ b ɑ t
tələbə	t æ l æ b æ
tələffüz	t æ l æ fː y z
tələk	t æ l æ c
tələk	t æ l æ t͡ʃ
tələt	t æ l æ t
təmin	t æː m i n
təmir	t æː m i r
təmizkar	t æ m i z c ɑ r
təmizkarlıq	t æ m i z c ɑ r ɫ ɯ χ
təmizkarlıq	t æ m i z c ɑ rː ɯ χ
təmizləmək	t æ m i z d æ m æ c
təmizləmək	t æ m i z d æ m æ j
təmizləmək	t æ m i z l æ m æ c
təmizləmək	t æ m i z l æ m æ j
təmrin	t æ m r i n
təntik	t æ n t i c
tənək	t æ n æ c
tənək	t æ ŋ æ c
təqaüd	t æ ɡ ɑː y d
təqdir	t æ ɡ d i r
təqdis	t æ ɡ d i s
təqvim	t æ ɡ v i m
tər	t æ r
tərcüməçi	t æ ɾ d͡z y m æ t͡s i
tərcüməçi	t æ ɾ d͡ʒ y m æ t͡ʃ i
tərgitmək	t æ r ɟ i t m æ j
tərgitmək	t æ r ɟ i t m æ k
tərləmək	t æ rː æ m æ c
tərləmək	t æ rː æ m æ j
tərləmək	t æ rː æ m ɑ χ
tərpənmək	t æ r p æ mː m æ j
tərəddüd	t æ r æ dː y d
tərəf	t æ r æ f
tərəfindən	t æ r æ f i n d æ n
tərəfindən	t æ r æ f i nː æ n
tərəvəz	t æ r æ v æ z
tərəzi	t æ r æ z i
təsirli	t æ s i r l i
təsirli	t æ s i rː i
təsirsiz	t æ s i r s i z
təsis	t æˑ s i s
təsəvvüf	t æ s æ vː y f
tətik	t æ t i c
təvəllüd	t æ v æ lː y d
təvəllüdlü	t æ v æ lː y d l y
təvəllüdlü	t æ v æ lː y dː y
təxir	t æ χ i r
təxsis	t æ χ s i s
təyyarə	t æ jː ɑː r æ
təzad	t æ z ɑ d
təzahür	t æ z ɑː h y r
təzahür	t æ z ɑː h y r̥
təzminat	t æ z m i n ɑ t
təzyiq	tʰ æː z i ɡ
təzyiq	tʰ æː z ɪ ɡ
təzə	t æ z æ
təzəcə	t æ z æ d͡z æ
təzəcə	t æ z æ d͡ʒ æ
təğyir	t æ ɣ j i r
təşviqat	t æ ʃ v i ɡ ɑ t
təşviqat	t æ ʃ v i ɣ ɑ t
təəccüblənmək	t æ æ d͡z y b l æ n m æ t͡ʃ
təəccüblənmək	t æ æ d͡ʒ y b l æ n m æ k
uca	u d͡z ɑ
uca	u d͡ʒ ɑ
ucadan	u d͡z ɑ d ɑ n
ucadan	u d͡ʒ ɑ d ɑ n
ucqar	u d͡z ɡ ɑ r
ucqar	u d͡ʒ ɡ ɑ r
ucuz	u d͡z u z
ucuz	u d͡ʒ u z
udlaq	u d ɫ ɑ χ
udmaq	u d m ɑ χ
uduzmaq	u d u z m ɑ χ
uduzmaq	u t u z m ɑ χ
uduş	u d ɯ ʃ
ulama	u ɫ ɑ m ɑ
ulamaq	u ɫ ɑ m ɑ x
ulduz	u ɫ d ú z
ulu	u ɫ u
unitaz	u n i t ɑ z
unudulmaz	u n u d u ɫ m ɑ z
unutmaq	u n u t m ɑ χ
unutqan	u n u t k ɑ n
utanc	u t ɑ n d͡z
utanc	u t ɑ n d͡ʒ
utanmaq	u t ɑ mː ɑ χ
uymaq	u j m ɑ χ
uyğun	u j ɣ u n
uzanmaq	u z ɑ mː ɑ χ
uzanmaq	u z ɑ n m ɑ χ
uzaq	u z ɑ χ
uzaqbaşı	u z ɑ ɣ b ɑ ʃ ɯ
uzaqlıq	u z ɑ ɣ ɫ ɯ x
uzun	u z u n
uzundraz	u z u n d r ɑ z
uçmaq	u t͡s m ɑ x
uçmaq	u t͡ʃ m ɑ x
uçurmaq	u t͡s u r m ɑ x
uçurmaq	u t͡ʃ u r m ɑ x
uçuş	u t͡s ɯ ʃ
uçuş	u t͡ʃ ɯ ʃ
uğramaq	u ɣ r ɑ m ɑ χ
uğur	u ɣ u r
uğurlu	u ɣ u r ɫ u
uğurlu	u ɣ u rː u
uşaq	u ʃ ɑ χ
uşaqbaz	u ʃ ɑ ɣ b ɑ z
uşaqbazlıq	u ʃ ɑ χ b ɑ z ɫ ɯ χ
vacib	v ɑ d͡z ɯ b
vacib	v ɑ d͡ʒ ɯ b
vacib	v ɑː d͡z i b
vacib	v ɑː d͡ʒ i b
vaksin	v ɑ k s i n
valideyn	v ɑ l i d e j n
valideynlik	v ɑː l i d e j n l i k
vanil	v ɑ n i l
varlıq	v ɑ r ɫ ɯ χ
varmaq	v ɑ r m ɑ χ
vasitə	v ɑː s i t æ
vatsap	v ɑ t s ɑ p
vağzal	v ɑ ɣ z ɑ ɫ
vec	v e d͡z
vec	v e d͡ʒ
vergi	v e r ɟ i
vergi	v æ r ɟ i
vergiçi	v e r ɟ i t͡s i
vergiçi	v e r ɟ i t͡ʃ i
vergül	v e r ɡ y l
veriliş	v e r i l i ʃ
verilmək	v e r i l m æ j
verilmək	v e r i l m æ k
verilmək	v æ r i l m ɑ χ
verilmək	v æ r y l m e j
verilənlər	v e r i l æ n l æ r
vermək	v e r m æ c
vermək	v e r m æ ç
vermək	v e r m ɑ χ
vermək	v æ r m æ j
vicdan	v i d͡z d ɑ n
vicdan	v i d͡ʒ d ɑ n
vicdan	v i ʒ d ɑ n
vicdansız	v i d͡z d ɑ n s ɯ z
vicdansız	v i d͡ʒ d ɑ n s ɯ z
vicdansız	v i ʒ d ɑ n s ɯ z
vilayət	v i l ɑː j æ t
voleybol	v o l e j b o ɫ
voleybolçu	v o l e j b o ɫ t͡s u
voleybolçu	v o l e j b o ɫ t͡ʃ u
voleybolçuluq	v o l e j b o ɫ t͡ʃ u ɫ u χ
vurğulamaq	v u r ɣ u ɫ ɑ m ɑ χ
vurğun	v u r ɣ u n
vzvod	v ɯ z v o d
vücud	v y d͡z u d
vücud	v y d͡ʒ u d
vəba	v æ b ɑ
vədə	v æ d æ
vəkil	v æ k i l
vərəq	v æ r æ k
vərəq	v æ r æ ɡ
vəsmə	v æ s m æ
vətənpərvər	v æ t æ n p æ r v æ r
vətənpərəst	v æ t æ n p æ r æ s t
vəzi	v æ z i
vəzifə	v æ z iː f æ
vəziyyət	v æ z i j æ t
vəzn	v æ z n
vəznə	v e z n æ
vəznə	v æ z n æ
xadim	χ ɑː d i m
xala	χ ɑ ɫ ɑ
xalaoğlu	χ ɑ ɫ ɑ o ɣ ɫ u
xalaqızı	χ ɑ ɫ ɑ ɡ ɯ z ɯ
xalat	χ ɑ ɫ ɑ t
xali	x ɑː l i
xalq	χ ɑ l χ
xalq	χ ɑ ɫ k
xalq	χ ɑ ɫ ɡ
xalça	χ ɑ ɫ t͡s ɑ
xalça	χ ɑ ɫ t͡ʃ ɑ
xam	x ɑ m
xarici	χ ɑː r i d͡z i
xarici	χ ɑː r i d͡ʒ i
xatir	x ɑː t i r
xatirə	χ ɑː t i r ə
xatirə	χ ɑː t ɯ r æ
xatırlamaq	χ ɑ t ɯ r ɫ ɑ m ɑ χ
xatırlatmaq	χ ɑ t ɯ r ɫ ɑ t m ɑ χ
xeyir	χ e j i r
xeyriyyə	x e j r i j æ
xilafət	x i l ɑː f æ t
xiyaban	χ i j ɑ b ɑ n
xiyaban	χ i j ɑ v ɑ n
xiyaban	χ ɯ j ɑ b ɑ n
xiyar	χ ɯ j ɑ r
xodlamaq	χ o dː ɑ m ɑ χ
xodlamaq	χ o tː ɑ m ɑ χ
xodlanmaq	χ o dː ɑ m ɑ χ
xodlanmaq	χ o tː ɑ m ɑ χ
xonça	x o n t͡s ɑ
xonça	x o n t͡ʃ ɑ
xora	x o r ɑ
xoş	x o ʃ
xoşagəlməz	χ o ʃ ɑ d͡ʒ æ l m æ z
xoşagəlməz	χ o ʃ ɑ ɟ æ l m æ z
xudbin	χ u d b i n
xurma	χ u r m ɑ
xötək	χ œ t æ j
xötək	χ œ t æ k
xötək	χ œ t æ t͡ʃ
xötək	χ œ t æ ç
xırda	x ɯ r d ɑ
xırdalamaq	x ɯ r d ɑ ɫ ɑ m ɑ x
xırnik	χ ɯ r n i j
xırnik	χ ɯ r n i k
xırnik	χ ɯ r n i ç
xəbər	χ æ b æ r
xəlifə	x æ l iː f æ
xəlvət	x æ l v æ t
xələf	x æ l æ f
xəmir	χ æ m i r
xərc	χ æ r d͡z
xərc	χ æ r d͡ʒ
xərcləmək	χ æ r d͡z l æ m æ k
xərcləmək	χ æ r d͡ʒ l æ m æ k
xərçəng	x æ r t͡ʃ æ ŋ ɡ
xəstə	x æ s t æ
xəstəlik	χ æ s t æ l i j
xəstəlik	χ æ s t æ l i k
xəstəxana	χ æ s t æ χ ɑ n ɑ
xətkeş	χ æ t k e ʃ
xətçəkən	χ æ t t͡s æ t͡ʃ æ n
xətçəkən	χ æ t t͡ʃ æ k æ n
xəz	x æ z
xəzinə	x æ z iː n æ
yaba	j ɑ b ɑ
yaban	j ɑ b ɑ n
yad	j ɑ d
yaddaqalan	y ɑ dː ɑ ɡ ɑ l ɑ n
yaddaş	j ɑ dː a ʃ
yadplanetli	j ɑ d p l ɑ n e t l i
yal	j ɑ ɫ
yalamaq	j ɑ ɫ ɑ m ɑ χ
yalan	j ɑ ɫ ɑ n
yalnız	j ɑ ɫ n ɯ z
yalvarmaq	j ɑ ɫ v ɑ r m ɑ χ
yalın	j ɑ ɫ ɯ n
yalınayaq	j ɑ ɫ ɯ n ɑ j ɑ ɣ
yamac	j ɑ m ɑ d͡ʒ
yaman	j ɑ m ɑ n
yanacaq	j ɑ n ɑ d͡z ɑ χ
yanacaq	j ɑ n ɑ d͡ʒ ɑ χ
yanaq	j ɑ n ɑ χ
yanaşı	j ɑ n ɑ ʃ ɯ
yandırmaq	j ɑ n d ɯ r m ɑ χ
yanlış	j ɑ n ɫ ɯ ʃ
yanlış	j ɑ ɫ n ɯ ʃ
yanmaq	j ɑ mː ɑ χ
yanmaq	j ɑ n m ɑ χ
yanğın	j ɑ n ɣ ɯ n
yanğın	j ɑ ɴ ɣ ɯ n
yanğınsöndürən	j ɑ n ɣ ɯ n s œ n d y r æ n
yanına	j ɑ n ɯ n ɑ
yanında	j ɑ n ɯ n d ɑ
yanıq	j ɑ n ɯ χ
yapalaq	j ɑ p ɑ ɫ a χ
yapışdırmaq	j ɑ p ɯ ʃ d ɯ r m ɑ χ
yara	j ɑ r ɑ
yaradıcı	j ɑ r ɑ d ɯ d͡z ɯ
yaradıcı	j ɑ r ɑ d ɯ d͡ʒ ɯ
yaradıcılıq	j ɑ r ɑ d ɯ d͡z ɯ ɫ ɯ χ
yaradıcılıq	j ɑ r ɑ d ɯ d͡ʒ ɯ ɫ ɯ χ
yaradılmaq	j ɑ r ɑ d ɯ ɫ m ɑ χ
yaradılış	j ɑ r ɑ d ɯ ɫ ɯ ʃ
yaralı	j ɑ r ɑ ɫ ɯ
yaramaq	j ɑ r ɑ m ɑ χ
yaramaz	j ɑ r ɑ m ɑ z
yaranal	j ɑ r ɑ n ɑ ɫ
yaranmaq	j ɑ r ɑ n m ɑ χ
yarasa	j ɑ r ɑ s ɑ
yaratmaq	j ɑ r ɑ t m ɑ χ
yaraşmaq	j ɑ r ɑ ʃ m ɑ χ
yaraşıqlı	j ɑ r ɑ ʃ ɯ ɣ ɫ ɯ
yardım	j ɑ r d ɯ m
yarmaq	j ɑ r m ɑ χ
yarpaq	j æ p r ɑ x
yarpaq	j ɑ r p ɑ χ
yarus	j ɑ r u s
yarğan	j ɑ r ɣ ɑ n
yarı	j ɑ r ɯ
yarım	j ɑ r ɯ m
yarımada	j ɑ r ɯ m ɑ d ɑ
yarımkürə	j ɑ r ɯ m k y r æ
yarımkürə	j ɑ r ɯ m t͡ʃ y r æ
yarımsavadlı	j ɑ r ɯ m s ɑ v ɑ d ɫ ɯ
yarımçıq	j ɑ r ɯ m t͡s ɯ x
yarımçıq	j ɑ r ɯ m t͡ʃ ɯ x
yarın	j ɑ r ɯ n
yarısavadlı	j ɑ r ɯ s ɑ v ɑ d ɫ ɯ
yarış	j ɑ r ɯ ʃ
yasaq	j ɑ s ɑ χ
yastıq	j ɑ s t ɯ χ
yasəmən	y ɑː s æ m æ n
yatab	j ɑ t ɑ b
yataq	j ɑ t ɑ χ
yataqxana	j ɑ t ɑ χː ɑ n ɑ
yatmaq	j ɑ t m ɑ χ
yatırmaq	j a t ɯ r m ɑ χ
yatırım	j ɑ t ɯ r ɯ m
yatızdırmaq	j a t ɯ z d ɯ r m ɑ χ
yavan	y ɑ v ɑ n
yavaş	j ɑ v ɑ ʃ
yavuq	j ɑ v u x
yavıq	j ɑ v ɯ x
yaxa	j ɑ χ ɑ
yaxalamaq	j ɑ χ ɑ ɫ ɑ m ɑ χ
yaxmaq	j ɑ χ m ɑ χ
yaxud	j ɑ x u d
yaxın	j ɑ x ɯ n
yaxınlıq	j ɑ x ɯ n ɫ ɯ x
yaxınlığında	j ɑ χ ɯ n ɫ ɯ ɣ ɯ n d ɑ
yaxşı	j ɑ χ t͡s ɯ
yaxşı	j ɑ χ t͡ʃ ɯ
yaxşı	j ɑ χ ʃ ɯ
yaxşı	j ɑ χ ʃ ɯ̥
yay	j ɑ j
yayla	j ɑ j ɫ ɑ
yaylaq	j ɑ j l ɑ χ
yaylıq	j ɑ j ɫ ɯ χ
yayılma	j ɑ j ɯ ɫ m ɑ
yaz	j ɑ z
yazdırmaq	j ɑ z d ɯ r m ɑ χ
yazmaq	j ɑ z m ɑ χ
yazı	j ɑ z ɯ
yazılmaq	j ɑ z ɯ ɫ m ɑ χ
yazılış	j ɑ z ɯ l ɯ ʃ
yazın	j ɑ z ɯ n
yazıq	j ɑː z ɯ ɣ
yazıq	j ɑː z ɯ χ
yazıçı	j ɑ z ɯ t͡s ɯ
yazıçı	j ɑ z ɯ t͡ʃ ɯ
yazışmaq	j ɑ z ɯ ʃ m a χ
yağ	j ɑ ɣ
yağmurluq	j ɑ ɣ m u r l u x
yağmurluq	j ɑ ɣ m u rː u x
yağı	j ɑ ɣ ɯ
yağıntı	j ɑ ɣ ɯ n t ɯ
yağış	j a ɣ ɯ ʃ
yaş	j ɑ ʃ
yaşasın	j ɑ ʃ ɑ s ɯ n
yaşayış	j ɑ ʃ ɑ j ɯ ʃ
yaşdaş	j ɑ ʃ d ɑ ʃ
yaşlı	j ɑ ʃ ɫ ɯ
yaşmaq	j ɑ ʃ m ɑ χ
yaşıd	j ɑ ʃ ɯ d
yaşırmaq	j ɑ ʃ ɯ r m ɑ χ
yeddi	j e tː i
yeddinci	j e tː i n d͡z i
yeddinci	j e tː i n d͡ʒ i
yeganə	j e d͡ʒ ɑː n æ
yeganə	j e ɟ ɑː n æ
yekə	j e k æ
yekə	j e t͡ʃ æ
yel	j e l
yelləncək	j e lː æ n d͡z æ t͡ʃ
yelləncək	j e lː æ n d͡ʒ æ j
yelləncək	j e lː æ n d͡ʒ æ k
yellənmək	j e lː æ n m æ j
yellənmək	j e lː æ n m æ k
yellənmək	j e lː æ n m æ t͡ʃ
yelpik	j e l p i j
yelpik	j e l p i k
yelpik	j e l p i ç
yelçəkən	j e l t͡ʃ æ k æ n
yemək	j e m æ c
yemək	j e m æ j
yemək	j e m ɑ χ
yengə	j e ŋ ɟ æ
yeni	j e n i
yenidən	j e n i d æ n
yenilməz	j e n i l m æ z
yenmək	j e mː æ j
yenmək	j e mː æ k
yenmək	j e n m æ j
yenmək	j e n m æ k
yepiskop	j e p i s k o p
yer	j e rʲ
yerimək	j e r i m æ j
yerimək	j e r i m æ k
yerləşdirmək	j e r l æ ʃ d i r m æ j
yerləşdirmək	j e rː æ ʃ d i r m æ j
yerləşmək	j e r l æ ʃ m æ j
yerləşmək	j e rː æ ʃ m æ j
yersiz	j e r s i z
yesir	j e s i r
yetim	j e t i m
yetişdirmək	j e t i ʃ d i r m æ c
