ԱԱ	ɑ ɑ́
Գալիլեյ	ɡ ɑ l i l é j
Գալիլիա	ɡ ɑ l i l i j ɑ́
Գալիցիա	ɡ ɑ l í t͡sʰ i j ɑ
Գալյոնճյան	ɡ ɑ l j o n t͡ʃ j ɑ́ n
Գալուստ	ɡ ɑ l ú s t
Գալստյան	ɡ ɑ l ə s t j ɑ́ n
Գաղատիա	ɡ ɑ ʁ ɑ t i j ɑ́
Գաղիանոս	ɡ ɑ ʁ i j ɑ n ó s
Գամբիա	ɡ ɑ́ m b i j ɑ
Գամիրք	ɡ ɑ m í ɾ kʰ
Գայանա	ɡ ɑ j ɑ́ n ɑ
Գայանե	ɡ ɑ j ɑ n é
Գայմագճյան	ɡ ɑ j m ɑ ɡ t͡ʃ j ɑ́ n
Գանա	ɡ ɑ n ɑ́
Գանգես	ɡ ɑ́ ŋ ɡ e s
Գանդի	ɡ ɑ n d í
Գանդի	ɡ ɑ́ n d i
Գանդինագար	ɡ ɑ n d i n ɑ ɡ ɑ́ ɾ
Գանթարճյան	ɡ ɑ n tʰ ɑ ɾ t͡ʃ j ɑ́ n
Գանիմեդ	ɡ ɑ n i m é d
Գանձակ	ɡ ɑ n d͡z ɑ́ k
Գաշըգճյան	ɡ ɑ ʃ ə ɡ t͡ʃ j ɑ́ n
Գառնիկ	ɡ ɑ r n í k
Գասապյան	ɡ ɑ s ɑ p j ɑ́ n
Գասպարյան	ɡ ɑ s p ɑ ɾ j ɑ́ n
Գավառ	ɡ ɑ v ɑ́ r
Գավգամելա	ɡ ɑ v ɡ ɑ m e l ɑ́
Գավրիլ	ɡ ɑ v ɾ í l
Գարագաշյան	ɡ ɑ ɾ ɑ ɡ ɑ ʃ j ɑ́ n
Գարամանյան	ɡ ɑ ɾ ɑ m ɑ n j ɑ́ n
Գարեգին	ɡ ɑ ɾ e ɡ í n
Գարիկ	ɡ ɑ ɾ í k
Գարճյան	ɡ ɑ ɾ t͡ʃ j ɑ́ n
Գարսևան	ɡ ɑ ɾ s e v ɑ́ n
Գաֆեսճյան	ɡ ɑ f e s t͡ʃ j ɑ́ n
Գեղամ	ɡ e ʁ ɑ́ m
Գեղամյան	ɡ e ʁ ɑ m j ɑ́ n
Գեղարքունիք	ɡ e ʁ ɑ ɾ kʰ u n í kʰ
Գենդալֆ	ɡ e n d ɑ́ l f
Գեջեյան	ɡ e d͡ʒ e j ɑ́ n
Գեռլա	ɡ é r l ɑ
Գեսլեր	ɡ e s l é ɾ
Գերմանիա	ɡ e ɾ m ɑ́ n i j ɑ
Գերմանիայի	ɡ e ɾ m ɑ n i j ɑ j í
Գըրպաճյան	ɡ ə ɾ p ɑ t͡ʃ j ɑ́ n
Գիլոյան	ɡ i l o j ɑ́ n
Գինոսյան	ɡ i n o s j ɑ́ n
Գիրոկաստրա	ɡ i ɾ o k ɑ́ s t ɾ ɑ
Գլենդել	ɡ l é n d e l
Գյանջա	ɡ j ɑ n d͡ʒ ɑ́
Գյոթե	ɡ j o tʰ é
Գյոթե	ɡ j ó tʰ e
Գյոյգյոլ	ɡ j o j ɡ j ó l
Գյուլազյան	ɡ j u l ɑ z j ɑ́ n
Գյուլասարյան	ɡ j u l ɑ s ɑ ɾ j ɑ́ n
Գյուլբենկյան	ɡ j u l b e ŋ k j ɑ́ n
Գյուլեզյան	ɡ j u l e z j ɑ́ n
Գյումրի	ɡ j u m ɾ í
Գյուրջինյան	ɡ j u ɾ d͡ʒ i n j ɑ́ n
Գնել	ɡ ə n é l
Գոա	ɡ o ɑ́
Գոհար	ɡ o h ɑ́ ɾ
Գողգոթա	ɡ o ʁ ɡ o tʰ ɑ́
Գոճանյան	ɡ o t͡ʃ ɑ n j ɑ́ n
Գոմել	ɡ o m é l
Գոռ	ɡ o r
Գովաճյան	ɡ o v ɑ t͡ʃ j ɑ́ n
Գոտֆրիդ	ɡ o t f ɾ í d
Գորբաչով	ɡ o ɾ b ɑ t͡ʃʰ ó v
Գորդիոս	ɡ o ɾ d i j ó s
Գորի	ɡ o ɾ í
Գորիս	ɡ o ɾ í s
Գորկի	ɡ o ɾ k í
Գուգարք	ɡ u ɡ ɑ́ ɾ kʰ
Գուգլ	ɡ ú ɡ ə l
Գուգո	ɡ u ɡ ó
Գուգուշ	ɡ u ɡ ú ʃ
Գուգս	ɡ u kʰ s
Գուգսիկ	ɡ u ɡ s í k
Գուդաութա	ɡ u d ɑ ú tʰ ɑ
Գուլահճյան	ɡ u l ɑ h t͡ʃ j ɑ́ n
Գումճյան	ɡ u m t͡ʃ j ɑ́ n
Գույուճյան	ɡ u j u t͡ʃ j ɑ́ n
Գույուջյան	ɡ u j u d͡ʒ j ɑ́ n
Գուջարաթ	ɡ u d͡ʒ ɑ ɾ ɑ́ tʰ
Գուրգեն	ɡ u ɾ ɡ é n
Գվատեմալա	ɡ ə v ɑ t e m ɑ l ɑ́
Գվինեա	ɡ v i n é ɑ
Գրանիկոն	ɡ ə ɾ ɑ n i k ó n
Գրենադա	ɡ ɾ e n ɑ́ d ɑ
Գրենլանդիա	ɡ ɾ e n l ɑ́ n d i j ɑ
Գրիգոր	ɡ ɾ i kʰ ó ɾ
Գրիգորի	ɡ ɾ i ɡ ó ɾ i
Գրիգորիոպոլիս	ɡ ɾ i kʰ o ɾ i j o p o l í s
Գրիգորյան	ɡ ɾ i kʰ o ɾ j ɑ́ n
Գրիգորուպոլ	ɡ ɾ i kʰ o ɾ u p ó l
Գրոզնի	ɡ ɾ o z n í
Գևորգ	ɡ e v ó ɾ kʰ
Գևորգյան	ɡ e v o ɾ kʰ j ɑ́ n
Դ	d ə
ԴՆԹ	d ə n ə tʰ ə́
Դալար	d ɑ l ɑ́ ɾ
Դալմաթիա	d ɑ l m ɑ́ tʰ i j ɑ
Դաղստան	d ɑ ʁ ə s t ɑ́ n
Դամասկոս	d ɑ m ɑ s k ó s
Դանիա	d ɑ́ n i j ɑ
Դանիել	d ɑ n i j é l
Դանիելյան	d ɑ n i j e l j ɑ́ n
Դանիիլ	d ɑ n i í l
Դանիշմենդյան	d ɑ n i ʃ m e n d j ɑ́ n
Դանուբ	d ɑ n ú b
Դավթյան	d ɑ f tʰ j ɑ́ n
Դավիթ	d ɑ v í tʰ
Դարակչյան	d ɑ ɾ ɑ k t͡ʃʰ j ɑ́ n
Դարբինյան	d ɑ ɾ pʰ i n j ɑ́ n
Դարդանել	d ɑ ɾ d ɑ n é l
Դարեհ	d ɑ ɾ é h
Դաքա	d ɑ́ kʰ ɑ
Դաքեսյան	d ɑ kʰ e s j ɑ́ n
Դաքքա	d ɑ́ kʰː ɑ
Դեդեյան	d e d e j ɑ́ n
Դելի	d e l í
Դելփիք	d e l pʰ í kʰ
Դելֆիս	d e l f í s
Դեմիրճյան	d e m i ɾ t͡ʃ j ɑ́ n
Դեմոկրիտ	d e m o k ɾ í t
Դեմոսթենես	d e m o s tʰ e n é s
Դետրոյտ	d e t ɾ ó j t
Դերենիկ	d e ɾ e n í k
Դի	d i
Դիանա	d i j ɑ́ n ɑ
Դիարբեքիր	d i j ɑ ɾ b e kʰ í ɾ
Դիլիջան	d i l i d͡ʒ ɑ́ n
Դիմատետր	d i m ɑ t é t ə ɾ
Դինգիլյան	d i ŋ ɡ i l j ɑ́ n
Դիշչյան	d i ʃ t͡ʃʰ j ɑ́ n
Դիոգենես	d i j o ɡ e n é s
Դիոկղետիանոս	d i j o k ʁ e t i j ɑ n ó s
Դիոմեդես	d i j o m e d é s
Դիոնիս	d i j o n í s
Դիոնիսոս	d j o n i s ó s
Դնեպր	d ə n é p ə ɾ
Դնեպրոպետրովսկ	d n e p ɾ o p e t ɾ ó f s k
Դնեստր	d n é s t ə ɾ
Դնչիկ	d ə n t͡ʃʰ í k
Դոբրուջա	d o b ɾ ú d͡ʒ ɑ
Դոլաշյան	d o l ɑ ʃ j ɑ́ n
Դոլմայան	d o l m ɑ j ɑ́ n
Դոլմաջյան	d o l m ɑ d͡ʒ j ɑ́ n
Դոհա	d o h ɑ́
Դոհա	d ó h ɑ
Դողրամաջյան	d o ʁ ɾ ɑ m ɑ d͡ʒ j ɑ́ n
Դոմինիկա	d o m i n i k ɑ́
Դոմինիկոս	d o m i n i k ó s
Դոն	d o n
Դոնդուրմաջյան	d o n d u ɾ m ɑ d͡ʒ j ɑ́ n
Դոնեցկ	d o n é t͡sʰ k
Դոնի	d o n í
Դորպատ	d ó ɾ p ɑ t
Դուբայ	d u b ɑ́ j
Դուբլին	d u b l í n
Դուբլին	d ú b l i n
Դուբոսար	d u b o s ɑ́ ɾ
Դուբոսարի	d u b o s ɑ́ ɾ i
Դուբրովնիկ	d u b ɾ o v n í k
Դուդուկչյան	d u d u k t͡ʃʰ j ɑ́ n
Դուշանբե	d u ʃ ɑ n b é
Դուրգարյան	d u ɾ ɡ ɑ ɾ j ɑ́ n
Դուք	d u kʰ
Դրասխանակերտ	d ɾ ɑ s χ ɑ n ɑ k é ɾ t
Դրաստամատ	d ə ɾ ɑ s t ɑ m ɑ́ t
Դևեջյան	d e v e d͡ʒ j ɑ́ n
Ե	e
Ե	j e
ԵԱՀԿ	j e ɑ h ə k ə́
ԵԱՏՄ	j e ɑ t ə m ə́
ԵԽ	j e χ ə́
ԵՄ	j e m ə́
ԵՊՀ	j e p ə h ə́
ԵՏՄ	j e t ə m ə́
Եգարյան	j e ɡ ɑ ɾ j ɑ́ n
Եգիպտոս	j e ɡ i p t ó s
Եդեսիա	j e d e s i j ɑ́
Եզնիկ	j ɛ z n i k
Եզոպոս	j e z o p ó s
Եզր	j é z ə ɾ
Եզրաս	j e z ɾ ɑ́ s
Եթովպիա	j e tʰ o f p i j ɑ́
Ելենա	j e l é n ɑ
Ելիզավետա	j e l i z ɑ v é t ɑ
Ելիսեյ	j e l i s é j
Ելցին	j e l t͡sʰ í n
Ելցին	j é l t͡sʰ i n
Եկատերինբուրգ	j e k ɑ t e ɾ i n b ú ɾ ɡ
Եկարյան	j e k ɑ ɾ j ɑ́ n
Եկբատան	j e k b ɑ t ɑ́ n
Եհովա	j e h o v ɑ́
Եհովայի	j e h o v ɑ j í
Եղեգնաձոր	j e ʁ e ɡ n ɑ d͡z ó ɾ
Եղիա	j e ʁ i j ɑ́
Եղիազար	j e ʁ i j ɑ z ɑ́ ɾ
Եղիազարյան	j e ʁ i j ɑ z ɑ ɾ j ɑ́ n
Եղիշե	j e ʁ i ʃ é
Եղիսաբեթ	j e ʁ i s ɑ b é tʰ
Եղիսե	j e ʁ i s é
Եմեն	j e m é n
Եմեն	j é m e n
Ենիսեյ	j e n i s é j
Եպիփանես	j e p i pʰ ɑ n é s
Եսայան	j e s ɑ j ɑ́ n
Եսայի	j e s ɑ j í
Եսավ	j e s ɑ́ v
Եսթեր	j e s tʰ é ɾ
Եվա	j e v ɑ́
Եվգենի	j e v ɡ é n i
Եվգենիոս	j e v ɡ e n i j ó s
Եվգենյա	j e v ɡ é n j ɑ
Եվսեբիոս	j e f s e b j ó s
Եվրախորհուրդ	j e v ɾ ɑ χ o ɾ ú ɾ tʰ
Եվրախորհրդարան	j e v ɾ ɑ χ o ɾ ə ɾ tʰ ɑ ɾ ɑ́ n
Եվրահանձնաժողով	j e v ɾ ɑ h ɑ n d͡z n ɑ ʒ o ʁ ó v
Եվրամիություն	j e v ɾ ɑ m i j u t͡sʰ j ú n
Եվրասիա	j e v ɾ ɑ s i j ɑ́
Եվրասիա	j e v ɾ ɑ́ s i j ɑ
Եվրատեսիլ	j e v ɾ ɑ t e s í l
Եվրիպիդես	j e v ɾ i p i d é s
Եվրոպա	j e v ɾ o p ɑ́
Եվրոպա	j e v ɾ ó p ɑ
Եվրոպայի	j e v ɾ o p ɑ j í
Եվրոպայում	j e v ɾ o p ɑ j ú m
Երազգավորս	j e ɾ ɑ z ɡ ɑ v ó ɾ s
Երասխ	j e ɾ ɑ́ s χ
Երեմեյ	j e ɾ e m é j
Երեմիա	j e ɾ e m i j ɑ́
Երեմյան	j e ɾ e m j ɑ́ n
Երիմանթոս	j e ɾ i m ɑ n tʰ ó s
Երիքով	j e ɾ i kʰ ó v
Երկիր	j e ɾ k í ɾ
Երկվորյակներ	j e ɾ k v o ɾ j ɑ k n é ɾ
Երուսաղեմ	j e ɾ u s ɑ ʁ é m
Երվազ	j e ɾ v ɑ́ z
Երվանդ	j e ɾ v ɑ́ n d
Երվինյան	j e ɾ v i n j ɑ́ n
Երևակ	j e ɾ e v ɑ́ k
Երևան	j e ɾ e v ɑ́ n
Եփեսոս	j e pʰ e s ó s
Եփրատ	j e pʰ ɾ ɑ́ t
Եփրեմ	j e pʰ ɾ é m
Եֆրեմ	j e f ɾ é m
Զ	z ə
ԶԼՄ	z ə l ə m ə́
Զագրեբ	z ɑ ɡ ɾ é b
Զագրեբ	z ɑ́ ɡ ɾ e b
Զադոյան	z ɑ d o j ɑ́ n
Զալցբուրգ	z ɑ l t͡sʰ b ú ɾ ɡ
Զալցբուրգ	z ɑ́ l t͡sʰ b u ɾ ɡ
Զախար	z ɑ χ ɑ́ ɾ
Զախարի	z ɑ χ ɑ́ ɾ i
Զախարյան	z ɑ χ ɑ ɾ j ɑ́ n
Զամբիա	z ɑ́ m b i j ɑ
Զանգի	z ɑ ŋ ɡ í
Զապորոժիե	z ɑ p o ɾ ó ʒ i j e
Զավեն	z ɑ v é n
Զավզավաթճյան	z ɑ v z ɑ v ɑ tʰ t͡ʃ j ɑ́ n
Զարդարյան	z ɑ ɾ tʰ ɑ ɾ j ɑ́ n
Զարեհ	z ɑ ɾ é h
Զարմանյան	z ɑ ɾ m ɑ n j ɑ́ n
Զարուհի	z ɑ ɾ u h í
Զաքարիա	z ɑ kʰ ɑ ɾ i j ɑ́
Զաքարյան	z ɑ kʰ ɑ ɾ j ɑ́ n
Զեմպերեկճյան	z e m p e ɾ e k t͡ʃ j ɑ́ n
Զեմպերեքճյան	z e m p e ɾ e kʰ t͡ʃ j ɑ́ n
Զեմֆիրա	z e m f i ɾ ɑ́
Զեյնալյան	z e j n ɑ l j ɑ́ n
Զենճիրճյան	z e n t͡ʃ i ɾ t͡ʃ j ɑ́ n
Զենոն	z e n ó n
Զենջիրջյան	z e n d͡ʒ i ɾ d͡ʒ j ɑ́ n
Զեփյուռ	z e pʰ j ú r
Զիլճյան	z i l t͡ʃ j ɑ́ n
Զիմբաբվե	z i m b ɑ b v é
Զիմբաբվե	z i m b ɑ́ b v e
Զինճիրճյան	z i n t͡ʃ i ɾ t͡ʃ j ɑ́ n
Զինջիրջյան	z i n d͡ʒ i ɾ d͡ʒ j ɑ́ n
Զմյուռնիա	z m j u r n i j ɑ́
Զոհրաբ	z o h ɾ ɑ́ b
Զոյա	z o j ɑ́
Զոյա	z ó j ɑ
Զորաբաբել	z o ɾ ɑ b ɑ b é l
Զորիկ	z o ɾ í k
Զվարթ	z ə v ɑ́ ɾ tʰ
Զրադաշտ	z ə ɾ ɑ d ɑ́ ʃ t
Զևս	z e f s
Զևքսիս	z e f kʰ s í s
Է	e
Էբերդին	e b e ɾ d í n
Էդգար	e d ɡ ɑ́ ɾ
Էդեսսա	e d e sː ɑ́
Էդմոն	e d m ó n
Էդո	e d ó
Էդուլ	e d ú l
Էդուլիկ	e d u l í k
Էդվարդ	e d v ɑ́ ɾ tʰ
Էլար	e l ɑ́ ɾ
Էլբակյան	e l b ɑ k j ɑ́ n
Էլեն	e l é n
Էլեքճյան	e l e kʰ t͡ʃ j ɑ́ n
Էլզաս	e l z ɑ́ s
Էլիստա	e l i s t ɑ́
Էլչիբեյ	e l t͡ʃʰ i b é j
Էկվադոր	e k v ɑ d ó ɾ
Էմիլ	e m í l
Էմին	e m í n
Էմպեդոկլես	e m p e d o k l é s
Էյերճյան	e j e ɾ t͡ʃ j ɑ́ n
Էնգելս	é ŋ ɡ e l s
Էնֆիաջյան	e n f i j ɑ d͡ʒ j ɑ́ n
Էնֆիեճյան	e n f i j e t͡ʃ j ɑ́ n
Էպիկուր	e p i k ú ɾ
Էպիրոս	e p i ɾ ó s
Էջմիածին	e t͡ʃʰ m i j ɑ t͡s í n
Էջմիածին	e t͡ʃʰ m j ɑ t͡s í n
Էստոնիա	e s t ó n i j ɑ
Էսքիլես	e s kʰ i l é s
Էսքիլոս	e s kʰ i l ó s
Էվրիպիդես	e v ɾ i p i d é s
Էրեբունի	e ɾ e b u n í
Էրզրում	e ɾ z ə ɾ ú m
Էրիկ	e ɾ í k
Էրիտրեա	e ɾ i t ɾ é ɑ
Էրոս	e ɾ ó s
Էքմեքջյան	e kʰ m e kʰ d͡ʒ j ɑ́ n
Էքսերճյան	e kʰ s e ɾ t͡ʃ j ɑ́ n
Էքսերջյան	e kʰ s e ɾ d͡ʒ j ɑ́ n
Ը	ə
Թ	tʰ ə
Թադևոսյան	tʰ ɑ tʰ e v o s j ɑ́ n
Թաթարստան	tʰ ɑ tʰ ɑ ɾ s t ɑ́ n
Թաթուլ	tʰ ɑ tʰ ú l
Թաթուլյան	tʰ ɑ tʰ u l j ɑ́ n
Թաիլանդ	tʰ ɑ j l ɑ́ n d
Թալես	tʰ ɑ l é s
Թալիբան	tʰ ɑ l i b ɑ́ n
Թալին	tʰ ɑ l í n
Թախտաջյան	tʰ ɑ χ t ɑ d͡ʒ j ɑ́ n
Թահաթ	tʰ ɑ h ɑ́ tʰ
Թահմազ	tʰ ɑ h m ɑ́ z
Թահմազյան	tʰ ɑ h m ɑ z j ɑ́ n
Թամիլնադ	tʰ ɑ m i l n ɑ́ d
Թայբեյ	tʰ ɑ j b é j
Թայմիր	tʰ ɑ j m í ɾ
Թայվան	tʰ ɑ j v ɑ́ n
Թաշճյան	tʰ ɑ ʃ t͡ʃ j ɑ́ n
Թասլաքյան	tʰ ɑ s l ɑ kʰ j ɑ́ n
Թավուքճյան	tʰ ɑ v u kʰ t͡ʃ j ɑ́ n
Թավրիզ	tʰ ɑ v ɾ í z
Թարախչյան	tʰ ɑ ɾ ɑ χ t͡ʃʰ j ɑ́ n
Թարթառ	tʰ ɑ ɾ tʰ ɑ́ r
Թարխանյան	tʰ ɑ ɾ χ ɑ n j ɑ́ n
Թբիլիսի	tʰ ə b i l í s i
Թեբե	tʰ e b é
Թելավ	tʰ e l ɑ́ v
Թելավի	tʰ e l ɑ́ v i
Թելֆեյան	tʰ e l f e j ɑ́ n
Թեհրան	tʰ e h ɾ ɑ́ n
Թեմզա	tʰ é m z ɑ
Թենեդոս	tʰ e n e d ó s
Թենեդոս	tʰ e n é d o s
Թեոգնիդես	tʰ e o ɡ n i d é s
Թեոդոսիա	tʰ e o d ó s i j ɑ
Թեսալիա	tʰ e s ɑ́ l i j ɑ
Թեսևս	tʰ e s é f s
Թերմոպիլե	tʰ e ɾ m o p i l é
Թեքսաս	tʰ e kʰ s ɑ́ s
Թեքսաս	tʰ é kʰ s ɑ s
Թթուջուր	tʰ ə tʰ u d͡ʒ ú ɾ
Թիֆլիս	tʰ i f l í s
Թհիմփհու	tʰ h i m pʰ h ú
Թյուլպենտճյան	tʰ j u l p e n t̚ t͡ʃ j ɑ́ n
Թյուրինգիա	tʰ j u ɾ í ŋ ɡ i j ɑ
Թոմաս	tʰ o m ɑ́ s
Թոմասյան	tʰ o m ɑ s j ɑ́ n
Թովմաս	tʰ o v m ɑ́ s
Թովմասյան	tʰ o v m ɑ s j ɑ́ n
Թորգոմ	tʰ o ɾ ɡ ó m
Թորոյան	tʰ o ɾ o j ɑ́ n
Թորոս	tʰ o ɾ ó s
Թորոսյան	tʰ o ɾ o s j ɑ́ n
Թուզճյան	tʰ u z t͡ʃ j ɑ́ n
Թութունճյան	tʰ u tʰ u n t͡ʃ j ɑ́ n
Թութունջյան	tʰ u tʰ u n d͡ʒ j ɑ́ n
Թուլումբաջյան	tʰ u l u m b ɑ d͡ʒ j ɑ́ n
Թուլումպաճյան	tʰ u l u m p ɑ t͡ʃ j ɑ́ n
Թուկիդիդես	tʰ u k i d i d é s
Թուղլաճյան	tʰ u ʁ l ɑ t͡ʃ j ɑ́ n
Թուն	tʰ u n
Թունիս	tʰ u n í s
Թուրին	tʰ u ɾ í n
Թուրքեստան	tʰ u ɾ kʰ e s t ɑ́ n
Թուրքիա	tʰ u ɾ kʰ i j ɑ́
Թուրքմենստան	tʰ u ɾ kʰ m e n s t ɑ́ n
Թոփալյան	tʰ o pʰ ɑ l j ɑ́ n
Թոփուզյան	tʰ o pʰ u z j ɑ́ n
Թռփանճյան	tʰ ə r pʰ ɑ n t͡ʃ j ɑ́ n
Թվիթեր	tʰ v i tʰ é ɾ
Թվիթեր	tʰ v í tʰ e ɾ
Թրակիա	tʰ ə ɾ ɑ́ k i j ɑ
Թրամփ	tʰ ə ɾ ɑ́ m pʰ
Թրփանճյան	tʰ ə ɾ pʰ ɑ n t͡ʃ j ɑ́ n
Ժ	ʒ ə
Ժամկոչյան	ʒ ɑ m k o t͡ʃʰ j ɑ́ n
Ժընև	ʒ ə n é v
Ժիրայր	ʒ i ɾ ɑ́ j ɾ
Ժնև	ʒ n e v
Ժնև	ʒ ə n é v
Ժորա	ʒ o ɾ ɑ́
Ի	i
ԻԻՀ	i i h ə́
Իբիկոս	i b i k ó s
Իգնատի	i ɡ n ɑ́ t i
Իգնատիոս	i ɡ n ɑ t i j ó s
Իզմիր	i z m í ɾ
Իթակե	i tʰ ɑ́ k e
Իժևսկ	i ʒ é f s k
Իլանջյան	i l ɑ n d͡ʒ j ɑ́ n
Իլիոն	i l i j ó n
Իլլիրիա	i lː í ɾ i j ɑ
Իլհամ	i l h ɑ́ m
Իլյա	i l j ɑ́
Իլով	i l ó v
Իմերեթ	i m e ɾ é tʰ
Իմերեթիա	i m e ɾ é tʰ i j ɑ
Իյնեճյան	i j n e t͡ʃ j ɑ́ n
Ինգա	i ŋ ɡ ɑ́
Ինգուշեթիա	i ŋ ɡ u ʃ é tʰ i j ɑ
Ինգուշիա	i ŋ ɡ ú ʃ i j ɑ
Ինդոնեզիա	i n d o n é z i j ɑ
Ինդոս	i n d ó s
Ինդոստան	i n d o s t ɑ́ n
Ինեքճյան	i n e kʰ t͡ʃ j ɑ́ n
Ինճիճյան	i n t͡ʃ i t͡ʃ j ɑ́ n
Ինստագրամ	i n s t ɑ ɡ ɾ ɑ́ m
Իշխանյան	i ʃ χ ɑ n j ɑ́ n
Իջևան	i d͡ʒ e v ɑ́ n
Իռլանդիա	i r l ɑ́ n d i j ɑ
Իսախանյան	i s ɑ χ ɑ n j ɑ́ n
Իսահակ	i s ɑ h ɑ́ k
Իսլամաբադ	i s l ɑ m ɑ b ɑ́ d
Իսլանդիա	i s l ɑ́ n d i j ɑ
Իսկանդարյան	i s k ɑ n d ɑ ɾ j ɑ́ n
Իսկեճյան	i s k e t͡ʃ j ɑ́ n
Իսմայիլի	i s m ɑ j i l í
Իսպանիա	i s p ɑ́ n i j ɑ
Իսսոս	í sː o s
Իսրայել	i s ɾ ɑ j é l
Իսրայելյան	i s ɾ ɑ j e l j ɑ́ n
Իսքեճյան	i s kʰ e t͡ʃ j ɑ́ n
Իվան	i v ɑ́ n
Իվանե	i v ɑ n é
Իվանովո	i v ɑ n o v ó
Իտալիա	i t ɑ́ l i j ɑ
Իտանագար	i t ɑ n ɑ ɡ ɑ́ ɾ
Իրան	i ɾ ɑ́ n
Իրաք	i ɾ ɑ́ kʰ
Իրկուտսկ	i ɾ k ú t s k
Իփիգենիա	i pʰ i ɡ e n i j ɑ́
Իֆիգենիա	i f i ɡ e n i j ɑ́
Լ	l ə
ԼՂԻՄ	l ə ʁ í m
ԼՂՀ	l ə ʁ ə h ə́
Լադոգա	l ɑ́ d o ɡ ɑ
Լաթաքիա	l ɑ tʰ ɑ kʰ i j ɑ́
Լայպցիգ	l ɑ j p t͡sʰ í ɡ
Լաոս	l ɑ ó s
Լատիոն	l ɑ t i j ó n
Լատվիա	l ɑ́ t v i j ɑ
Լացիում	l ɑ t͡sʰ i j ú m
Լեհաստան	l e h ɑ s t ɑ́ n
Լեյդեն	l e j d é n
Լեյդեն	l é j d e n
Լենա	l e n ɑ́
Լենին	l e n í n
Լենինական	l e n i n ɑ k ɑ́ n
Լենինգրադ	l e n i ŋ ɡ ɾ ɑ́ d
Լեռնիկ	l e r n í k
Լեսբոս	l e s b ó s
Լեսոթո	l e s ó tʰ o
Լեստեր	l é s t e ɾ
Լիանա	l i j ɑ n ɑ́
Լիբանան	l i b ɑ n ɑ́ n
Լիբերիա	l i b é ɾ i j ɑ
Լիբիա	l í b i j ɑ
Լիբրևիլ	l i b ɾ e v í l
Լիգուրիա	l i ɡ ú ɾ i j ɑ
Լիլիթ	l i l í tʰ
Լիլոնգվե	l i l ó ŋ ɡ v e
Լիխտենշտեյն	l i χ t e n ʃ t é j n
Լիկիա	l i k i j ɑ́
Լիմա	l í m ɑ
Լիմասոլ	l i m ɑ s ó l
Լիմպոպո	l i m p o p ó
Լինց	l i n t͡sʰ
Լիոն	l i j ó n
Լիպարիտ	l i p ɑ ɾ í t
Լիպարիտյան	l i p ɑ ɾ i t j ɑ́ n
Լիպեցկ	l i p é t͡sʰ k
Լիսաբոն	l i s ɑ b ó n
Լիվերպուլ	l i v e ɾ p ú l
Լիտվա	l i t v ɑ́
Լճաշեն	l ə t͡ʃ ɑ ʃ é n
Լյուբլյանա	l j u b l j ɑ́ n ɑ
Լյուդովիկոս	l j u d o v i k ó s
Լյուդվիգ	l j u d v í ɡ
Լյուլեճյան	l j u l e t͡ʃ j ɑ́ n
Լյուկիա	l j u k i j ɑ́
Լյուրիկե	l j u ɾ i k é
Լյուքսեմբուրգ	l j u kʰ s e m b ú ɾ ɡ
Լոզան	l o z ɑ́ n
Լոթարինգիա	l o tʰ ɑ ɾ i ŋ ɡ i j ɑ́
Լոկրիս	l o k ɾ í s
Լոձ	l o d͡z
Լոնդոն	l o n d ó n
Լոռի	l o r í
Լոս	l o s
Լուանդա	l u ɑ́ n d ɑ
Լուար	l u ɑ́ ɾ
Լուարա	l u ɑ́ ɾ ɑ
Լուգանսկ	l u ɡ ɑ́ n s k
Լուդովիկոս	l u d o v i k ó s
Լութեր	l ú tʰ e ɾ
Լուսաբեր	l u s ɑ b é ɾ
Լուսին	l u s í n
Լուսինե	l u s i n é
Լուսինյան	l u s i n j ɑ́ n
Լուսնթագ	l u s ə n tʰ ɑ́ ɡ
Լուսո	l u s ó
Լուվեն	l u v é n
Լոքանթաճյան	l o kʰ ɑ n tʰ ɑ t͡ʃ j ɑ́ n
Լվով	l v o v
Լևանտ	l e v ɑ́ n t
Լևոն	l e v ó n
Լևոնյան	l e v o n j ɑ́ n
Խ	χ ə
ԽՍՀՄ	χ ə s ə h ə m ə́
ԽՍՀՄ	χ ə s ə h ə́ m
Խաբարովսկ	χ ɑ b ɑ ɾ ó f s k
Խադ	χ ɑ d
Խազոյան	χ ɑ z o j ɑ́ n
Խաժակ	χ ɑ ʒ ɑ́ k
Խալաճյան	χ ɑ l ɑ t͡ʃ j ɑ́ n
Խալըճյան	χ ɑ l ə t͡ʃ j ɑ́ n
Խաղխաղ	χ ɑ ʁ χ ɑ́ ʁ
Խանճյան	χ ɑ n t͡ʃ j ɑ́ n
Խանջյան	χ ɑ n d͡ʒ j ɑ́ n
Խաչանյան	χ ɑ t͡ʃʰ ɑ n j ɑ́ n
Խաչատուր	χ ɑ t͡ʃʰ ɑ t ú ɾ
Խաչատրյան	χ ɑ t͡ʃʰ ɑ t ə ɾ j ɑ́ n
Խաչիկ	χ ɑ t͡ʃʰ í k
Խաչիկյան	χ ɑ t͡ʃʰ i k j ɑ́ n
Խաչիյան	χ ɑ t͡ʃʰ i j ɑ́ n
Խաչո	χ ɑ t͡ʃʰ ó
Խառան	χ ɑ r ɑ́ n
Խառատյան	χ ɑ r ɑ t j ɑ́ n
